0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
0.0,5.4685717,5.721814,6.078212,8.07529,6.871566,2.943403,6.1268907,6.701001,6.712418,4.1590257,7.703919,6.192372,7.563634,2.4156773,7.1046686,3.5110497,7.7523623,9.63728,6.3154817,10.067362,8.12355,6.659116,9.421777,6.3762813,8.017058,5.56928,8.621958,8.208213,6.9748645,7.4726458,7.0807505,7.086252,6.6855392,7.410963,6.576013,6.7286096,5.528082,5.177489,6.488986,9.979651,4.521692,7.9924088,3.66111,9.511394,7.267396,8.527714,4.9880834,6.020864,4.877653,7.8760858,4.80967,9.356004,5.7381687,13.966081,6.9408402,6.949619,9.381741,9.658247,7.9623427,5.882403,5.188592,5.857403,6.3374405,4.875645,4.268416,8.440629,4.8447185,6.359753,7.1675277,6.2328534,5.3369217,3.5676425,3.92789,4.9267135,6.6924715,9.04057,13.07885,6.995384,6.351145,7.0886426,3.7779868,8.055265,5.5215006,7.398208,8.698056,6.280172,3.5370796,6.3167334,6.5375576,12.096872,8.6535425,5.39205,7.415021,7.471649,6.24352,14.123773,11.423126,7.323076,7.3429666,5.2577844,6.8720765,4.909227,8.308002,7.615903,8.033256,6.362282,9.111423,5.5807214,7.22186,6.6290827,5.315014,9.934478,5.490052,3.791934,9.744278,7.270086,7.712894,4.9441667,4.801552,8.232679,7.9776196,7.3800635,8.291573,5.8585715,7.8500085,8.319931,5.5275035,5.1380825,9.882387,6.294102,5.3056083,5.8112397,4.1364317,5.5937076,7.3492117,5.9844966,5.5734963,9.166084,4.615669,6.796659,7.8529596,14.195313,5.1946425,5.0972447,4.4008713,3.865348,6.9247766,5.1858535,4.9441667,3.454358,7.445105,7.0344133,6.483955,4.9392824,7.83639,5.2383647,5.494865,11.550696,5.5096197,6.01664,5.9092574,5.6831093,4.426605,4.660366,4.8893642,5.641606,6.9583383,5.2350054,4.612705,4.5759935,5.9723067,5.365474,6.9593554,6.566233,5.9271717,6.776007,6.098412,5.508814,5.4897857,6.454004,7.2709165,6.964087,7.4022613,6.912696,7.427472,7.8107305,7.699814,8.14146,5.7610564,6.959975,5.540898,4.935264,5.1979213,4.976663,4.53504,7.358666,7.721374,8.247094
5.4685717,0.0,5.9613433,7.212336,7.607779,7.174169,5.3833613,5.9917717,6.575945,6.291204,5.878485,7.090226,6.2402616,6.63469,5.580835,6.3518796,5.6665506,6.967733,8.667367,6.913633,9.046361,8.443717,7.3898625,8.428163,7.2508106,7.529286,6.6176353,8.197345,8.004129,7.4182105,6.8063045,5.945012,6.817601,5.734632,7.6715035,6.172155,6.2135506,6.3561416,5.947739,6.7427225,9.591531,5.8376517,6.700591,5.254604,8.64131,6.7561283,7.713348,6.1437783,5.967758,6.257072,7.0724998,5.1058865,8.646763,6.4006753,13.345437,6.5455465,8.309392,8.252138,10.024204,7.3653655,7.3538337,5.1033206,6.0142255,6.175471,5.1574206,5.930105,7.282711,5.875495,7.081529,6.4425125,7.0907965,6.474634,5.2222724,5.170217,5.652725,6.497124,8.690725,11.989005,6.682227,6.2580986,4.4862766,5.441803,7.301092,6.089431,6.629003,8.218723,6.274665,5.493276,6.210115,5.2237277,11.65976,7.629556,6.5321293,6.8865623,6.801952,7.394474,13.620794,10.758032,7.6104255,6.969047,5.067455,7.848141,5.3389354,8.42524,8.185704,8.309837,6.7886143,8.473564,4.941795,6.695526,6.0661836,6.259715,9.09167,5.6179214,5.494836,8.869102,7.054858,7.4677896,5.7150607,5.7808366,6.960038,6.5799284,5.620055,7.6975946,6.4982634,7.1159544,7.431924,6.488489,5.1348166,9.446748,6.471134,4.590518,6.2786674,5.8767753,7.378552,6.4351625,6.401435,6.0675964,7.8535595,4.5968976,6.99382,7.0117874,13.866673,6.027807,6.375515,5.790535,4.57379,7.2138057,6.42196,5.7150607,5.534306,7.314317,6.7924166,6.700275,6.014562,8.391971,6.403933,6.722038,11.438436,6.794817,7.2993407,7.177733,6.020732,5.9853625,5.9989343,6.317854,5.449871,7.069227,5.859346,5.3030953,5.3649864,6.508071,5.4541693,6.817062,7.7622943,6.3559537,6.7430515,7.1552067,6.6436777,6.145642,6.7521095,7.469374,7.368776,7.6202602,7.0668283,7.595058,7.9776745,7.8772564,7.953835,6.1400914,6.31552,5.840889,6.293167,6.4089017,6.113933,6.0306845,6.112682,7.098406,8.186589
5.721814,5.9613433,0.0,7.5119276,6.858949,6.2554235,5.5571766,6.2069945,6.294677,8.039294,6.249891,4.876886,7.131756,6.4925275,5.61296,5.600394,5.4079127,6.270771,7.671861,7.648824,7.4502807,7.04247,5.966034,7.9965196,7.600357,7.291081,6.6777444,6.8961515,7.2484756,6.536917,6.0890884,5.820266,6.5372777,5.184861,6.448902,6.688344,5.0644245,6.4420166,7.4364905,5.3130054,8.5831995,5.4016743,6.3516088,5.9821277,7.161263,5.659985,7.539099,5.970117,2.7616727,5.520097,5.990041,4.1244683,8.538394,6.7178307,13.253072,5.003755,7.5145698,7.756243,9.341551,6.46438,7.2271695,5.1115956,5.7862635,7.060249,4.5365925,6.2782083,6.5011344,6.6532755,6.2033153,5.6039753,6.726455,7.2833686,6.041451,6.0495954,6.2072043,6.083858,7.7414546,11.3023205,5.9984055,6.208741,7.3221254,6.0575886,6.2033477,6.0041003,6.045144,7.226601,6.317299,5.502231,6.069346,6.014618,10.591374,7.347663,6.119198,7.405384,6.4295187,6.3352594,13.149814,10.339973,6.4165416,6.5001454,6.004645,6.2853246,6.5450015,7.4498153,8.287918,8.115985,6.2172537,7.25579,4.7065954,6.1411643,5.589368,7.0582614,7.538696,5.345622,6.6053433,7.194857,5.616146,6.7367454,7.560907,6.8157697,6.1373734,6.182281,6.366417,6.8167458,5.647172,6.5575724,6.3840146,7.154385,6.192954,8.561104,5.770953,6.9009786,5.701704,6.241159,6.812742,5.7596006,6.846805,7.1296654,7.7645636,4.2447386,5.9003644,5.4697094,13.546651,5.287822,6.8313565,5.478144,4.9656076,6.7739186,7.031144,7.560907,5.4069486,6.9301896,5.267162,6.642904,6.1714644,8.133214,6.095396,6.2062993,10.374664,6.084931,6.4994745,5.7529645,5.4144883,5.124673,5.7332196,5.212199,4.087291,3.5739446,5.2023535,5.629672,6.820825,5.559103,5.9579096,5.8154984,6.992499,6.060995,5.679643,6.283895,5.547119,6.1194067,7.0549693,6.1550317,6.0483685,6.2970757,6.073438,6.2702155,6.729375,6.3812265,6.674031,5.705919,5.875397,5.7963004,5.5102334,5.3172283,6.1107187,5.761802,6.240225,6.2506056,6.4096746
6.078212,7.212336,7.5119276,0.0,9.392429,7.862158,6.193231,7.3902135,7.282419,8.320873,6.819915,9.261664,8.326037,9.615775,5.973688,7.814881,6.968862,8.456856,10.106315,6.356608,10.549661,10.292121,9.120388,10.39715,2.9565675,9.348922,7.555329,9.471361,8.702649,7.7273326,7.182176,7.6907153,6.990125,7.4011908,6.9352865,7.9344144,7.705914,8.2346735,6.8876996,7.2935467,10.727192,7.4562654,9.258384,6.600114,9.939539,8.378542,10.1606,7.0653157,7.986735,7.066048,8.526462,6.6677766,9.658185,7.1353593,15.1659975,7.6980476,7.1776586,10.449451,8.424238,9.516661,7.622202,6.5805902,7.066331,8.484156,7.3154726,6.8522162,9.143807,7.341184,7.733693,8.663027,8.608092,4.847316,6.461816,5.804323,6.9250727,8.271546,10.563107,13.211398,8.503144,7.621911,8.3646345,6.5496407,8.35919,7.467106,9.250633,9.86658,8.160648,7.0251975,7.2502313,8.282286,13.007999,10.19618,8.214833,8.936962,9.202856,8.907722,15.356964,12.620735,7.155574,8.672062,6.8075123,7.994299,6.5946894,9.598284,8.677832,9.705345,7.7872043,10.519625,7.339127,7.8366833,7.8180037,5.1981163,11.017976,6.3361506,7.0303435,11.074321,8.756196,9.331463,6.62316,5.0996256,9.200396,8.862764,9.176011,9.804021,7.2581353,8.906902,8.951203,7.457532,6.7479377,10.925553,6.7575436,6.9050407,6.9885964,6.761185,6.6408696,8.410599,7.348043,7.634738,10.146501,7.357644,7.0133224,9.288686,15.313554,6.965232,6.8060713,6.861287,6.390448,8.879342,7.2037373,6.62316,7.0982547,8.83077,8.677698,6.7848105,5.488097,4.94039,5.9862075,6.3031845,12.7715025,7.927882,8.355857,8.13712,7.3929343,6.902745,7.0251064,7.3635354,7.4400034,8.156774,7.2911987,6.2997923,6.614337,6.8404613,6.7426414,7.6067376,8.04287,6.234792,8.57378,6.4661946,7.0230427,6.7247796,8.060469,8.047792,7.615278,8.3396015,7.346515,8.157782,8.414719,8.151515,8.603927,7.4384856,8.381197,7.597787,6.930203,7.213005,5.371497,6.4762993,8.750304,8.949188,9.293324
8.07529,7.607779,6.858949,9.392429,0.0,7.418701,8.330713,8.384819,8.553948,9.353604,8.713187,7.6577983,9.586069,6.3090396,8.139398,7.182958,8.255187,6.124203,7.9522586,8.937229,7.2059693,9.442439,8.476408,7.5366373,9.401873,7.647981,8.623897,6.7494087,8.774099,8.28302,8.132972,7.77513,7.8255796,6.8899026,9.205522,8.655989,6.9817944,8.749743,8.896222,7.1944356,8.5519285,7.759974,6.701337,8.566248,8.211356,6.2974634,7.613758,8.091099,6.955592,8.222364,7.1970434,7.338924,9.153438,8.968618,12.483489,6.292285,9.779894,7.7858496,11.632446,7.3233633,8.0241165,7.650452,8.325647,8.893177,7.749395,8.871813,7.7146544,8.7984915,7.3592434,6.2228065,7.9198446,9.200133,8.416963,7.83547,8.415668,8.308889,9.773418,13.436047,6.0751276,6.3682933,7.4920096,8.593167,8.365431,6.921079,5.5587645,7.2049785,6.3676357,8.112073,6.5220733,6.924592,12.798766,7.909607,8.018715,7.1573467,6.585392,8.835286,13.04674,11.100008,9.196778,6.1134424,8.74284,8.645194,8.829824,7.592082,8.208771,9.164449,8.674601,8.12472,7.853447,8.519644,7.4919577,9.050319,9.336525,8.111398,8.770757,8.438719,6.3036265,4.8239307,9.158443,8.698318,6.434239,6.7834926,7.216703,7.31243,7.4335294,6.4365287,6.940935,8.942165,8.739303,9.3066435,8.009287,9.207337,8.19223,8.720576,8.60831,6.158885,9.182039,8.419926,8.959126,6.959634,8.6944475,8.00911,13.45264,6.375569,7.9881897,7.4497657,7.6340647,6.7418623,8.933686,9.158443,8.040067,6.6152363,7.412325,9.125544,8.5432415,10.405587,8.304786,8.459296,11.767038,8.478697,8.681123,8.220184,7.5917125,8.001428,8.554688,8.136996,7.188593,6.9632225,7.2871246,7.5978703,8.427455,8.146905,8.397494,7.686384,8.054662,7.9469566,7.853076,8.578596,7.9636416,8.790731,8.422377,8.70146,8.651639,8.772575,8.803834,8.903896,9.223105,9.014202,9.630946,8.343833,5.554503,7.326471,8.763226,8.649342,7.8276095,8.240032,6.752523,6.1517973,8.535047
6.871566,7.174169,6.2554235,7.862158,7.418701,0.0,7.106592,7.2454247,6.430764,9.018891,7.4318833,7.6161346,8.794054,8.421996,6.809307,6.565116,7.2048492,6.090445,8.040998,7.272489,8.56884,8.638234,7.618984,8.490344,7.886176,7.621527,7.818818,7.7797785,7.9180512,7.6813574,7.037416,7.464419,6.710412,6.6017637,6.5456,6.850279,6.3787394,8.049582,7.625605,6.7826505,8.667882,7.1674247,7.9690866,7.0632386,7.1513557,7.155443,9.319007,7.107485,6.5878487,6.6367083,6.93976,5.804906,8.485541,7.459632,14.103463,6.850269,8.061663,9.852673,9.496991,7.56649,8.407941,6.6182227,7.076666,8.039887,6.844408,7.375465,7.6177816,7.7591248,6.7998123,6.7837615,7.016355,7.288729,7.0263023,7.004739,7.4083743,6.431686,9.617489,12.61787,6.168213,8.116461,8.631084,7.1513643,7.2726398,5.554182,8.345984,8.325251,7.1741357,7.031121,6.6836987,7.929528,12.074847,7.97919,7.6768713,8.394698,7.440205,8.21746,14.039474,12.101454,7.0518255,7.960232,7.494647,7.5128627,7.7947335,7.04231,8.013922,8.0188465,7.7183166,7.82968,6.5782638,6.4617066,6.303167,7.1785965,7.953295,6.3580217,7.3711557,7.9480815,7.262522,7.645591,8.220956,7.16629,7.6947002,7.790057,7.8215623,8.163623,6.8192387,6.743725,5.762148,7.6795974,7.094991,8.990848,5.757456,7.392142,6.8210573,7.4228835,7.634753,7.538529,7.891623,7.8689675,8.427443,6.132721,6.0971584,7.597352,14.411812,6.7886157,7.886769,7.0447774,6.518306,8.617278,7.882359,8.220956,7.0340924,8.305711,7.1033387,7.363187,7.152273,8.589677,7.1161227,7.3657675,12.06871,7.2034116,7.5278974,7.0397797,5.765026,6.431377,6.640885,6.6370735,6.3778896,6.4755716,6.3577414,6.478699,7.4134192,6.68236,6.803922,5.883423,8.2827635,7.1992383,6.745167,7.2264214,7.4157257,7.3802295,7.7154026,7.024252,6.987774,7.190158,7.016606,7.171291,7.7646813,7.433113,7.8966007,6.6839447,7.0583177,5.8443804,6.296309,6.3470945,6.556278,7.079154,7.28335,8.084504,7.0794234
2.943403,5.3833613,5.5571766,6.193231,8.330713,7.106592,0.0,6.1644077,6.8893013,6.69787,3.610766,7.3383207,6.0946965,7.3866982,2.3675885,7.4433646,2.5079157,7.9903784,9.839456,6.722833,9.998743,7.7101736,6.13413,9.299429,6.4887047,7.9443,5.030597,8.57051,8.332914,7.065002,7.2407255,6.778157,7.3680863,6.4724936,7.5666566,6.6643085,6.6013923,4.9173026,5.3010736,6.8356266,9.791716,3.7174203,7.965352,3.4619756,9.700217,7.4138346,8.406346,4.6954184,5.648056,4.637968,8.081333,4.9137483,9.636004,5.59173,13.8214245,7.0366554,6.847703,8.893121,9.98599,8.011572,6.4944253,5.338721,5.8776016,6.250358,4.3748126,3.6335452,8.271872,4.1635227,6.2109776,7.180484,6.138959,6.0097127,3.346798,4.981926,5.8840094,6.3844438,9.036,12.70001,7.1446285,6.6961355,7.0057793,3.4964154,8.013842,5.9861627,7.4791274,8.60215,6.7272415,3.9577672,6.8249354,6.36965,11.953896,8.412078,4.9674234,7.482026,7.4362555,6.3494477,13.8372135,11.091294,7.3567386,7.499241,5.097884,7.083587,4.918221,8.505594,7.7572584,7.662482,6.4384475,9.078878,5.126849,7.00556,6.5073915,5.257794,10.019584,5.8982124,3.7489347,9.752259,7.236654,7.7832847,4.957893,5.243542,8.039735,7.8452644,7.475794,8.245929,6.0094604,7.9039326,8.581942,5.5698695,4.8581495,9.703334,6.616015,5.4984827,5.831261,3.5996037,5.9080615,7.1735353,5.3123374,5.481277,8.980239,4.7931504,6.952969,7.6160374,13.844124,5.8183584,5.6909747,4.936415,4.070677,7.427918,4.8617296,4.957893,4.0244813,7.7842493,7.0862846,6.6896896,5.391593,7.8354807,5.5790296,5.6072445,11.274493,5.6317987,6.0060997,6.1208143,5.728809,4.1449947,4.412101,4.6237,5.643435,6.910665,5.455461,5.207246,4.98445,5.7919903,5.754526,7.4000983,7.087867,6.562552,6.7206516,6.2401795,6.0316505,5.9076757,6.5262957,7.210296,7.034369,7.3433723,6.7864513,7.3326716,7.78584,7.6103687,7.999297,6.129043,7.037779,5.6979327,4.6622376,4.9415274,5.2876463,4.123438,7.4574676,7.7433596,8.234679
6.1268907,5.9917717,6.2069945,7.3902135,8.384819,7.2454247,6.1644077,0.0,5.9643917,7.7213464,6.0016346,6.8862844,6.0706744,8.114959,6.343679,7.2466283,5.9211736,7.1816163,8.35556,7.044141,8.905284,7.1742277,6.4816036,9.211363,7.476458,7.8399386,6.6247315,8.30158,6.481058,7.41465,7.2568684,6.269294,7.627888,6.0194883,6.469882,6.7595987,6.1957917,5.7447925,7.0770597,7.386443,9.515272,5.970387,6.4678006,5.745038,8.632242,6.5869412,7.5856175,6.3255396,6.2632866,6.148633,7.8108983,5.759339,8.216703,6.3588195,13.466243,6.27019,7.7963886,8.627571,9.437019,7.456538,7.266534,5.888734,3.6883745,6.001519,5.895328,6.00058,6.396434,6.526024,7.549806,6.9183207,7.031341,6.6777616,6.022328,6.14009,5.9664764,6.098771,7.324438,11.47051,7.0211153,7.745451,7.52653,5.9164114,7.0041537,6.354239,7.464982,8.048766,7.67814,5.75979,7.5812936,7.230845,10.528197,7.5055985,5.9139237,7.653873,7.797386,6.3107166,13.473708,10.209131,6.1465073,7.825384,5.818381,7.152708,6.0875106,8.907118,8.195237,8.338501,4.647424,8.258516,6.225742,6.104768,5.3088403,6.727659,8.598174,5.772703,6.7488503,8.758133,6.507441,8.523649,7.19479,6.280707,6.721065,6.730762,7.007194,6.640988,6.4229574,7.8165793,8.023024,7.109969,5.880447,9.414275,6.581738,6.048561,3.9577618,6.0167885,7.1617584,7.9008136,6.9957514,7.2257767,8.567759,5.3766575,5.270214,7.542198,13.662171,6.945467,7.4528265,6.49827,5.5956244,8.193204,6.899311,7.19479,5.7864585,8.484644,6.9694605,7.0529704,6.130992,8.54872,6.1006823,6.2963133,10.354766,6.382816,6.8115783,6.656824,6.0028567,6.017315,5.9848466,6.173092,6.527013,7.0820317,6.6434364,6.532485,6.624338,6.595068,5.8496675,6.710265,7.9330845,7.3755918,7.197099,7.496747,7.078104,6.892724,7.522958,5.455782,5.792607,5.545002,5.586781,5.560241,6.1713877,6.196489,6.8055396,6.395376,7.6192746,6.2534695,6.0913854,5.91336,6.697937,6.017598,6.9360013,7.6845746,6.7377195
6.701001,6.575945,6.294677,7.282419,8.553948,6.430764,6.8893013,5.9643917,0.0,8.090563,7.218459,6.6324997,6.287711,9.168194,6.679226,7.364573,6.908282,7.676578,8.314445,7.088314,9.637089,8.150331,7.3141727,9.300697,7.465403,8.315611,7.7280746,8.4521,7.7789392,7.135728,6.9256697,7.1499796,7.243141,6.391517,6.429289,6.3554716,6.3330107,6.837026,7.6174426,6.741842,10.107543,7.0213547,7.5175233,6.87129,8.36432,7.493341,8.509956,7.550188,6.448279,6.8649497,8.130117,5.6571765,8.11688,6.5995646,14.280679,7.136483,7.9772167,9.320025,8.435564,7.782552,8.0430355,5.2346654,5.986958,6.1990414,5.8915696,7.1108913,7.229335,7.772648,7.078087,6.4057603,7.728453,6.6609583,7.092729,6.076112,5.7997136,6.736322,8.590327,12.031963,6.8947535,7.8205476,8.353477,7.0189114,7.0339127,6.143682,8.021535,8.323002,8.402275,6.729534,7.903077,7.517799,11.237236,8.307993,7.1918783,8.090346,7.462895,7.250266,14.116472,11.598019,6.173787,8.053699,5.2734227,7.2379875,6.3862143,8.835671,8.677974,9.16272,6.8682017,8.815496,6.300734,6.232295,5.994258,7.212948,8.66513,5.2220154,7.3071895,9.048448,7.9311476,8.690087,7.925773,6.578916,7.8309073,7.6946096,6.860368,7.8545685,7.2193456,7.3216357,8.032099,7.628994,5.454931,9.526186,2.854346,6.299943,6.1388893,7.2446427,7.410353,8.124941,7.455348,7.9026866,8.14083,5.8927903,5.732627,7.4821825,14.278555,7.256802,7.491739,6.376286,5.683183,8.932272,7.828601,7.925773,6.7888002,9.014653,6.1704645,6.349075,6.390556,7.975499,6.6104417,6.935728,11.53376,7.202676,7.609505,7.1733055,5.177729,6.3203588,6.797802,6.747854,6.3090997,6.5375285,6.645529,6.2817645,7.2382565,6.3553896,5.4652677,4.0904174,8.057418,6.417251,6.4868264,6.953908,6.41644,5.813601,7.2518744,6.7984133,6.6817055,6.852845,6.111521,6.787197,7.343412,7.140822,7.2113566,5.6062474,6.781862,5.7688675,6.5700455,6.3705087,7.00691,6.9959316,6.9593797,7.574675,7.3359637
6.712418,6.291204,8.039294,8.320873,9.353604,9.018891,6.69787,7.7213464,8.090563,0.0,7.40274,8.824641,7.456307,8.123692,6.9234037,9.021445,6.8760767,9.447947,10.480993,8.316106,10.678899,8.798366,8.313991,9.303839,8.538655,9.143829,7.968725,9.655147,8.982343,8.458419,8.611308,7.8330097,9.316495,8.22728,9.304433,7.616399,8.450014,6.840027,6.895476,8.948558,10.636908,6.9741626,8.329395,6.9467793,10.436102,8.855242,8.563103,7.691232,8.118231,7.782301,9.41917,7.8184643,10.783608,7.3838396,13.763401,8.733233,9.962194,9.474429,11.139117,8.976057,8.047401,7.5338783,7.5673156,7.0778856,7.0491433,7.4786487,9.172872,7.3446884,8.516036,8.231724,8.326453,8.022213,6.9345393,7.353907,6.8438635,7.965121,8.9641695,11.789527,8.58912,8.301167,7.091829,7.0111485,9.040185,7.5612364,8.282943,9.2176,9.096541,6.0774493,8.931211,7.3377953,11.350356,8.896833,7.4310975,9.089306,8.817139,7.5245447,14.016035,9.949013,8.909563,8.620776,6.8568826,9.129063,6.435674,9.892162,8.941567,9.173815,7.8315325,10.29723,7.7739553,7.86518,7.4704556,7.1627,10.300515,7.56857,6.9822183,10.168449,8.751397,9.165956,6.6662364,7.3441267,8.7750225,8.56202,7.4205103,8.952584,7.945288,9.26366,9.769581,7.1970544,6.580822,10.494596,7.9008393,6.716623,7.714365,7.4082365,8.987146,8.665316,7.5274897,6.912998,9.36696,7.1361895,8.700239,8.766348,14.259883,8.50645,8.091397,7.588534,6.791822,8.889824,7.550176,6.6662364,6.1978083,9.014744,8.699611,7.9301386,7.513601,9.456872,7.7571554,7.8771462,10.763242,7.4675946,7.7056885,7.9163547,7.3536835,7.516074,7.744135,7.7695656,8.180702,8.981075,8.262552,7.5331693,6.3874846,8.111925,7.3139353,8.685476,8.663786,8.299086,8.269229,8.652533,7.755786,7.4203525,7.5991397,8.757301,8.797431,8.903362,8.37194,8.798965,9.184727,9.141334,8.978981,7.345692,8.427444,7.2671885,7.8813925,7.9584928,7.7522836,7.635176,7.917363,8.56412,9.209613
