0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176
0.99999976,0.8091427,0.88415897,0.8501645,0.8760758,0.81154186,0.7342452,0.81023157,0.872773,0.8661761,0.77027845,0.83185947,0.8426249,0.8843615,0.87362856,0.7977251,0.95725423,0.88621634,0.8389468,0.81522,0.5588096,0.86405677,0.5074045,0.50047857,0.87634754,0.8306151,0.9269074,0.76878893,0.79878896,0.95159554,0.9530504,0.8327059,0.89320034,0.8235648,0.7282474,0.81917775,0.5471171,0.7907057,0.81976485,0.8638296,0.784744,0.76050377,0.78564095,0.7964511,0.81654584,0.7668146,0.8961184,0.8154131,0.81067014,0.78646636,0.7803589,0.855314,0.8432192,0.7734823,0.9313781,0.89460087,0.82305163,0.82368416,0.7598917,0.81790584,0.77446294,0.77314234,0.8066467,0.74710387,0.8263883,0.73935056,0.900941,0.85463893,0.7695911,0.75518364,0.8088291,0.93863493,0.7994391,0.7998089,0.88506544,0.8111824,0.5229354,0.80143964,0.80143964,0.79400325,0.8273954,0.83264434,0.792514,0.87516236,0.8572657,0.8788078,0.835521,0.7436763,0.81270343,0.86243033,0.8921971,0.8863748,0.8863748,0.89125943,0.7813829,0.78836346,0.85439366,0.89291126,0.7943385,0.785656,0.86782587,0.8793733,0.8808769,0.7682766,0.90978426,0.78862154,0.71713424,0.89308935,0.7928504,0.7108405,0.7386339,0.78114897,0.5491594,0.7672244,0.9028447,0.90196097,0.6011636,0.5491594,0.8967681,0.73612475,0.822977,0.782985,0.8008401,0.8160465,0.7423341,0.7612012,0.8868177,0.91590244,0.7276215,0.9006509,0.83716416,0.7854811,0.80513924,0.88955396,0.7996361,0.83886325,0.8880918,0.7788357,0.8864552,0.8746288,0.7362796,0.83447784,0.8866387,0.8220329,0.7874227,0.9080087,0.43786007,0.7734806,0.8062415,0.7860676,0.73734665,0.7657137,0.80165994,0.8930782,0.77413887,0.77460885,0.78933084,0.89322245,0.84589064,0.80925614,0.6546508,0.82095397,0.7208599,0.44791186,0.7931373,0.74840105,0.7831176,0.8169558,0.8070901,0.7865725,0.8080177,0.799423,0.86265105,0.8755724,0.8557912,0.825649,0.75593567
0.8091427,1.0,0.8866847,0.9256609,0.8443557,0.92084146,0.8550893,0.9003155,0.9204253,0.88339376,0.9332186,0.94443107,0.83699495,0.9122401,0.88955855,0.92557824,0.8745479,0.91080856,0.88313377,0.92804193,0.532278,0.87742937,0.50146335,0.5038432,0.93318474,0.92590773,0.8675277,0.8472195,0.9141294,0.85949755,0.8608634,0.92399335,0.88514704,0.90804386,0.72335196,0.93027115,0.55121946,0.9310521,0.9246773,0.9416671,0.9015046,0.90664136,0.91874284,0.928858,0.9110106,0.91288674,0.8686746,0.92896867,0.9141463,0.841717,0.8237471,0.88769853,0.9015079,0.9240668,0.88705355,0.84390736,0.91671157,0.9453907,0.9207864,0.9289713,0.893304,0.9188964,0.92257094,0.8973489,0.91730046,0.83694154,0.89894664,0.88821954,0.9507617,0.90742946,0.91780365,0.85421926,0.92053086,0.91743064,0.9228775,0.90904284,0.5241448,0.9381801,0.9381801,0.9176165,0.9379835,0.9323167,0.93180823,0.9171876,0.9321195,0.89739454,0.93906057,0.90620995,0.8980312,0.86088115,0.93702805,0.9022153,0.9022153,0.902025,0.90953916,0.9141551,0.9292196,0.89970714,0.9125789,0.93921363,0.9271698,0.92528427,0.9070521,0.922714,0.91566724,0.9244647,0.89708287,0.9001802,0.9415733,0.89497125,0.87384033,0.92834425,0.47668204,0.91615784,0.8945666,0.9256276,0.63977444,0.47668204,0.8713014,0.7891226,0.94174576,0.92953885,0.9278697,0.92823416,0.89234614,0.92809314,0.8664896,0.8250327,0.8262799,0.81583273,0.92667556,0.90670156,0.95235085,0.89706177,0.9403332,0.93860173,0.90401113,0.9052881,0.83298975,0.90158004,0.90647805,0.9437994,0.8657391,0.9356556,0.92122036,0.87264395,0.54632956,0.9131523,0.94261986,0.866679,0.9031372,0.8369595,0.94034684,0.914805,0.8302769,0.8592079,0.9371712,0.900187,0.93707454,0.94214827,0.8196123,0.93075556,0.8986668,0.54068434,0.919644,0.9182829,0.9263152,0.88502055,0.91781604,0.92166173,0.94577944,0.9173479,0.9372185,0.9237397,0.9339249,0.942719,0.8765431
0.88415897,0.8866847,0.9999999,0.8713599,0.8571807,0.8835229,0.7610343,0.9185865,0.9421593,0.9629829,0.88245416,0.8609596,0.8951416,0.9585108,0.9915541,0.8984232,0.9287229,0.9770601,0.9384643,0.92022455,0.50926435,0.9001993,0.4599895,0.44331285,0.94005287,0.8719355,0.9006119,0.8067298,0.91089594,0.89617586,0.9240794,0.89278257,0.9564372,0.90047127,0.7089762,0.87399316,0.49221718,0.86624944,0.8812869,0.93638307,0.87774396,0.887375,0.895685,0.85733527,0.8683505,0.8216235,0.92992735,0.9101407,0.84647673,0.782586,0.868636,0.9625691,0.8879114,0.8690828,0.91384345,0.8505123,0.90710604,0.92503846,0.88970774,0.9099694,0.8192264,0.83974075,0.8932713,0.8552065,0.92758656,0.8321199,0.9483895,0.9301076,0.8548364,0.8351495,0.86067075,0.94420666,0.89802295,0.90525347,0.9526497,0.90448964,0.5055779,0.8664906,0.8664906,0.8583277,0.89802194,0.91319734,0.8764565,0.92652273,0.9435576,0.96254057,0.9266641,0.8162089,0.8764998,0.90353143,0.9193001,0.9439043,0.9439043,0.95724386,0.8320329,0.8502709,0.92495173,0.96484345,0.8413056,0.8674664,0.93592966,0.9558133,0.9210463,0.86691487,0.95709944,0.8493467,0.82400286,0.9545367,0.8927474,0.8205906,0.77415276,0.84670156,0.47663248,0.87689435,0.95390093,0.92877245,0.569989,0.47663248,0.8818104,0.73264295,0.9020501,0.89457786,0.90348566,0.87206286,0.802029,0.8775238,0.9174416,0.8961208,0.75906575,0.8958749,0.9070946,0.84924793,0.9022049,0.9546807,0.9124658,0.9081534,0.95484185,0.8581348,0.83829373,0.9536192,0.8406399,0.92619944,0.9279145,0.90749115,0.8882535,0.8905047,0.4090125,0.8386659,0.89121526,0.823085,0.8117653,0.79547334,0.8895618,0.9506222,0.7780486,0.83220315,0.87681955,0.96928275,0.9094547,0.89462304,0.7487118,0.8765778,0.8126306,0.42198905,0.87284124,0.84714,0.89082545,0.85089576,0.85287803,0.89796954,0.898359,0.8504205,0.92775047,0.9502382,0.9258337,0.91943985,0.78562677
0.8501645,0.9256609,0.8713599,0.99999994,0.8763001,0.90483403,0.835537,0.8079475,0.88304245,0.865017,0.87900746,0.8971119,0.8617089,0.9225049,0.8700063,0.8600118,0.8993002,0.88326424,0.8394594,0.90091544,0.54299504,0.9150621,0.50972944,0.49409232,0.9222375,0.9275672,0.9059569,0.85673773,0.83076864,0.89768416,0.89474666,0.9172691,0.87416446,0.89715517,0.7404446,0.9253027,0.54663014,0.90336883,0.9175954,0.875907,0.90692127,0.87454253,0.8976002,0.91546893,0.91598535,0.9059895,0.8831989,0.91345716,0.9129031,0.86908686,0.78197455,0.840526,0.9073491,0.88743746,0.89066815,0.8875647,0.92024326,0.9005224,0.8493556,0.9089625,0.90003365,0.87533903,0.90733236,0.860976,0.8381852,0.7527642,0.90559137,0.83893675,0.8831424,0.8981744,0.9074185,0.8694435,0.9003943,0.8734424,0.91688657,0.8967197,0.5364868,0.9221501,0.9221501,0.9115944,0.9209884,0.9047862,0.916434,0.9151036,0.8992679,0.8792993,0.89644563,0.8886105,0.9070468,0.8808228,0.9155823,0.9000666,0.9000666,0.8940213,0.90580326,0.91624,0.90774167,0.8815074,0.9190289,0.90002203,0.9158316,0.91050696,0.91729975,0.9009455,0.90331894,0.90898657,0.85196626,0.8927153,0.8998791,0.8470198,0.8796822,0.9120214,0.4977759,0.8857403,0.91178983,0.9341861,0.6299793,0.4977759,0.8894454,0.8146755,0.9155946,0.8702593,0.9017769,0.89679164,0.8886305,0.8564764,0.8928322,0.86945814,0.8277991,0.8596227,0.9245833,0.9047611,0.90969384,0.90895724,0.90335697,0.92432547,0.8836851,0.8896122,0.8777365,0.8682395,0.8721359,0.92541647,0.8435215,0.91061366,0.89714086,0.89159644,0.5498861,0.9073297,0.9094942,0.9179416,0.8803013,0.88265896,0.9166491,0.91091,0.8530184,0.8717944,0.90177643,0.8844154,0.9207841,0.9162097,0.797824,0.9304336,0.8705195,0.5383704,0.87829924,0.88138294,0.87748784,0.93430364,0.9262316,0.909379,0.9063716,0.92475045,0.9318992,0.88064325,0.92663896,0.92030025,0.889408
0.8760758,0.8443557,0.8571807,0.8763001,0.99999976,0.8453018,0.8508284,0.78052866,0.874449,0.82364154,0.8208026,0.8496035,0.89702046,0.9053205,0.85711443,0.80376726,0.9068505,0.8685747,0.7950077,0.8481833,0.5357191,0.88968074,0.5149131,0.47898623,0.89578575,0.8860376,0.93508095,0.91117215,0.7787155,0.9354488,0.8829124,0.84694403,0.88483423,0.8672974,0.70303893,0.88227946,0.55235386,0.88728213,0.87665796,0.8684964,0.8720567,0.82395995,0.85745645,0.84859973,0.8612021,0.845136,0.8630874,0.8579141,0.88035256,0.90199804,0.8387406,0.82431805,0.90070534,0.84273946,0.9187505,0.9068049,0.84804016,0.86794996,0.7901423,0.8274637,0.88929105,0.8212806,0.8334063,0.82447684,0.79096514,0.6947011,0.88882744,0.8047416,0.8342288,0.8466921,0.85053384,0.86457783,0.8572375,0.8149488,0.88783586,0.8282775,0.54252535,0.88722396,0.88722396,0.8874401,0.8632914,0.86090297,0.8659885,0.9045336,0.88247305,0.8590983,0.84230614,0.8323914,0.8824189,0.90088916,0.89087385,0.89849675,0.89849675,0.8975799,0.893941,0.8948647,0.8608481,0.86561155,0.8870102,0.83364254,0.8541624,0.8958318,0.9163674,0.8388868,0.89255124,0.89340174,0.81653106,0.9092658,0.829518,0.81150967,0.8747651,0.8702313,0.5011157,0.844585,0.8710828,0.9144863,0.6242331,0.5011157,0.9654518,0.90484995,0.84451056,0.83260095,0.8372293,0.8763377,0.83910275,0.7939647,0.91724354,0.87363297,0.8746748,0.883997,0.86894375,0.86065483,0.8638786,0.9000524,0.8330051,0.8524705,0.8612721,0.88182926,0.94081736,0.85796064,0.8199489,0.8670938,0.83608264,0.8920575,0.8584861,0.9570636,0.48814058,0.849975,0.83012503,0.83712137,0.85221595,0.82175124,0.8571633,0.88686097,0.9041681,0.81571335,0.8739416,0.8659141,0.88224095,0.85580194,0.8322556,0.8953028,0.81281185,0.48267436,0.7980803,0.83058697,0.831825,0.862458,0.890913,0.8372705,0.87913966,0.89749223,0.88391894,0.8575013,0.8931123,0.8777945,0.8797875
0.81154186,0.92084146,0.8835229,0.90483403,0.8453018,1.0,0.8640465,0.8548984,0.8948891,0.87840456,0.91949993,0.927758,0.80473566,0.8921993,0.88172996,0.889943,0.8713599,0.89564395,0.86359656,0.93285084,0.52018255,0.8768151,0.47830644,0.46377787,0.9338012,0.9360929,0.8714726,0.84706706,0.885106,0.8622184,0.8561778,0.96190226,0.89430785,0.9595832,0.7480923,0.93594015,0.5248623,0.92490315,0.9512805,0.9119129,0.89502597,0.89627314,0.9082011,0.938768,0.9123442,0.9277302,0.8582809,0.9408441,0.93209374,0.8632438,0.81455064,0.87835634,0.9123915,0.94424623,0.8808121,0.8089508,0.9448629,0.9433081,0.9025713,0.9661869,0.8867508,0.9342352,0.9445274,0.906713,0.8725724,0.792045,0.8923075,0.85984766,0.9309549,0.9256011,0.9218732,0.86470234,0.9427479,0.9274013,0.9310032,0.9540122,0.51282406,0.93347275,0.93347275,0.9187417,0.94476473,0.94380003,0.9370682,0.9131192,0.90639186,0.89722854,0.9340955,0.9282885,0.93906033,0.8226973,0.90086186,0.8751857,0.8751857,0.87768626,0.9032428,0.91018337,0.93219894,0.8846127,0.9189614,0.94354254,0.9342487,0.9136542,0.87872887,0.9104608,0.9000155,0.91458714,0.8988427,0.87160486,0.9481939,0.8952122,0.87945527,0.9295174,0.47387028,0.94034916,0.90529096,0.9134677,0.6152497,0.47387028,0.8769618,0.80092174,0.9512844,0.94269145,0.95713365,0.9152082,0.9112131,0.9338801,0.8464266,0.8035064,0.8422135,0.8111216,0.93437284,0.9409716,0.9492886,0.900648,0.9432738,0.9451427,0.8952527,0.9167284,0.82030195,0.89072657,0.9183481,0.9507781,0.86060286,0.95315117,0.9440447,0.87503123,0.55805445,0.9365444,0.92141,0.88324237,0.91524124,0.8437668,0.94012403,0.93033934,0.833574,0.8954891,0.93550825,0.88534296,0.9334264,0.9375968,0.8301636,0.92547464,0.92235327,0.5433578,0.91663206,0.93206555,0.92065823,0.9045309,0.9316877,0.9397487,0.93853074,0.92753315,0.94079876,0.902689,0.9453533,0.9619993,0.883864
0.7342452,0.8550893,0.7610343,0.835537,0.8508284,0.8640465,0.9999998,0.73109716,0.8111787,0.74472785,0.8507083,0.86410594,0.75475323,0.80658716,0.7654358,0.80150443,0.77953863,0.7867329,0.737483,0.84357774,0.49358347,0.8074218,0.44316968,0.4402536,0.8417304,0.8564432,0.820068,0.8934258,0.74833286,0.7944782,0.7449286,0.8297944,0.7955627,0.87114656,0.69234705,0.8792008,0.50343376,0.90781987,0.8929915,0.81417716,0.8565463,0.8336515,0.85702705,0.899986,0.85788685,0.8986409,0.76523215,0.86527365,0.90063715,0.8795171,0.7806817,0.754099,0.86508745,0.8989623,0.8264208,0.7592139,0.8631732,0.8689902,0.8198284,0.8353071,0.8802433,0.83566666,0.83939564,0.86303866,0.74625695,0.64958984,0.79593277,0.7366605,0.87163955,0.88241595,0.86146176,0.7429798,0.86804307,0.8303817,0.820107,0.82738423,0.4768703,0.89756674,0.89756674,0.8954402,0.8654637,0.8494432,0.8824158,0.8227733,0.83277804,0.77931654,0.8411951,0.88576823,0.8874607,0.7745392,0.8323796,0.81123036,0.81123036,0.80218697,0.901913,0.89799416,0.8465109,0.78291655,0.89688706,0.8797513,0.82195276,0.8315184,0.8232893,0.8683786,0.8102585,0.9050023,0.87669873,0.8028884,0.8578588,0.87509733,0.9130412,0.89973193,0.43023875,0.8813917,0.7773216,0.8492493,0.61276853,0.43023875,0.8415214,0.86512953,0.85457295,0.8617793,0.8478155,0.840855,0.875169,0.82637846,0.7893622,0.72251296,0.8819461,0.74975526,0.8504863,0.8880438,0.88029504,0.80482584,0.854772,0.84714997,0.7845434,0.89844507,0.7878132,0.78878677,0.8749466,0.8608939,0.75179476,0.9005794,0.88547903,0.8308388,0.56183076,0.8948517,0.85702074,0.841798,0.89698625,0.79427785,0.8760722,0.81544495,0.8930199,0.8414052,0.90478635,0.7829895,0.853812,0.86634773,0.8790264,0.89322734,0.90648925,0.53800297,0.8145371,0.88634574,0.8611691,0.8408389,0.89459264,0.8461334,0.89281803,0.9060651,0.8497277,0.7969261,0.8571073,0.878188,0.8937479
0.81023157,0.9003155,0.9185865,0.8079475,0.78052866,0.8548984,0.73109716,0.9999999,0.9122174,0.9046444,0.87571406,0.8782039,0.810839,0.88181746,0.92128956,0.9226676,0.86305517,0.9174384,0.9256519,0.8750605,0.48005202,0.83700407,0.45286548,0.42515904,0.90250975,0.8268833,0.82051617,0.7556592,0.948671,0.8155709,0.85484743,0.85135186,0.90379,0.8581497,0.694195,0.8237869,0.47217035,0.83044195,0.8448503,0.9389445,0.8129552,0.8417105,0.862859,0.8183442,0.8119209,0.7870618,0.85566515,0.85854995,0.8018058,0.717775,0.81859857,0.9416243,0.82642496,0.8458079,0.8572271,0.78026825,0.85578156,0.8969567,0.8842975,0.8757707,0.76509356,0.85143286,0.8519653,0.83334947,0.96473455,0.90004265,0.89133507,0.9313123,0.8787465,0.8078516,0.8131116,0.881051,0.8764683,0.8768823,0.8928363,0.85982215,0.4829424,0.8358776,0.8358776,0.80814576,0.86620474,0.88546723,0.8399297,0.8666295,0.90405107,0.92140317,0.9070114,0.79742783,0.82487065,0.82879585,0.889935,0.8808342,0.8808342,0.89781094,0.7821356,0.7991291,0.90052575,0.91718763,0.7901889,0.8683997,0.89798987,0.90164685,0.85371023,0.83308953,0.9025811,0.8042569,0.81046635,0.8975998,0.8689052,0.80608755,0.7323881,0.81560063,0.45038012,0.8601221,0.8739339,0.86714363,0.5502024,0.45038012,0.8130104,0.6699337,0.87235695,0.8999512,0.883453,0.88321805,0.7966045,0.90920556,0.8438126,0.8107257,0.7048879,0.81232923,0.85841066,0.81522423,0.88571095,0.88322604,0.8808942,0.8735543,0.9140294,0.8215438,0.76079583,0.91870224,0.8180075,0.88866216,0.91631633,0.86594725,0.8650547,0.8229801,0.4086591,0.81672823,0.86883706,0.7695884,0.78879774,0.745391,0.861125,0.89308214,0.72552574,0.8016536,0.83795583,0.92052054,0.88360846,0.86886406,0.7009326,0.8289579,0.79294527,0.42380047,0.89326996,0.81856537,0.8795837,0.7885372,0.80305,0.85148835,0.86160123,0.7980745,0.8906001,0.92605615,0.8673749,0.87196404,0.73553336
0.872773,0.9204253,0.9421593,0.88304245,0.874449,0.8948891,0.8111787,0.9122174,1.0,0.9480319,0.9346529,0.8954528,0.89701223,0.95354843,0.9542341,0.91235197,0.91096884,0.95185524,0.91992766,0.9442251,0.47326016,0.9139621,0.47450122,0.45885798,0.95810235,0.91902786,0.8941075,0.84800863,0.933772,0.8999766,0.8992914,0.93209755,0.9361076,0.89348584,0.7097224,0.8926042,0.50687325,0.91008,0.91136664,0.959924,0.92398095,0.9380001,0.9337274,0.9150845,0.91774344,0.8783369,0.90639126,0.9396728,0.88245964,0.849262,0.8829822,0.9427874,0.9069545,0.91950643,0.9381554,0.8667546,0.9218775,0.94661474,0.9289417,0.9217793,0.8661293,0.89677334,0.92329174,0.90974146,0.9397166,0.8207311,0.96818954,0.9264437,0.89075065,0.8935998,0.91188943,0.8917508,0.9107841,0.9319965,0.93636286,0.91850245,0.4798944,0.9106984,0.9106984,0.9012426,0.9395125,0.940557,0.92467993,0.9346006,0.9736059,0.9505147,0.94326425,0.8796076,0.8777258,0.91143215,0.9385366,0.93827605,0.93827605,0.95053136,0.8783132,0.8867875,0.9282832,0.9429413,0.8748626,0.91052246,0.92815226,0.96680844,0.9392699,0.91714567,0.9525346,0.89438295,0.8960054,0.9549872,0.9345199,0.89330554,0.8323542,0.89241123,0.45322156,0.8967953,0.93857956,0.94859207,0.59985507,0.45322156,0.9024144,0.77833927,0.9330919,0.9254155,0.923773,0.8947756,0.8366632,0.90472424,0.91757774,0.8588959,0.8275774,0.88221014,0.9325608,0.87669146,0.9339728,0.9396925,0.9389411,0.94459856,0.980646,0.89263546,0.8667903,0.98205245,0.8990503,0.94317496,0.91146386,0.9241936,0.90413815,0.9094135,0.47092244,0.8559819,0.9235484,0.84010077,0.8749033,0.82649636,0.9258591,0.9253393,0.81928575,0.85055,0.908544,0.94517314,0.94384825,0.9285712,0.80510616,0.91287917,0.85775733,0.48544562,0.8907118,0.897694,0.9363562,0.86464876,0.88017976,0.9328164,0.9255204,0.88002837,0.9443605,0.9903604,0.9373709,0.9263367,0.83861244
0.8661761,0.88339376,0.9629829,0.865017,0.82364154,0.87840456,0.74472785,0.9046444,0.9480319,0.9999999,0.8945152,0.84958106,0.86696386,0.9315038,0.9680151,0.91271174,0.89872056,0.95696604,0.9510891,0.9156905,0.4852753,0.8835789,0.45075583,0.44221914,0.92720425,0.8612514,0.86474454,0.7721442,0.92108035,0.86961246,0.9026217,0.9002433,0.9321015,0.8792373,0.70226824,0.84924173,0.49002817,0.8410327,0.86437035,0.9284531,0.87416756,0.8986919,0.8861246,0.8696609,0.87185645,0.8163681,0.91208124,0.91491866,0.8313064,0.7653699,0.8585767,0.9557713,0.8698501,0.87292194,0.8994203,0.8215315,0.9174117,0.9111575,0.9048015,0.9185257,0.7893017,0.8483909,0.90822077,0.8462152,0.93982124,0.85185987,0.9400724,0.9432504,0.83390003,0.82401216,0.8661554,0.9112237,0.88066477,0.9237478,0.9220966,0.9195296,0.47781676,0.8449355,0.8449355,0.83404255,0.89899105,0.9165082,0.87853,0.89730453,0.9346766,0.9493863,0.93257356,0.80758494,0.8385422,0.8720961,0.90398,0.91443884,0.91443884,0.929693,0.80365133,0.82150024,0.9182838,0.9365809,0.81381243,0.87265354,0.92611027,0.9427757,0.89182484,0.8676721,0.93540174,0.8242533,0.82086766,0.92616075,0.9078144,0.8181049,0.7462379,0.8263475,0.45748356,0.8565142,0.9413949,0.9103428,0.5509431,0.45748356,0.8503879,0.7031823,0.9047811,0.88445914,0.90354097,0.8418701,0.7829562,0.88539827,0.8868618,0.85974157,0.7364536,0.87618643,0.8925873,0.82588816,0.894652,0.92941153,0.9250841,0.91149116,0.95844185,0.8287356,0.8117285,0.9547445,0.8395363,0.9174727,0.92553556,0.886981,0.8670343,0.86274624,0.40958494,0.81815,0.89846104,0.81647885,0.79542035,0.78466946,0.8809797,0.9167989,0.74491215,0.83032733,0.8526366,0.9433038,0.89480627,0.8849028,0.72659814,0.8556912,0.80314505,0.42468044,0.89251214,0.8446648,0.8891359,0.8454043,0.82436323,0.90588,0.87429833,0.82212514,0.9114623,0.9599053,0.903005,0.8956667,0.7595291
