0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
1.0,0.81703466,0.93306506,0.9329419,0.81837493,0.45566764,0.8124493,0.7762349,0.75617063,0.7917262,0.84887934,0.8555658,0.77715886,0.8026764,0.8502623,0.8907532,0.8744985,0.84485584,0.85567963,0.83005583,0.8032316,0.8764999,0.8721368,0.84216523,0.83328974,0.8684566,0.49398386,0.9007227,0.4889332,0.82594997,0.50870395,0.7978673,0.8434645,0.51576525,0.82637507,0.85318553,0.8764217,0.7836866,0.87304777,0.82531023,0.8129709,0.8977591,0.8168841,0.8069995,0.879022,0.84002775,0.7841023,0.8371138,0.77603966,0.8271391,0.8018872,0.9125168,0.8748872,0.8965409,0.84765625,0.807184,0.7883597,0.85388356,0.8819958,0.88988835,0.3915354,0.801224,0.7978152,0.34846586,0.84275776,0.52291834,0.86400616,0.49824825,0.48898235,0.52291834,0.8002688,0.7588832,0.7528256,0.8440298,0.7485524,0.80349135,0.82049036,0.8032604,0.8315344,0.8133063,0.4841175,0.82486945,0.5061613,0.83825195,0.46652418,0.4194581,0.73864883,0.8472887,0.8743706,0.45615423,0.8494746,0.7960803,0.807288,0.8261636,0.7688507,0.7171672,0.80299693,0.7153084,0.8050381,0.77123183,0.6898304,0.8443376,0.81134695,0.80626416,0.68024504,0.46088985,0.8724835,0.85845786,0.49964634,0.8049483,0.7390645,0.7821738,0.41527277,0.70076466,0.73792344,0.79774666,0.7920413,0.8326014,0.82511383,0.8742826,0.8441229,0.82150745,0.81571627,0.8400365,0.80004436,0.85962343,0.8279491,0.8398445,0.8294577,0.8585353,0.7219828,0.7871923,0.8429159,0.72851604,0.8548883,0.73932016,0.82204473,0.75336885,0.74416834,0.7838875,0.9153562,0.92108166,0.39250386,0.80330276,0.3909548
0.81703466,1.0000002,0.79578245,0.8026265,0.87440205,0.4874094,0.77164745,0.7518357,0.7136098,0.8262178,0.8028253,0.8272213,0.72370934,0.70709556,0.7729921,0.81794494,0.7783196,0.7364041,0.7799984,0.74330986,0.7939098,0.7497999,0.75765276,0.7391692,0.7450074,0.85150516,0.52050287,0.81730926,0.50510603,0.87310654,0.50614107,0.72197473,0.7031765,0.4809827,0.77805567,0.8029336,0.832357,0.7341171,0.7938873,0.8792514,0.7446758,0.8631068,0.8502692,0.70520645,0.8202514,0.7727354,0.7159174,0.730194,0.7191201,0.76342344,0.81193453,0.80127525,0.85528654,0.84427536,0.74261606,0.7514766,0.7753167,0.7666939,0.73722553,0.7663014,0.37633905,0.8656622,0.82661426,0.35215822,0.8704303,0.52485114,0.80078197,0.4981654,0.5036473,0.52485114,0.7139182,0.7261007,0.709052,0.72837543,0.713635,0.69874334,0.68467474,0.7085784,0.7025908,0.6783079,0.47245857,0.74964046,0.49460483,0.8422031,0.44058177,0.40660816,0.7524183,0.720172,0.7278846,0.44469398,0.8036035,0.7594355,0.77654535,0.75431657,0.74865645,0.65689826,0.76127553,0.61292744,0.71134794,0.66284525,0.6287356,0.74683774,0.7476331,0.7430923,0.6210845,0.48645002,0.7952779,0.7914503,0.4772263,0.8441708,0.7097742,0.75356704,0.39475805,0.6691099,0.7041956,0.7589788,0.70666146,0.8782788,0.7915378,0.8172525,0.7845458,0.81197965,0.8016166,0.77454305,0.7576388,0.7493371,0.74569803,0.7479298,0.7171155,0.7623638,0.7381853,0.80717456,0.8029138,0.71668935,0.73001516,0.6795338,0.73793954,0.7597571,0.7327769,0.7607963,0.7719967,0.8393593,0.43171993,0.7535578,0.42566535
0.93306506,0.79578245,1.0000002,0.96391666,0.79404545,0.40105018,0.77941936,0.7557578,0.75016254,0.75716496,0.80512136,0.82119673,0.7419407,0.7531557,0.8131622,0.8901979,0.84393054,0.82007784,0.8948859,0.8703683,0.77072024,0.8371144,0.8084996,0.81602764,0.8293546,0.80120385,0.43228406,0.8222568,0.43323734,0.7801814,0.45058748,0.78040296,0.8632884,0.4778325,0.8573016,0.8426348,0.82124084,0.7508677,0.8331192,0.80359036,0.79733753,0.8548647,0.8169735,0.77440256,0.8570705,0.8370105,0.77071524,0.81126475,0.75186193,0.79122406,0.7750407,0.89982176,0.87937236,0.87458736,0.83429396,0.7632351,0.7783631,0.8213831,0.85491425,0.8443801,0.37808847,0.8102136,0.80775374,0.32858455,0.847198,0.45576784,0.85788697,0.4556131,0.41595435,0.45576784,0.78920406,0.72450835,0.7332094,0.8113531,0.7196963,0.82502854,0.84859186,0.8002172,0.8419033,0.83592576,0.42354128,0.82013184,0.47888172,0.84942424,0.41964215,0.36681142,0.7067007,0.84660506,0.8689375,0.3768223,0.8382301,0.7789937,0.80892056,0.8004236,0.7856976,0.6386579,0.7502882,0.72639465,0.7774925,0.730772,0.6048774,0.830498,0.81046724,0.7969627,0.60149723,0.44823703,0.9318025,0.923646,0.47716892,0.8059368,0.73179996,0.74680305,0.37733,0.7562625,0.7359887,0.75685465,0.75156844,0.8075604,0.79529035,0.84668773,0.8214767,0.8116081,0.81728005,0.84873426,0.76531243,0.89364517,0.81311876,0.8281491,0.8379655,0.8341757,0.6982809,0.7388731,0.8140865,0.7048788,0.79868144,0.72436666,0.8124528,0.76518667,0.7293784,0.78832513,0.90551203,0.8958672,0.35255694,0.7787198,0.37512732
0.9329419,0.8026265,0.96391666,0.99999976,0.78300333,0.43336818,0.7875563,0.7606603,0.7486328,0.7586489,0.8345442,0.8461247,0.7513373,0.77291024,0.8370029,0.8806805,0.847691,0.8260931,0.8667398,0.83947563,0.78061765,0.8660536,0.83795714,0.8363144,0.8247252,0.8095408,0.45774367,0.8481737,0.45429772,0.7746625,0.4718326,0.7811506,0.86666274,0.48054272,0.84608746,0.8463652,0.8325869,0.7628544,0.8428438,0.8047471,0.80835193,0.86356807,0.79766065,0.7823509,0.8501713,0.83308774,0.7719256,0.81709236,0.75934654,0.7905068,0.7700846,0.89601314,0.8658823,0.8670702,0.8225511,0.77685183,0.7649538,0.8214869,0.87291414,0.88117677,0.37796158,0.79176885,0.7927685,0.34259477,0.8356848,0.49490547,0.8612263,0.4831154,0.44745588,0.49490547,0.7838576,0.7392273,0.73186684,0.83324814,0.7257875,0.8035402,0.83228886,0.79892737,0.83601326,0.8180484,0.44847667,0.81605285,0.48266143,0.8304185,0.42778152,0.3695985,0.7004512,0.831864,0.8797091,0.38854462,0.8472069,0.78750855,0.8045217,0.80474174,0.7730738,0.6593975,0.776461,0.7201568,0.78871167,0.7475337,0.62570316,0.8271197,0.7928182,0.78273034,0.6208844,0.47521615,0.90728784,0.89570415,0.49127987,0.79372054,0.71718246,0.7377074,0.38547826,0.7130647,0.7245682,0.76637805,0.7576311,0.80959797,0.799513,0.8613703,0.82472336,0.8116193,0.8119125,0.8489702,0.77049655,0.8906064,0.8143297,0.8261573,0.8296493,0.8442968,0.6895877,0.750059,0.80905765,0.69232243,0.82135516,0.71788305,0.79882145,0.7456536,0.7205137,0.77683425,0.9381535,0.9130715,0.36643115,0.7831912,0.3761214
0.81837493,0.87440205,0.79404545,0.78300333,0.9999999,0.51442873,0.77184683,0.7701298,0.73604494,0.8683784,0.79930305,0.8160051,0.71832347,0.679346,0.76085097,0.81345475,0.7875057,0.7513352,0.8176842,0.7851603,0.8102571,0.7357031,0.7607193,0.7367995,0.7658545,0.887167,0.49831745,0.79285336,0.48597872,0.90743965,0.51394904,0.729972,0.7213716,0.47069144,0.8097111,0.8050432,0.8065913,0.7317218,0.77347124,0.89027697,0.74740225,0.88244665,0.9145065,0.70643437,0.81694585,0.7729299,0.7318119,0.749452,0.7461091,0.7833787,0.8233809,0.81314653,0.85753846,0.8480738,0.76005757,0.74038464,0.7987365,0.7712767,0.7193342,0.7553005,0.39169732,0.90575564,0.8745699,0.32549116,0.89441663,0.5177843,0.80999017,0.4788276,0.4990388,0.5177843,0.7289579,0.72679955,0.71497554,0.7456435,0.7222579,0.73569936,0.7299181,0.74711025,0.72616184,0.71422124,0.4922908,0.76318,0.504035,0.88006675,0.48439798,0.4203118,0.7777473,0.73374516,0.7311757,0.4562407,0.82284963,0.77217734,0.7903341,0.75847006,0.76426554,0.65084535,0.7428769,0.6352313,0.7139684,0.6611134,0.62708026,0.7867135,0.786571,0.78466874,0.6238881,0.48817676,0.8199235,0.82467306,0.4764111,0.9065261,0.7168808,0.7623075,0.42929,0.6969648,0.7360969,0.7629332,0.6943933,0.89132416,0.80027217,0.81240344,0.8164025,0.85053784,0.81756246,0.7872181,0.77163386,0.7621369,0.74689126,0.75409245,0.7133265,0.76213783,0.75943434,0.79165995,0.79545444,0.7304375,0.7325423,0.70886075,0.76246923,0.8068314,0.75990975,0.8007717,0.7448325,0.8244436,0.42340034,0.7651261,0.4207512
0.45566764,0.4874094,0.40105018,0.43336818,0.51442873,0.99999994,0.50785464,0.5078396,0.46971774,0.5595108,0.5206875,0.51963663,0.4594875,0.4931253,0.5066527,0.50887495,0.47847557,0.46434167,0.4383964,0.41002923,0.47874716,0.49458075,0.49136132,0.47020054,0.4347868,0.49187136,0.66449094,0.50303435,0.61734784,0.50082105,0.6703328,0.44891983,0.43854985,0.5789602,0.48751226,0.4897972,0.5222233,0.4482611,0.49157658,0.528078,0.48013306,0.52514017,0.4966388,0.4641585,0.50124764,0.43123144,0.44264364,0.4639423,0.4572253,0.47577742,0.46421215,0.47371602,0.45684254,0.46948352,0.45392597,0.46498647,0.4290275,0.48164555,0.46345952,0.49719653,0.49754995,0.46108037,0.4424361,0.4730476,0.45783687,0.633013,0.46314,0.6326045,0.62883574,0.633013,0.43328857,0.48490542,0.4291426,0.49680102,0.43956485,0.40630472,0.39902836,0.44037488,0.4285085,0.41132393,0.6907756,0.4517345,0.57603395,0.46635568,0.5443306,0.6017236,0.4715289,0.42249727,0.46166638,0.6353535,0.49284947,0.4473088,0.4675183,0.43287086,0.43100768,0.4500865,0.47651464,0.37899613,0.42789587,0.4269102,0.4541896,0.48403278,0.43941647,0.44682297,0.42380244,0.6530692,0.4153161,0.400368,0.62727624,0.44127685,0.4060012,0.453541,0.53550565,0.3180674,0.41975462,0.45946556,0.47218734,0.49426883,0.5081691,0.48922879,0.46446005,0.49755692,0.4722386,0.48086253,0.5175762,0.4440482,0.44256967,0.43630397,0.4266335,0.47339916,0.44261432,0.5011482,0.49112794,0.44525346,0.4863904,0.44318983,0.44591862,0.45659453,0.4860316,0.48635218,0.4452673,0.48451886,0.6895562,0.44347134,0.59903365
0.8124493,0.77164745,0.77941936,0.7875563,0.77184683,0.50785464,1.0,0.95435977,0.93606174,0.91364247,0.8800939,0.8751265,0.89063764,0.8122704,0.8571632,0.8218921,0.89188737,0.9107836,0.87430054,0.872062,0.8947475,0.8666034,0.89149785,0.8846282,0.90388685,0.78557605,0.5045924,0.84797096,0.49699172,0.7804892,0.5499888,0.92316496,0.85781807,0.6287075,0.8137847,0.9302103,0.8498552,0.8916962,0.8577965,0.87305313,0.91472566,0.84281945,0.8370986,0.8975849,0.8496851,0.90851796,0.909018,0.92484206,0.889959,0.9152752,0.9137951,0.8608086,0.80356747,0.8235998,0.91072094,0.9140988,0.8646724,0.8852185,0.77015793,0.8267408,0.55926657,0.83833295,0.8614116,0.43938386,0.85039526,0.5561943,0.90642256,0.5351809,0.51473224,0.5561943,0.90939337,0.89396745,0.91185457,0.89577484,0.8979815,0.8741567,0.8819959,0.9147614,0.8625031,0.8832034,0.5635684,0.93716943,0.6641052,0.8801889,0.62343144,0.6095726,0.90465975,0.8735915,0.8403361,0.4785194,0.8774174,0.8881422,0.89949554,0.89133847,0.8920276,0.78620666,0.9030392,0.8700315,0.88268644,0.86775213,0.7446087,0.91411376,0.91064715,0.9147382,0.7606026,0.4624058,0.81757444,0.82343787,0.6070788,0.7352402,0.89347434,0.8947398,0.5803203,0.8338103,0.91543114,0.92437565,0.9074081,0.7879147,0.9163481,0.90259415,0.8735648,0.8866892,0.9030614,0.9078295,0.9538432,0.8675657,0.89935786,0.88241404,0.88085157,0.90787125,0.8832254,0.90300184,0.8934698,0.8701513,0.89227194,0.88490015,0.9139445,0.88063025,0.8773261,0.8996215,0.7884351,0.79355055,0.38442373,0.8898916,0.3850512
0.7762349,0.7518357,0.7557578,0.7606603,0.7701298,0.5078396,0.95435977,1.0000002,0.93160176,0.9143449,0.84208715,0.84608114,0.8626236,0.7593931,0.81542665,0.80725193,0.8676651,0.886099,0.85396683,0.85236835,0.88376844,0.83196247,0.8522425,0.8430989,0.8895625,0.76142704,0.48863617,0.81213677,0.47379112,0.7665584,0.51428264,0.904204,0.8315457,0.5890471,0.78583413,0.90899944,0.80987453,0.86564016,0.8188642,0.86576724,0.88114476,0.8158571,0.8278062,0.87257695,0.8172635,0.8896905,0.8829283,0.89396304,0.8758749,0.8885106,0.90130955,0.8228238,0.77371496,0.79108125,0.8973181,0.87564445,0.85014606,0.86361504,0.72630453,0.77875954,0.54265296,0.83576584,0.85446554,0.41907504,0.8356524,0.50564975,0.87349963,0.4928095,0.4719115,0.50564975,0.8884666,0.8730359,0.8854848,0.8555888,0.87575716,0.8406509,0.8481704,0.88577646,0.81993175,0.8593023,0.554227,0.9404683,0.6522903,0.8769643,0.61813325,0.5805356,0.91151625,0.84310365,0.8086977,0.45811212,0.8456837,0.836242,0.86435866,0.84896004,0.859051,0.76093024,0.88959146,0.86585045,0.8381732,0.84899056,0.7093327,0.9077455,0.90706444,0.91187507,0.7225563,0.46325812,0.80296934,0.811621,0.6001506,0.7278911,0.90206754,0.8979665,0.5901644,0.858337,0.9292203,0.88746995,0.8892733,0.76820266,0.9018395,0.8682647,0.8731811,0.87188005,0.8992816,0.9104357,0.9501601,0.8631651,0.8919902,0.8703269,0.87093717,0.88465047,0.8986539,0.8938545,0.88319236,0.89830375,0.87691545,0.88462186,0.9061974,0.89393663,0.89869606,0.9045731,0.7441528,0.75744164,0.38159615,0.8948205,0.3866198
0.75617063,0.7136098,0.75016254,0.7486328,0.73604494,0.46971774,0.93606174,0.93160176,1.0000001,0.89034617,0.8321161,0.8357769,0.89384174,0.755229,0.7946753,0.78697515,0.86556774,0.89286435,0.8651419,0.86801684,0.8702587,0.8225757,0.8241613,0.8433106,0.902474,0.716019,0.45044687,0.7846166,0.44151524,0.7200433,0.49263898,0.9297991,0.8308338,0.60274583,0.7782599,0.9133638,0.7903675,0.87190413,0.80223125,0.8418782,0.8856662,0.79017913,0.8069424,0.8878665,0.79273856,0.91457427,0.91674054,0.9138578,0.8789425,0.9134239,0.9202301,0.8034136,0.76434755,0.7854893,0.91053116,0.8883711,0.85214245,0.8627496,0.707103,0.76515484,0.5452572,0.8213428,0.8510125,0.40486202,0.8287089,0.47809938,0.8739754,0.47327673,0.44734776,0.47809938,0.8877777,0.878371,0.9145938,0.85833937,0.9044568,0.8562775,0.8589139,0.88994277,0.82678723,0.8790654,0.55531126,0.9287422,0.6717645,0.8687945,0.6384256,0.5993135,0.9309718,0.8503375,0.8003397,0.424232,0.8543954,0.8682637,0.89087546,0.86757654,0.90591925,0.7504519,0.8555473,0.9041828,0.8518573,0.8633394,0.7153609,0.89779,0.90822744,0.91218174,0.73031414,0.44322208,0.7980596,0.8071682,0.6153649,0.70917785,0.93157464,0.8964907,0.5992224,0.8850262,0.9399023,0.9072013,0.91238594,0.7476428,0.91747975,0.85617286,0.8747796,0.8826376,0.90565044,0.90398955,0.9193703,0.8581647,0.90784085,0.9021834,0.8896295,0.870561,0.90119135,0.8943022,0.89157635,0.90429527,0.87803614,0.90125364,0.92958075,0.91866803,0.9101888,0.92513204,0.72048885,0.7318336,0.32746068,0.8969322,0.3225463
0.7917262,0.8262178,0.75716496,0.7586489,0.8683784,0.5595108,0.91364247,0.9143449,0.89034617,1.0,0.8613397,0.868844,0.83703583,0.7599321,0.81594306,0.8345658,0.8477854,0.84625953,0.8426608,0.81904423,0.8833531,0.80520743,0.826246,0.81046414,0.84590226,0.83297956,0.5202892,0.8131574,0.512903,0.84798753,0.52764904,0.8473582,0.781945,0.5876795,0.80507237,0.88461155,0.8537251,0.8512325,0.8303007,0.91832024,0.85569316,0.867381,0.88921106,0.82963294,0.8305855,0.8549805,0.8439648,0.85299134,0.85806763,0.8700043,0.89305806,0.8265044,0.82492644,0.83023053,0.8522129,0.83427334,0.8650967,0.8507997,0.72002697,0.7778543,0.5205275,0.89900833,0.88846046,0.4287824,0.8916056,0.53000313,0.8567187,0.5134729,0.50115925,0.53000313,0.82812476,0.83861977,0.8348818,0.8098646,0.83771914,0.8087833,0.7986894,0.8384652,0.7911503,0.806054,0.53921694,0.87639236,0.6070845,0.8892249,0.57129055,0.53171253,0.8839811,0.80125815,0.77410024,0.47713938,0.8602029,0.83282876,0.8709866,0.83015484,0.84451795,0.7485359,0.84438956,0.7782496,0.8020576,0.7902219,0.71532595,0.8707075,0.8674472,0.8720297,0.71904814,0.49637955,0.7978493,0.8068333,0.5692546,0.81816757,0.83927447,0.8722877,0.53970045,0.78063315,0.8678299,0.8598374,0.8418173,0.84834003,0.88837415,0.8634969,0.8703604,0.90656966,0.89192146,0.8694409,0.9191346,0.81702685,0.84288347,0.83421004,0.80547655,0.84053826,0.8861229,0.893546,0.8731851,0.8678082,0.82654905,0.8388704,0.8578341,0.8964777,0.88511586,0.8927159,0.7291615,0.7844037,0.40384635,0.8534447,0.40392038
