0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.0,18.245068,20.484926,21.991783,19.848276,18.137203,20.291119,17.08755,19.236557,21.979483,11.918001,18.824484,18.552324,18.618418,10.851125,19.56711,20.151438,20.881071,20.882355,17.924265,19.630697,19.501522,19.318785,19.681376,18.058323,18.904036,11.590801,19.432997,19.380543,19.765327,16.379023,7.030538,19.49331
18.245068,0.0,11.5777645,20.704365,22.36306,20.969873,22.754694,13.381171,20.284369,21.27041,19.219904,13.825097,20.929384,20.192413,18.189413,21.964579,21.395449,18.425838,21.114029,19.954748,20.983637,21.76673,20.64019,20.41875,22.03201,20.681509,17.56535,21.620348,21.551394,21.075043,20.337465,17.31678,20.30677
20.484926,11.5777645,0.0,21.496307,23.50503,22.063444,23.908031,17.05032,21.655827,22.057343,21.756765,10.411698,22.388645,21.638157,19.056225,22.868328,22.470457,18.841593,22.173695,20.963877,22.120003,23.250196,21.681528,21.473331,23.527462,21.947277,19.160395,22.711031,22.853773,22.178871,21.602095,19.142519,21.145914
21.991783,20.704365,21.496307,0.0,11.897976,12.263585,12.043283,18.904987,8.824856,9.578511,22.041538,20.893353,10.098382,11.97677,20.818245,11.888213,10.378519,11.556147,9.295438,11.296582,10.313437,11.711549,11.730891,10.739873,13.298252,10.805381,21.716854,10.669917,10.833067,10.466091,13.304168,21.344336,10.9703665
19.848276,22.36306,23.50503,11.897976,0.0,10.087998,4.1381545,20.59855,9.261685,9.642252,20.239138,23.108326,8.663116,10.943081,20.686798,9.368463,6.746487,15.141141,9.995293,10.117719,6.373233,8.953494,10.785521,10.510747,10.257237,8.257281,20.579517,6.314231,6.9238524,6.892318,11.6202545,20.432058,10.164728
18.137203,20.969873,22.063444,12.263585,10.087998,0.0,10.343707,19.493237,10.238211,11.495829,19.03372,21.160513,9.584378,11.299444,18.827023,7.3720655,9.717881,13.203631,9.958682,6.1374516,9.097685,9.672246,7.764088,8.193284,9.098817,8.380421,19.216759,8.808461,9.020384,9.264793,9.24325,18.544176,7.848145
20.291119,22.754694,23.908031,12.043283,4.1381545,10.343707,0.0,20.850042,10.062464,9.140014,20.562342,23.42873,9.345274,11.883033,20.848377,8.919378,6.504068,15.441441,9.505508,10.71387,6.801945,8.837537,11.278922,10.730202,10.950857,8.628525,20.985012,5.6069903,6.5014734,7.045985,12.245843,20.644068,10.526781
17.08755,13.381171,17.05032,18.904987,20.59855,19.493237,20.850042,0.0,18.69447,18.99406,19.68884,16.163322,19.546103,19.33198,17.63131,20.491083,19.548283,17.801464,19.208773,18.492687,19.17382,20.393332,19.020407,18.964582,20.741798,19.210485,16.71298,19.673843,19.589178,19.378582,19.272556,16.210257,18.386326
19.236557,20.284369,21.655827,8.824856,9.261685,10.238211,10.062464,18.69447,0.0,11.099269,19.793621,21.080523,7.3023853,6.899824,19.444712,10.922995,10.300569,12.6628065,10.588401,9.289909,9.796468,11.072447,10.165905,9.951961,10.059126,10.124283,19.772223,9.824196,9.891468,10.0985365,9.793392,19.29919,10.182414
21.979483,21.27041,22.057343,9.578511,9.642252,11.495829,9.140014,18.99406,11.099269,0.0,22.340408,21.392372,11.444688,13.827525,20.96718,9.907155,6.946498,13.077732,7.35849,10.968104,7.120524,10.420353,10.990283,9.263973,13.475331,8.27599,21.403587,7.569587,7.405469,7.443723,14.196089,21.2139,9.171431
