0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.99999994,0.7124081,0.51709294,0.5594276,0.85595703,0.5612402,0.8964057,0.47989914,0.47220668,0.5091282,0.85939205,0.8084975,0.5397994,0.8623604,0.5630891,0.47161034,0.592831,0.53879666,0.51891184,0.9065351,0.61170334,0.7688599,0.5830865,0.5556246,0.60231596,0.89230084,0.53038853,0.5191466,0.5859524,0.57095104,0.840353,0.48784703,0.4921472,0.8491283,0.56166077,0.58467376,0.5978042,0.5082748,0.53131163,0.8449795,0.5898018,0.55891466,0.5533755,0.5889478,0.7893982,0.5706261,0.5996829,0.52458596,0.5508841,0.5533755,0.7977283,0.564558,0.54220843,0.7277514,0.8711489,0.5898018,0.5341381,0.5723827,0.5919446,0.50664747,0.57175386,0.5212431,0.8395201,0.5212915,0.8576485,0.8369162
0.7124081,1.0000001,0.5534885,0.6010486,0.64998084,0.57242364,0.67275965,0.5570274,0.5460725,0.61151034,0.76617444,0.7101436,0.54189837,0.6336833,0.56424046,0.48274752,0.6092574,0.59653425,0.5203192,0.6571791,0.6809754,0.79437315,0.615422,0.58553344,0.5784035,0.66911054,0.5673531,0.5423883,0.5714963,0.5346584,0.8009534,0.5450803,0.48870552,0.75147676,0.6118851,0.59602654,0.5793131,0.5915966,0.5985992,0.67480904,0.5717569,0.56226367,0.530649,0.5664365,0.7399492,0.6066904,0.5826848,0.5579965,0.6001026,0.530649,0.8053246,0.5574078,0.5719045,0.67698324,0.76386386,0.5717569,0.5713934,0.5671508,0.5689484,0.5260755,0.62244594,0.5398249,0.7605742,0.56868947,0.6332719,0.74473643
0.51709294,0.5534885,1.0000001,0.66497856,0.41044372,0.9070196,0.47500014,0.87953645,0.88481927,0.8449489,0.47055206,0.4611825,0.86552644,0.4685918,0.9047934,0.8070831,0.8723222,0.88445354,0.8728516,0.460398,0.47748208,0.53995854,0.87974083,0.95057166,0.9104308,0.45790577,0.8150913,0.90439284,0.9226568,0.831085,0.56860757,0.90695125,0.8220091,0.46773618,0.9198346,0.95218974,0.82548296,0.9000023,0.9102437,0.41903043,0.8568034,0.8688487,0.850822,0.9188456,0.47878337,0.8761651,0.9315507,0.8450822,0.9337338,0.850822,0.5911976,0.88472867,0.9325987,0.6524195,0.5496989,0.8568034,0.9463619,0.88162583,0.860064,0.9562939,0.9059526,0.9424411,0.558845,0.89486617,0.4511332,0.4852714
0.5594276,0.6010486,0.66497856,1.0,0.49153486,0.6370521,0.5209036,0.6003431,0.6830946,0.6888014,0.56061316,0.5370704,0.7728224,0.49763942,0.7362537,0.5911382,0.7135001,0.66648644,0.687402,0.5385374,0.5592804,0.5753982,0.7207173,0.7039802,0.702334,0.51654637,0.6836563,0.6148983,0.7090354,0.75329936,0.6340691,0.671239,0.6139417,0.55407107,0.69640434,0.7102339,0.6807196,0.6706331,0.67388237,0.50303847,0.75076604,0.74225473,0.7466103,0.7012637,0.56271434,0.7132671,0.7166756,0.7984992,0.71413076,0.7466103,0.62926793,0.72701085,0.732232,0.725564,0.5833435,0.75076604,0.6772736,0.74831,0.752983,0.65512073,0.6645162,0.6596588,0.61132246,0.63667685,0.4975585,0.55448306
0.85595703,0.64998084,0.41044372,0.49153486,0.9999997,0.48725092,0.84643316,0.3995231,0.36680982,0.41893592,0.8206887,0.8055852,0.4491967,0.87802255,0.46073356,0.3859256,0.5049666,0.43687293,0.43093243,0.85792243,0.56076694,0.7554153,0.49315026,0.45046872,0.5005244,0.87186027,0.4386361,0.42573053,0.48311707,0.46998224,0.7783632,0.38627756,0.4138132,0.8007705,0.45366114,0.4808479,0.50710356,0.4180655,0.4350621,0.84216714,0.48480654,0.4600437,0.45273414,0.48767054,0.7774559,0.471834,0.49098688,0.4297461,0.45553333,0.45273414,0.68947166,0.46217123,0.43220997,0.68695426,0.7354688,0.48480654,0.4340046,0.46777755,0.48408535,0.40525252,0.49009347,0.41905135,0.79042876,0.43468562,0.8639852,0.8174588
0.5612402,0.57242364,0.9070196,0.6370521,0.48725092,1.0,0.5055466,0.86157405,0.80571204,0.80869365,0.51796794,0.5291335,0.84368545,0.51831007,0.90231526,0.85602003,0.88576245,0.86549866,0.8764127,0.49196088,0.5093571,0.584298,0.8755993,0.9142335,0.9191667,0.5022108,0.82707727,0.9287624,0.9167924,0.8093007,0.60176206,0.85517097,0.86459374,0.51040524,0.86215293,0.9037411,0.8330508,0.84596384,0.8606013,0.47867814,0.8437557,0.8588642,0.8385947,0.9194186,0.53082967,0.8963596,0.9296206,0.79604185,0.92548805,0.8385947,0.60748166,0.8788315,0.89721656,0.6773877,0.5525855,0.8437557,0.9289593,0.8634725,0.846627,0.89892125,0.9035846,0.92543554,0.60755724,0.92038566,0.50528455,0.54283303
0.8964057,0.67275965,0.47500014,0.5209036,0.84643316,0.5055466,1.0,0.4540723,0.43428034,0.46811575,0.84354746,0.7832208,0.48714226,0.8504422,0.5018098,0.40792242,0.5248054,0.4898077,0.45139095,0.9140764,0.54742074,0.732528,0.51387346,0.5061049,0.5286256,0.8490622,0.45646635,0.4716635,0.5172047,0.49587205,0.822672,0.44334936,0.41736108,0.8175876,0.5149658,0.53246593,0.5197817,0.46958902,0.47916728,0.8424039,0.51527697,0.48323196,0.47299945,0.5188598,0.7771292,0.49383384,0.53527534,0.4913753,0.5064319,0.47299945,0.74332327,0.48563242,0.49203485,0.6882845,0.82068497,0.51527697,0.48224068,0.49736053,0.51614356,0.45220438,0.5318629,0.47000247,0.82488585,0.47740084,0.83968663,0.76734865
0.47989914,0.5570274,0.87953645,0.6003431,0.3995231,0.86157405,0.4540723,1.0000002,0.8686,0.85831416,0.43168014,0.41699442,0.75625765,0.47181565,0.8101634,0.7741224,0.77526176,0.91977584,0.78257453,0.4306369,0.40828246,0.5166435,0.78159976,0.8945685,0.7986583,0.41238165,0.72538906,0.8830223,0.8111447,0.7090391,0.5274453,0.9053074,0.7666708,0.41855857,0.9004315,0.8456526,0.697221,0.9114472,0.90098786,0.38891813,0.75219834,0.762344,0.732901,0.8073401,0.45722586,0.82606834,0.8269844,0.7989444,0.89275444,0.732901,0.6001868,0.7901981,0.87272114,0.61082375,0.5557313,0.75219834,0.9190427,0.7889272,0.75699055,0.84329724,0.9358455,0.9001312,0.52027696,0.9304677,0.44018295,0.42915142
0.47220668,0.5460725,0.88481927,0.6830946,0.36680982,0.80571204,0.43428034,0.8686,1.0,0.8818865,0.4237546,0.42940575,0.81919086,0.43071288,0.8482007,0.7791292,0.80594325,0.90796363,0.82860535,0.41644862,0.47105977,0.5099143,0.8237464,0.89448655,0.81346184,0.39389303,0.7710737,0.8220928,0.834604,0.7840419,0.528882,0.958983,0.78266096,0.41345543,0.8891895,0.86034006,0.7319747,0.9231887,0.90736073,0.37928665,0.81056535,0.8350458,0.81313,0.8246399,0.45700604,0.8458899,0.84637964,0.8527782,0.88247526,0.81313,0.5914118,0.8510736,0.89397734,0.6315563,0.5526718,0.81056535,0.9032601,0.8565445,0.81857425,0.88619334,0.87475854,0.902742,0.5158636,0.8629366,0.40923616,0.41417181
0.5091282,0.61151034,0.8449489,0.6888014,0.41893592,0.80869365,0.46811575,0.85831416,0.8818865,1.0000002,0.4677949,0.48174834,0.77800226,0.48309392,0.8112438,0.7309315,0.8441373,0.91301954,0.8046004,0.45669347,0.49231106,0.6179836,0.84814125,0.8924023,0.81433046,0.44112203,0.78830874,0.7820622,0.8239278,0.79765296,0.5752778,0.86707425,0.7437955,0.4559996,0.90578824,0.8650732,0.74219817,0.9315017,0.9413232,0.42254752,0.8370987,0.83375746,0.8158655,0.8135547,0.5098465,0.85702324,0.82838416,0.82158375,0.889893,0.8158655,0.6419307,0.83114624,0.87419873,0.66186225,0.59455705,0.8370987,0.8658965,0.8381421,0.8340882,0.8019774,0.9071373,0.8380573,0.56440365,0.8341792,0.46450648,0.46975467
