0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0.0,8.923537,6.3484306,2.6189184,19.601921,6.528653,8.003239,10.144299,17.410381,8.438514,5.1152387,20.155647,7.799111,6.507289,4.7500267,8.438514,6.6404886,8.438514,16.41698,5.396625,16.41698,4.9011054,20.131098,10.049814,11.990413,8.438514,2.151405,8.471171,22.207663,18.076952,8.233212,4.8814173,15.607552,6.5562024,18.32333,10.945877,14.823484,20.870197,8.438514,8.258273,22.36738,8.0870285,10.052285,7.9010787,9.1067,16.775074,10.984622,19.55975,6.1113105,6.8899827,7.3320236,10.76934,6.3691916,2.2177517,8.312364,9.717289,4.577772,7.5994344,6.418424,8.2823305,7.4635305,8.410442,5.0030313,4.7482834,7.4214325,9.760247,10.739064,2.4493358,4.9011054,20.870197,22.040648,10.162506,4.612423,11.072881,7.799111,8.412468,11.072881,19.55975,6.224507,4.2643924,20.870197,5.718889
8.923537,0.0,8.767858,9.094347,20.743494,9.301393,7.7485332,6.6722593,17.267164,4.909723,8.751197,20.516693,5.192218,7.300867,8.17865,4.909723,8.055983,4.909723,17.336716,10.244472,17.336716,9.735264,21.110811,11.530391,13.921377,4.909723,9.206516,4.897598,22.523693,18.727268,8.382138,7.4999824,17.303715,8.039305,18.988447,10.194681,16.01647,21.333738,4.909723,9.8797,22.909084,5.7208886,12.074334,5.4041624,5.531855,17.755442,10.450211,20.399708,8.371349,7.583962,6.6897025,12.158343,7.901156,9.428485,6.0643992,5.960434,7.901965,5.0893836,7.9003677,4.584595,7.5691304,10.004952,7.6821375,7.6448774,9.372219,9.692743,12.224684,9.792992,9.735264,21.333738,22.463108,10.071956,8.374312,10.59536,5.192218,6.243093,10.59536,20.399708,7.984304,7.8287907,21.333738,10.735025
6.3484306,8.767858,0.0,5.39766,20.646557,3.192868,9.9869795,10.985077,18.129004,6.542121,8.180101,20.06672,5.7369494,6.220041,8.714024,6.542121,8.358498,6.542121,17.732878,7.846051,17.732878,8.877619,20.805918,8.765739,11.515754,6.542121,5.932396,6.7990065,22.184448,19.482431,9.371299,8.228499,17.224371,9.229355,19.26329,12.308807,12.146303,20.642675,6.542121,5.2919416,22.562834,9.314102,8.270444,5.6553574,9.978305,18.130743,12.350572,20.268135,8.365265,8.251562,6.258204,9.229762,3.2543242,7.0757256,5.935576,10.769972,8.255397,7.957938,3.278078,6.5367293,9.816921,10.698909,8.500713,8.211423,10.15819,8.592369,8.273453,6.9041653,8.877619,20.642675,22.097818,9.250711,8.364729,10.050404,5.7369494,6.4222736,10.050404,20.268135,8.405629,8.034014,20.642675,9.286411
2.6189184,9.094347,5.39766,0.0,20.179356,5.5697603,8.314233,10.502072,17.814377,8.291487,5.372885,20.520357,7.510219,6.2333055,5.9738965,8.291487,7.309564,8.291487,16.879791,5.2582374,16.879791,5.94024,20.625116,9.9189825,11.639183,8.291487,1.6261109,8.421709,22.53112,18.559551,8.902326,5.977057,15.942694,7.486767,18.877256,11.48177,14.052859,21.17186,8.291487,7.538881,22.762236,8.635794,9.652049,7.610093,9.568507,17.290682,11.391473,20.12101,6.471043,7.5323596,6.993688,10.504962,5.6366267,3.4663308,7.79478,10.059216,5.525809,7.875674,5.8549566,8.044236,7.931448,9.222607,6.0635157,6.04585,8.598833,9.868067,10.230223,2.9164739,5.94024,21.17186,22.387241,10.390676,5.5488014,11.322345,7.510219,7.9383426,11.322345,20.12101,6.923178,5.532363,21.17186,5.9933505
19.601921,20.743494,20.646557,20.179356,0.0,20.806128,20.518986,21.255907,14.2893505,21.059273,19.72096,12.693623,20.974901,20.478584,19.60358,21.059273,19.498583,21.059273,12.944539,19.658642,12.944539,19.432747,12.373669,20.736969,19.156422,21.059273,20.003847,20.950748,16.564575,11.8943205,20.160988,19.895786,13.168285,19.532082,9.154546,20.261957,23.198393,13.46554,21.059273,20.869226,14.993432,20.150179,21.333776,21.198973,20.319292,11.6430435,20.0842,10.282317,19.442245,19.189034,20.83652,20.886667,20.81503,19.5201,21.171314,20.947397,19.66301,20.108702,20.528158,21.161415,19.878376,18.686367,20.023441,19.39877,19.15173,20.826447,21.833607,19.59432,19.432747,13.46554,14.6801815,20.618477,19.620476,20.851316,20.974901,21.208242,20.851316,10.282317,19.446114,19.278605,13.46554,19.691141
6.528653,9.301393,3.192868,5.5697603,20.806128,0.0,10.477364,11.791286,18.469858,7.0472937,8.124174,20.266806,6.4338827,5.944477,8.731849,7.0472937,8.237172,7.0472937,17.940361,7.232351,17.940361,8.250157,20.874788,8.053861,11.801631,7.0472937,6.084055,7.290662,22.346083,19.681246,9.302933,8.661847,17.340921,9.264905,19.44964,12.348189,12.444781,20.88758,7.0472937,4.9263744,22.677433,9.60589,7.920683,6.772698,10.290208,18.299557,12.481931,20.394125,8.250528,8.304728,6.6574297,8.731988,2.8211656,6.971951,6.6549253,11.140124,8.220798,8.48186,3.4805052,7.214139,10.35019,10.640364,8.885473,8.422087,10.124396,8.802634,7.6907225,6.455138,8.250157,20.88758,22.306198,9.291661,8.242857,9.89094,6.4338827,7.272252,9.89094,20.394125,8.304242,8.170387,20.88758,8.717207
8.003239,7.7485332,9.9869795,8.314233,20.518986,10.477364,0.0,7.375604,17.579494,8.904861,6.577426,21.613924,8.441843,8.191027,6.8412695,8.904861,8.640698,8.904861,16.760754,8.758835,16.760754,8.89676,21.319193,13.838472,13.854795,8.904861,8.1052475,9.028035,23.235458,17.849808,9.68704,6.4524317,16.05789,8.50096,19.092648,9.892927,17.237982,22.065348,8.904861,11.118449,23.397518,6.399424,13.521711,8.480837,7.5526495,17.405285,9.290942,20.711975,7.3543944,8.43823,7.5630345,13.54915,9.458932,7.9898987,9.224929,6.736637,6.7942133,7.5214343,9.669792,8.41394,4.556615,8.549774,6.333297,7.487714,9.773368,12.563374,14.278303,8.468137,8.89676,22.065348,22.972942,12.898791,6.9436145,12.889419,8.441843,8.977713,12.889419,20.711975,8.2938385,7.072885,22.065348,8.262927
10.144299,6.6722593,10.985077,10.502072,21.255907,11.791286,7.375604,0.0,18.168064,8.456188,9.9405775,21.978142,8.512098,9.602345,9.156922,8.456188,10.101896,8.456188,17.833525,11.594314,17.833525,10.930227,22.204031,14.110484,15.377474,8.456188,10.333649,8.439247,23.757296,18.895449,9.9220915,7.987292,17.88716,9.4018135,19.843948,10.049789,17.78629,22.553429,8.456188,12.153424,24.018976,5.872434,14.061143,8.173799,5.839404,18.354797,10.072488,21.598307,10.138084,9.783572,8.7832775,14.461025,10.544108,10.524261,9.265854,4.5773225,9.0814705,7.761525,10.722969,8.053865,6.9791493,10.856673,8.046913,8.917231,10.822327,12.222554,14.700523,11.08929,10.930227,22.553429,23.508028,12.746866,9.516938,13.367515,8.512098,9.060688,13.367515,21.598307,9.991606,9.420651,22.553429,11.544649
17.410381,17.267164,18.129004,17.814377,14.2893505,18.469858,17.579494,18.168064,0.0,17.599134,17.413645,15.1945305,17.488533,17.851185,17.100046,17.599134,16.649166,17.599134,7.575773,17.712692,7.575773,17.161285,15.655554,19.121077,16.568918,17.599134,17.72285,17.463364,18.796427,11.687396,17.752466,17.193663,11.766447,16.80054,11.6312275,18.409601,21.382145,17.549583,17.599134,18.551117,17.959335,17.070713,19.953861,17.721869,17.3336,7.515325,17.773155,14.694268,16.894436,16.239887,17.808134,19.184002,18.173092,17.47804,17.760485,18.031265,17.087572,16.725447,17.902496,17.693747,17.005766,16.58629,17.310167,16.85198,16.654678,18.465925,19.863089,17.591764,17.161285,17.549583,17.056036,18.433006,17.083067,18.44223,17.488533,17.67588,18.44223,14.694268,16.63843,16.663105,17.549583,17.735113
8.438514,4.909723,6.542121,8.291487,21.059273,7.0472937,8.904861,8.456188,17.599134,0.0,8.653723,20.061905,1.6596144,6.3226805,8.22447,0.0,7.359481,0.0,17.683323,9.837964,17.683323,9.5667925,21.189264,9.950635,13.381588,0.0,8.5151005,0.8244469,22.291563,19.497215,8.186329,7.5687027,17.645061,8.104292,19.225315,11.38947,14.462601,20.859396,0.0,7.8098855,22.60081,6.545389,10.732979,2.7646635,6.8791943,18.011332,11.596215,20.47693,8.172077,7.0881724,5.0390563,10.570235,5.6907716,8.993848,3.6246552,7.8179827,7.7759147,4.989309,5.7511826,1.8463598,8.5850315,10.509996,7.854538,7.5473213,9.370612,7.982149,10.268355,9.208201,9.5667925,20.859396,22.096052,8.556068,8.192203,9.083658,1.6596144,4.4501176,9.083658,20.47693,7.537999,7.7331176,20.859396,10.806431
