0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
1.0,0.68777543,0.93134385,0.9388721,0.8889542,0.7999139,0.8219645,0.9397689,0.9397689,0.9397689,0.9397689,0.9169642,0.87800896,0.8430611,0.89438665,0.9363898,0.8245852,0.90585065,0.8522397,0.9337206,0.919111,0.52035266,0.897053,0.95253134,0.91935045,0.9234694,0.9543375,0.8785214,0.9288205,0.9439759,0.85702854,0.9181596,0.8239279,0.863283,0.8927948,0.854658,0.8794799,0.8558438,0.9018602,0.9417362,0.95126843,0.8917304,0.8972286,0.8955813,0.86059654,0.8587422,0.89438665,0.96181035,0.7280382,0.6890724,0.8245852,0.94920886,0.93755746,0.8587422,0.86247283,0.716015,0.9167528,0.85609925,0.87345386,0.9108027,0.91349113,0.6902109,0.4810654,0.8587422,0.8250184,0.897833,0.91021633,0.895567,0.8293261,0.95874035,0.8673372,0.8611213,0.8427648,0.82577586,0.8693352,0.8934447,0.85475355,0.87839127,0.8205093,0.8471847,0.9102453,0.8550385,0.89567125,0.8914214,0.88889605,0.7052238,0.86059654,0.8587422,0.86059654,0.8587422,0.6702403,0.47222453,0.8164354,0.9241022,0.928586,0.9689762,0.9033929,0.927583,0.89793205,0.90045285,0.8108947,0.93153834,0.6899009,0.9510672,0.92847836,0.83648884,0.8659651
0.68777543,1.0000002,0.7025716,0.6877241,0.72404903,0.69681907,0.66083014,0.7034653,0.7034653,0.7034653,0.7034653,0.69041985,0.6832168,0.6527889,0.6598722,0.6887717,0.65942174,0.68152153,0.6491874,0.7172258,0.7037081,0.46311522,0.6701323,0.7043978,0.6870501,0.7069141,0.6851723,0.75628084,0.70292795,0.6859535,0.6543491,0.70914966,0.66331524,0.7382083,0.703177,0.757256,0.7125643,0.6306717,0.7371463,0.69693244,0.66037774,0.7193177,0.7241986,0.7138082,0.6554512,0.65116924,0.6598722,0.70801604,0.58895314,0.9239725,0.65942174,0.693661,0.6956566,0.65116924,0.6488258,0.89009064,0.66983426,0.6495561,0.7176986,0.7034379,0.69757164,0.918896,0.46883518,0.65116924,0.6657592,0.707358,0.6935471,0.74096966,0.6794449,0.6841898,0.72860396,0.6493755,0.7077051,0.70800614,0.71666926,0.7077332,0.68669796,0.7277709,0.65926445,0.643324,0.70640194,0.6843325,0.6990936,0.6968394,0.7104487,0.9498278,0.6554512,0.65116924,0.6554512,0.65116924,0.5076719,0.44829094,0.663365,0.65735316,0.68878174,0.68766016,0.6919658,0.7074986,0.725528,0.67713,0.6417347,0.7199125,0.92157847,0.6888604,0.70438576,0.66795117,0.71543896
0.93134385,0.7025716,1.0000002,0.98977196,0.9315313,0.79796994,0.817739,0.99241793,0.99241793,0.99241793,0.99241793,0.9067502,0.8975941,0.8058212,0.9574156,0.9519646,0.84300184,0.92546046,0.8171849,0.9859438,0.9504919,0.508859,0.8507807,0.9485643,0.9928572,0.98521256,0.9423179,0.89545333,0.9863147,0.9357935,0.8307709,0.9569358,0.8217929,0.87828153,0.9214538,0.90525943,0.9079843,0.831778,0.9060476,0.9921892,0.9362005,0.8882261,0.8862204,0.90600395,0.8195013,0.8262944,0.9574156,0.96637213,0.7497436,0.6849225,0.84300184,0.94620216,0.93321764,0.8262944,0.81972736,0.7393742,0.9604932,0.83589315,0.85842395,0.9294491,0.9489866,0.6938242,0.51667297,0.8262944,0.8210112,0.8918092,0.964736,0.92752457,0.8834753,0.97165656,0.9065901,0.84081507,0.86378264,0.81696725,0.9130465,0.9455477,0.9349698,0.89745337,0.81650615,0.83831966,0.91906893,0.82025075,0.8771594,0.87799525,0.9035178,0.7206951,0.8195013,0.8262944,0.8195013,0.8262944,0.71309257,0.4643584,0.8732013,0.9497998,0.97085154,0.9604201,0.9495605,0.97423595,0.92920077,0.96721995,0.89740586,0.9818785,0.69217384,0.9362257,0.96032363,0.81044924,0.9291632
0.9388721,0.6877241,0.98977196,0.99999976,0.9262998,0.7817079,0.8126013,0.99506986,0.99506986,0.99506986,0.99506986,0.90758044,0.9037916,0.8020814,0.9667128,0.96776617,0.83457017,0.93452567,0.81505907,0.9879845,0.94516206,0.49478906,0.8509329,0.94633305,0.986373,0.98586726,0.94870925,0.8901572,0.98782563,0.94260675,0.82714736,0.9526764,0.8160599,0.8820779,0.9189069,0.90140814,0.9029857,0.834925,0.89695877,0.99793863,0.9511507,0.8753483,0.88684404,0.9069744,0.81841725,0.8231451,0.9667128,0.96772885,0.74464166,0.6715878,0.83457017,0.94367397,0.93007904,0.8231451,0.8310058,0.73598653,0.96563655,0.8305559,0.8450884,0.9268739,0.955176,0.67976594,0.50114363,0.8231451,0.81524336,0.88582885,0.9728329,0.9213698,0.87165767,0.97727174,0.89334893,0.83617043,0.86082876,0.81245345,0.91436696,0.94135004,0.9172069,0.8856776,0.8071308,0.83464444,0.9203349,0.8187056,0.87532896,0.87609196,0.8990153,0.70644397,0.81841725,0.8231451,0.81841725,0.8231451,0.7221856,0.4514844,0.8698498,0.96475583,0.9762275,0.9659847,0.94564945,0.9726987,0.918465,0.96568525,0.893294,0.98086536,0.6759517,0.93892425,0.95871663,0.8039838,0.9166652
0.8889542,0.72404903,0.9315313,0.9262998,0.9999999,0.8763943,0.89551836,0.932394,0.932394,0.932394,0.932394,0.9553608,0.9390804,0.8763524,0.88125235,0.9038579,0.8984668,0.93400526,0.886508,0.9305303,0.95621115,0.5123517,0.8721931,0.9072823,0.91676307,0.9276217,0.94347876,0.9290858,0.91845596,0.93785655,0.8895641,0.96638274,0.89581275,0.9068047,0.97706586,0.88759303,0.95215535,0.8879185,0.9046195,0.9333655,0.90538555,0.9454819,0.927926,0.94965756,0.8816215,0.8933691,0.88125235,0.92951554,0.7999568,0.7249045,0.8984668,0.8993877,0.94205683,0.8933691,0.8726254,0.7529628,0.89621544,0.8963321,0.88956934,0.9442208,0.93191695,0.7220209,0.5226551,0.8933691,0.8982821,0.95876825,0.9145006,0.9719067,0.911778,0.91698635,0.95367646,0.8976145,0.9059657,0.88827187,0.92818606,0.9329323,0.89054286,0.9098947,0.85883814,0.8849484,0.9400861,0.88532245,0.92214596,0.9237043,0.9405322,0.73848724,0.8816215,0.8933691,0.8816215,0.8933691,0.74486196,0.5091502,0.9349328,0.8858774,0.9076502,0.91982293,0.88997626,0.9196903,0.89094335,0.8957809,0.8892061,0.9284784,0.72640526,0.9427441,0.9476321,0.8639456,0.9286206
0.7999139,0.69681907,0.79796994,0.7817079,0.8763943,1.0000001,0.95397043,0.80441844,0.80441844,0.80441844,0.80441844,0.89341855,0.8904692,0.9291903,0.69478357,0.75483024,0.915849,0.8631653,0.9270492,0.7950536,0.86242914,0.5811734,0.8566361,0.8255726,0.7541859,0.77190673,0.84002614,0.9001782,0.7858416,0.8592233,0.9271353,0.86628336,0.95543563,0.8011192,0.8986275,0.7849625,0.84463525,0.89466476,0.7725574,0.80408835,0.80855036,0.9037313,0.86793447,0.85220236,0.9317824,0.9278161,0.69478357,0.83589685,0.8197531,0.73373294,0.915849,0.8089974,0.86771524,0.9278161,0.89693,0.6746384,0.70448804,0.9187335,0.90101653,0.89903605,0.8494866,0.7201637,0.47956985,0.9278161,0.95621693,0.8966514,0.75544524,0.91112036,0.81809306,0.7775248,0.91119987,0.9118137,0.8870206,0.95512307,0.76984566,0.7855719,0.7530285,0.8719002,0.89945734,0.89912415,0.87206197,0.94346654,0.9254551,0.927606,0.89439785,0.697178,0.9317824,0.9278161,0.9317824,0.9278161,0.64860284,0.5778424,0.81857455,0.71007735,0.76609147,0.8324312,0.720098,0.7922537,0.8134034,0.7215817,0.7040347,0.78618956,0.7321749,0.8557237,0.85702735,0.9261432,0.8277435
0.8219645,0.66083014,0.817739,0.8126013,0.89551836,0.95397043,0.9999999,0.82640976,0.82640976,0.82640976,0.82640976,0.92689157,0.92502034,0.9665637,0.7126764,0.78051716,0.95223165,0.8979747,0.9728193,0.81209064,0.87966585,0.59230494,0.8831601,0.85027957,0.7739831,0.7888689,0.86981225,0.8872093,0.8018558,0.88830745,0.9601946,0.8867108,0.99804306,0.82561064,0.9284517,0.79359376,0.8754573,0.95310545,0.7680474,0.8318544,0.84812766,0.8867905,0.8996339,0.8862624,0.9704996,0.9688118,0.7126764,0.85603595,0.87474513,0.69732785,0.95223165,0.8329085,0.8884844,0.9688118,0.93133277,0.64873016,0.7264546,0.9545629,0.91267824,0.91911125,0.87305444,0.67939174,0.47983184,0.9688118,0.99715835,0.9128861,0.7781316,0.9094399,0.84816694,0.80580944,0.8823021,0.9469518,0.9183733,0.94418806,0.7912204,0.79690284,0.7495947,0.8909726,0.8926418,0.941767,0.9062435,0.9584986,0.94941664,0.9538223,0.9250984,0.66426873,0.9704996,0.9688118,0.9704996,0.9688118,0.716539,0.57853293,0.84910023,0.7385752,0.786497,0.86278594,0.73349047,0.80924714,0.7923988,0.73863137,0.7290627,0.7986681,0.68260384,0.88058484,0.88245064,0.95055133,0.8211485
0.9397689,0.7034653,0.99241793,0.99506986,0.932394,0.80441844,0.82640976,0.99999994,0.99999994,0.99999994,0.99999994,0.9139462,0.907925,0.8136233,0.9642901,0.96361053,0.848747,0.9383093,0.82382584,0.9888485,0.9567805,0.5164538,0.85978097,0.95373315,0.987509,0.98864627,0.9494864,0.8994007,0.9882523,0.9449334,0.83999205,0.9626794,0.8303822,0.88314193,0.92671776,0.9053129,0.90544814,0.8371179,0.9020761,0.9975722,0.94643635,0.887367,0.88878644,0.90774184,0.8298915,0.83363366,0.9642901,0.97258925,0.7522243,0.6883802,0.848747,0.9506676,0.9374733,0.83363366,0.83615935,0.7436861,0.9633022,0.8421612,0.86109495,0.93999875,0.9587758,0.6953473,0.51841897,0.83363366,0.8321892,0.8953954,0.96909076,0.9318294,0.8837357,0.97463036,0.9090121,0.847094,0.8712187,0.82721645,0.9146981,0.94579124,0.92985344,0.89753187,0.82531774,0.84551114,0.92479604,0.83115375,0.8834641,0.8867594,0.9065191,0.7213952,0.8298915,0.83363366,0.8298915,0.83363366,0.7179439,0.47118294,0.8746089,0.9590684,0.9782288,0.9667593,0.9478188,0.9787117,0.93146956,0.96759963,0.8947079,0.9842398,0.69280857,0.9433065,0.9640217,0.8163274,0.9275358
0.9397689,0.7034653,0.99241793,0.99506986,0.932394,0.80441844,0.82640976,0.99999994,0.99999994,0.99999994,0.99999994,0.9139462,0.907925,0.8136233,0.9642901,0.96361053,0.848747,0.9383093,0.82382584,0.9888485,0.9567805,0.5164538,0.85978097,0.95373315,0.987509,0.98864627,0.9494864,0.8994007,0.9882523,0.9449334,0.83999205,0.9626794,0.8303822,0.88314193,0.92671776,0.9053129,0.90544814,0.8371179,0.9020761,0.9975722,0.94643635,0.887367,0.88878644,0.90774184,0.8298915,0.83363366,0.9642901,0.97258925,0.7522243,0.6883802,0.848747,0.9506676,0.9374733,0.83363366,0.83615935,0.7436861,0.9633022,0.8421612,0.86109495,0.93999875,0.9587758,0.6953473,0.51841897,0.83363366,0.8321892,0.8953954,0.96909076,0.9318294,0.8837357,0.97463036,0.9090121,0.847094,0.8712187,0.82721645,0.9146981,0.94579124,0.92985344,0.89753187,0.82531774,0.84551114,0.92479604,0.83115375,0.8834641,0.8867594,0.9065191,0.7213952,0.8298915,0.83363366,0.8298915,0.83363366,0.7179439,0.47118294,0.8746089,0.9590684,0.9782288,0.9667593,0.9478188,0.9787117,0.93146956,0.96759963,0.8947079,0.9842398,0.69280857,0.9433065,0.9640217,0.8163274,0.9275358
0.9397689,0.7034653,0.99241793,0.99506986,0.932394,0.80441844,0.82640976,0.99999994,0.99999994,0.99999994,0.99999994,0.9139462,0.907925,0.8136233,0.9642901,0.96361053,0.848747,0.9383093,0.82382584,0.9888485,0.9567805,0.5164538,0.85978097,0.95373315,0.987509,0.98864627,0.9494864,0.8994007,0.9882523,0.9449334,0.83999205,0.9626794,0.8303822,0.88314193,0.92671776,0.9053129,0.90544814,0.8371179,0.9020761,0.9975722,0.94643635,0.887367,0.88878644,0.90774184,0.8298915,0.83363366,0.9642901,0.97258925,0.7522243,0.6883802,0.848747,0.9506676,0.9374733,0.83363366,0.83615935,0.7436861,0.9633022,0.8421612,0.86109495,0.93999875,0.9587758,0.6953473,0.51841897,0.83363366,0.8321892,0.8953954,0.96909076,0.9318294,0.8837357,0.97463036,0.9090121,0.847094,0.8712187,0.82721645,0.9146981,0.94579124,0.92985344,0.89753187,0.82531774,0.84551114,0.92479604,0.83115375,0.8834641,0.8867594,0.9065191,0.7213952,0.8298915,0.83363366,0.8298915,0.83363366,0.7179439,0.47118294,0.8746089,0.9590684,0.9782288,0.9667593,0.9478188,0.9787117,0.93146956,0.96759963,0.8947079,0.9842398,0.69280857,0.9433065,0.9640217,0.8163274,0.9275358
