0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152
0.0,8.434697,20.379862,21.676355,20.397121,10.515505,20.29321,14.380194,8.065003,13.622597,13.622597,13.622597,15.473038,13.622597,13.622597,14.699409,13.405581,0.0,14.14999,13.622597,21.549187,20.752441,13.622597,13.622597,20.44504,21.455082,7.946362,12.056668,7.946362,14.07327,7.946362,15.224963,0.0,7.742691,7.946362,0.0,0.0,0.0,7.946362,14.912015,7.946362,7.946362,7.946362,7.946362,7.946362,20.090134,0.0,7.742691,8.719767,8.065003,10.7205105,7.946362,16.597242,20.763008,0.0,20.479712,20.349905,0.0,13.7061,20.731668,20.124197,9.436973,20.21439,7.946362,7.946362,7.946362,14.642561,20.571302,20.755342,8.065003,14.675614,17.536474,7.742691,20.397121,21.525682,7.946362,22.540314,20.529022,8.065003,20.613752,7.946362,20.435432,10.515505,0.0,21.299505,0.0,6.025017,15.422359,15.422359,15.422359,20.01955,8.434697,21.63094,13.354515,6.025017,11.032524,8.434697,8.743288,20.69959,8.434697,11.628167,10.515505,20.327354,7.946362,20.459957,9.251258,15.140808,6.025017,0.0,7.946362,14.680317,7.946362,7.946362,7.946362,20.767553,20.023886,21.325138,8.065003,20.22836,21.143206,21.730692,21.142666,20.67762,8.065003,20.623602,20.552486,20.873148,22.46559,6.025017,7.742691,21.773088,15.511134,7.946362,22.283422,20.380299,13.622597,13.622597,13.622597,15.473038,13.622597,22.742487,21.33638,13.622597,22.788084,23.299183,12.894121,7.946362,14.837054,20.844812,13.622597,7.946362,14.912015,14.380194
8.434697,0.0,19.954714,21.231178,19.83343,6.065385,19.669907,13.088676,12.595144,15.226311,15.226311,15.226311,14.802279,15.226311,15.226311,15.433549,15.5575485,8.434697,15.953284,15.226311,21.34367,20.448637,15.226311,15.226311,20.78819,21.147892,12.221964,15.761739,12.221964,13.369475,12.221964,17.26867,8.434697,11.884173,12.221964,8.434697,8.434697,8.434697,12.221964,12.849982,12.221964,12.221964,12.221964,12.221964,12.221964,20.030813,8.434697,11.884173,13.981501,12.595144,15.153444,12.221964,14.790776,20.784449,8.434697,19.765848,19.72386,8.434697,12.131826,20.3489,19.626196,12.842062,19.709848,12.221964,12.221964,12.221964,14.816755,21.015112,20.65893,12.595144,13.762174,17.055578,11.884173,19.83343,21.194817,12.221964,22.375107,20.110966,12.595144,20.484964,12.221964,19.73209,6.065385,8.434697,21.728407,8.434697,10.765947,14.350229,14.350229,14.350229,19.835014,0.0,21.290083,11.632128,10.765947,13.994288,0.0,12.457064,20.072132,0.0,9.810735,6.065385,19.887384,12.221964,19.805786,13.079311,13.400801,10.765947,8.434697,12.221964,14.174013,12.221964,12.221964,12.221964,20.501448,19.995216,21.516966,12.595144,20.072357,20.85109,21.26559,20.8293,20.24262,12.595144,20.240393,20.311079,20.671959,22.144464,10.765947,11.884173,21.712927,13.8494625,12.221964,22.039322,19.955807,15.226311,15.226311,15.226311,14.802279,15.226311,22.295557,20.96336,15.226311,22.801258,23.338713,11.030759,12.221964,15.174945,20.49922,15.226311,12.221964,12.849982,13.088676
20.379862,19.954714,0.0,10.077021,9.101275,19.2972,6.657399,17.547218,20.747063,21.462797,21.462797,21.462797,20.62336,21.462797,21.462797,18.845533,21.674583,20.379862,21.37853,21.462797,11.473625,8.697842,21.462797,21.462797,14.660537,10.154853,20.858624,20.652716,20.858624,17.351776,20.858624,21.583014,20.379862,20.753843,20.858624,20.379862,20.379862,20.379862,20.858624,19.550924,20.858624,20.858624,20.858624,20.858624,20.858624,10.929088,20.379862,20.753843,20.364481,20.747063,20.524752,20.858624,19.247404,10.354991,20.379862,6.543182,6.4806952,20.379862,19.608902,8.740461,9.049177,21.169498,6.5658503,20.858624,20.858624,20.858624,18.918139,13.194558,9.775158,20.747063,19.518064,21.276169,20.753843,9.101275,8.994234,20.858624,12.16608,3.1768138,20.747063,10.523239,20.858624,6.4057655,19.2972,20.379862,14.759888,20.379862,20.935062,22.498579,22.498579,22.498579,10.922831,19.954714,9.889667,19.097202,20.935062,20.713217,19.954714,20.908298,9.545404,19.954714,21.383495,19.2972,9.511223,20.858624,8.324853,20.68028,17.607553,20.935062,20.379862,20.858624,20.6307,20.858624,20.858624,20.858624,7.522958,9.75295,12.154239,20.747063,7.3943686,6.990957,7.94137,6.8371644,6.092504,20.747063,10.648046,4.0606995,8.784294,12.378593,20.935062,20.753843,11.062442,19.962854,20.858624,12.274311,8.12095,21.462797,21.462797,21.462797,20.62336,21.462797,12.510718,9.156304,21.462797,14.932617,15.500965,17.518557,20.858624,20.714243,9.032434,21.462797,20.858624,19.550924,17.547218
21.676355,21.231178,10.077021,0.0,10.012938,20.397844,10.033194,19.572989,22.102663,22.706255,22.706255,22.706255,21.174084,22.706255,22.706255,19.412415,22.326017,21.676355,22.08913,22.706255,13.192458,11.040614,22.706255,22.706255,14.903674,8.40649,22.416275,21.684052,22.416275,19.513948,22.416275,22.576965,21.676355,21.698977,22.416275,21.676355,21.676355,21.676355,22.416275,20.95081,22.416275,22.416275,22.416275,22.416275,22.416275,10.629021,21.676355,21.698977,21.59359,22.102663,21.953169,22.416275,20.221909,11.160475,21.676355,10.357571,9.88878,21.676355,20.613832,8.060026,9.949999,22.675966,9.669145,22.416275,22.416275,22.416275,19.853031,13.580805,9.276021,22.102663,20.503754,22.482111,21.698977,10.012938,11.729196,22.416275,8.165592,10.799123,22.102663,8.946239,22.416275,10.098661,20.397844,21.676355,14.501615,21.676355,22.106277,23.867647,23.867647,23.867647,11.725561,21.231178,6.371824,20.335335,22.106277,21.432722,21.231178,21.73954,5.8419514,21.231178,23.17149,20.397844,10.041273,22.416275,10.012676,21.501076,18.869398,22.106277,21.676355,22.416275,22.463684,22.416275,22.416275,22.416275,9.444119,9.712149,8.221182,22.102663,10.154298,8.100054,10.852877,9.189718,9.478008,22.102663,10.96264,10.049998,7.587586,6.85859,22.106277,21.698977,6.6482587,20.642263,22.416275,6.403591,10.658239,22.706255,22.706255,22.706255,21.174084,22.706255,14.864281,8.884723,22.706255,10.220536,9.794058,19.160376,22.416275,22.047632,9.899405,22.706255,22.416275,20.95081,19.572989
20.397121,19.83343,9.101275,10.012938,0.0,19.120022,6.734696,18.201591,20.941532,21.64194,21.64194,21.64194,20.92778,21.64194,21.64194,18.651865,21.504215,20.397121,21.034863,21.64194,14.266111,11.172786,21.64194,21.64194,13.691504,12.809884,21.258717,20.731613,21.258717,18.183697,21.258717,21.866222,20.397121,20.654434,21.258717,20.397121,20.397121,20.397121,21.258717,20.321192,21.258717,21.258717,21.258717,21.258717,21.258717,6.385648,20.397121,20.654434,20.750586,20.941532,21.179634,21.258717,19.689816,8.9620285,20.397121,7.031396,6.5047355,20.397121,20.1046,5.81401,2.3389988,21.568428,6.0732245,21.258717,21.258717,21.258717,18.671675,10.349727,8.335488,20.941532,19.765917,21.541492,20.654434,0.0,13.130796,21.258717,12.794302,9.816895,20.941532,8.453478,21.258717,6.9585595,19.120022,20.397121,11.812186,20.397121,21.028095,22.782417,22.782417,22.782417,6.008833,19.83343,11.446813,18.837988,21.028095,20.101858,19.83343,20.627867,8.847818,19.83343,21.67062,19.120022,2.7563028,21.258717,3.535098,20.32289,18.608513,21.028095,20.397121,21.258717,21.073153,21.258717,21.258717,21.258717,10.398162,7.042211,11.865342,20.941532,8.043773,9.18884,11.308657,8.95733,7.919921,20.941532,3.9935932,8.828179,8.120889,13.552102,21.028095,20.654434,11.393579,20.038599,21.258717,13.159897,10.791094,21.64194,21.64194,21.64194,20.92778,21.64194,15.482747,11.609977,21.64194,16.058838,14.762303,18.050543,21.258717,21.119648,11.857189,21.64194,21.258717,20.321192,18.201591
10.515505,6.065385,19.2972,20.397844,19.120022,0.0,18.784958,12.08912,12.663156,16.275171,16.275171,16.275171,14.035761,16.275171,16.275171,14.585936,15.02979,10.515505,15.327228,16.275171,20.666153,19.793303,16.275171,16.275171,20.544636,20.554918,13.694661,15.164629,13.694661,12.328808,13.694661,18.196352,10.515505,11.198946,13.694661,10.515505,10.515505,10.515505,13.694661,12.962205,13.694661,13.694661,13.694661,13.694661,13.694661,19.495804,10.515505,11.198946,15.094905,12.663156,16.022356,13.694661,14.902185,20.26222,10.515505,18.91501,18.893969,10.515505,11.396726,19.578743,18.956171,14.252916,18.891048,13.694661,13.694661,13.694661,14.174792,20.419617,19.998539,12.663156,12.183788,17.513397,11.198946,19.120022,20.46466,13.694661,21.534899,19.466099,12.663156,19.701456,13.694661,18.868885,0.0,10.515505,21.182264,10.515505,12.339293,15.59883,15.59883,15.59883,19.31818,6.065385,20.681078,11.547299,12.339293,13.418805,6.065385,11.692444,19.395401,6.065385,11.921827,0.0,19.243536,13.694661,19.104889,12.7147255,12.359887,12.339293,10.515505,13.694661,14.780592,13.694661,13.694661,13.694661,19.679127,19.287127,20.872494,12.663156,19.248114,20.130062,20.504951,20.130585,19.403173,12.663156,19.64497,19.618807,19.833588,21.408306,12.339293,11.198946,20.964302,14.152886,13.694661,21.322859,19.255022,16.275171,16.275171,16.275171,14.035761,16.275171,21.753122,20.357937,16.275171,22.215235,22.649387,11.633962,13.694661,16.184494,19.933035,16.275171,13.694661,12.962205,12.08912
20.29321,19.669907,6.657399,10.033194,6.734696,18.784958,0.0,17.671343,20.816973,21.768356,21.768356,21.768356,20.66881,21.768356,21.768356,18.840864,21.660084,20.29321,21.262135,21.768356,12.403759,9.258546,21.768356,21.768356,14.870558,11.750894,21.164038,20.687817,21.164038,17.48164,21.164038,22.012844,20.29321,20.566553,21.164038,20.29321,20.29321,20.29321,21.164038,19.82563,21.164038,21.164038,21.164038,21.164038,21.164038,9.795143,20.29321,20.566553,20.552807,20.816973,21.018164,21.164038,19.554174,10.553541,20.29321,2.9818342,2.5509155,20.29321,19.58051,7.23576,6.654303,21.46328,2.850549,21.164038,21.164038,21.164038,18.829088,12.6668,9.832537,20.816973,19.546728,21.361397,20.566553,6.734696,11.049273,21.164038,12.336215,7.2727313,20.816973,9.678579,21.164038,2.5519056,18.784958,20.29321,14.123279,20.29321,20.928978,22.657326,22.657326,22.657326,9.704376,19.669907,11.155338,18.91195,20.928978,20.441181,19.669907,20.610172,8.990882,19.669907,21.401136,18.784958,7.3666196,21.164038,5.699382,20.48517,17.912588,20.928978,20.29321,21.164038,20.808563,21.164038,21.164038,21.164038,7.64634,8.45121,11.966219,20.816973,5.6585283,7.140793,8.509178,6.661837,4.774528,20.816973,9.015739,6.863995,8.693214,12.929367,20.928978,20.566553,11.164187,20.041756,21.164038,12.815186,8.46652,21.768356,21.768356,21.768356,20.66881,21.768356,13.882397,10.098992,21.768356,16.07159,15.824803,17.772573,21.164038,21.02632,10.129557,21.768356,21.164038,19.82563,17.671343
14.380194,13.088676,17.547218,19.572989,18.201591,12.08912,17.671343,0.0,14.566115,18.007269,18.007269,18.007269,17.9775,18.007269,18.007269,14.519314,17.470818,14.380194,17.614422,18.007269,20.02114,19.155945,18.007269,18.007269,19.437593,19.674463,15.337976,15.526098,15.337976,7.4962845,15.337976,18.541494,14.380194,15.003337,15.337976,14.380194,14.380194,14.380194,15.337976,14.842632,15.337976,15.337976,15.337976,15.337976,15.337976,18.875643,14.380194,15.003337,16.166414,14.566115,16.411581,15.337976,15.7653055,18.45537,14.380194,17.6247,17.651745,14.380194,14.6355915,18.664158,18.123472,15.700467,17.740654,15.337976,15.337976,15.337976,14.229867,19.71968,18.776787,14.566115,15.61518,18.92053,15.003337,18.201591,19.336052,15.337976,20.732027,17.690895,14.566115,18.98612,15.337976,17.620903,12.08912,14.380194,20.578922,14.380194,15.19704,18.954329,18.954329,18.954329,18.713442,13.088676,19.611382,12.761567,15.19704,15.95887,13.088676,15.479731,18.687653,13.088676,15.427793,12.08912,18.387823,15.337976,17.973206,15.56898,12.815054,15.19704,14.380194,15.337976,15.965636,15.337976,15.337976,15.337976,18.721449,18.579115,20.067291,14.566115,18.3235,18.721367,19.555128,18.611813,18.238941,14.566115,18.827696,18.060743,18.591427,20.735245,15.19704,15.003337,20.135696,16.53693,15.337976,20.440603,18.784096,18.007269,18.007269,18.007269,17.9775,18.007269,21.069523,19.552965,18.007269,21.65186,21.836447,8.937559,15.337976,17.452236,19.34868,18.007269,15.337976,14.842632,0.0
8.065003,12.595144,20.747063,22.102663,20.941532,12.663156,20.816973,14.566115,0.0,13.20404,13.20404,13.20404,16.027073,13.20404,13.20404,14.217335,10.5669155,8.065003,11.712335,13.20404,21.890001,21.39053,13.20404,13.20404,20.817247,22.030388,6.5703173,8.749566,6.5703173,13.970008,6.5703173,14.4456,8.065003,7.646623,6.5703173,8.065003,8.065003,8.065003,6.5703173,15.825796,6.5703173,6.5703173,6.5703173,6.5703173,6.5703173,20.582964,8.065003,7.646623,9.364775,0.0,9.135935,6.5703173,18.019228,21.106304,8.065003,20.941406,20.834787,8.065003,14.494931,21.222675,20.76879,7.9473214,20.825598,6.5703173,6.5703173,6.5703173,15.090075,20.735777,21.162247,0.0,14.207864,18.256681,7.646623,20.941532,21.941843,6.5703173,22.83254,21.022047,0.0,20.883137,6.5703173,20.888489,12.663156,8.065003,21.72058,8.065003,8.798437,15.325967,15.325967,15.325967,20.563082,12.595144,22.043043,15.42997,8.798437,11.305528,12.595144,8.857904,21.300274,12.595144,11.757529,12.663156,20.912746,6.5703173,20.96016,9.372185,16.079485,8.798437,8.065003,6.5703173,15.67981,6.5703173,6.5703173,6.5703173,21.05153,20.35476,21.549057,0.0,20.503542,21.627747,22.203463,21.641079,21.180695,0.0,21.100159,21.043139,21.216377,22.926554,8.798437,7.646623,22.109198,17.187502,6.5703173,22.708439,21.021986,13.20404,13.20404,13.20404,16.027073,13.20404,23.159811,21.841642,13.20404,22.94089,23.579247,14.876334,6.5703173,14.737454,21.258686,13.20404,6.5703173,15.825796,14.566115
13.622597,15.226311,21.462797,22.706255,21.64194,16.275171,21.768356,18.007269,13.20404,0.0,0.0,0.0,14.42189,0.0,0.0,14.634963,8.412481,13.622597,10.446404,0.0,22.272215,21.56539,0.0,0.0,21.001476,22.020655,10.650927,15.201634,10.650927,17.81119,10.650927,8.108925,13.622597,15.544904,10.650927,13.622597,13.622597,13.622597,10.650927,15.970123,10.650927,10.650927,10.650927,10.650927,10.650927,21.165514,13.622597,15.544904,14.881248,13.20404,12.663532,10.650927,18.010803,21.586159,13.622597,21.916225,21.859539,13.622597,15.815444,21.864916,21.471863,12.390008,21.787264,10.650927,10.650927,10.650927,16.215324,21.453066,21.402447,13.20404,13.390186,15.186209,15.544904,21.64194,22.017271,10.650927,23.489052,21.555002,13.20404,21.666702,10.650927,21.866474,16.275171,13.622597,22.223402,13.622597,15.4158945,8.737342,8.737342,8.737342,21.095798,15.226311,22.506777,15.42897,15.4158945,17.177773,15.226311,16.271935,21.84858,15.226311,12.130821,16.275171,21.758177,10.650927,21.747595,16.17559,17.347185,15.4158945,13.622597,10.650927,12.8707485,10.650927,10.650927,10.650927,21.832533,21.175388,22.358393,13.20404,21.336971,22.20396,22.780857,22.28364,21.851658,13.20404,21.82028,21.439228,21.824663,23.274105,15.4158945,15.544904,22.669104,17.12495,10.650927,23.182222,21.395872,0.0,0.0,0.0,14.42189,0.0,23.102713,22.088116,0.0,23.42312,24.020111,16.850426,10.650927,11.220539,21.631075,0.0,10.650927,15.970123,18.007269
