0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0.9999999,0.6643786,0.7795501,0.94395983,0.94656414,0.73688745,0.6941363,0.9374531,0.8379896,0.9374531,0.57984567,0.5281192,0.89362353,0.9282447,0.7709498,0.902654,0.939426,0.939426,0.7636465,0.73831713,0.9375483,0.9382871,0.51437616,0.51051724,0.9555762,0.7739634,0.7374315,0.91359335,0.9463835,0.94870126,0.81061006,0.8449274,0.94973105,0.8270768,0.79690146,0.8264091,0.9722553,0.53034663,0.8222853,0.80263484,0.9374531,0.5590358,0.55474627,0.7104633,0.95167816,0.76303256,0.75763977,0.9511644,0.87665164,0.80999035,0.9147142,0.9382871,0.5411073,0.44344372,0.4777373,0.4473535,0.88483465,0.45290288,0.5226438,0.9597558,0.7456513,0.5840531,0.9480515,0.93637013,0.5542711,0.7855112,0.948929,0.96017474,0.92012775,0.811641,0.474517,0.8266209,0.9425757,0.91359335,0.5590358,0.82732755,0.5515925,0.5425657,0.5074162,0.47730517,0.82152826,0.939426,0.55620337,0.53931713,0.95814353,0.49755353,0.5550751,0.6141973,0.7503426,0.90558875,0.8046268,0.62425387,0.6756358,0.77080214,0.9353672,0.94713074,0.8297787,0.75233364,0.94973105,0.9508294,0.79568774,0.65356636,0.9508294,0.81985086,0.8284686,0.5939059,0.7328975,0.79313326,0.7059231,0.92012775,0.73933315,0.75619376,0.71628726,0.9061103,0.509719,0.919906,0.82419074,0.7606604,0.7483699,0.91174304,0.8919032,0.6912314,0.5488086,0.8073353,0.95167816,0.7018144,0.5144202,0.72142863,0.74132764,0.939426,0.94343853
0.6643786,0.99999976,0.71915084,0.6098053,0.71580637,0.78844404,0.9670537,0.69568944,0.69887155,0.69568944,0.519582,0.5653075,0.73737234,0.7044327,0.67091733,0.73845637,0.68206483,0.68206483,0.7127422,0.7209976,0.71353555,0.7077691,0.48167497,0.51836824,0.6927096,0.66483665,0.6425922,0.6549125,0.6865102,0.6893538,0.7306544,0.73663723,0.68630636,0.7299504,0.7274198,0.7505897,0.65610373,0.48401853,0.7812059,0.711255,0.69568944,0.48220718,0.4994282,0.72742295,0.6995948,0.7712512,0.7610065,0.70089155,0.6734209,0.76364857,0.6808157,0.7077691,0.501783,0.39134917,0.4880976,0.42686212,0.7249484,0.3980085,0.55702907,0.6650939,0.6563891,0.48492894,0.68612385,0.7066103,0.5798007,0.7547735,0.7231564,0.66341907,0.69927835,0.6847626,0.42060274,0.7851311,0.70186067,0.6549125,0.48220718,0.7279952,0.57937646,0.47359893,0.45436883,0.53239405,0.7436933,0.68206483,0.5831122,0.4670273,0.69938844,0.4393648,0.4940455,0.5675424,0.7674141,0.68820405,0.723395,0.5436884,0.9682282,0.7578726,0.70836055,0.68914676,0.6710677,0.6585527,0.68630636,0.713179,0.68501055,0.5394713,0.713179,0.7595074,0.597875,0.53543824,0.7588315,0.6928853,0.76435935,0.69927835,0.77689266,0.6776331,0.8214395,0.67202175,0.47668368,0.6673956,0.6918508,0.6578678,0.6552535,0.7014339,0.7363315,0.7031371,0.574581,0.7851756,0.6995948,0.7301867,0.5389768,0.7191379,0.8026975,0.68206483,0.6717514
0.7795501,0.71915084,1.0,0.7216295,0.84121025,0.9214405,0.7223697,0.82602346,0.89057755,0.82602346,0.5391648,0.5734618,0.8790133,0.84802055,0.8614985,0.86946356,0.8154404,0.8154404,0.8941252,0.912274,0.8343437,0.8371098,0.47236803,0.5019579,0.80940485,0.85872835,0.8468914,0.83414906,0.8112891,0.80248445,0.93256986,0.86452496,0.8087536,0.8812435,0.84696686,0.8807088,0.77641463,0.47929883,0.9174297,0.84324694,0.82602346,0.41824645,0.49136114,0.90788114,0.8196961,0.9148091,0.91511804,0.8093024,0.8532185,0.8088106,0.84123,0.8371098,0.54047036,0.41584682,0.4972826,0.4597421,0.8474875,0.42293674,0.5660384,0.7927468,0.8479618,0.4731483,0.80629957,0.8367919,0.5957963,0.8983345,0.8519199,0.7811866,0.82747084,0.87727535,0.4335727,0.86279726,0.8246592,0.83414906,0.41824645,0.80465007,0.58375657,0.41691324,0.42969322,0.58436096,0.81744456,0.8154404,0.61099,0.4388005,0.81506443,0.44811144,0.4835624,0.533175,0.89953053,0.8514228,0.8815976,0.57683927,0.7271254,0.9037377,0.8398746,0.8059689,0.84064484,0.84801733,0.8087536,0.8236859,0.88112664,0.56945497,0.8236859,0.8827101,0.7831651,0.56070614,0.9248035,0.88105065,0.90842265,0.82747084,0.93080324,0.85029554,0.90478694,0.828359,0.46167663,0.82637715,0.8828007,0.8581586,0.8546072,0.8170488,0.83010423,0.8639579,0.58055365,0.88962305,0.8196961,0.8997202,0.52753305,0.9229571,0.9269706,0.8154404,0.7913961
0.94395983,0.6098053,0.7216295,1.0,0.89149487,0.68166137,0.63996583,0.9190388,0.80445343,0.9190388,0.53741,0.49144572,0.8411672,0.8786497,0.7255312,0.8694955,0.93019867,0.93019867,0.72532713,0.6859968,0.90924025,0.9117635,0.47811168,0.4782189,0.93746346,0.7236892,0.714162,0.8918149,0.92853665,0.92964506,0.7683964,0.78074145,0.9287946,0.7912582,0.7569459,0.77565384,0.95596844,0.51605844,0.7816899,0.76405966,0.9190388,0.5291142,0.52612865,0.6683898,0.90890753,0.70641494,0.6875555,0.9107641,0.85200566,0.74878776,0.87912375,0.9117635,0.4983367,0.41309625,0.44231963,0.4172738,0.833289,0.4235103,0.48560628,0.95451504,0.7158849,0.5504922,0.9302975,0.9112615,0.51776385,0.7295747,0.8956151,0.95300585,0.89993644,0.78995097,0.44830373,0.7594318,0.91217303,0.8918149,0.5291142,0.77798367,0.5154202,0.5219115,0.47162253,0.4434278,0.7790624,0.93019867,0.5158823,0.5044998,0.9115987,0.4548539,0.51170313,0.56928265,0.6930607,0.869763,0.7597178,0.6127341,0.61430246,0.72294724,0.9072119,0.92837375,0.8058877,0.7289962,0.9287946,0.89823323,0.743881,0.6193538,0.89823323,0.7774718,0.79418963,0.54945433,0.67470527,0.7421784,0.6471935,0.89993644,0.6797515,0.7227886,0.6585171,0.8604138,0.4709118,0.8933108,0.7985564,0.7322383,0.71979725,0.879183,0.8346106,0.6443645,0.51161426,0.75113904,0.90890753,0.65954447,0.47641298,0.6754048,0.6858781,0.93019867,0.9360445
0.94656414,0.71580637,0.84121025,0.89149487,0.99999994,0.80550253,0.7349808,0.9606155,0.8943568,0.9606155,0.59585387,0.56194437,0.95661616,0.9527059,0.81003207,0.94347894,0.93681854,0.93681854,0.8159046,0.80374396,0.9720264,0.9693062,0.5250468,0.52730405,0.9662024,0.81258607,0.78306544,0.92804134,0.9596323,0.96219355,0.8702669,0.8902898,0.9656703,0.8713425,0.8242091,0.86454105,0.94211316,0.5507191,0.8782185,0.82710767,0.9606155,0.5367666,0.55705816,0.7867019,0.984753,0.8325765,0.8408275,0.9602755,0.9152583,0.8398553,0.93556327,0.9693062,0.56386805,0.4482151,0.49549186,0.46322307,0.9322661,0.45791966,0.5561013,0.9453521,0.7880968,0.5744928,0.96057886,0.96752214,0.59325624,0.833217,0.9597425,0.9474382,0.9398101,0.8637512,0.47964284,0.86552954,0.9673559,0.92804134,0.5367666,0.85170734,0.58820045,0.5291588,0.49498898,0.5212695,0.84817964,0.93681854,0.6024898,0.53728986,0.98650455,0.49686083,0.5526857,0.64735854,0.81409717,0.9403257,0.85213387,0.65104747,0.71854794,0.85487515,0.9659474,0.95798194,0.8444315,0.7943605,0.9656703,0.98850316,0.85610896,0.67075384,0.98850316,0.8846331,0.85488856,0.61262,0.8100742,0.85738707,0.77966964,0.9398101,0.8183562,0.7895035,0.7955828,0.92384285,0.5136439,0.9343712,0.8757729,0.807393,0.7950252,0.9243657,0.912583,0.7771225,0.5831386,0.85801244,0.984753,0.7760215,0.5424995,0.79710674,0.80835354,0.93681854,0.94655544
0.73688745,0.78844404,0.9214405,0.68166137,0.80550253,1.0000002,0.78202456,0.7813275,0.85583603,0.7813275,0.5307188,0.60316074,0.853388,0.8078139,0.83633685,0.84433615,0.77433574,0.77433574,0.866903,0.9143124,0.7969816,0.79392815,0.4726827,0.52138984,0.7648601,0.83416915,0.82989013,0.78195393,0.76279414,0.7592386,0.8798276,0.865053,0.7599874,0.86510986,0.8624313,0.8929447,0.7405721,0.4806375,0.90170693,0.85276806,0.7813275,0.4154849,0.48478103,0.9255899,0.77864885,0.93578804,0.9210777,0.78548723,0.8097486,0.8491396,0.779997,0.79392815,0.5304626,0.38739026,0.50146323,0.44519097,0.82227945,0.39473534,0.5817512,0.7485706,0.8266601,0.48912317,0.75960577,0.7927496,0.6216949,0.8929809,0.8177545,0.75252277,0.78925854,0.8523215,0.42148268,0.88791436,0.77904046,0.78195393,0.4154849,0.8373282,0.6138421,0.41340953,0.4207034,0.6034392,0.8490498,0.77433574,0.6446068,0.43914598,0.769698,0.43415457,0.4846228,0.57017887,0.9136154,0.7959423,0.868844,0.5912727,0.78338027,0.91527224,0.7962669,0.75986916,0.80873615,0.82723427,0.7599874,0.7877386,0.85558105,0.572275,0.7877386,0.89248407,0.7420905,0.5660917,0.94864833,0.86126107,0.94680977,0.78925854,0.95607364,0.8400098,0.9582072,0.76241994,0.4550901,0.7649761,0.8505786,0.83193874,0.832407,0.7638639,0.79777825,0.88122827,0.60826457,0.8680563,0.77864885,0.9340986,0.54648966,0.92347336,0.9610061,0.77433574,0.7447188
0.6941363,0.9670537,0.7223697,0.63996583,0.7349808,0.78202456,1.0,0.7190604,0.7021048,0.7190604,0.5231161,0.56023335,0.74815124,0.71926713,0.66791934,0.7551714,0.70437396,0.70437396,0.7059587,0.7308261,0.737109,0.7319071,0.48354596,0.5204583,0.71935415,0.65813375,0.6352449,0.6775951,0.7141676,0.7161056,0.73805547,0.737527,0.714262,0.72748077,0.73547995,0.7580827,0.6845661,0.49206212,0.78711486,0.7185994,0.7190604,0.4868784,0.51778245,0.7208733,0.7205689,0.7824586,0.7601057,0.72535485,0.6928238,0.77589613,0.700276,0.7319071,0.50316894,0.3915481,0.4917664,0.42009383,0.74073076,0.39713472,0.54908323,0.6915406,0.6457995,0.50651014,0.71370405,0.73088646,0.57741004,0.76569486,0.7395277,0.68870175,0.7167024,0.6908513,0.4281437,0.7930627,0.72687936,0.6775951,0.4868784,0.75146043,0.57787263,0.47827852,0.46266717,0.5215646,0.7604784,0.70437396,0.5810343,0.47811782,0.7206926,0.44746104,0.50669456,0.57367706,0.76007044,0.7016434,0.716469,0.55841154,0.9650242,0.75242937,0.73163134,0.71790385,0.6758403,0.6479846,0.714262,0.7344975,0.6769209,0.54730064,0.7344975,0.77270734,0.61656487,0.53595525,0.7554771,0.6847689,0.7581203,0.7167024,0.77087736,0.6760622,0.81320953,0.6917994,0.47711793,0.6880975,0.6935955,0.6478547,0.6439494,0.72709656,0.75237465,0.6891688,0.57388854,0.79777896,0.7205689,0.7211069,0.53511095,0.7227743,0.80204463,0.70437396,0.69766754
0.9374531,0.69568944,0.82602346,0.9190388,0.9606155,0.7813275,0.7190604,1.0,0.9056754,1.0,0.6150763,0.57863426,0.9390685,0.9534201,0.81930375,0.94989115,0.9790835,0.9790835,0.8281235,0.7834886,0.992307,0.9964006,0.55195034,0.54602057,0.98303294,0.8029419,0.7856153,0.9416884,0.9838209,0.9809961,0.86600935,0.8534677,0.9866477,0.8827334,0.8316585,0.8586874,0.9365663,0.56903553,0.87750465,0.83714575,1.0,0.5537741,0.5807831,0.76553965,0.9616821,0.8110443,0.78853965,0.9297303,0.9332582,0.82022613,0.96297383,0.9964006,0.58770764,0.4855458,0.50824463,0.500811,0.89412284,0.49540114,0.5704286,0.95754546,0.8004348,0.56313825,0.985734,0.993774,0.60328025,0.83098847,0.9572685,0.94066894,0.97630465,0.83566415,0.5197305,0.8485284,0.993087,0.9416884,0.5537741,0.83255756,0.6013164,0.5481218,0.51508623,0.5486688,0.84314114,0.9790835,0.6130861,0.5405191,0.95968026,0.51481,0.56078786,0.62018746,0.8032638,0.97173184,0.8568419,0.6580231,0.7037927,0.82582575,0.99576306,0.9827837,0.8762217,0.8102822,0.9866477,0.95364374,0.831763,0.6885311,0.95364374,0.86776155,0.8404472,0.6286996,0.78110695,0.831649,0.7490802,0.97630465,0.79303783,0.81142247,0.771031,0.9534619,0.5460745,0.9662198,0.8945895,0.81816995,0.80600977,0.9400126,0.89795196,0.7349702,0.59636277,0.8627501,0.9616821,0.7655321,0.55574906,0.7675171,0.7874118,0.9790835,0.9858271
0.8379896,0.69887155,0.89057755,0.80445343,0.8943568,0.85583603,0.7021048,0.9056754,1.0000002,0.9056754,0.57739854,0.63622713,0.94241476,0.94701624,0.94848233,0.93089175,0.8981313,0.8981313,0.93783116,0.83578813,0.9072967,0.9135317,0.512658,0.5507915,0.87628233,0.93306035,0.94143313,0.91510475,0.87534654,0.8756604,0.9119976,0.91552866,0.87726957,0.9552002,0.90945,0.9183843,0.829483,0.5279321,0.9117867,0.9183925,0.9056754,0.48186734,0.54904836,0.8575325,0.86676496,0.87907284,0.8576149,0.8508103,0.9317883,0.83144236,0.9024962,0.9135317,0.5614039,0.45040867,0.5303976,0.5100394,0.8588608,0.46215862,0.6085944,0.85705775,0.9569582,0.5115867,0.8720017,0.91309994,0.6492299,0.8845747,0.9267761,0.8363749,0.92966366,0.8768578,0.47701955,0.875063,0.9029663,0.91510475,0.48186734,0.837998,0.6381621,0.477462,0.44830558,0.6690258,0.8659779,0.8981313,0.6615064,0.47299233,0.87195235,0.46184283,0.503049,0.5615597,0.9075131,0.92695713,0.94648504,0.64014626,0.7007753,0.91306275,0.9167366,0.87385345,0.9437922,0.9594557,0.87726957,0.8660182,0.9557912,0.63643396,0.8660182,0.86583185,0.8519511,0.6261029,0.8517655,0.9577229,0.8411822,0.92966366,0.8641672,0.93968153,0.85410166,0.8890112,0.49975887,0.8901597,0.9931186,0.96754265,0.96397513,0.8413064,0.8591682,0.8308599,0.63284767,0.8764946,0.86676496,0.88413584,0.5840883,0.8323353,0.85574,0.8981313,0.85896283
0.9374531,0.69568944,0.82602346,0.9190388,0.9606155,0.7813275,0.7190604,1.0,0.9056754,1.0,0.6150763,0.57863426,0.9390685,0.9534201,0.81930375,0.94989115,0.9790835,0.9790835,0.8281235,0.7834886,0.992307,0.9964006,0.55195034,0.54602057,0.98303294,0.8029419,0.7856153,0.9416884,0.9838209,0.9809961,0.86600935,0.8534677,0.9866477,0.8827334,0.8316585,0.8586874,0.9365663,0.56903553,0.87750465,0.83714575,1.0,0.5537741,0.5807831,0.76553965,0.9616821,0.8110443,0.78853965,0.9297303,0.9332582,0.82022613,0.96297383,0.9964006,0.58770764,0.4855458,0.50824463,0.500811,0.89412284,0.49540114,0.5704286,0.95754546,0.8004348,0.56313825,0.985734,0.993774,0.60328025,0.83098847,0.9572685,0.94066894,0.97630465,0.83566415,0.5197305,0.8485284,0.993087,0.9416884,0.5537741,0.83255756,0.6013164,0.5481218,0.51508623,0.5486688,0.84314114,0.9790835,0.6130861,0.5405191,0.95968026,0.51481,0.56078786,0.62018746,0.8032638,0.97173184,0.8568419,0.6580231,0.7037927,0.82582575,0.99576306,0.9827837,0.8762217,0.8102822,0.9866477,0.95364374,0.831763,0.6885311,0.95364374,0.86776155,0.8404472,0.6286996,0.78110695,0.831649,0.7490802,0.97630465,0.79303783,0.81142247,0.771031,0.9534619,0.5460745,0.9662198,0.8945895,0.81816995,0.80600977,0.9400126,0.89795196,0.7349702,0.59636277,0.8627501,0.9616821,0.7655321,0.55574906,0.7675171,0.7874118,0.9790835,0.9858271
