0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0.9999998,0.78884304,0.9431305,0.9347306,0.92005515,0.92390156,0.7931826,0.9265011,0.92102736,0.91262484,0.9272232,0.94954944,0.87787735,0.9068732,0.9628604,0.5017532,0.80068266,0.8762897,0.88792837,0.92857194,0.95761913,0.8798081,0.57373536,0.9428789,0.90299,0.8427569,0.9434408,0.8589343,0.9012592,0.9605966,0.9023201,0.8911803,0.8528435,0.8235444,0.924349,0.8599349,0.9609946,0.92566794,0.8721131,0.87593496,0.9508131,0.804303,0.95440125,0.9489318,0.90730524,0.92623186,0.94505906,0.9138182,0.953219,0.7605094,0.9127112,0.9152361,0.9418451,0.89408445,0.9073411,0.90411234,0.9016877,0.880749,0.8959902,0.92550844,0.57303274,0.9127112,0.9387233,0.49035087,0.9111542,0.712566,0.45801437,0.9664626,0.88021725,0.9221777,0.92641515,0.93659526,0.8234498,0.89529794,0.90595245,0.956635,0.9793433,0.8991253,0.80529034,0.93097275,0.96665263,0.89368683,0.90468407,0.9236657,0.89928335,0.4539144,0.9793904,0.9113103,0.9244739,0.9140684
0.78884304,0.9999997,0.8287155,0.8247351,0.71877855,0.7363094,0.94710183,0.8303012,0.8542431,0.7262564,0.70424867,0.74998367,0.8328966,0.8243869,0.8116679,0.49402416,0.92242825,0.63726926,0.71059704,0.76322734,0.7745131,0.6342638,0.68935513,0.76683426,0.81819165,0.62530196,0.8173535,0.87725383,0.8361138,0.8181933,0.8576832,0.7335538,0.9014256,0.8998026,0.8719661,0.86908823,0.7925447,0.753747,0.87061316,0.8567977,0.80201346,0.9248699,0.77269113,0.7969927,0.7189859,0.8133375,0.8381593,0.90483135,0.7836946,0.9358775,0.900776,0.8265344,0.7922815,0.77563524,0.8549515,0.86554146,0.8365619,0.8193037,0.8938966,0.83173025,0.47493556,0.900776,0.8009932,0.49188074,0.78234273,0.82472336,0.45116052,0.79158926,0.8306881,0.8138117,0.8435973,0.7896991,0.7910067,0.84395605,0.7414526,0.7915609,0.76024926,0.8373109,0.92244595,0.84552574,0.74971575,0.8596269,0.8442679,0.8863597,0.66110706,0.47051206,0.7711859,0.85923356,0.85039747,0.81108916
0.9431305,0.8287155,1.0000001,0.95218635,0.88411283,0.9050759,0.83688176,0.9756713,0.9510881,0.8921709,0.91904444,0.9485046,0.8992732,0.92023075,0.95089644,0.4715577,0.8357301,0.84172064,0.8686557,0.9055398,0.9511915,0.83970994,0.59502405,0.92951393,0.92714304,0.83312374,0.936706,0.9072832,0.93219733,0.94694453,0.9127642,0.90487874,0.8715224,0.8417018,0.94396174,0.88916373,0.9583933,0.9164473,0.91673046,0.89279336,0.9510673,0.8402349,0.94223243,0.95317775,0.88330054,0.9371895,0.9525673,0.9371276,0.9599666,0.7828499,0.935027,0.92496943,0.9482239,0.8761885,0.92758465,0.933458,0.9162938,0.90401715,0.9119886,0.9332102,0.576266,0.935027,0.950751,0.49609122,0.9104273,0.73829925,0.45202821,0.94685346,0.9072299,0.9284357,0.9535805,0.94342136,0.8288111,0.9179368,0.8875825,0.9520613,0.9327339,0.91229016,0.83944213,0.9430505,0.9344575,0.9392996,0.91804826,0.9474179,0.85320187,0.4489167,0.937497,0.9208454,0.9412637,0.9366067
0.9347306,0.8247351,0.95218635,0.99999994,0.89401037,0.93192863,0.82803583,0.9436836,0.9129917,0.90689135,0.913611,0.9397391,0.87624454,0.90162313,0.9344298,0.4748124,0.8380311,0.8497575,0.88927865,0.9153971,0.9429976,0.8486402,0.6016914,0.94588655,0.9444177,0.85678244,0.94331163,0.90500534,0.8993995,0.9496194,0.9145643,0.925573,0.9070041,0.81529415,0.9224382,0.9124155,0.9463602,0.9405436,0.9112111,0.8820669,0.94970715,0.83765876,0.93925714,0.955086,0.8976908,0.8929849,0.9409554,0.93749785,0.9506773,0.7775279,0.93651617,0.8996358,0.95024645,0.8689831,0.94610155,0.9474803,0.88240886,0.8679988,0.910659,0.9494286,0.54895645,0.93651617,0.96051824,0.46709996,0.9129869,0.7432868,0.42948082,0.92219055,0.87324923,0.93720025,0.95344687,0.9539322,0.82300335,0.88109785,0.88992876,0.9364872,0.945513,0.8947309,0.8151857,0.92569053,0.9088894,0.91415715,0.9054791,0.9438037,0.8633394,0.43590754,0.9459872,0.904629,0.94160956,0.9449376
0.92005515,0.71877855,0.88411283,0.89401037,1.0000001,0.93963945,0.724584,0.8701909,0.8560269,0.93955535,0.92504096,0.93461215,0.86036307,0.8737766,0.89600134,0.48457113,0.7483859,0.94884527,0.91259193,0.9037656,0.91557384,0.9653511,0.60004663,0.9143664,0.87386656,0.8997741,0.89833176,0.8202511,0.8485122,0.89908165,0.85956115,0.8985087,0.8139012,0.7549676,0.83902866,0.8014883,0.9151005,0.90984476,0.8311954,0.8388779,0.9003947,0.7526624,0.939639,0.8878188,0.9087349,0.89147246,0.8708849,0.87854373,0.9152421,0.7313576,0.8713706,0.8817604,0.8901011,0.9439281,0.87393725,0.8442337,0.88193077,0.8600143,0.8694764,0.912416,0.57835263,0.8713706,0.88331366,0.47921735,0.8835666,0.714026,0.4507868,0.9069847,0.8555779,0.8973605,0.8526281,0.89423984,0.8431952,0.83434796,0.90676004,0.90693396,0.9261151,0.8887021,0.7269659,0.8468982,0.92817074,0.83621716,0.8907621,0.8797329,0.94740796,0.45134634,0.9284188,0.877554,0.8840335,0.8863142
0.92390156,0.7363094,0.9050759,0.93192863,0.93963945,1.0,0.7350115,0.8937163,0.86120063,0.9161184,0.92027223,0.9400228,0.84010965,0.8609381,0.90202636,0.4526024,0.7465744,0.9059814,0.928443,0.8995961,0.92729235,0.9155988,0.6265298,0.9429668,0.9046792,0.9290466,0.92059225,0.83564866,0.8612819,0.91404724,0.8530557,0.92921644,0.83360314,0.73787856,0.8592998,0.8362819,0.9306735,0.9250927,0.845827,0.8548325,0.9118662,0.74996483,0.93587047,0.92376244,0.94183254,0.88443905,0.8885595,0.9065534,0.9369961,0.731825,0.886431,0.85962677,0.9236651,0.8941286,0.92013365,0.9009766,0.8578583,0.84145993,0.8712238,0.9288547,0.5587239,0.886431,0.91871285,0.4500121,0.9065576,0.70799613,0.41845828,0.9076165,0.8430784,0.92687273,0.88701695,0.9052614,0.82286334,0.81775665,0.920017,0.9107332,0.94908446,0.89741975,0.7300237,0.8583348,0.91804636,0.84200084,0.89911723,0.90981376,0.8992415,0.42927545,0.9500424,0.8825435,0.88816607,0.9133826
0.7931826,0.94710183,0.83688176,0.82803583,0.724584,0.7350115,1.0000002,0.84574366,0.87865925,0.7260065,0.71503484,0.7561022,0.86256397,0.85215485,0.82542396,0.5171757,0.94324565,0.6438966,0.73187876,0.76697236,0.7781079,0.6376915,0.6896832,0.76792425,0.81315875,0.6120552,0.8196467,0.89262366,0.8482294,0.8220204,0.86829793,0.7207607,0.89420974,0.9325756,0.8711075,0.8687427,0.804086,0.7533016,0.8853935,0.8799319,0.81608284,0.94552124,0.78191626,0.81115586,0.72873366,0.830869,0.8432282,0.8791632,0.7862772,0.9084084,0.90314084,0.8520291,0.79389644,0.7953266,0.84158444,0.8671217,0.8565434,0.84197086,0.909943,0.8311722,0.4996314,0.90314084,0.8162606,0.50588495,0.80061656,0.8427796,0.48024866,0.80443597,0.86503863,0.81874776,0.850039,0.7975421,0.8026622,0.8736161,0.74820197,0.80847573,0.7632141,0.8586316,0.9458477,0.8498931,0.755932,0.877355,0.86594653,0.87244725,0.66383713,0.4890409,0.776451,0.8766315,0.86704516,0.8021248
0.9265011,0.8303012,0.9756713,0.9436836,0.8701909,0.8937163,0.84574366,1.0000002,0.95283365,0.87228686,0.89876455,0.92961043,0.8964611,0.9154613,0.93382084,0.45779833,0.84542733,0.8191878,0.8586237,0.885051,0.9307642,0.81502724,0.61772525,0.9172699,0.91704303,0.82367545,0.9244472,0.93587476,0.9273181,0.93667245,0.9099436,0.8920243,0.8706691,0.8403812,0.93094474,0.8906058,0.9416069,0.8979241,0.9369602,0.89682853,0.94004315,0.8483211,0.92022544,0.9471607,0.87186027,0.9396192,0.9512371,0.922598,0.94480264,0.7873896,0.9410607,0.94154525,0.9420979,0.88017815,0.9145124,0.92636615,0.9310441,0.92998344,0.92061424,0.9326328,0.5600343,0.9410607,0.9422932,0.48291567,0.8938146,0.7466577,0.4359389,0.9298344,0.9312761,0.925835,0.94674116,0.9270937,0.85975736,0.92198515,0.8701689,0.94629294,0.9157942,0.92794275,0.84338,0.9370161,0.91484964,0.96242887,0.9269863,0.9341166,0.83048683,0.44494206,0.92289746,0.92133546,0.9381719,0.92185616
0.92102736,0.8542431,0.9510881,0.9129917,0.8560269,0.86120063,0.87865925,0.95283365,1.0000001,0.83955187,0.8740033,0.90400314,0.9185554,0.9349371,0.9340466,0.5024525,0.8639225,0.7881981,0.8381875,0.8710797,0.9184494,0.7905365,0.61407876,0.9003614,0.8876081,0.7613753,0.9118123,0.8933692,0.9333111,0.93395245,0.91174805,0.8446018,0.8718923,0.9074448,0.9395044,0.8842812,0.9356563,0.8742218,0.8949806,0.9398856,0.9362897,0.8700366,0.9101417,0.93005794,0.8577426,0.93782747,0.92610216,0.9305575,0.92556524,0.8219766,0.94819397,0.94201386,0.9260112,0.8892601,0.8970537,0.91809565,0.9553489,0.94920415,0.9388493,0.9083671,0.56486106,0.94819397,0.9273802,0.5115818,0.88962275,0.7722856,0.4850126,0.9301989,0.9481005,0.9036779,0.9477631,0.9191788,0.83502316,0.93366337,0.86473346,0.9493596,0.9017516,0.9233438,0.88751304,0.9299285,0.9142229,0.9517288,0.94897586,0.9490419,0.79640853,0.47937003,0.914495,0.9483868,0.93791264,0.8937022
0.91262484,0.7262564,0.8921709,0.90689135,0.93955535,0.9161184,0.7260065,0.87228686,0.83955187,1.0000001,0.91121846,0.92247194,0.83298457,0.85311604,0.89938927,0.49968186,0.76413614,0.92436415,0.89195526,0.8964149,0.9034436,0.9219074,0.5710671,0.9125415,0.8975041,0.9042697,0.8977805,0.83703125,0.83071744,0.8947742,0.8796016,0.9118738,0.82993335,0.7252302,0.8466665,0.82970107,0.90524155,0.92480785,0.85992426,0.8036033,0.89696914,0.765839,0.9233402,0.89692867,0.88853097,0.8743118,0.88583475,0.8801049,0.9102237,0.7066996,0.8765662,0.85993195,0.8848239,0.891541,0.887303,0.8495208,0.846616,0.8265174,0.8586178,0.9240562,0.5771385,0.8765662,0.8880949,0.4695668,0.8895557,0.6853836,0.4337718,0.9001984,0.8304458,0.9076885,0.86520004,0.8987011,0.8339656,0.8239819,0.88828695,0.8994923,0.91496205,0.86504155,0.7089712,0.8619361,0.9037133,0.8410502,0.861403,0.87423575,0.93214333,0.45877916,0.9113424,0.86349815,0.87758464,0.90895045
