0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
1.0,0.9059577,0.43241248,0.90954953,0.8404181,0.5524045,0.45871305,0.893385,0.91620857,0.9761303,0.8778475,0.87550175,0.82689285,0.8250078,0.84001195,0.9808184,0.9502803,0.82689285,0.848886,0.90048647,0.9401612,0.8934122,1.0,0.87553585,0.9123567,0.954107,0.9341412,0.83334804,0.91259867,0.9485883,0.9724743,0.66345036,0.89405143,0.9566888,0.93815696,0.76952595,0.98612064,0.49984002,0.7910733,0.8212422,0.45871958,0.84632015,0.9346243,0.88737816,0.9350581,0.9358698,0.70788646,0.9305252,0.9184816,0.9343837,0.93105036,0.8668081,0.9073033,0.77526677,0.8989874,0.83113146,0.91982067,0.84346837,0.9542477,0.8579166,0.8953301,0.8330589,0.9223309,0.76579905,0.93297166,0.8591122,0.6697438,0.88343614,0.9529412,0.4930904,0.92021465,0.85963833,0.893494,0.96665883,0.9148114,0.8598083,0.8983099,0.94983834,0.9060233,0.8894038,0.8628825,0.88446707,0.9470403,0.91995645,0.9664697,0.85599387,0.91508174,0.8990427,0.9582052,0.9349638,0.8764418,0.98814994,0.899956,0.912843,0.892241,0.9645978,0.900606,0.9569613,0.69292223,0.9223309,0.9136735,0.91699505,0.45871305,0.9029176,0.9208291,0.8915589,0.8757042,0.9630726,0.67102957,0.8909071,0.5569767,0.9138962,0.8802463,0.6309205,0.9143151,0.68950856,0.75627327,0.92692184,0.8785444,0.8938297,0.8773372,0.9156733
0.9059577,0.9999999,0.541278,0.94389033,0.88690656,0.6362413,0.5466203,0.9491873,0.9504601,0.8950961,0.9028357,0.9001025,0.8864038,0.81555426,0.858502,0.8964739,0.9199424,0.8864038,0.85065883,0.84220386,0.8822612,0.9463634,0.9059577,0.9395056,0.8745214,0.8966041,0.8744503,0.85893005,0.8957957,0.9058086,0.9116912,0.67755294,0.8478718,0.89592963,0.95413613,0.80888444,0.90861905,0.5881865,0.83740157,0.84764975,0.53457415,0.81740975,0.91792727,0.84227693,0.8854643,0.8866032,0.7116082,0.9697712,0.9774,0.9497127,0.9145076,0.89787185,0.9828522,0.80853057,0.89176893,0.78474164,0.9453079,0.92781043,0.8966808,0.9145564,0.9348237,0.87134486,0.9697505,0.7930789,0.9536192,0.9282379,0.7019796,0.9425331,0.9491986,0.59517676,0.96667224,0.9302678,0.9145291,0.8992088,0.89381534,0.89322376,0.8494741,0.9286399,0.9051618,0.940371,0.9135103,0.94317997,0.90851706,0.87050146,0.8889781,0.89612275,0.92946,0.8580126,0.9143759,0.9240003,0.8883728,0.89625937,0.91229916,0.84917945,0.9326108,0.9164354,0.91035354,0.91381913,0.7224644,0.9697505,0.95066565,0.9467223,0.5466203,0.9807002,0.9185967,0.83166516,0.8461454,0.9263482,0.674088,0.84969336,0.649276,0.85610074,0.9060532,0.68274426,0.9643897,0.6820988,0.7355474,0.9339787,0.93813765,0.91784316,0.9252801,0.9201111
0.43241248,0.541278,1.0,0.48865166,0.474487,0.7711005,0.6798414,0.5051754,0.51126784,0.42106876,0.47204968,0.44235402,0.47318402,0.41664517,0.44400597,0.42830497,0.4479035,0.47318402,0.42808476,0.3955638,0.4144153,0.49852884,0.43241248,0.5206734,0.39471287,0.42751053,0.42829168,0.4480657,0.47728023,0.4427662,0.4541212,0.61018705,0.4401088,0.41849,0.49237102,0.47213656,0.43462908,0.7452791,0.49141258,0.44499612,0.74107254,0.41051295,0.4479217,0.43598068,0.44297668,0.43424356,0.57391024,0.522786,0.5217209,0.5134776,0.43052006,0.5065303,0.53993505,0.48184842,0.44758362,0.3645754,0.48781037,0.5422878,0.41861254,0.49109226,0.5077423,0.5006852,0.51034105,0.48309344,0.5043277,0.5242402,0.644752,0.5043833,0.49062926,0.71199465,0.5230981,0.5269315,0.4955258,0.4301532,0.49484113,0.4748507,0.41510007,0.4700086,0.46468872,0.510275,0.49017984,0.5169049,0.44544208,0.44727433,0.41951767,0.49301842,0.48278892,0.38991588,0.4639878,0.4766203,0.45782924,0.42289215,0.50417113,0.40297472,0.48414433,0.4505794,0.45024452,0.44094107,0.41911826,0.51034105,0.51865983,0.50966215,0.6798414,0.54045653,0.51251066,0.39587712,0.43361777,0.46024135,0.5814774,0.42630488,0.7807864,0.41377583,0.48926634,0.5476051,0.5335587,0.5863798,0.37615585,0.4821365,0.5086713,0.48222739,0.48556125,0.46849746
0.90954953,0.94389033,0.48865166,1.0000001,0.908095,0.6120654,0.5463393,0.9825929,0.93637323,0.91387916,0.9565762,0.9376607,0.91816753,0.8472674,0.8884044,0.9107852,0.9606374,0.91816753,0.9006035,0.87375927,0.8993664,0.9460449,0.90954953,0.9610425,0.9107701,0.9029364,0.8925936,0.8744187,0.9021617,0.9326651,0.928777,0.6404968,0.867757,0.9069073,0.9734138,0.8207844,0.91616184,0.58428144,0.8727523,0.8915463,0.48394373,0.82463634,0.93461734,0.8531424,0.8926036,0.9061781,0.6754985,0.9671282,0.9588972,0.96740854,0.9146142,0.9235512,0.95797956,0.79856396,0.89788043,0.81736076,0.98638916,0.92796177,0.9257935,0.9515325,0.94692117,0.8931525,0.9645195,0.8021952,0.96813285,0.94638085,0.6639833,0.94251215,0.9397661,0.581031,0.945282,0.9395193,0.91510344,0.92144656,0.89836335,0.8985952,0.8787602,0.95254344,0.93837976,0.97032887,0.9359858,0.9726767,0.9371331,0.8944942,0.9029552,0.92199624,0.95405686,0.8838207,0.92584276,0.93252164,0.9240072,0.9063829,0.9237632,0.8462784,0.9611019,0.91758454,0.9669029,0.9291779,0.76624316,0.9645195,0.9481875,0.9626839,0.5463393,0.95744073,0.9265879,0.8673898,0.8569393,0.9332862,0.6400459,0.85755676,0.6202996,0.84426576,0.9240248,0.665582,0.97077304,0.64779735,0.7375964,0.960493,0.9437799,0.9576493,0.94428146,0.95791185
0.8404181,0.88690656,0.474487,0.908095,1.0,0.5739165,0.5239423,0.9139706,0.9260216,0.83398557,0.90512866,0.85435176,0.9176702,0.789338,0.80664617,0.8173422,0.85518885,0.9176702,0.90644205,0.73947763,0.7826108,0.8924468,0.8404181,0.93714285,0.8139508,0.79872775,0.75307053,0.91856265,0.84731734,0.8627697,0.83521575,0.57041013,0.7711754,0.8417879,0.90522414,0.8449037,0.8383249,0.54542494,0.86672866,0.8283205,0.43820518,0.8490109,0.89160585,0.772469,0.7953124,0.82639664,0.59363925,0.91737634,0.90384185,0.87887895,0.9058792,0.8873261,0.90618175,0.8522969,0.9261538,0.734939,0.9005041,0.9370369,0.81495684,0.9108147,0.9560065,0.8880986,0.91686857,0.84743524,0.89805233,0.9405408,0.5842994,0.9312275,0.87980324,0.55949336,0.8958035,0.95332414,0.9541092,0.8227696,0.8372589,0.98258793,0.7358985,0.87592196,0.83440626,0.9431656,0.96402776,0.92084336,0.8576076,0.83127695,0.8079728,0.9614971,0.93215847,0.85115474,0.8418445,0.8435979,0.85879993,0.81155264,0.894213,0.760463,0.8839054,0.8480252,0.88609636,0.83480513,0.6902549,0.91686857,0.93394434,0.9129442,0.5239423,0.904992,0.86974704,0.75633687,0.8311932,0.8622413,0.56141204,0.8338513,0.5913193,0.79831934,0.88486606,0.6496265,0.92100024,0.5743439,0.73880637,0.8568537,0.94094944,0.8495704,0.9352835,0.86101717
0.5524045,0.6362413,0.7711005,0.6120654,0.5739165,1.0,0.7056492,0.62961155,0.62061775,0.5338362,0.59062696,0.54644597,0.58817375,0.5280886,0.581602,0.5472173,0.5848776,0.58817375,0.540734,0.50832427,0.5333072,0.6091514,0.5524045,0.63170886,0.50290287,0.5503764,0.5445274,0.5567747,0.5731123,0.5646131,0.5673436,0.6772196,0.56936723,0.5449688,0.61581945,0.5658922,0.55149055,0.7700063,0.5914148,0.5593998,0.68230295,0.51401967,0.57281405,0.55784655,0.55945647,0.56232274,0.6829803,0.6376194,0.6362667,0.6241925,0.5505556,0.63257563,0.64280593,0.5792302,0.5448985,0.4738487,0.6108844,0.6432053,0.5472438,0.613459,0.6196295,0.5983714,0.62636817,0.5532133,0.62948525,0.6342037,0.71192575,0.6189364,0.6115693,0.7255727,0.63298696,0.63202965,0.60134786,0.55121577,0.58693886,0.5781408,0.511848,0.594398,0.5790647,0.62230396,0.582857,0.6225401,0.56474173,0.5539317,0.54125035,0.59149575,0.6092014,0.50540555,0.57561076,0.59439456,0.557515,0.54308367,0.5996596,0.51039875,0.60731673,0.56568897,0.57535434,0.576566,0.4725393,0.62636817,0.6348522,0.6204696,0.7056492,0.643383,0.6156189,0.50656253,0.53980136,0.5843384,0.7170206,0.5495776,0.8743048,0.51175463,0.5956807,0.66232866,0.6448312,0.6980336,0.478079,0.5985102,0.6176785,0.5914652,0.60017705,0.58302426
0.45871305,0.5466203,0.6798414,0.5463393,0.5239423,0.7056492,1.0,0.55740094,0.51873285,0.45517036,0.54481107,0.525936,0.56764877,0.49524665,0.5234663,0.47072077,0.5159677,0.56764877,0.54970014,0.48396176,0.481497,0.5503454,0.45871305,0.539089,0.45830756,0.46620733,0.4681845,0.52844775,0.4931262,0.5141681,0.49094975,0.6326693,0.47529337,0.46400237,0.54013205,0.48562336,0.45853198,0.9185981,0.52323675,0.4939319,0.59303665,0.42531395,0.51044405,0.45112056,0.4697178,0.44832563,0.6007819,0.54269946,0.54568404,0.5566375,0.47378036,0.51562643,0.553427,0.49797827,0.47841012,0.3854776,0.5181935,0.55985254,0.47329584,0.56542575,0.55541325,0.52836335,0.527456,0.49321207,0.5562383,0.5558177,0.6270069,0.5286708,0.5078547,0.9390464,0.5348249,0.56616724,0.5276817,0.48808184,0.52081907,0.51562417,0.4837873,0.5268999,0.5446134,0.54272974,0.53895557,0.5587434,0.5171952,0.48281947,0.46006396,0.52272356,0.5441431,0.45656806,0.5078396,0.5060769,0.52799094,0.449535,0.5262817,0.40491253,0.55534434,0.4665473,0.51056075,0.4911706,0.47548342,0.527456,0.5295897,0.555228,1.0,0.55621845,0.52863324,0.46860975,0.4426274,0.49151653,0.6093342,0.46563065,0.7726032,0.40653193,0.5233731,0.6554496,0.56339175,0.6089041,0.40012705,0.5494604,0.55014306,0.5595107,0.5450454,0.54446626
0.893385,0.9491873,0.5051754,0.9825929,0.9139706,0.62961155,0.55740094,0.99999976,0.9402311,0.89139104,0.95093715,0.9214548,0.9141465,0.829893,0.87264377,0.88801867,0.940747,0.9141465,0.88653934,0.84406537,0.87675136,0.9389602,0.893385,0.9706727,0.9027316,0.88671017,0.86717504,0.87446773,0.8862177,0.91196156,0.90863264,0.6323681,0.846182,0.8917319,0.9681566,0.82482123,0.89980423,0.5884871,0.8680304,0.8756175,0.49768654,0.82789093,0.92343146,0.8360138,0.87064874,0.8904389,0.6732905,0.9683096,0.96288735,0.95658064,0.91086894,0.9189528,0.9619438,0.8032127,0.8908354,0.79453146,0.970806,0.9360844,0.9035576,0.959604,0.94530994,0.88819945,0.9647651,0.8004339,0.9646651,0.9495104,0.6536181,0.94573903,0.92987907,0.5958066,0.941625,0.9422325,0.9178277,0.897359,0.88205165,0.90730655,0.84653807,0.9410873,0.92428714,0.9728737,0.93862796,0.9660901,0.91380244,0.874839,0.88418883,0.9216107,0.94673324,0.87033594,0.9134407,0.92300594,0.9101388,0.8870885,0.9191383,0.82552046,0.95852154,0.90587515,0.95166874,0.9143416,0.75126654,0.9647651,0.9523044,0.94819516,0.55740094,0.962116,0.9156692,0.8366849,0.8473867,0.9233747,0.6337024,0.84621507,0.63782746,0.8262042,0.9217466,0.66998637,0.9705388,0.63900083,0.725488,0.94218886,0.94442225,0.9362437,0.9414881,0.9353751
0.91620857,0.9504601,0.51126784,0.93637323,0.9260216,0.62061775,0.51873285,0.9402311,1.0,0.8980915,0.9072199,0.8884882,0.90028536,0.8294816,0.8482946,0.8931952,0.9046243,0.90028536,0.87563914,0.8085818,0.8622678,0.9255718,0.91620857,0.95135826,0.86460036,0.8774774,0.8382341,0.8925462,0.8913586,0.9035952,0.89968103,0.6270304,0.8443527,0.902434,0.9487393,0.84438175,0.91100526,0.56516814,0.87095815,0.8666971,0.5008295,0.86296266,0.9480677,0.8500182,0.8745149,0.89738667,0.6737155,0.9653935,0.95232624,0.9301127,0.9226265,0.917832,0.9561793,0.8554115,0.9233295,0.79986894,0.9363378,0.94288826,0.8832603,0.91466385,0.96204394,0.9045504,0.96076477,0.842005,0.9470661,0.94289905,0.6582571,0.95818216,0.94514155,0.571881,0.94991,0.94515306,0.9468754,0.88459486,0.89467424,0.9363314,0.80795205,0.91973495,0.88418645,0.94987476,0.93504316,0.9283062,0.8943596,0.88382006,0.88479835,0.93467283,0.93779737,0.874614,0.9067712,0.90233,0.89301354,0.90051866,0.92799175,0.83993983,0.9152533,0.9207213,0.91033435,0.89419585,0.71280193,0.96076477,0.9669654,0.9502277,0.51873285,0.95418787,0.9245482,0.8199352,0.8780093,0.9246546,0.6332481,0.87336504,0.6306603,0.8679668,0.92027366,0.6534739,0.95906335,0.64508843,0.76540715,0.9053512,0.93738264,0.8907882,0.92673945,0.90415776
0.9761303,0.8950961,0.42106876,0.91387916,0.83398557,0.5338362,0.45517036,0.89139104,0.8980915,0.9999998,0.8916676,0.90606225,0.842226,0.845903,0.8400763,0.98562616,0.94791234,0.842226,0.8663352,0.92395115,0.956671,0.9024807,0.9761303,0.8668799,0.9218712,0.9503188,0.9490179,0.8255104,0.90434176,0.93904996,0.9704711,0.6565711,0.8988228,0.94166887,0.94213396,0.76776123,0.99314237,0.4968673,0.79799026,0.842052,0.44870242,0.8477622,0.9470952,0.88776624,0.9310643,0.9304515,0.6921233,0.9240564,0.9125544,0.9349678,0.9220151,0.85646945,0.9014368,0.75467825,0.8873567,0.8437921,0.9199652,0.8268863,0.9629273,0.85773575,0.88583314,0.83136743,0.9178506,0.7540127,0.93204045,0.85970306,0.6575132,0.8808008,0.942396,0.49244678,0.91394705,0.8528955,0.8772925,0.9673916,0.9190894,0.84890395,0.92567587,0.9438666,0.9248849,0.88202447,0.85978603,0.88247633,0.9417273,0.916154,0.9678867,0.8595414,0.91797173,0.9109949,0.94862497,0.93080294,0.9058854,0.97717106,0.9009619,0.9225377,0.9107176,0.9463347,0.9217837,0.9462246,0.7273848,0.9178506,0.89980733,0.9192261,0.45517036,0.8989202,0.90932745,0.9172044,0.86736554,0.9517974,0.648525,0.8764715,0.5379367,0.9099531,0.88620687,0.62183267,0.9116866,0.6696695,0.7310389,0.94342804,0.8789312,0.91988015,0.8867089,0.9378014
