0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1.0,0.6314508,0.5378481,0.38634342,0.5242915,0.5936403,0.5065681,0.66449505,0.5365479,0.3959769,0.846506,0.6096187,0.576406,0.568653,0.86860526,0.5315423,0.49904194,0.45643044,0.4526083,0.59683335,0.52376497,0.5390589,0.5369061,0.5216888,0.6051953,0.5595882,0.8510927,0.53636265,0.54307103,0.51908183,0.6720382,0.9456661,0.523112
0.6314508,0.9999998,0.8503311,0.44777957,0.38440454,0.4432479,0.36806977,0.7913157,0.47357678,0.42504424,0.59542024,0.78651327,0.44856435,0.4810471,0.6249412,0.3973912,0.42416346,0.571342,0.42999375,0.48701274,0.44472614,0.41437256,0.46022746,0.47519687,0.3988453,0.4614595,0.65300363,0.413974,0.42355016,0.44233397,0.47964635,0.66568476,0.47165897
0.5378481,0.8503311,1.0,0.40792608,0.3236929,0.38683242,0.3062901,0.66273737,0.40254182,0.38517052,0.48419195,0.87956953,0.37198228,0.4066167,0.59064466,0.3504482,0.36821833,0.55460536,0.37451082,0.43649977,0.38613284,0.33530092,0.4074633,0.42262024,0.31801948,0.39652726,0.58939177,0.35682034,0.35519114,0.38564324,0.41580662,0.59366643,0.43012962
0.38634342,0.44777957,0.40792608,1.0,0.79555947,0.7729296,0.7933265,0.51600015,0.88044894,0.8609144,0.39188057,0.4412075,0.8474466,0.7813474,0.4344417,0.7912162,0.83918244,0.79769945,0.86779547,0.8019408,0.84045017,0.80054617,0.7918681,0.8272084,0.74175715,0.8251263,0.3898575,0.8309363,0.8283932,0.8368126,0.7347586,0.4176457,0.81487125
0.5242915,0.38440454,0.3236929,0.79555947,1.0000002,0.85586745,0.97680604,0.45291552,0.877392,0.86798924,0.5115206,0.34627613,0.89442134,0.8291316,0.46783832,0.8775908,0.93620425,0.67355776,0.85726213,0.85244024,0.94300026,0.88945484,0.8349373,0.8442694,0.85462683,0.90407544,0.47841218,0.94430584,0.9335958,0.933474,0.8096393,0.49129322,0.85185474
0.5936403,0.4432479,0.38683242,0.7729296,0.85586745,1.0,0.8504208,0.49465847,0.84294283,0.8040998,0.55768967,0.43658143,0.86540747,0.8098869,0.5472922,0.9214338,0.8618917,0.74183565,0.8518243,0.94325507,0.87845707,0.8666318,0.91086453,0.90155745,0.88172626,0.8970283,0.5329351,0.88711035,0.883309,0.8747236,0.8747742,0.5707209,0.9076194
0.5065681,0.36806977,0.3062901,0.7933265,0.97680604,0.8504208,1.0,0.44463176,0.8571141,0.8831628,0.49955633,0.33376625,0.87868565,0.80092573,0.46412063,0.8904346,0.9416808,0.6643918,0.87291557,0.83671415,0.9360518,0.893511,0.8217224,0.83970785,0.8361224,0.8966531,0.46209913,0.95688105,0.9422196,0.931492,0.7910676,0.48488194,0.8432583
0.66449505,0.7913157,0.66273737,0.51600015,0.45291552,0.49465847,0.44463176,0.99999994,0.5298153,0.51881665,0.5593115,0.69691634,0.4949526,0.49949798,0.63315576,0.4499558,0.49558824,0.5782925,0.50445944,0.5362737,0.51329035,0.46115524,0.51844865,0.5244435,0.44149262,0.5120021,0.67336607,0.49100977,0.5007138,0.5051351,0.5089587,0.6958044,0.5447303
0.5365479,0.47357678,0.40254182,0.88044894,0.877392,0.84294283,0.8571141,0.5298153,1.0,0.8145608,0.5155009,0.4342888,0.92088526,0.9280029,0.51092863,0.8249996,0.84264565,0.7588823,0.8297665,0.8671911,0.857048,0.8229171,0.844873,0.8526838,0.85364044,0.8475617,0.49930432,0.8576716,0.85792613,0.8490963,0.85743624,0.52906775,0.8417814
0.3959769,0.42504424,0.38517052,0.8609144,0.86798924,0.8040998,0.8831628,0.51881665,0.8145608,0.99999994,0.38380802,0.42209074,0.80731094,0.71405804,0.4347203,0.857458,0.9292028,0.7456687,0.91875184,0.8171487,0.9252683,0.8446122,0.82064855,0.87364954,0.73911405,0.89919424,0.41648132,0.9163726,0.9212487,0.918868,0.7033851,0.43322158,0.87318945
