0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
0.0,8.362906,10.416727,6.7010884,11.020652,7.052688,7.4886246,8.274534,8.010936,7.522615,7.408263,9.5848675,10.201946,5.818992,5.1716304,9.385802,6.90845,5.6504183,8.306263,7.0584326,7.2704635,7.663761,7.6916294,8.212668,7.9779263,8.15844,7.6705184,8.608439,9.680165,14.159429,9.745882,9.067789,8.544553,9.538209,9.884528,7.875734,7.1285458,19.150366,6.3690486,7.3961062,9.855958,8.862818,8.793443,7.6847725,8.969899,9.348958,7.459568,7.759523,7.7590156,7.425024,8.879513,7.1135592,7.7963495,7.310989,8.254694,8.046238,8.844464,8.762356,8.087285,8.518245,8.19756,8.430629,7.786784,7.6227245,7.7423368,6.934506,9.941398,9.171741,7.7345095,8.577941,8.747479,9.370776,21.04908,7.496857,7.6531754,6.3375483,8.429248,6.1874733,6.9341855,7.6313734,9.0872965,6.566778,8.0466175,8.74672,21.04908,7.324708,6.425405,6.889246,7.011776,9.652964,11.056841,7.197143,7.5180793,6.2940345,7.2376285,7.4471965,7.4471965,8.504819,7.2411637,7.118274,8.945524,9.790532,9.872448,10.378024,8.633752,7.4114456,9.80914,8.152171,10.119219,8.623621,8.107304,9.2259035,9.173598,8.382744,8.524081,4.376472,6.5117717,8.343219,5.793333,6.074933,9.609246,7.655993,6.6930065,6.4563746,7.237823,10.126678,3.2257335,8.486025,10.629364,9.714747,5.407129,5.2559633,7.715919,8.380779,7.618871,7.1005363,7.8551373,7.808389,9.043216,8.534019,7.919774,7.1773424,8.958663,8.903296,8.283082,7.73533,7.6477213,7.438667,6.899149,6.6906724,8.067964,6.439413,7.8587146,9.24063,6.7319994,6.9561324,9.028999,6.9434342,7.3265414,6.1821833,7.30386,7.4325047,7.748875
8.362906,0.0,8.809504,9.481124,12.162889,7.665085,7.9074035,7.7566934,7.9730973,7.2116747,8.264799,7.6058087,7.797017,7.8657722,7.77961,8.2990265,6.654916,7.7799926,6.4668555,6.3947806,6.0115314,7.588837,7.08245,6.1098895,6.202785,5.8132935,7.9303513,7.9851375,7.3330293,11.795746,9.579053,6.8739424,6.5794516,8.196525,6.1684804,5.739514,6.5356727,18.258085,8.247714,8.790846,8.065655,9.067825,5.901181,7.1733747,5.915808,6.4029713,8.666099,9.10876,7.997,7.787395,6.2037516,5.9714055,8.541074,10.840832,6.615301,7.6796,8.125921,7.9247093,7.6226125,7.941489,8.370683,6.1098638,6.758071,6.8476806,7.6384325,8.110791,7.8627543,6.0854487,7.5288625,6.6118474,6.6990495,6.9252057,20.203215,7.6156874,7.8229833,7.6475387,8.820228,7.5775976,6.211926,9.15885,3.5399845,8.045652,5.9112096,6.1801953,20.203215,8.421054,5.7745852,6.762074,6.198277,9.968175,10.875292,6.2874637,7.283867,7.4747186,6.6571302,6.455832,6.455832,6.3318567,8.056519,6.586307,5.9863157,7.3358674,7.988968,9.033296,8.129473,6.593175,6.8943343,8.537982,10.232783,6.2287173,6.037279,8.061785,6.5033207,6.877419,2.3250415,8.109119,6.326437,7.3236823,7.9821014,7.9597487,7.6280723,7.3698997,7.9150233,7.821471,7.239834,7.1401067,8.335613,6.855749,6.953387,7.8143,8.72121,8.546769,7.5016003,8.94012,8.347703,7.8389964,7.1812363,6.8191032,6.6649237,6.1513495,6.3864393,6.046813,8.174073,8.3198,8.12514,7.2199,9.094404,6.9893427,6.3955035,7.62843,8.412838,8.21954,5.8924055,6.87831,7.1875873,9.413493,8.472001,8.313443,7.2926016,6.873263,7.7269998,6.6309056,8.9818945
10.416727,8.809504,0.0,10.165216,11.494194,8.564819,9.584972,9.369195,8.710974,8.862059,9.103431,8.570166,3.677846,10.978293,10.555946,6.0665092,9.520719,10.217587,10.4015255,9.938126,9.387302,10.637225,10.41509,7.787325,9.639388,7.526156,9.856085,11.23934,11.410789,13.012723,11.456405,10.634153,10.624195,11.848289,9.996589,9.718828,7.221091,18.09243,9.400882,10.991785,10.946306,11.589739,7.555999,7.8253026,8.213159,10.274291,11.196016,8.876103,7.7713566,9.523921,10.351827,8.281585,10.778501,10.485197,9.585457,10.397121,10.494836,10.263845,9.692827,9.732107,11.094222,9.967597,9.41586,9.338434,9.259371,10.656825,4.4960055,10.144249,10.335781,10.275309,10.574333,10.634828,19.655266,10.439442,11.072475,10.682941,9.722063,9.478999,9.238178,10.420764,9.960042,11.23325,7.6218596,10.307577,19.655266,8.132864,8.898634,9.790583,9.377598,11.062861,10.172931,7.771255,9.264402,10.897745,8.837976,9.984198,9.984198,10.150682,10.185268,9.116297,10.334709,11.375833,11.372321,11.354732,11.891692,8.40745,9.200601,11.077613,12.685616,10.663449,7.785847,11.754112,10.732134,10.71589,9.068347,10.335241,9.122862,11.416687,10.486918,10.926729,9.927062,7.511184,10.8006115,9.291491,10.037653,10.351393,10.7513685,10.699196,9.01189,8.669145,10.804594,10.954835,8.350953,11.214057,7.872586,11.094563,10.633619,9.547508,10.4886265,9.630437,9.809361,9.508197,11.827186,8.439156,10.687505,10.023896,11.997614,8.179068,6.757436,10.789947,11.024524,10.713209,7.9555054,10.663676,9.611785,10.866216,10.540769,10.237914,7.1546464,10.444841,9.890902,9.60267,9.83127
6.7010884,9.481124,10.165216,0.0,11.102476,6.8448076,7.7474327,9.342653,8.942356,8.432454,6.9811645,9.472522,9.76809,8.253493,8.891994,9.942279,7.485603,8.102366,10.4940405,8.59355,8.747013,9.781048,9.846496,8.47154,9.622232,8.132399,8.559593,9.284249,9.923506,13.363784,9.827556,9.443165,9.474831,9.352791,9.919112,9.027422,7.954684,18.796438,6.796959,8.458361,9.88481,8.466101,9.641265,8.047458,9.9072485,10.211251,7.918797,6.7544565,7.4843774,7.9465017,10.294029,8.560885,8.142045,6.953853,9.072169,10.051621,11.270039,11.346273,9.473865,10.050362,10.62812,9.242707,9.715601,9.64038,9.966665,9.144351,9.885798,9.692148,8.675177,10.883628,10.225174,9.601927,20.82105,8.166964,9.504619,8.922934,7.7382684,7.6925664,8.408963,7.558056,10.29984,9.292594,8.14727,9.977473,20.82105,7.1787066,8.069976,8.551149,8.2982,9.099618,11.442987,7.421063,9.175992,8.273915,7.6593246,8.625801,8.625801,9.460674,8.284627,8.147379,9.519828,10.661523,10.073678,11.269306,10.236558,9.099102,9.847563,8.884358,10.539171,10.081957,8.1487055,9.147385,9.727881,8.947474,9.624006,6.797939,7.591503,10.191041,8.632937,9.380021,9.456911,7.414269,8.724933,7.429896,8.392629,9.972816,7.2441792,10.135928,10.615561,9.589156,7.8471894,7.9081874,7.834651,10.18564,7.8658547,8.715145,9.313624,9.8528595,9.04385,9.17003,9.899669,9.017635,10.766769,10.466304,10.457981,10.185609,10.123627,7.700639,7.5607586,8.8229265,10.246098,7.525092,8.836035,9.263806,9.335075,4.9167686,8.85473,7.757583,7.9502797,8.635119,9.934466,9.417527,7.5722165
11.020652,12.162889,11.494194,11.102476,0.0,10.539002,9.861858,10.110739,9.713592,10.253635,9.831211,12.245672,11.744082,10.107976,12.029613,8.929838,11.133894,10.207795,12.005024,11.031751,12.093557,11.208745,11.457966,11.849208,11.883552,10.135244,10.155844,13.544824,13.865119,16.599613,13.088437,13.4018135,11.862733,13.322515,13.783234,12.332796,10.018102,19.123985,11.133005,12.9359255,13.930923,12.510962,12.378172,9.725351,11.822168,13.748394,12.92994,10.743557,9.267071,9.951055,13.323986,10.90048,10.281985,10.449781,12.56839,10.800527,11.609601,11.8778715,10.410487,10.122327,11.360438,12.81455,12.041331,11.238509,10.51302,10.059321,11.587231,13.395082,10.900443,11.834044,11.620066,13.730805,20.787626,10.693539,11.44788,10.489773,11.215589,9.649178,12.17926,11.619496,13.164942,10.476765,9.8974,12.253456,20.787626,8.938386,10.333595,10.082858,10.306311,13.077132,5.472878,9.948019,9.519878,10.855962,10.609641,11.428945,11.428945,13.129787,9.710336,10.515693,12.907088,14.352066,13.590467,14.139577,12.874219,11.427339,12.931483,12.61596,13.231564,13.140366,10.1177225,14.053704,13.465718,12.478019,12.088664,11.937652,11.16106,12.175266,11.115534,11.674432,13.138229,10.2084875,10.428849,9.502516,10.892266,13.869439,11.212891,11.626294,13.45506,12.485229,13.118339,9.536675,9.302097,13.6934805,10.577883,11.294389,11.763882,11.03943,13.320744,12.8622875,11.530877,11.813437,13.505371,10.447942,10.963344,11.332216,10.7655325,10.038028,9.92976,10.637712,10.846384,10.74683,11.629345,13.408081,10.952211,10.833678,13.112974,9.827693,8.994248,11.282881,10.560893,11.831129,9.853545
7.052688,7.665085,8.564819,6.8448076,10.539002,0.0,4.866982,6.7327337,6.383261,5.4049673,3.782828,7.3223753,7.7759976,6.8035545,8.000875,7.731169,7.036596,6.709515,8.546054,6.960358,6.3432016,7.715479,7.54085,5.96232,7.046192,6.1154566,5.5906453,9.45646,9.495643,12.803927,10.081067,8.570498,7.6454105,9.245444,8.654791,7.5108867,6.4877696,18.12399,7.302788,8.666314,9.199429,8.803896,7.172318,6.454482,7.938863,8.811313,8.553631,5.984187,5.828313,5.0057325,9.225064,6.9317126,5.5970964,7.83346,7.602173,8.736567,9.766003,9.792939,8.172462,8.251809,8.675957,7.58148,7.9259505,7.8653684,8.187859,7.1399236,8.079844,8.42896,7.9716535,9.219066,8.178773,8.757237,20.14026,7.368144,7.4847937,7.3574185,7.4802623,6.720792,6.9515796,6.6595125,8.726093,7.948269,6.0182176,8.413604,20.14026,6.2943726,6.2137647,6.370424,6.1984854,8.918948,10.299287,6.128621,7.427028,7.0199704,4.794294,6.444265,6.444265,8.527104,7.122617,7.3460245,8.293054,9.594955,9.291741,10.09455,9.632416,7.001311,7.7683096,8.589753,9.394144,9.1423025,6.1229806,9.054112,8.740955,8.164858,7.795207,6.5382986,5.479566,8.824514,8.084213,8.53555,7.777766,5.824359,6.384883,6.458064,7.5177407,8.918522,7.1893744,8.125685,8.420392,7.5652723,8.094871,6.776148,5.4629817,9.699001,7.558281,6.8929687,8.165475,7.7087293,8.125149,7.704018,7.6729827,6.7335606,9.823272,7.64294,8.528358,8.079361,8.60999,6.3099895,6.0415635,7.461933,8.202021,7.2067986,6.6528463,8.366436,7.3904138,6.836118,8.036481,6.6396704,6.7696004,6.897838,8.036396,7.6050134,6.4555635
7.4886246,7.9074035,9.584972,7.7474327,9.861858,4.866982,0.0,4.671695,3.8470395,3.0938225,2.7991948,8.1924305,8.972971,5.634924,7.432397,8.484989,6.3169723,5.2781887,7.751118,6.515684,6.498938,6.3165646,6.128282,6.684519,6.5247326,6.409284,2.6813,9.375921,9.154869,14.062096,10.408605,8.6185,7.306713,9.141975,9.395279,7.4668303,6.2462564,18.618446,7.610055,8.839856,9.305397,9.181458,6.9556446,5.9333153,8.252978,9.151403,8.940186,6.729269,5.853721,1.0186241,9.260596,7.0668173,3.1636283,8.432516,7.312196,7.56793,8.819252,9.008654,6.98088,7.783613,6.8515024,7.7371945,7.3024464,7.3027897,7.4855943,5.1539907,8.841207,8.548354,6.332418,8.467809,7.311938,8.694301,20.635723,6.1170154,5.591033,6.027759,7.42036,6.642872,7.295215,7.0747194,8.633482,6.480663,6.110639,7.8256907,20.635723,6.3984194,5.8862195,5.3488607,5.2666097,10.029674,9.952299,5.8460007,6.9545107,6.4959,5.831451,5.975682,5.975682,8.027069,5.428945,6.3742933,7.998853,9.386039,8.989124,10.344765,8.524302,6.895749,8.663308,8.673017,9.550395,9.024708,6.262546,8.902202,8.605558,7.4730716,7.6939745,6.815137,6.5371804,7.8031883,7.3081427,7.690478,8.549554,5.6675873,5.473081,5.960085,6.053121,9.282577,6.7222004,7.251154,9.386037,8.579682,8.630596,5.928204,4.8013754,9.745423,7.8893895,5.7237062,7.1924148,6.5470934,8.590871,8.218535,6.608123,6.5298815,9.344771,6.27172,7.066969,7.028309,6.943571,5.3070135,6.3422976,5.9006696,6.0558867,5.8947005,7.219628,8.533252,6.1236567,7.1099668,8.673869,5.5645733,6.6160126,5.6855593,6.535795,7.096613,6.1791806
8.274534,7.7566934,9.369195,9.342653,10.110739,6.7327337,4.671695,0.0,3.7124407,4.2219067,5.9794626,8.513029,8.904127,5.958329,7.2004933,8.240926,6.8089647,5.626564,7.4449687,7.2741904,6.8423843,6.207608,5.9189973,7.409003,6.412939,6.7642694,3.8370416,9.279738,9.272031,14.257964,10.177471,9.047672,7.4170647,9.356124,9.757043,7.568823,6.5002723,18.782185,8.269781,9.126759,9.5670805,9.726136,6.797401,6.259996,8.10886,9.41997,9.293138,8.804671,6.702784,4.391397,8.8631315,6.8301806,5.2662683,9.754826,7.3098874,6.711709,7.360629,7.4882846,6.4214664,6.8456273,6.1229825,7.7640986,6.815234,6.883248,6.426631,4.9739738,8.585047,8.906531,6.1377563,7.5765867,7.0165954,9.149411,20.716875,6.513016,4.6281276,5.88978,8.377525,7.5052924,7.703483,8.169989,8.371593,6.3956017,6.4421506,7.6658926,20.716875,6.8514957,6.2943416,5.863933,6.1853204,10.927057,9.7804985,6.0927873,6.444108,7.0062213,6.7890944,6.332143,6.332143,8.210096,6.0592613,6.0807147,7.970237,9.417201,9.185208,10.14088,7.9486265,6.7157845,8.868442,9.00307,10.406198,8.912073,6.680964,9.575708,9.050169,7.3371177,7.4828086,7.7403607,7.486726,7.7819695,7.2357793,7.37291,9.337955,6.495491,5.855252,6.424664,6.052258,9.524661,7.418181,7.0339317,9.401496,8.98358,9.314318,6.6878715,6.020174,9.807242,8.619217,6.294077,7.233993,6.2889504,9.262629,8.569085,6.616724,6.755477,8.966192,4.854316,6.064775,6.510817,6.491827,5.7967224,6.481394,6.0367746,4.9874344,6.0305405,7.355669,9.160228,5.382646,8.766036,9.361206,6.4465322,6.5041265,5.8804927,5.624604,6.753499,7.3084774
8.010936,7.9730973,8.710974,8.942356,9.713592,6.383261,3.8470395,3.7124407,0.0,3.223678,5.2868843,8.693424,8.620642,6.176631,7.2226315,7.415532,7.1878567,5.7236266,7.6006474,7.4798994,7.2779083,6.5650606,6.454452,7.3850536,6.812232,6.8245606,3.3212504,9.871365,9.895222,14.427175,10.612166,9.357702,7.714614,9.954833,10.036421,7.9768963,6.065806,18.894064,8.029059,9.163941,10.047348,9.91828,6.648777,6.04849,8.131116,9.695685,9.511893,8.121402,6.208091,3.5427976,9.384294,7.0697927,5.509768,9.045153,7.74741,7.2497487,7.81325,7.930088,6.763568,6.9697533,6.5705905,8.426796,6.750627,6.926764,6.301584,5.1500354,8.3471575,9.250856,6.725098,7.7996316,7.340972,9.404662,20.72452,6.849135,5.779147,6.1787434,8.050024,7.44665,7.741602,7.848355,8.8055,6.7541747,6.518043,7.9154053,20.72452,6.3898444,6.309909,5.7253613,6.054263,10.473891,9.435048,5.88161,6.653187,7.4697595,6.704452,6.8005157,6.8005157,8.554244,5.9301777,6.445513,8.641337,9.886955,9.649706,10.917713,8.826522,6.5456386,9.247288,9.494249,10.541726,9.453056,6.82773,9.945017,9.40797,8.090603,7.6958756,7.6066213,7.337381,8.040594,7.0379367,7.643808,9.659257,6.194635,6.2323213,6.3377433,6.457593,9.985686,7.2422485,7.355685,9.787089,9.116242,9.081966,6.4630523,4.6994605,9.79073,7.7951374,6.812996,7.907793,6.1319523,9.587486,8.939802,6.7053413,7.0994906,9.512718,4.5528636,6.49506,6.545506,7.04009,5.761709,5.8841467,6.308386,5.6638165,6.23747,7.126697,9.462918,5.403843,8.3029585,9.610379,6.4061713,6.254755,6.298614,5.64217,6.879322,7.075008
7.522615,7.2116747,8.862059,8.432454,10.253635,5.4049673,3.0938225,4.2219067,3.223678,0.0,4.753113,7.950824,8.331695,5.9860597,6.5179214,7.5305405,6.573869,5.151132,6.9361424,6.4315977,6.039271,5.785895,5.5569525,6.3370767,5.5725975,6.2874627,3.2943192,9.262529,9.07451,13.623754,10.16981,8.517469,7.0458,9.247583,9.195568,7.450476,6.199895,18.55026,7.5901117,8.153477,9.127117,9.332005,5.726151,6.0247483,7.6635494,8.878748,9.1091585,7.6181364,6.366132,2.953331,8.761929,6.7833385,4.4506836,9.267927,6.5427322,6.9280605,7.5399623,7.610292,6.405762,6.9045258,5.977254,7.296268,6.075471,6.1348405,6.1594915,4.7930503,8.1694355,8.314746,6.2537007,7.19459,6.7406163,8.54719,20.448505,6.431795,5.2741804,5.480025,7.894082,7.046654,6.804282,7.4532876,7.9640017,6.219965,6.0018854,7.301988,20.448505,6.6905813,5.764526,5.3550925,5.264741,10.087671,9.87781,5.8750625,6.439466,6.823308,6.068012,5.8115134,5.8115134,7.647539,6.302313,6.1677465,7.850226,9.098026,8.791803,9.885223,8.274126,5.663063,8.354891,8.849936,10.145183,8.740811,6.3117137,9.061549,8.579595,7.269981,6.8152137,6.917875,6.5063314,7.4988117,6.7683196,7.0949783,8.7929735,5.6013975,5.4494376,6.312799,6.050309,9.103412,6.8211946,6.8045588,8.92294,8.379935,8.442971,6.5205703,5.0853868,9.510916,7.982825,5.6911054,7.0716834,5.375387,8.718922,7.730744,5.7594047,5.8568983,8.747704,4.903663,5.986009,5.929841,6.7001348,5.4559975,5.8697863,5.630314,5.313175,5.8901443,6.1916776,8.572722,4.8194094,7.973474,8.908728,6.247976,6.600183,5.3733196,5.3484154,6.146778,7.100531
