0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1.0,0.8896306,0.8887505,0.9016825,0.8473331,0.87041616,0.9167548,0.91534746,0.8847976,0.8915641,0.88794804,0.87631035,0.8837413,0.89631724,0.5875523,0.8801791,0.90181774,0.9485908,0.8201074,0.8839864,0.7667513,0.8749781,0.85100704,0.88962406,0.6596987,0.72067237,0.89918613,0.8801107,0.5284989,0.8159396,0.8497631,0.8208177,0.8861983,0.8296112,0.9038163,0.8656125,0.8956598,0.87626207,0.9144573,0.9009844,0.8896431,0.7750581,0.82282114,0.87270653,0.87535,0.81433207,0.87747663,0.8709092,0.8865693,0.91271925,0.8909439,0.9150976,0.87662923,0.883931,0.64320815,0.90179026,0.8550865,0.8790859,0.9342492
0.8896306,0.9999998,0.87637794,0.8968946,0.8668519,0.8675982,0.88111675,0.8817158,0.8845129,0.87617165,0.8646779,0.94359726,0.84220695,0.97478926,0.554281,0.8683319,0.87433374,0.92435294,0.7199047,0.8928444,0.7998111,0.8652053,0.8669289,0.9326629,0.5885266,0.70997083,0.9494796,0.86363345,0.48541805,0.8532519,0.8586013,0.8873184,0.94461715,0.8904444,0.94138515,0.8582233,0.9483986,0.86572886,0.8863304,0.8725181,0.8815015,0.7124597,0.9288336,0.8439691,0.83207715,0.8497449,0.83349,0.8535601,0.8954073,0.8683989,0.9861939,0.8723296,0.8355315,0.92552793,0.58682096,0.9363797,0.87834144,0.90110743,0.9073613
0.8887505,0.87637794,1.0000004,0.983871,0.85175645,0.8667307,0.85580003,0.9658605,0.826519,0.88801235,0.80663484,0.86986244,0.815995,0.866122,0.5495039,0.90690917,0.97912216,0.9081173,0.75178695,0.86830556,0.71355295,0.8616358,0.7972311,0.8564228,0.5722792,0.86833096,0.8526553,0.8383337,0.51891804,0.77580935,0.77939224,0.7727877,0.85037875,0.8216049,0.85875374,0.9060276,0.85608333,0.870219,0.94300103,0.89435875,0.81946224,0.7046155,0.8370719,0.87344104,0.8427991,0.7762141,0.8852861,0.8988096,0.8297205,0.962975,0.8801677,0.82792795,0.866321,0.839843,0.54707384,0.85068196,0.7905347,0.80529034,0.871015
0.9016825,0.8968946,0.983871,1.0000001,0.8551688,0.8729418,0.86596715,0.9743751,0.8452072,0.9035244,0.8208947,0.8888081,0.8310201,0.88763344,0.55322623,0.9152069,0.9875767,0.9291723,0.75247335,0.88106275,0.72624505,0.8654935,0.81877893,0.87941086,0.57865113,0.8372731,0.87317693,0.85118127,0.5133314,0.7903842,0.7967478,0.8032445,0.87406576,0.8358674,0.8827809,0.90596324,0.8787499,0.87742424,0.95741737,0.9077789,0.8306204,0.7132517,0.8585168,0.88281155,0.85192007,0.7920221,0.892327,0.89306885,0.8563122,0.970023,0.90093505,0.85241354,0.8734915,0.8698256,0.56288856,0.87527555,0.8118851,0.835037,0.88797873
0.8473331,0.8668519,0.85175645,0.8551688,1.0000001,0.91238415,0.870756,0.8706685,0.8402766,0.8817668,0.85720384,0.860232,0.8379957,0.84753966,0.5744289,0.8741857,0.85103494,0.8480606,0.73344755,0.87629473,0.84608555,0.8674419,0.8655218,0.83515096,0.57741857,0.7605003,0.8933927,0.871948,0.5748552,0.91864246,0.8640661,0.8072873,0.83461577,0.8905441,0.89112324,0.8920337,0.8802465,0.8727728,0.87538624,0.8797173,0.84981525,0.7195552,0.78416675,0.868992,0.8687824,0.8893316,0.8682895,0.8753973,0.8354532,0.8653108,0.8677094,0.79951006,0.86800563,0.8681011,0.5596522,0.84542644,0.8295425,0.8409344,0.84279156
0.87041616,0.8675982,0.8667307,0.8729418,0.91238415,0.9999999,0.90249485,0.90561265,0.89041454,0.9308762,0.879783,0.8965404,0.9011775,0.8637201,0.54614794,0.9283629,0.87229353,0.8719946,0.7544951,0.9289249,0.79735947,0.91720515,0.88460946,0.8770873,0.5886849,0.74223256,0.8749379,0.90996236,0.5562736,0.8668157,0.87222683,0.8031112,0.86006904,0.92620784,0.8735142,0.93198854,0.86768055,0.9313587,0.9150734,0.92057794,0.88233995,0.75611615,0.79017913,0.9339352,0.9142309,0.85384303,0.9174287,0.90997773,0.8441991,0.8879613,0.8685091,0.8582172,0.9272174,0.8507154,0.5702694,0.858621,0.84765196,0.8553636,0.8963085
0.9167548,0.88111675,0.85580003,0.86596715,0.870756,0.90249485,1.0000002,0.8817535,0.90393287,0.9245968,0.90614355,0.89760625,0.9216764,0.8822497,0.6176562,0.9158982,0.8613012,0.9188617,0.7821431,0.9335353,0.8007972,0.92815864,0.8840156,0.89319986,0.6378386,0.70073044,0.88842,0.9396968,0.5657338,0.849818,0.87811136,0.82229835,0.8794702,0.8621557,0.8926951,0.8829279,0.8883101,0.91739166,0.89898264,0.9336235,0.92676914,0.78572726,0.80270755,0.9174256,0.9221591,0.85716766,0.91061586,0.90442926,0.8833564,0.87961996,0.884898,0.9238663,0.92060256,0.8624205,0.6168757,0.9094858,0.8659339,0.8794013,0.9197186
0.91534746,0.8817158,0.9658605,0.9743751,0.8706685,0.90561265,0.8817535,0.9999999,0.85614383,0.93777454,0.8451145,0.87967527,0.864414,0.8878827,0.5706589,0.9315999,0.9858159,0.913839,0.7909404,0.9024674,0.7418501,0.8941977,0.83605826,0.88032037,0.60921645,0.8199144,0.8771646,0.8802554,0.54060924,0.8041414,0.8220535,0.79166126,0.859933,0.842739,0.8835686,0.91210616,0.8715429,0.90610826,0.9750198,0.9323499,0.8525877,0.7595857,0.813508,0.9238422,0.8890136,0.8018255,0.9230003,0.9081528,0.86263555,0.97254896,0.87838995,0.8573283,0.91269827,0.8678292,0.5884328,0.866933,0.8390434,0.83981115,0.8831613
0.8847976,0.8845129,0.826519,0.8452072,0.8402766,0.89041454,0.90393287,0.85614383,0.9999999,0.89503103,0.9100945,0.92004585,0.8831785,0.8908211,0.57223415,0.8853593,0.8328488,0.8886563,0.7550185,0.9341556,0.80946165,0.91640466,0.88004,0.9149766,0.62989795,0.6583742,0.8779232,0.8983674,0.527338,0.84517163,0.8796223,0.85290754,0.9067865,0.8962796,0.8878362,0.8573936,0.889661,0.9024122,0.8628445,0.8878698,0.9230411,0.7652227,0.82698995,0.8881439,0.8811608,0.84839994,0.87628275,0.8607991,0.8762284,0.84487873,0.8861743,0.9076209,0.8811406,0.8884577,0.61433536,0.91324794,0.8535395,0.89709353,0.91855276
0.8915641,0.87617165,0.88801235,0.9035244,0.8817668,0.9308762,0.9245968,0.93777454,0.89503103,0.99999994,0.8799182,0.8845694,0.89958405,0.880769,0.5845127,0.9700172,0.9138024,0.89172053,0.79051405,0.96085685,0.7944268,0.94887424,0.8803818,0.8980952,0.6334646,0.75222474,0.89346194,0.9458419,0.5954367,0.8485539,0.8702862,0.8147971,0.88694644,0.8720981,0.89779854,0.9196516,0.8860699,0.9617379,0.95362407,0.97071606,0.9038299,0.79826605,0.79945415,0.979298,0.960093,0.8479664,0.9584825,0.93392456,0.90114975,0.9169083,0.87631583,0.88794243,0.96184236,0.86636317,0.6151708,0.8915811,0.8753449,0.8604683,0.8931851
0.88794804,0.8646779,0.80663484,0.8208947,0.85720384,0.879783,0.90614355,0.8451145,0.9100945,0.8799182,1.0000001,0.8673759,0.90543544,0.8742641,0.583544,0.86192703,0.81195295,0.86930996,0.80556476,0.8947438,0.8054614,0.87774926,0.9192401,0.8698496,0.68448627,0.6362386,0.88189673,0.9164815,0.56859416,0.8415726,0.8929182,0.8146488,0.8512155,0.8601685,0.88636214,0.8416195,0.8632473,0.8825457,0.8617212,0.9068109,0.96074486,0.801281,0.7709584,0.8730653,0.8936158,0.8306628,0.88769466,0.837401,0.8529549,0.85645396,0.8633047,0.88289595,0.89851236,0.8625549,0.66487026,0.90308577,0.85030174,0.8769683,0.8859375
0.87631035,0.94359726,0.86986244,0.8888081,0.860232,0.8965404,0.89760625,0.87967527,0.92004585,0.8845694,0.8673759,0.9999998,0.8555609,0.93869036,0.54683864,0.8986138,0.86319256,0.91053885,0.7104614,0.91666996,0.80951154,0.89423066,0.8589308,0.95287895,0.5765502,0.70393443,0.8947196,0.8711278,0.49988738,0.87124527,0.84885687,0.8896371,0.9240899,0.89553833,0.8961402,0.8749706,0.9226439,0.88370055,0.8746857,0.87728673,0.88500816,0.6986339,0.89683366,0.8779614,0.84536064,0.8798182,0.86210793,0.8861842,0.88340783,0.85886115,0.9384005,0.87947166,0.86535627,0.887261,0.5757343,0.9254724,0.8511919,0.89209306,0.92150855
0.8837413,0.84220695,0.815995,0.8310201,0.8379957,0.9011775,0.9216764,0.864414,0.8831785,0.89958405,0.90543544,0.8555609,1.0,0.84727824,0.5611202,0.880424,0.83345336,0.85921794,0.74144334,0.912264,0.7794136,0.89248204,0.9004435,0.85391164,0.6074898,0.64615655,0.8505769,0.9361135,0.537153,0.8134649,0.90813607,0.78383577,0.8417503,0.84865385,0.8586149,0.8365978,0.8440254,0.8879561,0.88847226,0.9001559,0.90156126,0.7776001,0.7474488,0.89540577,0.90130156,0.8080997,0.8833031,0.8487064,0.8446559,0.8514838,0.841948,0.8870962,0.8949609,0.84516424,0.5893165,0.87084365,0.8499577,0.8567872,0.8897084
0.89631724,0.97478926,0.866122,0.88763344,0.84753966,0.8637201,0.8822497,0.8878827,0.8908211,0.880769,0.8742641,0.93869036,0.84727824,1.0000001,0.5796741,0.86888146,0.87497413,0.9186984,0.75004613,0.8913878,0.8067645,0.87442416,0.86271834,0.9445609,0.62111515,0.696277,0.9454868,0.8638073,0.4806979,0.84463185,0.8593612,0.8914587,0.93946606,0.8591664,0.9449304,0.8552528,0.9407731,0.8711088,0.8921159,0.8832462,0.8829479,0.7437936,0.8953177,0.85410786,0.8410993,0.8435286,0.8503393,0.84669375,0.91209096,0.8694224,0.9620995,0.8859978,0.8504019,0.9335954,0.6291155,0.9353428,0.9054446,0.91068673,0.8996599
0.5875523,0.554281,0.5495039,0.55322623,0.5744289,0.54614794,0.6176562,0.5706589,0.57223415,0.5845127,0.583544,0.54683864,0.5611202,0.5796741,1.0,0.56930256,0.55624807,0.5921146,0.5535485,0.58174336,0.64466333,0.5869428,0.5376356,0.59801394,0.5449687,0.42435738,0.6186178,0.579687,0.6383158,0.6252407,0.60318947,0.5981437,0.5827354,0.49028787,0.61218977,0.544886,0.61185765,0.5844884,0.56742144,0.58916736,0.5799947,0.5505492,0.50373966,0.58361435,0.59577376,0.6250791,0.5790297,0.5691725,0.63456494,0.55096674,0.54081845,0.614201,0.58014023,0.5842617,0.556591,0.5881847,0.6427016,0.61494315,0.57434285
0.8801791,0.8683319,0.90690917,0.9152069,0.8741857,0.9283629,0.9158982,0.9315999,0.8853593,0.9700172,0.86192703,0.8986138,0.880424,0.86888146,0.56930256,1.0,0.9163353,0.8894559,0.7641837,0.9536346,0.77485716,0.94072115,0.84672904,0.8914644,0.5995782,0.7783093,0.86262596,0.9258224,0.5910796,0.8293312,0.8358122,0.78845584,0.867369,0.86618793,0.8703097,0.9333422,0.86176187,0.9569821,0.9445868,0.9541236,0.8917149,0.7578051,0.8004787,0.981879,0.9431553,0.8301327,0.9676881,0.9582385,0.8772079,0.9184044,0.87088954,0.8709179,0.9644942,0.842652,0.5754992,0.8766516,0.83819973,0.82616466,0.8999748
0.90181774,0.87433374,0.97912216,0.9875767,0.85103494,0.87229353,0.8613012,0.9858159,0.8328488,0.9138024,0.81195295,0.86319256,0.83345336,0.87497413,0.55624807,0.9163353,0.99999964,0.91015875,0.77192646,0.8773416,0.7193326,0.8679681,0.80725914,0.8656341,0.5838808,0.8499278,0.8646573,0.8528761,0.5185002,0.78106475,0.79277444,0.7833166,0.85480994,0.81684166,0.8755443,0.90210485,0.86312056,0.88020355,0.9666133,0.9132878,0.8208731,0.73303473,0.8221003,0.89559865,0.8619181,0.7828295,0.9024762,0.89636785,0.85403556,0.9726184,0.8740107,0.84296227,0.8830503,0.8609157,0.5638236,0.8554691,0.8152222,0.8235351,0.873613
