0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.0,3.1667361,5.583476,7.1194916,6.251702,5.3254323,6.351998,5.7221875,7.6363063,6.8150043,6.6178603,6.5601544,6.672363,6.044835,5.668629,5.3755794,6.044746,6.447613,4.6290827,5.765292,8.030597,4.964979,6.282512,4.721132,9.079348,6.431187,5.047807,5.936978,4.7984176,6.2550025,5.3072395
3.1667361,0.0,5.7219625,7.277653,5.6344104,5.646573,6.2562146,5.597688,7.538286,6.466366,6.128334,5.69176,6.687075,6.440016,5.110503,5.0038867,6.414157,6.8751855,4.8118296,5.8011713,7.509536,5.435397,6.2526426,5.491029,8.59455,6.182932,5.714687,5.3715405,5.502392,6.455027,5.935115
5.583476,5.7219625,0.0,5.353358,7.8190255,8.014965,6.0827775,6.7780175,5.5177526,5.931414,7.5486293,7.4979315,6.550446,4.438591,7.263499,5.4949183,5.8685555,6.2537007,4.917478,5.785202,8.188962,4.900914,3.512699,3.9528801,10.0996,8.062772,3.7751775,7.200444,4.67931,5.492144,3.7493746
7.1194916,7.277653,5.353358,0.0,9.450707,9.679565,7.171923,8.086646,6.2861137,6.219701,9.083061,8.983255,7.4342437,4.769106,8.833895,5.9810395,6.071921,6.815045,6.276839,6.5352554,9.213082,6.571899,5.7203197,5.272477,11.432534,9.450266,5.6395473,8.631637,6.3114147,5.706199,5.016791
6.251702,5.6344104,7.8190255,9.450707,0.0,6.327061,6.489795,5.147079,9.20681,8.139467,4.6483974,4.509417,7.284147,7.8176217,4.6550727,6.514099,7.4318566,7.6146684,5.795591,6.1309257,6.199136,6.7771626,8.212706,7.516766,8.021366,2.843609,7.6308947,4.548458,7.0186296,7.8638883,7.9012966
5.3254323,5.646573,8.014965,9.679565,6.327061,0.0,7.1980267,7.274181,10.1262665,9.644567,6.649682,7.181913,8.437206,7.5146866,6.001013,8.171079,8.648292,8.7423935,6.432328,7.713714,7.6037154,6.3510146,8.731724,7.7253213,9.339146,6.433764,7.281541,6.9500017,6.3401427,8.922355,8.032476
6.351998,6.2562146,6.0827775,7.171923,6.489795,7.1980267,0.0,6.073609,6.877934,7.370385,5.5314493,5.886511,6.5241203,5.163771,5.911979,6.372782,5.7790647,6.362825,5.687469,5.0124726,5.300371,6.0343094,7.2140484,6.5836024,10.532113,6.599627,5.726867,6.0942287,5.500483,5.55117,6.494344
5.7221875,5.597688,6.7780175,8.086646,5.147079,7.274181,6.073609,0.0,7.5160766,6.6269617,5.3713627,5.459078,6.4541373,6.6094513,4.857562,5.605729,5.80475,6.2908683,4.9666643,4.9512796,6.6173162,5.924044,7.01968,6.11927,8.577011,5.749522,6.627866,2.6172988,5.812289,6.1843038,6.4640775
7.6363063,7.538286,5.5177526,6.2861137,9.20681,10.1262665,6.877934,7.5160766,0.0,5.147112,8.509682,8.164123,5.800434,6.5245223,8.711111,5.7920566,5.274847,6.1387205,7.0829177,5.4634247,9.146866,7.1545186,5.6390657,6.450546,11.242944,9.219452,6.659752,7.901363,7.1151595,4.834313,6.36529
6.8150043,6.466366,5.931414,6.219701,8.139467,9.644567,7.370385,6.6269617,5.147112,0.0,8.123169,7.4339495,5.339142,6.740883,8.025783,4.6190615,4.7366605,5.22903,6.182796,5.1167545,8.9422245,6.8482704,5.9950733,5.731792,10.048386,8.333235,6.5578523,6.995783,7.0350842,4.843664,6.0338182
6.6178603,6.128334,7.5486293,9.083061,4.6483974,6.649682,5.5314493,5.3713627,8.509682,8.123169,0.0,4.0990915,7.0185385,7.5304055,5.2691126,6.760162,6.994248,7.2791333,6.346401,5.5692887,5.5733857,6.808598,7.852281,7.6939564,9.122765,4.96482,7.6002383,4.889052,6.7206635,7.1432934,7.9448476
6.5601544,5.69176,7.4979315,8.983255,4.509417,7.181913,5.886511,5.459078,8.164123,7.4339495,4.0990915,0.0,6.9914746,7.7333784,4.8707433,6.121719,6.8754315,7.267135,6.284834,5.466904,5.626248,6.992059,7.8245487,7.610952,8.11482,5.1009746,7.6775975,4.9366484,7.0861053,7.215387,7.934717
