0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0.0,8.498149,5.320378,7.3117037,7.2083187,8.499043,11.226592,6.4342113,9.440659,10.815098,9.150407,8.498149,8.731527,8.631539,5.9194045,4.462732,7.569217,4.8085504,9.015842,8.654511,7.990559,8.624973,10.650055,7.82039,8.743223,9.0405245,9.733041,5.110141,7.661316,6.543004,9.386942,7.2156444,7.376373,6.6570244,9.343685,7.6931505,9.55007,9.008354,9.322842,9.442988,8.86596,9.180882,8.191527,8.498149,11.183716,8.636812,8.498149,8.264408,10.935967,6.354196,7.1599035,10.580943,7.4131546,8.507124,10.481024,7.416382,7.987466,8.272552,2.6268287,10.296075,8.245066,8.498149,11.061444,7.58053,8.408283,10.444209,10.569936,8.351533,7.513422,10.150048,7.75419,7.671998,7.3117037,8.63946,7.8557897,5.882675,10.113925,8.946403,9.482026,0.0,8.477745,5.9194045,5.9194045,6.8490243
8.498149,0.0,6.759236,5.3384423,6.805108,8.341609,8.017122,7.4870157,7.7171783,10.059638,8.365629,0.0,7.389401,5.3375793,6.603499,5.93773,5.654631,8.396273,6.8936977,7.5250497,7.131569,6.2759953,8.707875,7.7315946,7.550289,7.9501553,9.971038,7.516828,7.9283714,9.744758,8.591616,6.0422482,8.778341,6.9581213,6.6345887,7.6388454,7.2644596,6.6417165,7.6047835,8.905662,7.8290033,8.836698,9.320025,0.0,8.86023,7.977391,0.0,8.456118,8.639523,7.011824,7.8775535,5.1430306,5.7252035,8.644579,7.5326214,6.4401374,5.4775066,7.907447,7.988764,8.348695,3.5192196,0.0,7.936869,7.808094,7.9324455,9.931598,9.090982,7.9693847,4.211921,4.6932645,8.891796,5.42791,5.3384423,8.202805,8.995801,4.7464457,9.344908,7.3985925,8.033911,8.498149,8.956757,6.603499,6.603499,5.808978
5.320378,6.759236,0.0,4.5232525,6.189282,8.923918,9.623347,5.0732026,8.835524,10.078916,8.065504,6.759236,7.5522647,7.876445,3.447574,3.894782,6.727756,5.2785587,7.522733,6.0646906,6.4133945,8.519288,9.102173,7.4887457,7.95319,8.233205,10.58736,6.62278,6.3762794,6.862698,8.719355,5.86863,6.524169,6.688687,7.800216,6.3568816,7.294463,7.9528527,7.699133,8.8781,7.273954,8.201289,6.45405,6.759236,9.8136215,7.7983446,6.759236,6.8852596,8.538089,5.988057,5.9226847,8.124951,4.870181,7.5708075,8.244118,5.8185844,6.33044,7.012747,4.371888,8.460632,6.3124237,6.759236,9.300174,6.8855357,7.1646433,10.66998,8.606395,8.290294,6.028075,7.7486553,6.2454123,5.007804,4.5232525,8.050543,6.0796275,4.0350466,10.524725,8.138609,7.2194114,5.320378,7.3936486,3.447574,3.447574,5.7156487
7.3117037,5.3384423,4.5232525,0.0,6.9507165,8.728598,8.709869,5.089037,8.256694,10.217514,8.076929,5.3384423,7.6585865,7.0756383,5.0253716,5.045631,6.011442,7.2648892,6.3614216,5.966453,6.7983804,7.4933634,8.607472,7.9836984,7.9034095,8.381877,10.1828165,7.3575478,6.0899935,8.528218,8.826551,6.0696707,7.8499746,5.893247,6.9403586,6.5331726,6.5400834,7.6330953,7.7080884,9.025689,7.396596,8.514112,7.4121366,5.3384423,9.2493105,7.9953613,5.3384423,7.0458093,7.8871303,6.700336,6.9215655,6.122417,2.4131036,8.127183,7.211987,5.6089478,4.8710575,7.060178,6.6697545,7.8991313,4.840208,5.3384423,8.422137,7.4166737,7.565215,10.408671,8.303898,8.2858305,5.4307246,5.7137136,7.395304,1.5847307,0.0,7.758348,7.318675,4.5636673,10.223955,7.9480414,6.8548784,7.3117037,8.203448,5.0253716,5.0253716,5.3559933
7.2083187,6.805108,6.189282,6.9507165,0.0,8.82947,7.459307,7.8664193,7.620772,9.321447,7.64071,6.805108,7.5136323,7.242989,6.380278,6.0107718,7.2457423,6.8071227,8.336178,7.7751536,3.7373428,7.6526575,8.570923,5.184897,5.641627,5.550078,10.091743,7.27414,7.6970544,7.9470763,8.538599,6.2602396,7.303495,7.771942,7.489528,7.341286,6.982536,4.8594465,5.2795186,8.145702,5.0482044,5.9304767,8.170381,6.805108,8.022076,5.730859,6.805108,6.930514,8.432967,5.37692,5.8426814,8.109793,7.180598,5.900101,7.779917,6.994004,7.290842,6.607987,6.7810936,8.625611,6.6690254,6.805108,7.2093515,4.928561,5.0033755,9.369919,7.227969,5.923565,5.741051,7.9235544,7.5187683,7.205657,6.9507165,8.328412,7.7577395,6.3639016,9.125558,5.960034,8.355187,7.2083187,6.144031,6.380278,6.380278,6.959189
8.499043,8.341609,8.923918,8.728598,8.82947,0.0,9.986509,8.914508,8.192878,10.774456,9.648045,8.341609,10.188043,7.5226665,8.863949,7.6651926,7.2199073,9.179103,7.823943,10.306517,9.227043,7.106035,9.653961,8.871766,8.663285,9.361279,8.559327,6.5070605,9.928252,10.03756,8.310651,8.930137,10.618849,6.420303,9.143947,9.328702,10.507278,8.683655,9.68291,9.332017,9.859919,10.120473,11.125875,8.341609,9.446894,8.497548,8.341609,10.113157,11.142251,8.395508,9.931101,9.965208,8.751442,10.268472,10.737455,8.660704,8.152635,9.979386,8.837085,10.146183,8.326491,8.341609,10.23215,9.310836,9.284577,8.590306,10.768142,8.046175,8.704269,9.835264,10.616382,8.870442,8.728598,8.9296875,11.287992,8.265605,8.271744,8.637738,10.675976,8.499043,9.877041,8.863949,8.863949,7.85254
11.226592,8.017122,9.623347,8.709869,7.459307,9.986509,0.0,10.904028,8.887232,10.243884,9.007984,8.017122,9.894739,8.07314,9.549615,9.744705,8.815567,10.556964,8.57034,9.455724,6.1780343,8.670544,8.5195675,7.1641307,6.260059,5.503715,11.386467,10.760376,10.283962,11.290028,8.747273,9.336461,10.520968,9.784142,7.82806,9.624536,7.695787,4.5125628,5.1481414,8.394047,5.9703426,6.513064,10.26748,8.017122,4.253836,5.9820304,8.017122,8.682886,7.4123225,9.159857,8.760205,7.268904,8.9827585,7.568405,7.6319723,8.596315,8.489701,8.587847,10.907405,9.243151,7.4678392,8.017122,1.5079584,6.8193665,5.928087,9.902815,5.030991,6.940515,8.052714,7.539854,9.880298,8.434625,8.709869,9.298381,10.074523,9.030348,10.045291,6.4459243,9.260166,11.226592,7.4627934,9.549615,9.549615,9.201804
6.4342113,7.4870157,5.0732026,5.089037,7.8664193,8.914508,10.904028,0.0,9.478024,11.12646,9.184237,7.4870157,9.300583,8.663585,5.631891,5.340344,7.1823673,6.891973,7.8377304,7.3328476,8.307999,8.776509,10.248628,8.81829,9.27872,9.609494,10.734273,6.955449,6.6241393,8.042524,9.356964,6.3268366,7.601561,6.3063993,8.308601,7.86359,8.605494,9.276951,9.378719,10.2435255,9.233462,9.84493,8.2620325,7.4870157,10.83394,9.162524,7.4870157,8.246431,10.210981,7.2995615,8.13765,9.184808,5.73852,9.446089,9.367284,7.3428445,6.7910795,8.340885,5.8046193,9.650842,7.0630097,7.4870157,10.724808,8.397164,9.03308,11.405417,10.29344,9.083373,7.2095394,8.644411,8.213043,5.422167,5.089037,8.97052,8.430276,5.468526,10.956083,9.525014,8.851584,6.4342113,9.246195,5.631891,5.631891,6.2664523
9.440659,7.7171783,8.835524,8.256694,7.620772,8.192878,8.887232,9.478024,0.0,9.067332,8.0391,7.7171783,9.695554,7.4802675,8.871652,8.092461,7.6062107,9.062823,7.160918,9.380767,7.733412,7.3094378,8.445128,8.816269,8.33138,8.780884,9.724934,8.181979,9.963034,10.226613,7.6574945,8.4799385,10.612356,7.707565,8.785281,9.349577,8.927241,7.7936683,8.56373,8.102595,9.126744,9.628843,11.096462,7.7171783,8.526701,7.71148,7.7171783,8.919493,9.372367,7.3984776,8.922641,9.408103,8.158228,9.692147,9.270575,8.691045,7.9781766,9.089478,9.437988,9.283871,7.7381077,7.7171783,9.044282,8.572721,8.32748,6.385537,10.051878,7.9361806,7.863366,8.959897,10.515194,8.349591,8.256694,8.322352,10.595384,7.825842,6.6004715,7.873913,10.173299,9.440659,9.314513,8.871652,8.871652,8.154078
10.815098,10.059638,10.078916,10.217514,9.321447,10.774456,10.243884,11.12646,9.067332,0.0,8.870774,10.059638,11.092949,9.824049,10.213337,9.512627,10.365842,10.264464,10.50853,9.266811,9.131468,10.626727,8.270792,9.968395,9.71263,9.642087,12.673705,10.043893,11.518597,11.2777195,8.821473,10.820896,11.735696,10.410424,11.111089,10.24952,10.735151,9.595349,9.147697,7.1734157,9.584579,9.636545,11.501907,10.059638,9.7068405,8.478861,10.059638,10.580124,10.0539875,9.878185,9.972866,10.829643,10.110234,9.691288,11.23879,9.916942,9.961492,11.201311,10.439482,10.366699,10.31032,10.059638,10.175974,9.531654,8.330648,9.89733,10.045264,9.3325205,10.2663355,10.5617075,11.216353,10.334939,10.217514,8.53083,10.502402,9.618465,10.741863,9.690925,10.433191,10.815098,9.599404,10.213337,10.213337,10.639237
