0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
0.9999999,0.9627794,0.9768435,0.9033778,0.85022247,0.8765374,0.8886698,0.98008645,0.9137014,0.9033263,0.98646814,0.88550085,0.847358,0.97971076,0.8786545,0.88589114,0.9405281,0.90426713,0.9542174,0.93281436,0.9104037,0.98177737,0.89448184,0.8542071,0.74655294,0.8721559,0.8671658,0.88174903,0.8952867,0.88550085,0.8850717,0.88244545,0.8686255,0.92391837,0.87508416,0.8927791,0.9518319,0.8963666,0.9801404,0.98153955,0.9798378,0.9664703,0.8805742,0.88993275,0.9161042,0.87969834,0.9547351,0.8531184,0.8495922,0.8057736,0.9025184,0.9737151,0.9255218,0.91082275,0.94141966,0.915625,0.8910561,0.8756099,0.89960283,0.8722418,0.9596788,0.9635016,0.87840724,0.9071953,0.88481283,0.8849249,0.8443396,0.9333366,0.9331641,0.9301555,0.90364057,0.8367349,0.8751352,0.90080243,0.9230856,0.88679254,0.9839648,0.86385244,0.9479244,0.84203905,0.93092406,0.92621636,0.90600157,0.8682747,0.8453857,0.8077551,0.9385274,0.94650704,0.8341892,0.88738644,0.97325385,0.8924104,0.96221805,0.92613703,0.8486762,0.81885856,0.83805907,0.93682915,0.94172525,0.9366205,0.9334341,0.79797435,0.91436154,0.8913224,0.83504546,0.94610083,0.6122299,0.98620653,0.9380199,0.88174903,0.91632533,0.5832851,0.8826005,0.86639637,0.98620653,0.86115277,0.986124,0.95609736,0.8791995,0.92171353,0.87097085,0.9161243,0.87652034,0.9170385,0.90955305,0.9808922,0.9048537,0.8686255,0.8838319,0.9326165,0.90898603,0.98646814,0.8961736,0.9741076,0.94484437,0.9278986,0.8738009,0.90940404
0.9627794,1.0000001,0.9840085,0.8683053,0.8331109,0.8222257,0.8434323,0.97944474,0.87103903,0.87798864,0.9612165,0.90100914,0.8423755,0.9825286,0.8388951,0.8489001,0.9641069,0.85929215,0.94294065,0.9618436,0.8683529,0.9704798,0.863659,0.799381,0.71311396,0.85733813,0.88462496,0.85579103,0.8657336,0.90100914,0.84620094,0.82980925,0.8885471,0.8867618,0.874093,0.8533894,0.9709446,0.8486337,0.97228265,0.9659902,0.9840479,0.98451203,0.831283,0.84461874,0.9214746,0.83519435,0.9650883,0.81453675,0.7952711,0.7689147,0.9350373,0.9727347,0.9531761,0.89112943,0.94502103,0.9367495,0.85328823,0.832505,0.84371173,0.82607585,0.93051463,0.9638368,0.83576167,0.85481966,0.8860831,0.8353502,0.7860528,0.90228766,0.8958805,0.9002512,0.8936378,0.7888177,0.84598005,0.8584559,0.9482905,0.8409921,0.97664034,0.8721221,0.94221795,0.85443497,0.9166139,0.95273036,0.86692864,0.82577074,0.7890549,0.72457033,0.92121565,0.93671304,0.80590177,0.88403904,0.94936085,0.85823977,0.9787012,0.94718844,0.81357896,0.7777153,0.78931683,0.947067,0.9430193,0.9031186,0.95097363,0.76503414,0.8945895,0.8572245,0.81007487,0.92888796,0.61964333,0.9549384,0.90811455,0.85579103,0.8757442,0.591024,0.8430356,0.82531995,0.9549384,0.818557,0.9428114,0.93356866,0.89863616,0.92890155,0.8274287,0.89278734,0.83610725,0.8946078,0.93318444,0.9636531,0.87446606,0.8885471,0.84066904,0.9355225,0.8928499,0.9612165,0.87754726,0.98633885,0.94881403,0.91930795,0.83643997,0.85784733
0.9768435,0.9840085,1.0,0.8902687,0.8421396,0.8551247,0.86921823,0.9947089,0.9018098,0.89635307,0.9795517,0.8874616,0.85781467,0.99407786,0.8597498,0.87328035,0.9578662,0.88558316,0.95797765,0.948849,0.8876997,0.9807296,0.88029456,0.83133954,0.7214794,0.8614531,0.8679875,0.87389964,0.88502884,0.8874616,0.86863965,0.8527368,0.8744462,0.9072225,0.86889386,0.8764375,0.9614563,0.87385195,0.9937991,0.98558116,0.9929107,0.9830359,0.8593289,0.8740574,0.9176354,0.86077553,0.9736831,0.82599163,0.8185353,0.8061001,0.9246536,0.9879806,0.9391839,0.89807135,0.94975,0.92397267,0.87709427,0.86499906,0.8818225,0.856291,0.95967746,0.9692635,0.86550814,0.8927224,0.87521493,0.85960114,0.8140343,0.91867554,0.9097704,0.9084238,0.90661395,0.8085572,0.85983324,0.8851497,0.9323329,0.86403704,0.9893375,0.8569823,0.9480299,0.83053744,0.92607963,0.93883085,0.8864454,0.85213417,0.82101524,0.77749753,0.9351848,0.9434263,0.8367175,0.8826802,0.9676134,0.87920785,0.9831311,0.93653905,0.84784,0.80351865,0.8233135,0.94862276,0.94794166,0.92419446,0.94737583,0.79832816,0.89883673,0.88099086,0.8298842,0.9494442,0.61066705,0.96767086,0.9316634,0.87389964,0.90829635,0.58153534,0.867621,0.85448205,0.96767086,0.84398675,0.96182585,0.94077206,0.88457453,0.9185514,0.85438657,0.89992034,0.8546955,0.90615535,0.91490674,0.9736434,0.8847094,0.8744462,0.8698548,0.9358268,0.9073987,0.9795517,0.8854199,0.9944829,0.9468223,0.92322785,0.8678829,0.8948269
0.9033778,0.8683053,0.8902687,1.0,0.8744156,0.958835,0.9624029,0.89370745,0.9776579,0.9359242,0.89858484,0.8037835,0.7744035,0.9085088,0.9286716,0.941598,0.8731489,0.9102613,0.92088187,0.8387692,0.9263199,0.8790685,0.9428873,0.9472419,0.79307175,0.8668459,0.81077194,0.9057727,0.9479169,0.8037835,0.95677763,0.92370826,0.7856781,0.9049431,0.87122214,0.9583296,0.86875266,0.95767546,0.9004778,0.9159727,0.89688563,0.8732991,0.9476215,0.9594078,0.8801148,0.96126,0.8648473,0.9190669,0.8817713,0.88257766,0.7962524,0.8947097,0.8873003,0.9168167,0.92492914,0.8916511,0.95528525,0.9299903,0.9423795,0.9175969,0.9217627,0.8906565,0.9238809,0.9641654,0.82064664,0.9257897,0.9077084,0.88416755,0.89533645,0.8922908,0.8535137,0.8779017,0.8955758,0.95585525,0.82107157,0.9558401,0.9127533,0.7987719,0.90472287,0.7672649,0.9148613,0.8854885,0.911416,0.932979,0.9213986,0.89433444,0.92632174,0.9152589,0.8944949,0.8751611,0.9215238,0.93795073,0.8674338,0.88525105,0.90528315,0.88651806,0.8965648,0.92839,0.92391753,0.92203987,0.87902886,0.87317204,0.8963927,0.924586,0.8707344,0.9312541,0.5853507,0.90580183,0.9536288,0.9057727,0.9571525,0.56003076,0.93651736,0.9230936,0.90580183,0.92013896,0.9153678,0.92186666,0.7970009,0.8417313,0.95631504,0.9131919,0.90306807,0.93237424,0.8618845,0.8855246,0.88409686,0.7856781,0.9438084,0.8957315,0.915298,0.89858484,0.8677205,0.8816387,0.9040611,0.90640163,0.90752995,0.968127
0.85022247,0.8331109,0.8421396,0.8744156,1.0000001,0.8838829,0.8980112,0.8392691,0.869987,0.8752543,0.85933924,0.7797678,0.71520454,0.8491629,0.8644998,0.88338375,0.83142316,0.8752464,0.89086866,0.7840135,0.89860725,0.8586497,0.9101266,0.87412477,0.7962993,0.9041034,0.8808209,0.7996938,0.91456646,0.7797678,0.90349793,0.87663543,0.7445947,0.88646215,0.92419195,0.8987436,0.802406,0.8602247,0.8391021,0.8400141,0.8420285,0.83110523,0.8820648,0.85210156,0.86599565,0.8884143,0.8030957,0.88860345,0.84611934,0.85124445,0.75812256,0.8406681,0.8644667,0.9448833,0.875316,0.8602065,0.9103781,0.8729765,0.89030486,0.8653225,0.81237656,0.8284366,0.8879629,0.886562,0.89472497,0.89413923,0.8627536,0.85027474,0.8663879,0.86834204,0.83401835,0.8908409,0.9146253,0.9031989,0.77483183,0.8795918,0.84405047,0.79384935,0.8674587,0.79412085,0.9162379,0.85873044,0.81657064,0.8712358,0.82095814,0.7292337,0.91649085,0.9036996,0.85886747,0.9194553,0.8334728,0.8876703,0.82842565,0.8639156,0.8680111,0.9542948,0.8536543,0.8957517,0.8768314,0.854594,0.8408526,0.86227435,0.9197495,0.904404,0.9583997,0.850634,0.54127353,0.8481466,0.83773947,0.7996938,0.8504822,0.5173661,0.9253768,0.85698545,0.8481466,0.923357,0.8429824,0.865412,0.76072824,0.87664235,0.8968367,0.9129108,0.8912922,0.9136075,0.8851565,0.8626996,0.8830301,0.7445947,0.87971574,0.8973495,0.8823469,0.85933924,0.9159821,0.8432718,0.8964448,0.928725,0.89455867,0.88133806
0.8765374,0.8222257,0.8551247,0.958835,0.8838829,0.99999994,0.9783975,0.858645,0.9591104,0.92333865,0.8779403,0.7674797,0.74363154,0.8711313,0.92347145,0.9517379,0.83269274,0.93085724,0.895563,0.7881793,0.9422572,0.85486317,0.9688777,0.9879409,0.795709,0.8560807,0.7844387,0.88104784,0.9775536,0.7674797,0.97664833,0.94050825,0.7460333,0.9033556,0.8848471,0.97513855,0.8196263,0.9639646,0.8699843,0.88394094,0.858654,0.8351748,0.97788024,0.950618,0.8422821,0.97893727,0.8173546,0.9263052,0.8862021,0.90322465,0.7531398,0.8624627,0.83745056,0.9229911,0.88350755,0.8411093,0.97529185,0.95815575,0.95232266,0.9151002,0.8939814,0.8441775,0.9239291,0.96116996,0.80034375,0.947114,0.920451,0.8604713,0.8748443,0.86984015,0.8299277,0.9068011,0.8934091,0.9702455,0.7762594,0.96929944,0.8760222,0.75899565,0.86210686,0.7396351,0.89451426,0.8323575,0.8947748,0.9535508,0.91580665,0.89654505,0.90608215,0.8869523,0.9086783,0.88930136,0.8941618,0.94359004,0.826452,0.83673465,0.9240069,0.92295223,0.90395874,0.88488436,0.88335824,0.8943524,0.8379207,0.8940564,0.87827766,0.94003147,0.88952005,0.9003277,0.55308676,0.8772927,0.928095,0.88104784,0.9394198,0.5290613,0.96340907,0.9246845,0.8772927,0.9464592,0.8935695,0.8857627,0.75650173,0.82061726,0.97974217,0.89480144,0.91293406,0.9460519,0.82824516,0.86224544,0.8835825,0.7460333,0.9641941,0.86136055,0.8862899,0.8779403,0.8617046,0.84568584,0.86900055,0.88598883,0.90441185,0.9633097
0.8886698,0.8434323,0.86921823,0.9624029,0.8980112,0.9783975,0.9999999,0.8734318,0.9620258,0.9264939,0.88814867,0.77338254,0.748881,0.8849481,0.92309844,0.9563068,0.8521861,0.9306853,0.90594494,0.8093128,0.94667315,0.87100756,0.95439994,0.9722514,0.7975487,0.8687062,0.8157664,0.8749754,0.9622399,0.77338254,0.98472035,0.9405132,0.7524421,0.9104618,0.88511604,0.99303436,0.840581,0.9736294,0.88075435,0.8930481,0.872969,0.85371536,0.95903295,0.95346594,0.8610656,0.982702,0.8355185,0.92603546,0.8727906,0.8952986,0.77930933,0.87544644,0.8597219,0.94223577,0.9035231,0.86868775,0.9914266,0.96259075,0.9473131,0.91245556,0.8987398,0.86321074,0.92255855,0.9567682,0.82603365,0.94822913,0.91825736,0.86706746,0.8815811,0.878516,0.83431137,0.89330196,0.8977802,0.98186404,0.79737705,0.9760123,0.88914204,0.77371126,0.87889576,0.763101,0.9107378,0.8616421,0.8880836,0.95565706,0.9122783,0.88383454,0.9180786,0.90357107,0.901647,0.89218545,0.90113693,0.9564174,0.846102,0.86519504,0.911226,0.9183854,0.89750355,0.9027762,0.90321654,0.9006358,0.85724276,0.8865334,0.89709425,0.9423352,0.89821327,0.91107345,0.5720632,0.88923836,0.93068576,0.8749754,0.943825,0.5434027,0.96877545,0.91958404,0.88923836,0.9480696,0.89986384,0.9024282,0.7653747,0.8393445,0.9854455,0.9109162,0.90924937,0.94029945,0.8547797,0.87648547,0.8902744,0.7524421,0.96252155,0.881108,0.8992475,0.88814867,0.8736572,0.8623231,0.8928821,0.9007653,0.9078853,0.9600285
0.98008645,0.97944474,0.9947089,0.89370745,0.8392691,0.858645,0.8734318,1.0000001,0.9091067,0.8977801,0.9778053,0.880099,0.8472713,0.9880166,0.86246264,0.8723487,0.9547281,0.8839737,0.9574018,0.9498499,0.8889726,0.98055416,0.8802474,0.83505994,0.7271772,0.8579446,0.86976886,0.87437576,0.88609123,0.880099,0.87288153,0.8537016,0.8664847,0.90991837,0.8658849,0.88026536,0.9683526,0.87937266,0.99470454,0.9849313,0.99183834,0.9871062,0.8627239,0.8832302,0.92371005,0.8662546,0.9771265,0.82945645,0.8216182,0.794968,0.93341565,0.9913814,0.9369873,0.8988305,0.94781137,0.92146456,0.8792987,0.86429286,0.881005,0.85696536,0.9675671,0.97482145,0.8694767,0.89273465,0.8748438,0.8580452,0.81055206,0.9103444,0.9044821,0.90337366,0.8915637,0.8015101,0.85639095,0.8877207,0.9350168,0.8721194,0.99329764,0.8578275,0.95502746,0.82964385,0.92537165,0.9402728,0.8897462,0.8540653,0.8291973,0.785512,0.93212765,0.94320387,0.82449734,0.87641174,0.9780015,0.87706745,0.9842512,0.93927556,0.8385519,0.8036696,0.8211919,0.9442239,0.9504851,0.926653,0.9484938,0.78656846,0.90015393,0.8781426,0.82476735,0.95247734,0.6112369,0.97172046,0.9357419,0.87437576,0.9122589,0.5827522,0.8679904,0.854506,0.97172046,0.8386468,0.9673691,0.9463081,0.87469107,0.9176386,0.855525,0.90340334,0.8544167,0.9045965,0.9116559,0.9719255,0.88464504,0.8664847,0.8696769,0.9335172,0.91150486,0.9778053,0.88521147,0.993983,0.94615537,0.9197343,0.8645102,0.896193
0.9137014,0.87103903,0.9018098,0.9776579,0.869987,0.9591104,0.9620258,0.9091067,0.9999999,0.928291,0.90704554,0.78778934,0.7850473,0.91605157,0.93659806,0.9515447,0.8755537,0.9047252,0.927349,0.8402716,0.9245574,0.88565975,0.94190824,0.9457211,0.7793741,0.8659189,0.8056253,0.8938601,0.94608146,0.78778934,0.9571283,0.914288,0.77645826,0.90372103,0.86022997,0.9589252,0.87712693,0.95905375,0.9155777,0.92800945,0.906139,0.88535976,0.9461982,0.9806563,0.8877274,0.9562982,0.8762765,0.8935276,0.87241167,0.8757473,0.8093751,0.9084004,0.8847471,0.9159167,0.94046277,0.88190186,0.95614916,0.9283434,0.957982,0.9177608,0.9402063,0.8992606,0.9318835,0.97725385,0.8122231,0.91978604,0.9021239,0.8819715,0.8915074,0.8861328,0.85046935,0.86029655,0.8997752,0.95693874,0.82596517,0.9600359,0.92536724,0.78986126,0.91895795,0.7395194,0.9287706,0.8893357,0.9026543,0.93347484,0.9283621,0.915509,0.9357186,0.92698663,0.881841,0.864185,0.9353423,0.9490897,0.87742287,0.89696634,0.9013438,0.8904822,0.8998895,0.92973197,0.94200563,0.93931526,0.88370985,0.8640586,0.88825315,0.93004626,0.8729715,0.94184315,0.57075834,0.9142144,0.9635922,0.8938601,0.9600495,0.5417348,0.93980956,0.93573093,0.9142144,0.9118373,0.9245729,0.935549,0.7807483,0.8324453,0.9543232,0.9038606,0.88801104,0.9225245,0.85941315,0.89037454,0.87469995,0.77645826,0.94649017,0.8986461,0.9342095,0.90704554,0.8596822,0.89235973,0.90800095,0.9044156,0.9128642,0.98221767
0.9033263,0.87798864,0.89635307,0.9359242,0.8752543,0.92333865,0.9264939,0.8977801,0.928291,1.0000001,0.9090375,0.8313292,0.78433037,0.9070515,0.89424324,0.9024936,0.8810099,0.9201493,0.9264899,0.8644818,0.9143256,0.89332974,0.91466486,0.9121639,0.77501583,0.86372375,0.83186424,0.9197354,0.92455745,0.8313292,0.9188249,0.9138404,0.80345654,0.9410834,0.86393285,0.9251782,0.8855245,0.9298359,0.9056245,0.91228485,0.9016434,0.8815107,0.92774916,0.93773586,0.8559773,0.91782725,0.8848019,0.9039417,0.8794956,0.8959871,0.80492973,0.90028065,0.87451166,0.91631085,0.8916791,0.87148017,0.92621976,0.933262,0.90965265,0.9128233,0.9191999,0.90293074,0.9177841,0.9311992,0.85966706,0.9186936,0.89181143,0.8966014,0.90133214,0.898126,0.8695707,0.86779577,0.88675624,0.9486728,0.8479097,0.91986966,0.9084374,0.8063667,0.87518036,0.79761815,0.891973,0.8725177,0.9237997,0.9202969,0.88755643,0.8589475,0.9063995,0.8934799,0.9120828,0.87985885,0.92353743,0.8993716,0.87886614,0.8690921,0.9135946,0.8828339,0.9013192,0.90661424,0.89547193,0.8902831,0.9040481,0.88610065,0.9197519,0.9209905,0.88689744,0.91463524,0.59231293,0.9167426,0.9395115,0.9197354,0.94150597,0.5635326,0.92191154,0.8895362,0.9167426,0.8983048,0.9227144,0.8980798,0.82414764,0.8980955,0.9131142,0.92951167,0.91508937,0.92652726,0.85236955,0.89828026,0.89322543,0.80345654,0.91067934,0.87920916,0.875991,0.9090375,0.9053438,0.8874384,0.88548607,0.8897648,0.91354746,0.9314542
