0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.0,0.3589819,0.3030555,0.0,0.3784686,0.3784686,0.7520041,0.3784686,0.35404897,0.85283065,0.6367554,0.3589819,0.3589819,0.34439158,0.7520041,0.7520041,0.11234599,0.35373673,0.46987087,0.52410036,0.34252954,1.1566945,0.5038552,0.3784686,0.23649469,0.4642469,0.3784686,0.7520041,0.45732507,0.23649469,0.1927821,0.63845944,0.4642469,0.4642469,0.23649469,0.8316371,0.34252954,0.23900999
0.3589819,0.0,0.41285017,0.3589819,0.33337843,0.33337843,0.54648525,0.33337843,0.31998456,0.81508726,0.40802753,0.0,0.0,0.28828028,0.54648525,0.54648525,0.42637053,0.51205456,0.41380888,0.41614875,0.17825462,1.1433363,0.5687919,0.33337843,0.15915753,0.13945228,0.33337843,0.54648525,0.12363253,0.15915753,0.5030132,0.62561136,0.13945228,0.13945228,0.15915753,0.8169192,0.17825462,0.16352867
0.3030555,0.41285017,0.0,0.3030555,0.5307451,0.5307451,0.71123993,0.5307451,0.468554,0.6579217,0.55062944,0.41285017,0.41285017,0.44209516,0.71123993,0.71123993,0.32557353,0.2660049,0.525901,0.53445494,0.40699944,1.1812556,0.34030947,0.5307451,0.4217863,0.50056374,0.5307451,0.71123993,0.41226375,0.4217863,0.35197932,0.46827662,0.50056374,0.50056374,0.4217863,0.6575676,0.40699944,0.32651362
0.0,0.3589819,0.3030555,0.0,0.3784686,0.3784686,0.7520041,0.3784686,0.35404897,0.85283065,0.6367554,0.3589819,0.3589819,0.34439158,0.7520041,0.7520041,0.11234599,0.35373673,0.46987087,0.52410036,0.34252954,1.1566945,0.5038552,0.3784686,0.23649469,0.4642469,0.3784686,0.7520041,0.45732507,0.23649469,0.1927821,0.63845944,0.4642469,0.4642469,0.23649469,0.8316371,0.34252954,0.23900999
0.3784686,0.33337843,0.5307451,0.3784686,0.0,0.0,0.7051791,0.0,0.33350217,0.8425829,0.71043867,0.33337843,0.33337843,0.43347925,0.7051791,0.7051791,0.438222,0.5274868,0.2829717,0.5817407,0.33270016,1.1747178,0.6639942,0.0,0.178564,0.4728307,0.0,0.7051791,0.45701095,0.178564,0.3956497,0.809867,0.4728307,0.4728307,0.178564,0.841162,0.33270016,0.3281406
0.3784686,0.33337843,0.5307451,0.3784686,0.0,0.0,0.7051791,0.0,0.33350217,0.8425829,0.71043867,0.33337843,0.33337843,0.43347925,0.7051791,0.7051791,0.438222,0.5274868,0.2829717,0.5817407,0.33270016,1.1747178,0.6639942,0.0,0.178564,0.4728307,0.0,0.7051791,0.45701095,0.178564,0.3956497,0.809867,0.4728307,0.4728307,0.178564,0.841162,0.33270016,0.3281406
0.7520041,0.54648525,0.71123993,0.7520041,0.7051791,0.7051791,0.0,0.7051791,0.6949596,0.7510805,0.38572276,0.54648525,0.54648525,0.76410323,0.0,0.0,0.7695791,0.8084681,0.7341476,0.43101877,0.7012633,1.2108463,0.84379315,0.7051791,0.69739354,0.57877135,0.7051791,0.0,0.6701178,0.69739354,0.78483313,0.4839815,0.57877135,0.57877135,0.69739354,0.5978094,0.7012633,0.69752306
0.3784686,0.33337843,0.5307451,0.3784686,0.0,0.0,0.7051791,0.0,0.33350217,0.8425829,0.71043867,0.33337843,0.33337843,0.43347925,0.7051791,0.7051791,0.438222,0.5274868,0.2829717,0.5817407,0.33270016,1.1747178,0.6639942,0.0,0.178564,0.4728307,0.0,0.7051791,0.45701095,0.178564,0.3956497,0.809867,0.4728307,0.4728307,0.178564,0.841162,0.33270016,0.3281406
0.35404897,0.31998456,0.468554,0.35404897,0.33350217,0.33350217,0.6949596,0.33350217,0.0,0.7724013,0.55650187,0.31998456,0.31998456,0.42551443,0.6949596,0.6949596,0.42511532,0.51716983,0.57041657,0.4331484,0.32370403,1.1394973,0.66770786,0.33350217,0.16207488,0.45053607,0.33350217,0.6949596,0.44361708,0.16207488,0.4968626,0.70341635,0.45053607,0.45053607,0.16207488,0.7868387,0.32370403,0.31818995
0.85283065,0.81508726,0.6579217,0.85283065,0.8425829,0.8425829,0.7510805,0.8425829,0.7724013,0.0,0.5928153,0.81508726,0.81508726,0.71309125,0.7510805,0.7510805,0.87946844,0.8449898,0.74830484,0.54941595,0.660302,1.1856219,0.7970097,0.8425829,0.81188494,0.8306197,0.8425829,0.7510805,0.6914547,0.81188494,0.91419923,0.7393137,0.8306197,0.8306197,0.81188494,0.18572101,0.660302,0.7846155
0.6367554,0.40802753,0.55062944,0.6367554,0.71043867,0.71043867,0.38572276,0.71043867,0.55650187,0.5928153,0.0,0.40802753,0.40802753,0.6382161,0.38572276,0.38572276,0.6742708,0.6588363,0.7509694,0.30188715,0.5628056,1.1401877,0.70028657,0.71043867,0.5589358,0.4403136,0.71043867,0.38572276,0.284395,0.5589358,0.7118717,0.3490397,0.4403136,0.4403136,0.5589358,0.44124717,0.5628056,0.55906534
0.3589819,0.0,0.41285017,0.3589819,0.33337843,0.33337843,0.54648525,0.33337843,0.31998456,0.81508726,0.40802753,0.0,0.0,0.28828028,0.54648525,0.54648525,0.42637053,0.51205456,0.41380888,0.41614875,0.17825462,1.1433363,0.5687919,0.33337843,0.15915753,0.13945228,0.33337843,0.54648525,0.12363253,0.15915753,0.5030132,0.62561136,0.13945228,0.13945228,0.15915753,0.8169192,0.17825462,0.16352867
