0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.0,0.11185769,0.36309782,0.20716459,0.1765984,0.5193284,0.08147332,0.117816396,0.48365566,0.43004695,0.35012674,0.31422588,0.5078811,0.2727609,0.17994212,0.22903647,0.16044801,0.18835814,0.11726434,0.272701,0.35979486,0.29977405,0.49625632,0.07890591,0.81232506,0.24379878,0.1211667,0.095203966,0.19553725,0.14539793,0.16520214
0.11185769,0.0,0.4202616,0.20733938,0.22213295,0.60742843,0.16051058,0.19289677,0.49400747,0.43864566,0.41251773,0.37970737,0.539575,0.33498135,0.21801677,0.2314237,0.233499,0.28738543,0.16219088,0.3383544,0.4349867,0.33367562,0.55768555,0.14555591,0.85728234,0.2640352,0.19263655,0.16983,0.21189742,0.2182965,0.23629795
0.36309782,0.4202616,0.0,0.31576988,0.45179752,0.6561172,0.4113145,0.4304582,0.3441018,0.29278228,0.4205482,0.5629754,0.34809208,0.3773434,0.45971265,0.32273024,0.45766312,0.46431646,0.4542371,0.47509494,0.57058424,0.41931698,0.31831214,0.35386705,0.89657426,0.39453563,0.4364137,0.3720904,0.48448738,0.4002288,0.40424362
0.20716459,0.20733938,0.31576988,0.0,0.29910493,0.60644865,0.26697758,0.27019992,0.36787093,0.30017367,0.3653491,0.43162993,0.47190487,0.3000475,0.32353294,0.10674691,0.2802319,0.31807643,0.3082547,0.3263777,0.44514257,0.32701892,0.41307756,0.18558757,0.8570367,0.2864804,0.2783505,0.21888596,0.34883976,0.31837437,0.2851225
0.1765984,0.22213295,0.45179752,0.29910493,0.0,0.6403818,0.12114845,0.15519059,0.5324322,0.47614273,0.40876493,0.27874452,0.4837691,0.36893487,0.18329257,0.296847,0.18382776,0.2457214,0.17217824,0.2666173,0.397393,0.3874211,0.55559283,0.17105426,0.88021255,0.14633453,0.17471853,0.14304216,0.24061933,0.20541124,0.21173844
0.5193284,0.60742843,0.6561172,0.60644865,0.6403818,0.0,0.59368354,0.5960662,0.7191444,0.695886,0.5207399,0.72517055,0.73944956,0.47947186,0.60949725,0.6234328,0.61251396,0.5590255,0.6319382,0.61873335,0.73142016,0.48970044,0.6655446,0.56442696,0.67723113,0.60925114,0.5862044,0.5417736,0.4716836,0.5988337,0.5961433
0.08147332,0.16051058,0.4113145,0.26697758,0.12114845,0.59368354,0.0,0.100477904,0.4904553,0.45369878,0.38965508,0.24681893,0.48818222,0.3244123,0.13564734,0.25391266,0.118211016,0.23486297,0.09296923,0.28055206,0.39739317,0.3429168,0.5410463,0.15196599,0.8765919,0.22956736,0.11404528,0.12840699,0.18165973,0.10008265,0.15706642
0.117816396,0.19289677,0.4304582,0.27019992,0.15519059,0.5960662,0.100477904,0.0,0.5279726,0.46407247,0.39405435,0.26518437,0.52628434,0.35434,0.19125903,0.30278403,0.109926775,0.23497267,0.13921414,0.3307713,0.40067938,0.38117385,0.5350191,0.14931212,0.8757809,0.2858657,0.043066673,0.164712,0.21962254,0.13413894,0.08172464
0.48365566,0.49400747,0.3441018,0.36787093,0.5324322,0.7191444,0.4904553,0.5279726,0.0,0.34653887,0.49274603,0.5932525,0.35981596,0.47635183,0.52988154,0.34763375,0.52758104,0.52395445,0.5606676,0.5259428,0.60656625,0.5087753,0.4101616,0.49317265,0.90754193,0.5133272,0.5352236,0.46244833,0.5867221,0.52980727,0.5537155
0.43004695,0.43864566,0.29278228,0.30017367,0.47614273,0.695886,0.45369878,0.46407247,0.34653887,0.0,0.44892356,0.5380059,0.39175704,0.43875077,0.51164365,0.3027931,0.47867978,0.45477366,0.51378095,0.46123123,0.5192744,0.4778965,0.38963473,0.40119302,0.91049737,0.47325954,0.4762265,0.41699103,0.5392763,0.49999326,0.49880224
