0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.0,7.3990283,3.8104749,7.204099,8.169947,7.603994,6.645368,9.402509,10.156024,7.489017,11.371034,7.3000336,9.466897,7.216683,5.980645,7.491373,3.8068485,6.9068584,7.8535194,7.0797157,7.9954457,7.775816,7.842827,5.9317913,12.937612,7.9166403,5.068278,7.88068,6.563779,4.111912,7.3990283,10.733817,9.2607975,9.036545,7.0125327,7.2097797,19.873466,5.7111588,10.4609995,8.76524,8.76524,9.734161,8.399176,6.938976,4.7163534,7.133559,8.399176,8.242639
7.3990283,0.0,7.3332195,9.058093,8.620119,3.180853,7.861676,8.394973,8.798443,6.911303,10.63866,8.978744,9.624997,8.062651,5.4385524,8.532053,6.7061143,8.680783,4.45102,4.053392,9.3771105,8.014691,9.26389,5.466654,14.024087,4.296483,6.697428,10.759477,7.813219,6.3548646,0.0,8.252237,8.389862,8.070479,7.5534205,8.987785,19.693296,6.0274777,10.549189,8.00755,8.00755,8.457083,4.6675687,8.302671,7.1363945,7.784423,4.6675687,7.7971587
3.8104749,7.3332195,0.0,8.123157,8.328849,7.7648444,7.403381,9.277969,9.144008,6.785502,10.605925,6.5601077,8.952636,7.782498,6.012932,7.378525,3.7231278,7.710254,7.450932,7.3770566,8.293216,6.038044,7.335288,5.889162,12.593001,7.3568645,4.4536395,8.77002,6.035545,3.923177,7.3332195,10.104249,8.575842,8.319165,7.6669664,8.080883,19.752214,6.0078816,9.145669,7.708525,7.708525,8.997686,8.626749,6.1807466,4.3638515,6.576687,8.626749,8.238044
7.204099,9.058093,8.123157,0.0,7.5324364,9.0968,6.111524,11.351518,12.003882,9.702803,13.044621,9.21305,10.360993,5.2593,8.539433,7.445303,7.6125283,6.6685247,9.220932,8.313848,5.2347865,11.091049,9.282651,7.9274745,13.457965,9.82895,7.984128,5.187021,9.052257,7.424068,9.058093,11.519331,9.734446,9.908281,6.2194877,3.110921,20.036247,6.9352865,11.621487,11.181752,11.181752,10.700876,9.5905075,9.554575,8.664649,8.945212,9.5905075,7.9899497
8.169947,8.620119,8.328849,7.5324364,0.0,8.904309,7.734295,10.510467,9.498293,9.297085,12.026617,9.572008,10.537844,6.218048,8.073312,6.320372,7.8428283,7.7759047,8.62646,8.831645,5.7977476,10.11973,9.492713,8.178242,12.609891,8.935759,8.60169,8.128888,9.288118,8.122214,8.620119,10.483076,8.175531,8.651604,7.7578387,6.9210362,20.06803,7.4319005,10.153591,10.286136,10.286136,9.368743,9.633351,9.426183,8.559578,8.86739,9.633351,3.7842662
7.603994,3.180853,7.7648444,9.0968,8.904309,0.0,7.6276073,8.659467,9.553648,7.209586,10.335975,9.675409,9.785357,8.009547,5.576893,8.610643,7.1955934,8.906242,5.020114,3.259095,9.384377,8.643773,10.139753,6.202346,13.780664,5.9430676,7.2960124,10.699023,8.578018,7.175378,3.180853,8.8332405,8.736895,8.525662,8.015141,8.970227,20.145523,5.3483605,10.83878,8.679018,8.679018,8.834246,4.6755652,9.045053,7.755966,8.696225,4.6755652,8.128466
6.645368,7.861676,7.403381,6.111524,7.734295,7.6276073,0.0,9.423077,11.785621,9.846517,12.0828285,10.392559,10.944367,6.0488696,7.4607067,8.042128,6.8297906,6.9068933,8.49003,6.8183265,7.8893204,10.424597,10.671988,6.7276793,13.630288,8.986726,7.791985,7.626939,9.776625,7.230091,7.861676,11.083312,10.171931,10.069046,6.8128505,5.7405252,20.191576,5.0768185,12.436413,11.544115,11.544115,10.519751,8.017691,10.190926,8.095542,9.668592,8.017691,7.1537733
9.402509,8.394973,9.277969,11.351518,10.510467,8.659467,9.423077,0.0,11.04877,10.611707,9.702366,12.127489,13.270331,10.144281,8.287001,10.62999,8.808182,10.043542,8.423586,8.936146,11.94037,9.20775,12.321487,7.530699,15.975574,8.199962,9.344315,12.429817,10.958773,9.022677,8.394973,10.193335,10.272023,10.003887,10.053408,11.269339,20.279058,9.068511,13.130676,11.195094,11.195094,9.577256,9.083074,11.318664,9.445285,10.925737,9.083074,9.4005165
10.156024,8.798443,9.144008,12.003882,9.498293,9.553648,11.785621,11.04877,0.0,6.7677865,11.619931,7.599218,8.41623,11.3956585,9.004511,9.867756,8.853738,12.242767,8.710868,9.781856,10.769261,8.195717,7.8503475,9.559014,12.963615,8.26123,8.259251,12.922138,7.2534432,8.680413,8.798443,9.7511835,8.708072,8.4332485,11.18385,11.847533,18.897196,10.002804,8.27427,6.1201863,6.1201863,9.0300455,10.59129,7.1446967,8.169841,6.928551,10.59129,9.571857
7.489017,6.911303,6.785502,9.702803,9.297085,7.209586,9.846517,10.611707,6.7677865,0.0,11.04015,5.751722,6.661068,9.112624,5.5041,7.861602,6.6250286,10.718835,6.793802,7.7388573,8.690413,6.660783,6.5268474,7.699062,11.995142,7.251884,5.682031,10.835306,4.647939,6.1569405,6.911303,8.560548,7.312756,6.8251543,9.5912075,9.60937,18.97308,7.5837083,7.134819,3.4224756,3.4224756,7.853242,8.557826,5.120361,6.107548,5.2969146,8.557826,9.283483
11.371034,10.63866,10.605925,13.044621,12.026617,10.335975,12.0828285,9.702366,11.619931,11.04015,0.0,12.959423,13.732216,11.893429,9.994654,11.500878,10.955369,12.670194,10.373664,11.166946,12.986808,9.258909,13.348252,10.465477,15.439527,10.572567,10.7989645,14.07622,11.88301,11.053829,10.63866,11.135322,10.344449,10.58608,12.528923,13.086528,21.321661,10.62217,12.444996,11.366338,11.366338,10.075472,11.164113,12.234271,11.284747,12.171989,11.164113,11.268576
7.3000336,8.978744,6.5601077,9.21305,9.572008,9.675409,10.392559,12.127489,7.599218,5.751722,12.959423,0.0,6.3272257,9.821035,8.631497,8.29106,6.315674,10.101375,8.869226,9.212311,8.639565,8.713496,2.5807135,8.58145,11.806357,8.554692,5.373699,9.483628,2.8034565,5.7010164,8.978744,10.626406,8.96002,8.514416,9.268465,9.204289,18.779861,8.907396,7.8541317,5.587857,5.587857,9.806217,10.475386,2.267811,5.468093,3.617212,10.475386,10.29991
