0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1.0000002,0.73132485,0.9107669,0.44077823,0.44075054,0.83235544,0.8443079,0.71966,0.8433628,0.51523226,0.8735857,0.82003117,0.8368238,0.8334461,0.88225853,0.7772713,0.5801758,0.7772982,0.81845224,0.8368238,0.9109721,0.44077823,0.8309315,0.83165824,0.44075054,0.9962757,0.8280759,0.81617236,0.7261224,0.5216924,0.8023336,0.82641447,0.8329986,0.8397462,0.8738658,0.86166394,0.8447633,0.8362299,0.8767435,0.8368238,0.84376997,0.84669423,0.89409316,0.85331404,0.85331404,0.8368238,0.83990914,0.8368238,0.9028295,0.9160967,0.8362299,0.8586091,0.8558574,0.8384999,0.7698372,0.8673263,0.87419397,0.8504105,0.8445469,0.90685487,0.8146809,0.6515424,0.8743994,0.8486739,0.9043827,0.78666997,0.7869197,0.73132485,0.85634863,0.8537246,0.9023286,0.8493114,0.85945153,0.55979705,0.9238659,0.8917195,0.51418793,0.86992645,0.867937,0.8879345,0.5965596,0.83747023,0.74335253,0.82685906,0.82685906,0.8461351,0.873417
0.73132485,0.99999994,0.7602237,0.32394886,0.32545966,0.85609996,0.8295859,0.69230074,0.87097627,0.4053551,0.7963631,0.88638043,0.8845972,0.8734808,0.76931596,0.7232715,0.74910426,0.7929983,0.8836738,0.8845972,0.80412096,0.32394886,0.8717663,0.80190384,0.32545966,0.7318693,0.87796474,0.9049892,0.9053869,0.40560853,0.74920595,0.7033392,0.8408529,0.6876846,0.8412961,0.7493063,0.84316653,0.84894013,0.73913944,0.8845972,0.8761925,0.84108627,0.7729137,0.77367103,0.77367103,0.8845972,0.86912495,0.8845972,0.75521994,0.7318849,0.84894013,0.76164365,0.7130815,0.7205844,0.870861,0.8273328,0.81918395,0.81457376,0.8782697,0.8047353,0.9148115,0.69926316,0.84616953,0.7208016,0.7843189,0.703609,0.95682347,0.99999994,0.70003855,0.8789551,0.78255236,0.8710396,0.7652642,0.46144104,0.7010577,0.7839509,0.4770115,0.8454471,0.8171848,0.8570514,0.5897617,0.8722233,0.53728014,0.86627483,0.86627483,0.8573556,0.83557487
0.9107669,0.7602237,0.9999997,0.42401496,0.42168683,0.85826254,0.85940075,0.72814715,0.9015621,0.48014605,0.90544933,0.86836517,0.9052603,0.90389204,0.8693869,0.7910748,0.5784183,0.80763465,0.85758275,0.9052603,0.9242866,0.42401496,0.853552,0.81469536,0.42168683,0.91339517,0.867776,0.8709913,0.73500437,0.48073366,0.83812547,0.84765315,0.89602935,0.8380072,0.90730184,0.8702156,0.88116485,0.8827533,0.8407679,0.9052603,0.91371185,0.88198435,0.91297585,0.8528667,0.8528667,0.9052603,0.91075987,0.9052603,0.99002445,0.90145373,0.8827533,0.87704456,0.8779093,0.8544698,0.7681888,0.92433155,0.9287671,0.8832744,0.8611749,0.9083994,0.8602069,0.6632387,0.9178785,0.84273386,0.9559456,0.801551,0.7906623,0.7602237,0.8423897,0.8862261,0.9203235,0.84497315,0.8799732,0.5418601,0.88796437,0.9063807,0.5349164,0.90388775,0.92774945,0.92729324,0.6251638,0.85792416,0.7211418,0.8895964,0.8895964,0.9068627,0.9358269
0.44077823,0.32394886,0.42401496,0.9999999,0.97763824,0.32589418,0.30604208,0.49020308,0.3983938,0.73902905,0.39686957,0.39244765,0.39281872,0.39418945,0.35367683,0.46224713,0.5306171,0.42061904,0.3579316,0.39281872,0.41500428,0.9999999,0.307005,0.37222934,0.97763824,0.4394095,0.3310055,0.36237055,0.3482262,0.7153056,0.48423332,0.37849668,0.35143495,0.3569497,0.36978996,0.40252003,0.41942576,0.39713562,0.43278867,0.39281872,0.39667976,0.31872106,0.41976836,0.36308655,0.36308655,0.39281872,0.39763632,0.39281872,0.43342835,0.39023134,0.39713562,0.33583575,0.42579034,0.39493594,0.36744517,0.4230695,0.43054616,0.40231007,0.32983172,0.42771196,0.3772491,0.47536197,0.40262038,0.40483525,0.4163174,0.325396,0.33670688,0.32394886,0.3393156,0.34989893,0.37686235,0.30717003,0.4432287,0.6903393,0.38851476,0.4007698,0.6159798,0.3662,0.41192397,0.40445262,0.5527131,0.31524578,0.40216953,0.4020902,0.4020902,0.41375247,0.4177664
0.44075054,0.32545966,0.42168683,0.97763824,0.9999999,0.3300706,0.30834663,0.5013222,0.39799607,0.7617747,0.39905223,0.3946669,0.39056775,0.39328375,0.36255777,0.46745747,0.5494593,0.429321,0.3632939,0.39056775,0.41235274,0.97763824,0.31110278,0.3767611,0.9999999,0.43958303,0.33288944,0.3656993,0.3567525,0.7329854,0.48550612,0.38568458,0.3446278,0.3670286,0.3723784,0.40726048,0.41363066,0.39109784,0.43647718,0.39056775,0.3940627,0.3224036,0.4217924,0.3699379,0.3699379,0.39056775,0.39656126,0.39056775,0.4295829,0.38770667,0.39109784,0.34044087,0.4308883,0.4046959,0.36260784,0.41973692,0.42778015,0.39841372,0.3334304,0.42578247,0.37954754,0.47027618,0.4024437,0.408998,0.41619864,0.3397138,0.33939615,0.32545966,0.34296364,0.35108384,0.37796664,0.3066643,0.43596175,0.6644155,0.39110538,0.39431447,0.6171868,0.36874866,0.40785474,0.40221912,0.55609834,0.31893823,0.3960608,0.4007728,0.4007728,0.41333985,0.41645712
0.83235544,0.85609996,0.85826254,0.32589418,0.3300706,1.0000001,0.9344802,0.77162147,0.8924842,0.43113026,0.89934856,0.9230838,0.8974766,0.893248,0.8444452,0.82829416,0.629122,0.89154625,0.9662478,0.8974766,0.89044863,0.32589418,0.94671756,0.8821423,0.3300706,0.8369057,0.9513547,0.93506825,0.8624103,0.43282413,0.8474256,0.87676406,0.85706043,0.8684362,0.9296353,0.891212,0.866966,0.86205596,0.83634174,0.8974766,0.89555323,0.933216,0.90396357,0.9080928,0.9080928,0.8974766,0.89408845,0.8974766,0.8536708,0.84558374,0.86205596,0.91969395,0.87273896,0.89171934,0.8219234,0.87601495,0.8777145,0.8477937,0.94585454,0.84580386,0.93190247,0.61891556,0.90074253,0.8370547,0.8763647,0.8710723,0.9078037,0.85609996,0.8645637,0.9399923,0.8853754,0.90823025,0.80588865,0.43767765,0.82163906,0.8567053,0.4537322,0.9327298,0.8773492,0.92356205,0.55436945,0.9475956,0.61910254,0.8763728,0.8763728,0.89341617,0.88763094
0.8443079,0.8295859,0.85940075,0.30604208,0.30834663,0.9344802,1.0000002,0.67173386,0.8589679,0.42804706,0.8480957,0.86432546,0.8650766,0.85227716,0.80964357,0.7459749,0.57860005,0.79542506,0.8842185,0.8650766,0.8771408,0.30604208,0.9418866,0.9264554,0.30834663,0.8484582,0.918755,0.89155656,0.8119385,0.4276368,0.77656937,0.8943232,0.86172724,0.89506996,0.94278437,0.90380293,0.82517743,0.8328247,0.7856761,0.8650766,0.8656364,0.94477814,0.9136467,0.89232373,0.89232373,0.8650766,0.8547893,0.8650766,0.86312115,0.8602273,0.8328247,0.9430597,0.8806744,0.90036464,0.7710464,0.87014604,0.87175584,0.85136926,0.9549008,0.8307971,0.8868061,0.62016153,0.90618914,0.7679781,0.89276195,0.91250527,0.8830021,0.8295859,0.8900758,0.9593745,0.91518676,0.9566601,0.8017704,0.43575853,0.8350881,0.87855244,0.46033403,0.945267,0.88028365,0.9090587,0.5782421,0.9481621,0.61387295,0.82946265,0.82946265,0.8426833,0.85359263
0.71966,0.69230074,0.72814715,0.49020308,0.5013222,0.77162147,0.67173386,0.9999999,0.77739894,0.50476456,0.7964555,0.8116368,0.7535026,0.7707799,0.7330747,0.9476615,0.71403563,0.895213,0.81991076,0.7535026,0.7406932,0.49020308,0.7014926,0.71867263,0.5013222,0.72547257,0.7446344,0.7770663,0.77656484,0.48431975,0.8880722,0.7423891,0.6547962,0.71592116,0.7486301,0.7652617,0.7673795,0.73607814,0.8299161,0.7535026,0.75016266,0.67493623,0.7579066,0.76135147,0.76135147,0.7535026,0.7697475,0.7535026,0.7214588,0.6982771,0.73607814,0.7005057,0.78206545,0.7611249,0.7283915,0.7373586,0.74966645,0.7083558,0.72237664,0.727995,0.7880931,0.5149466,0.7371141,0.7816818,0.72257435,0.6866694,0.73234737,0.69230074,0.68649477,0.72834736,0.69716007,0.6441665,0.70813245,0.47208852,0.68102795,0.6798401,0.40550035,0.74888134,0.7368742,0.74481606,0.47022423,0.70271206,0.56024605,0.7806467,0.7806467,0.8007046,0.7719533
0.8433628,0.87097627,0.9015621,0.3983938,0.39799607,0.8924842,0.8589679,0.77739894,1.0,0.46664336,0.89056677,0.9610181,0.9899654,0.99156135,0.8536412,0.83814275,0.64196956,0.8705697,0.9183038,0.9899654,0.8904427,0.3983938,0.8826477,0.83305883,0.39799607,0.8433103,0.9117842,0.959708,0.82896036,0.45455647,0.8754698,0.80163646,0.9079837,0.7949135,0.9236521,0.8653332,0.92850256,0.9373964,0.8499187,0.9899654,0.9882467,0.87609696,0.8754638,0.84928674,0.84928674,0.9899654,0.99096566,0.9899654,0.89053935,0.83986664,0.9373964,0.8447633,0.84363127,0.8354943,0.8548221,0.93679637,0.9355786,0.91454357,0.89638865,0.89626634,0.9555803,0.6754161,0.93795294,0.828342,0.89512277,0.77260137,0.87212545,0.87097627,0.7866208,0.9346481,0.87218404,0.86067116,0.8603756,0.5132725,0.81973433,0.871023,0.523016,0.9252439,0.9433005,0.928525,0.61856055,0.8858136,0.6528734,0.9654347,0.9654347,0.97431755,0.9662162
0.51523226,0.4053551,0.48014605,0.73902905,0.7617747,0.43113026,0.42804706,0.50476456,0.46664336,0.9999998,0.4598285,0.46996856,0.45936444,0.45549348,0.4359478,0.5136069,0.62018555,0.48882553,0.43783832,0.45936444,0.47265196,0.73902905,0.4207561,0.4691892,0.7617747,0.5123371,0.43252766,0.4338888,0.4366672,0.7668357,0.5268647,0.47741967,0.41624603,0.44559845,0.46744585,0.49005237,0.44569093,0.44798124,0.49612448,0.45936444,0.46338698,0.42642546,0.51153564,0.47317347,0.47317347,0.45936444,0.4597517,0.45936444,0.49423495,0.4847306,0.44798124,0.44400296,0.5119792,0.49620664,0.4076599,0.4596242,0.47059816,0.4611661,0.44126266,0.49563843,0.4484696,0.5481561,0.464567,0.47349727,0.4835902,0.43104184,0.4327466,0.4053551,0.42648387,0.45101666,0.46260285,0.39447993,0.47119918,0.6591071,0.48689044,0.44929323,0.78264093,0.46400836,0.47614452,0.46539834,0.7070583,0.42982733,0.43949625,0.43363035,0.43363035,0.47143707,0.47145194
