0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131
0.0,7.8963895,9.483761,6.190373,7.4546547,7.775212,7.3491063,5.9168487,6.175461,8.164164,8.388551,6.9585876,8.432872,17.94271,5.5795393,6.464357,6.666184,11.283231,6.9700937,8.131688,7.628708,19.690577,7.742681,8.421622,8.850509,5.2992353,7.0843167,7.3636785,6.1028447,7.1584167,7.8737774,18.962608,7.484439,6.4639535,7.841849,6.425954,7.4284005,7.618301,8.013533,7.316548,7.828708,7.8741746,5.6055593,8.572526,6.668319,7.399984,7.8594136,7.772766,7.7872915,8.163774,6.9807167,7.4909186,7.659246,9.488882,9.370635,6.599892,7.928885,6.868019,6.26283,4.333586,8.56336,11.821997,6.761589,8.28955,7.116497,6.7804227,6.9791985,8.865725,6.5786195,7.4400954,7.1644626,7.8944974,6.304699,8.271364,7.778266,7.5943995,6.940267,8.526124,8.068708,9.041041,7.2891407,7.754285,8.160198,5.950267,8.796346,7.1559,7.6717243,6.799045,8.103766,7.3491063,9.512139,8.658719,9.050275,6.524316,7.660946,9.023051,8.314528,5.9882307,7.890548,8.2655735,7.1320047,6.7563925,7.6269,7.6339555,7.759709,7.8774433,7.272143,6.2919726,9.021152,6.075019,6.8370614,6.5851517,7.2699823,5.6503487,7.704898,5.920774,9.020384,4.4012976,7.4820375,5.072027,8.611541,7.6174273,6.03895,7.1001887,8.619327,7.9934435,6.410695,6.9700937,7.986897,7.402324,7.5745635,7.4498806
7.8963895,0.0,11.946801,8.694858,8.308706,8.584787,8.461225,6.464867,6.809323,10.8406,10.120765,8.488552,8.561175,18.607878,7.4253445,5.7389026,7.32998,10.72039,8.79823,10.100751,10.181893,20.239166,8.527853,9.799576,9.05847,6.07862,8.997286,8.930374,6.535035,7.9498553,8.665367,19.703247,10.204454,8.446461,10.969183,8.439642,8.719432,9.959427,7.699874,8.002962,6.222515,9.130186,7.9357657,8.8791485,5.9028516,8.1624975,8.12919,8.022894,9.31536,10.134129,6.232345,8.428974,9.509779,11.521037,10.010256,7.953648,9.0545025,8.666522,6.6481724,7.2153645,8.240034,10.646051,9.564196,10.010798,8.7083845,8.771154,9.299728,9.513883,8.105144,9.29989,7.6185794,8.370295,8.942088,7.494463,8.85238,8.7199745,8.657033,10.655865,9.564292,8.727122,8.175602,8.848417,7.6745276,8.82169,10.910414,8.614601,7.5788403,8.278536,9.879687,8.461225,10.438409,10.684393,10.3323145,7.745928,9.800511,11.330255,9.086376,5.7920585,9.37696,8.1158,6.967623,6.3625197,8.060198,8.011736,8.6516285,9.023512,8.482998,5.632261,8.716067,6.2396007,8.22883,8.720333,8.125602,8.298945,8.231427,8.157607,10.647759,7.2471056,9.288017,7.6653624,8.076612,9.699526,7.0054445,8.110108,8.918339,9.281613,7.87834,8.79823,6.323591,8.32865,7.679927,6.2438035
9.483761,11.946801,0.0,10.389886,7.401054,10.459058,10.282755,10.0511,9.461661,6.4950795,7.7408113,7.9534965,7.347479,18.29189,10.131916,10.152689,9.514887,15.480181,7.3839736,7.7957344,6.776986,19.252426,10.79998,7.693961,8.482989,10.222455,8.062394,10.69413,10.890651,7.852763,11.126653,18.917398,6.7942033,8.2873,8.530094,8.444415,10.857274,7.8673778,10.268242,12.11988,11.365352,7.8451815,8.53561,13.67233,10.074127,11.210757,11.255838,9.545753,8.6014805,9.972013,11.129568,6.3917017,9.654963,4.4640994,10.022299,11.256528,8.331818,10.511175,11.935233,9.786824,9.356882,14.449996,7.6529617,6.8517847,11.838609,8.838314,8.341592,9.927328,8.223376,9.9725895,8.622936,7.7799034,8.999157,12.475353,10.191515,7.7336373,7.8244243,5.468728,7.646518,9.443081,10.082296,8.405216,11.195431,9.047252,8.930284,7.6605415,12.401962,8.389074,7.5891776,10.282755,9.7187,9.196729,6.45944,9.207269,6.601938,8.484574,10.075893,9.941134,10.056104,12.12531,8.745733,11.657838,10.217792,10.406952,12.565844,12.734453,9.243282,9.444792,9.348675,10.659521,8.826782,8.308812,11.810475,7.61992,11.009077,8.159938,7.1740885,9.700337,7.624529,9.483136,10.2441225,11.6765,8.890309,10.684166,8.571624,8.201729,9.48744,7.3839736,11.306021,6.070167,11.286265,11.237504
6.190373,8.694858,10.389886,0.0,8.172818,9.870961,9.669168,7.6023417,6.624836,9.8716135,10.3950815,8.16129,9.01992,18.67398,7.834301,7.6083035,7.7971487,11.370359,7.9986567,10.155931,8.470867,20.156977,10.0295,9.779528,10.677177,6.9263144,7.426113,8.101088,7.0681353,8.462223,10.078672,19.731659,8.495624,7.9841785,9.709007,6.368265,9.637057,9.482231,9.921601,9.341275,8.122193,8.230859,7.3974504,10.608806,7.347362,9.195702,9.769521,9.786922,9.11407,10.094652,9.134148,8.529362,9.711078,10.432771,11.041199,8.954129,9.634505,9.439792,7.674054,5.308338,10.027186,13.372368,8.795686,10.120882,9.738096,9.110719,8.6460705,10.616336,7.722389,9.435416,9.195976,8.108148,7.5243855,8.88044,10.00343,8.345281,8.943363,8.88414,9.423898,10.916933,9.581514,7.92279,10.1492405,7.5720997,10.49608,9.44857,9.885225,7.974284,9.689571,9.669168,10.686797,10.412114,8.9056635,7.78886,8.606658,10.944842,10.439181,7.205581,10.299904,10.583302,7.4187713,7.7181764,9.8838005,9.761478,10.070024,10.29256,7.922163,6.6461954,10.847309,7.667339,6.5049357,8.156271,9.4620495,7.6599345,9.745466,6.517404,10.573722,5.245411,9.588675,6.4874725,10.014526,10.054132,7.8791437,9.638978,10.534958,9.590803,7.1771436,7.9986567,9.579176,8.612848,9.092157,8.866459
7.4546547,8.308706,7.401054,8.172818,0.0,8.263046,7.6927185,8.117131,6.5866804,8.309148,8.238978,7.104792,4.79124,17.698524,7.6374145,8.175003,6.5331254,11.294485,6.8939595,7.047245,7.414913,19.294794,8.651967,5.7752175,8.123465,7.928453,6.5852327,9.465744,7.23288,6.640594,8.538125,18.707857,7.55871,6.694764,8.717461,6.461662,8.194228,7.8830395,6.948499,8.033689,8.39248,4.7377496,5.891946,9.696777,7.598809,9.312054,8.0943165,7.1975102,7.768276,8.957282,8.505732,3.9014506,9.292744,7.9524107,9.496915,7.5070896,7.109121,7.879168,8.396974,7.261761,7.8431067,11.6665125,6.857259,7.748917,8.553434,7.1485963,7.821584,8.681691,6.051273,8.870089,6.031302,4.102251,6.6900926,8.403482,8.850207,3.854208,7.211254,5.7467704,7.583271,7.942541,7.5513673,7.9781623,7.71766,6.837574,9.519743,7.288594,8.847796,7.254933,7.967347,7.6927185,9.783156,9.088552,6.350609,6.592901,7.0317388,9.492574,8.702176,7.2633348,8.937045,9.023192,6.6304336,8.540055,7.806396,7.5429134,9.060442,9.401082,8.538564,6.8577313,8.35924,8.570739,7.3602524,7.0803013,8.049171,6.0080166,8.255273,6.4092216,8.884352,7.215549,7.638639,7.736031,8.020807,9.947229,6.0339966,7.2559114,7.612532,6.944188,7.837919,6.8939595,8.347134,4.4875884,8.183971,8.007552
7.775212,8.584787,10.459058,9.870961,8.263046,0.0,3.812045,8.183794,8.335458,8.132917,8.235643,8.11679,8.698029,17.763031,8.281909,8.702962,8.2802105,11.569474,7.5754857,7.8957667,8.281057,19.356543,2.9424317,8.799828,8.308507,8.09866,8.546628,9.592177,8.503559,8.064463,2.9776235,18.531576,8.166982,6.9898534,9.4860735,9.001357,7.497675,7.2011943,6.7759943,6.805942,9.677729,9.198379,6.943855,7.97231,8.646563,9.239425,8.049459,7.491828,8.800251,6.1422067,8.263706,8.047512,9.139394,10.207465,8.516658,6.2334766,8.497298,5.5405,8.751078,8.457658,8.873256,9.987395,8.091598,8.190915,5.891667,3.5205297,7.319315,7.195522,7.138515,7.2550917,7.2853336,8.901993,7.947231,7.620043,8.48345,9.086568,6.8624473,10.177129,8.636635,7.75478,3.273102,9.888517,4.3935027,7.7887387,9.592322,6.4324417,5.847155,6.8957195,8.609063,3.812045,9.033745,7.0345054,10.247995,8.735986,8.177429,8.06221,6.4573717,8.251585,7.391107,5.6731324,8.508528,8.487493,3.0301952,2.4848583,6.8868504,7.0329056,9.681533,8.274631,7.913905,8.678531,9.481194,7.095329,6.333139,6.923609,2.0228186,8.4023,9.083331,8.552473,7.5018005,8.826126,8.48836,6.912164,7.4061418,6.322391,7.7214146,7.9848537,7.529994,7.5754857,8.257126,8.00058,8.6127,8.400863
7.3491063,8.461225,10.282755,9.669168,7.6927185,3.812045,0.0,8.253602,8.081131,8.001645,8.230185,7.905353,8.322142,17.395302,7.681229,8.76665,7.980257,10.921569,7.5358353,7.9459767,8.527733,19.122429,3.816222,8.628044,8.083061,8.037559,8.232603,9.633319,7.9309664,7.790156,3.9162986,18.203115,8.422104,6.856796,9.49707,8.856973,6.968664,6.927052,5.8463807,6.0748625,9.581575,8.689345,6.114592,7.3282766,8.641523,8.856464,7.578945,6.862578,8.870629,5.9022875,7.9900336,7.4866714,9.188667,10.184208,9.131052,5.6761913,8.0295515,4.232941,8.27468,8.2530365,8.626631,10.1143465,7.8167763,8.234955,5.236824,3.7572765,7.2925262,7.798347,6.7103477,7.3878064,6.9497194,8.479681,7.3960996,6.81856,8.488914,8.694543,6.7272267,9.982741,8.425754,7.6403604,3.320607,9.994637,3.9207883,7.283688,9.83659,6.234628,5.3083553,7.125756,8.458631,0.0,9.68006,6.8790445,10.008398,8.368484,8.321477,7.954188,7.3589163,7.9883876,7.713535,5.2268476,8.357218,8.285276,3.7652864,3.0652134,6.347284,6.586037,9.693492,8.176776,7.696766,8.591104,9.425424,6.999699,5.656259,6.1979136,3.8331518,8.142745,9.28187,8.371752,7.448811,8.670713,8.1309595,7.0463805,6.926733,5.4525065,7.3965864,7.961871,7.790191,7.5358353,7.9479194,7.614869,8.157713,8.125667
5.9168487,6.464867,10.0511,7.6023417,8.117131,8.183794,8.253602,0.0,5.848569,9.007625,8.510556,6.9545355,8.360054,18.237093,6.747152,4.4281726,6.851938,11.726772,7.328052,8.451669,8.306221,19.98967,8.106616,8.839658,8.205113,4.2935596,7.977582,6.812607,7.087342,6.2919083,8.570047,19.381454,8.183487,7.1555185,8.218081,6.8986945,8.665941,8.592598,7.995831,8.579561,6.941003,8.959019,7.2830706,9.818365,4.827697,7.062461,7.5504937,7.995826,8.259485,9.335051,6.4514017,7.804439,6.486121,9.832325,8.412006,8.0379305,8.4070635,8.241536,7.091395,5.5405483,8.13121,10.763739,8.24978,8.426632,8.658735,7.651145,7.83567,8.0437975,7.3105764,7.653171,6.9631763,8.363188,7.960053,8.388122,7.49128,8.253278,7.0990286,9.393072,7.929533,8.3376,8.017215,8.064185,8.169543,8.054618,8.859638,7.354395,8.114382,6.9613276,7.9867887,8.253602,8.409094,9.602736,9.705911,7.339576,8.14609,9.63458,7.680538,5.9265313,7.8555984,8.664448,6.10999,6.3244243,7.6970196,7.9254127,9.222392,9.391474,7.355112,5.0987062,8.130108,3.5582964,6.7762275,7.1592813,8.442354,7.2451787,8.258118,6.45131,8.579973,5.633766,7.7783575,5.4499006,7.905912,8.825802,5.9307556,8.160062,8.2465725,8.369315,6.812029,7.328052,6.8198543,7.5559,7.6642165,6.873878
6.175461,6.809323,9.461661,6.624836,6.5866804,8.335458,8.081131,5.848569,0.0,8.534737,8.859185,6.4738336,7.4153886,17.978867,6.6627097,5.6745605,5.448064,11.2529125,6.4925613,8.52606,7.2411556,19.672867,8.577143,8.425637,8.77608,5.877419,7.263197,8.325823,5.1940618,6.0748353,8.638985,19.091475,7.385468,7.116605,7.9481077,4.1652627,8.479504,7.799147,8.1837435,8.168197,7.107589,7.358068,6.102019,9.516023,5.468132,7.8790755,8.146006,8.304634,7.488231,8.966951,7.7227015,6.928821,8.15203,9.229283,9.584609,7.6953006,8.368535,8.261722,7.3571033,5.459768,8.442629,12.076823,7.5617886,8.529492,8.644867,7.4063625,7.1858172,8.907694,6.2305155,7.8003917,7.30639,6.819352,6.5524426,7.7841754,8.361387,6.8319016,7.359833,7.9098883,6.894789,8.910739,7.6986847,7.5415506,8.217462,6.370682,9.473835,7.617435,8.206532,6.6079407,7.3186736,8.081131,9.584965,9.305567,7.969653,6.810096,7.160551,9.794509,8.840829,5.677424,8.792183,8.679171,3.1255379,6.247416,8.1282425,7.9091496,8.808679,9.285504,7.644395,4.293109,8.978626,6.8438063,4.795008,7.3719225,8.265604,6.2958465,8.173224,3.975382,9.230724,5.3245015,7.874708,5.850969,8.299157,9.637173,5.3030367,7.6926794,8.599356,7.9980297,7.2563376,6.4925613,7.7361026,6.813775,7.126228,7.260399
8.164164,10.8406,6.4950795,9.8716135,8.309148,8.132917,8.001645,9.007625,8.534737,0.0,6.675449,7.1501794,8.241812,17.115543,8.832912,9.296666,9.065399,14.550526,6.725771,7.7763233,5.4465895,18.35875,8.069557,8.592057,7.9328284,9.289028,8.111153,9.844506,9.872626,7.5292726,8.736155,17.853037,5.212428,7.828208,7.4894514,8.195065,9.728997,3.744783,9.092595,10.804981,10.865294,8.654037,6.843462,12.08408,9.389357,9.757322,10.176183,9.215099,7.705697,8.030419,9.8275385,7.339697,8.499666,6.269682,9.248211,10.052369,7.926321,8.987679,10.918205,9.032507,9.286341,13.274485,7.0491586,6.164088,10.036159,6.455926,6.1779943,8.821121,6.5559235,7.9865007,8.161785,8.685064,8.285679,10.4705715,8.905628,8.668556,6.3891034,7.689755,6.5946674,8.578269,7.775029,8.303648,9.1361685,8.07554,8.13508,6.337547,10.125973,6.7573853,6.3929453,8.001645,9.001439,7.4533596,8.132979,8.892611,5.668931,7.537025,8.74295,8.812875,8.320234,9.877313,8.1404705,10.078868,8.151367,8.198668,10.850118,11.090756,8.931596,8.60611,8.50259,9.924535,8.607519,7.750376,10.435841,5.792761,8.848656,7.387037,7.091566,8.983329,6.30939,8.75123,9.207619,9.922292,8.008538,9.099196,7.515137,7.3441358,8.425378,6.725771,10.017892,6.6767387,10.116762,10.084777
