Taraf,Hadith Count,Best Distribution Name,Best Dist Params,Best Fit Metrics,Similarity Metric
852,119,gamma,"(1.8715307250657476, -8.887687775763475e-05, 0.01366143770967731)","{'AIC': -38801.63852168471, 'BIC': -38781.06853887366}",JSD
760,122,gamma,"(1.8261846756357762, -2.6577762274297747e-05, 0.010790830057605004)","{'AIC': -44538.37703402966, 'BIC': -44517.65704080035}",JSD
636,138,weibull_min,"(1.8192814165623667, -2.885522674826562e-05, 0.015465769575087066)","{'AIC': -66807.04606796379, 'BIC': -66785.58380567252}",JSD
1360,69,weibull_min,"(2.194299004159879, -0.0009227201316166084, 0.01656843265097125)","{'AIC': -16764.094213045595, 'BIC': -16746.812811957956}",JSD
1950,59,weibull_min,"(1.5027384698441302, 0.0013288015754868948, 0.020286737894420336)","{'AIC': -10705.53190212521, 'BIC': -10689.197402303535}",JSD
380,188,exponpow,"(0.5533919145198678, -5.69765049036234e-29, 0.04101833433284327)","{'AIC': -101013.59887229365, 'BIC': -100990.27566209628}",JSD
1557,66,weibull_min,"(1.6543388637400056, -0.00014898939300414695, 0.03553765241529625)","{'AIC': -11162.158851335858, 'BIC': -11145.146166841772}",JSD
2762,33,gamma,"(10.53511454157603, -0.004034230494547987, 0.0014740749355155202)","{'AIC': -4173.2039003208565, 'BIC': -4160.396611469738}",JSD
632,131,weibull_min,"(1.6411115798639457, -0.0008677402712814618, 0.03378934555455103)","{'AIC': -45037.898575190186, 'BIC': -45016.74982141089}",JSD
876,107,weibull_min,"(1.5020835134386727, -1.3331678556243046e-05, 0.01828769430714172)","{'AIC': -36811.65657811043, 'BIC': -36791.72721586638}",JSD
469,177,gamma,"(1.8447266411458663, -7.139892887712954e-06, 0.009228211753653147)","{'AIC': -98637.56784875484, 'BIC': -98614.60738911369}",JSD
611,132,gamma,"(3.826358951791616, -8.208871943632049e-05, 0.003364294545990222)","{'AIC': -63932.931413317965, 'BIC': -63911.73685712228}",JSD
473,170,exponpow,"(0.7704017030295989, -6.24427328729917e-31, 0.05139000306718702)","{'AIC': -92398.40974337676, 'BIC': -92375.69209346252}",JSD
2066,41,weibull_min,"(0.2651492734172828, -1.1912139755755939e-31, 0.01898549456044129)","{'AIC': -17801.53943040029, 'BIC': -17787.411517379518}",JSD
402,199,weibull_min,"(1.9021603065158992, -1.5509975386021551e-06, 0.011441042296811883)","{'AIC': -153308.67885992152, 'BIC': -153285.01358589693}",JSD
3033,31,gamma,"(4.509555433137356, -0.00018806584352345596, 0.0016342475703449294)","{'AIC': -4014.0660459308942, 'BIC': -4001.639933714132}",JSD
479,169,exponpow,"(0.6727457971550184, -1.6034327080770398e-29, 0.047504904063981)","{'AIC': -78723.3902860654, 'BIC': -78700.70813952411}",JSD
2893,33,exponpow,"(1.2612066079076798, 0.00027986519679893524, 0.053822840932141326)","{'AIC': -2690.0737488381956, 'BIC': -2677.266459987077}",JSD
1448,69,gamma,"(1.7600969206067436, 0.00029007252522771294, 0.006884752354983009)","{'AIC': -16388.69833938646, 'BIC': -16371.41693829882}",JSD
720,133,weibull_min,"(1.9048417954802233, -2.155596507416226e-05, 0.03108566276010912)","{'AIC': -49874.86705252774, 'BIC': -49853.627040916996}",JSD
830,107,gamma,"(1.872225256436379, -0.0002353810383182951, 0.00926214390648146)","{'AIC': -35744.479576467915, 'BIC': -35724.55021422387}",JSD
2177,82,exponpow,"(0.9183978431123767, -1.4117598304768491e-30, 0.04680593471556212)","{'AIC': -17623.039807408037, 'BIC': -17604.715743743905}",JSD
2095,38,exponpow,"(0.550582831991786, -9.95628511119221e-29, 0.041583001075206794)","{'AIC': -3836.1191983938916, 'BIC': -3822.4531277184597}",JSD
1876,48,weibull_min,"(1.4666075913101135, -3.805301924433309e-05, 0.015773422961415744)","{'AIC': -7614.192874341305, 'BIC': -7599.108270045131}",JSD
843,87,gamma,"(1.8134809036548463, -0.0003712697376928014, 0.014250277751944448)","{'AIC': -20528.754518556543, 'BIC': -20510.0731938535}",JSD
1258,84,gamma,"(87.22478366769562, -0.025905757690069142, 0.0004172497919063775)","{'AIC': -28805.617405775538, 'BIC': -28787.147875097296}",JSD
809,90,expon,"(0.0, 0.018778224489110915)","{'AIC': -23826.209392061646, 'BIC': -23813.61879434264}",JSD
547,163,gamma,"(2.7845401172524182, -1.6443680942083588e-05, 0.004467239875867347)","{'AIC': -95341.09376525218, 'BIC': -95318.62916718575}",JSD
706,153,exponpow,"(0.42531464088038456, -1.0059570217151187e-29, 0.4755777629684945)","{'AIC': -65291.07667990302, 'BIC': -65268.99316611798}",JSD
