0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1.0,0.88963056,0.8887506,0.9016826,0.847333,0.87041616,0.91675484,0.91534734,0.8847976,0.89156395,0.88794816,0.87631047,0.8837414,0.8963171,0.58755225,0.8801791,0.9018177,0.9485909,0.8201075,0.8839865,0.7667513,0.8749782,0.851007,0.88962394,0.65969884,0.72067237,0.89918613,0.8801105,0.5284989,0.8159396,0.84976315,0.82081753,0.88619834,0.8296111,0.9038162,0.86561257,0.8956598,0.8762621,0.9144574,0.9009844,0.889643,0.7750582,0.8228212,0.87270665,0.87535,0.8143321,0.8774766,0.8709091,0.88656926,0.91271925,0.890944,0.9150974,0.8766293,0.8839309,0.6432082,0.90179026,0.8550867,0.879086,0.93424916
0.88963056,0.9999995,0.87637794,0.89689445,0.8668519,0.86759824,0.88111687,0.8817159,0.8845129,0.8761715,0.8646779,0.9435972,0.8422068,0.9747894,0.554281,0.86833185,0.87433386,0.92435277,0.71990466,0.89284426,0.79981124,0.86520535,0.866929,0.93266296,0.5885267,0.7099711,0.9494796,0.86363363,0.48541805,0.85325193,0.8586012,0.8873184,0.9446169,0.8904444,0.94138503,0.8582232,0.9483987,0.86572886,0.8863305,0.8725182,0.8815015,0.71245974,0.92883384,0.84396905,0.8320772,0.84974474,0.83349013,0.8535601,0.8954075,0.8683989,0.986194,0.87232953,0.8355315,0.92552805,0.5868209,0.93637955,0.8783414,0.90110743,0.90736127
0.8887506,0.87637794,1.0000005,0.98387134,0.85175645,0.8667307,0.85580015,0.96586037,0.8265191,0.8880123,0.8066349,0.8698622,0.8159949,0.866122,0.5495038,0.9069091,0.97912216,0.9081174,0.7517868,0.8683057,0.7135529,0.86163586,0.7972311,0.8564229,0.5722793,0.8683307,0.8526553,0.8383338,0.518918,0.77580935,0.7793922,0.77278775,0.8503785,0.821605,0.85875386,0.9060276,0.8560832,0.870219,0.9430009,0.8943587,0.8194622,0.7046155,0.83707213,0.87344104,0.8427991,0.776214,0.8852863,0.89880943,0.8297207,0.96297497,0.88016766,0.8279279,0.86632097,0.8398429,0.5470739,0.85068196,0.79053503,0.80529046,0.871015
0.9016826,0.89689445,0.98387134,0.99999994,0.8551688,0.8729418,0.86596733,0.974375,0.84520715,0.9035242,0.8208947,0.88880813,0.8310199,0.8876337,0.55322623,0.9152069,0.9875766,0.92917216,0.7524735,0.8810626,0.72624475,0.8654935,0.81877893,0.87941086,0.5786511,0.83727306,0.87317693,0.8511813,0.5133314,0.7903841,0.7967478,0.80324435,0.87406576,0.8358674,0.8827809,0.9059632,0.8787502,0.8774241,0.95741737,0.907779,0.83062047,0.7132518,0.8585167,0.8828117,0.8519201,0.79202217,0.89232695,0.8930689,0.8563123,0.9700228,0.9009353,0.8524134,0.8734915,0.8698254,0.5628886,0.8752754,0.81188506,0.8350369,0.8879789
0.847333,0.8668519,0.85175645,0.8551688,1.0000001,0.9123843,0.87075603,0.8706684,0.84027654,0.88176686,0.857204,0.8602321,0.8379957,0.8475395,0.5744289,0.87418574,0.8510349,0.84806067,0.7334477,0.8762948,0.84608555,0.8674419,0.8655216,0.83515096,0.5774186,0.76050025,0.89339274,0.87194806,0.57485515,0.91864234,0.86406606,0.8072872,0.8346157,0.89054406,0.8911232,0.8920336,0.8802465,0.8727727,0.8753862,0.8797173,0.84981525,0.7195552,0.7841667,0.868992,0.8687826,0.88933164,0.8682896,0.87539726,0.8354532,0.8653108,0.8677094,0.79951006,0.8680055,0.86810106,0.5596522,0.84542644,0.82954246,0.8409345,0.8427916
0.87041616,0.86759824,0.8667307,0.8729418,0.9123843,0.9999999,0.90249497,0.9056127,0.8904145,0.93087614,0.87978286,0.8965406,0.90117747,0.86372024,0.54614794,0.9283631,0.87229353,0.8719946,0.75449514,0.9289249,0.79735947,0.9172051,0.8846094,0.8770873,0.58868504,0.74223274,0.8749379,0.9099624,0.5562736,0.8668159,0.87222683,0.8031112,0.86006904,0.9262077,0.87351424,0.93198854,0.86768055,0.9313588,0.9150733,0.9205779,0.88233995,0.75611615,0.7901791,0.9339353,0.9142309,0.85384303,0.9174284,0.9099778,0.84419924,0.88796127,0.8685092,0.85821736,0.9272175,0.8507154,0.5702694,0.85862106,0.8476519,0.8553636,0.89630854
0.91675484,0.88111687,0.85580015,0.86596733,0.87075603,0.90249497,1.0000002,0.88175344,0.90393275,0.9245968,0.90614355,0.89760613,0.9216764,0.8822497,0.6176562,0.91589814,0.8613012,0.9188616,0.78214306,0.9335352,0.8007969,0.92815864,0.8840156,0.8931999,0.63783854,0.70073044,0.88842005,0.93969685,0.5657338,0.8498181,0.87811124,0.8222983,0.8794702,0.8621557,0.8926953,0.8829279,0.8883101,0.9173916,0.8989826,0.93362355,0.92676926,0.78572726,0.80270755,0.9174257,0.9221591,0.8571676,0.9106158,0.9044292,0.8833564,0.87961984,0.88489807,0.9238662,0.9206024,0.8624206,0.6168755,0.90948576,0.86593366,0.8794012,0.91971856
0.91534734,0.8817159,0.96586037,0.974375,0.8706684,0.9056127,0.88175344,0.99999976,0.8561437,0.9377745,0.8451145,0.8796753,0.864414,0.88788265,0.5706589,0.9316,0.98581564,0.9138388,0.7909403,0.9024675,0.7418501,0.8941977,0.8360582,0.88032037,0.60921633,0.81991446,0.87716454,0.88025534,0.5406093,0.8041414,0.8220534,0.7916615,0.859933,0.84273905,0.8835684,0.91210616,0.87154317,0.90610844,0.9750198,0.93235,0.8525877,0.7595858,0.81350785,0.9238423,0.88901377,0.8018255,0.92300034,0.9081528,0.8626355,0.9725492,0.8783899,0.8573283,0.91269815,0.8678292,0.58843285,0.866933,0.8390434,0.8398111,0.8831612
0.8847976,0.8845129,0.8265191,0.84520715,0.84027654,0.8904145,0.90393275,0.8561437,1.0,0.895031,0.9100943,0.92004573,0.8831785,0.8908212,0.5722343,0.88535917,0.8328488,0.88865614,0.7550185,0.9341556,0.8094615,0.9164047,0.88004017,0.9149764,0.62989783,0.65837425,0.87792313,0.89836735,0.527338,0.84517175,0.8796223,0.85290754,0.9067863,0.8962796,0.8878362,0.8573937,0.88966125,0.90241206,0.8628445,0.88786983,0.9230412,0.7652227,0.8269897,0.88814384,0.88116074,0.84840006,0.87628263,0.86079884,0.87622845,0.8448787,0.8861743,0.9076209,0.8811406,0.8884578,0.6143354,0.91324806,0.8535395,0.8970936,0.91855276
0.89156395,0.8761715,0.8880123,0.9035242,0.88176686,0.93087614,0.9245968,0.9377745,0.895031,0.9999999,0.8799181,0.8845694,0.899584,0.880769,0.5845127,0.9700172,0.91380244,0.89172065,0.790514,0.9608569,0.7944268,0.94887424,0.8803819,0.8980952,0.6334646,0.752225,0.89346206,0.94584185,0.59543663,0.848554,0.8702862,0.81479704,0.88694644,0.8720981,0.8977984,0.9196517,0.88607,0.961738,0.95362395,0.9707161,0.90382975,0.798266,0.7994542,0.97929794,0.960093,0.8479664,0.9584825,0.93392473,0.90114975,0.91690814,0.87631583,0.8879424,0.9618425,0.8663631,0.6151709,0.8915812,0.875345,0.8604683,0.89318514
