0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0.0,11.998179,6.3089147,6.742002,7.5069966,7.3374953,11.836897,7.1342974,7.3781033,7.84908,7.2863607,6.0574617,9.184618,7.965916,5.060339,19.790886,11.45956,9.617392,8.889997,7.026556,5.5186095,9.510424,17.405708,6.320903,8.267664,10.936746,6.270792,9.873884,8.349643,5.2073574,8.109555,8.8395815,10.018842,10.855947,7.2067494,9.846652,5.2377734,7.3483696,9.375112,9.2560005,5.8632817,11.358904,5.6397467,6.020839,8.08065,7.1129556,6.1759696,7.7234435,5.803689,12.715462,7.7201257,7.590215,6.485907,8.4542265,8.059572,8.189348,8.163702,9.059412,8.408403,7.1842103,18.55248,7.7201257,6.6331806,20.288555,7.944135,14.047036,20.99906,4.855891,9.072565,7.3663116,7.2087674,6.6574655,10.915504,8.4502735,8.175891,5.4972663,3.8411179,8.296758,11.530575,6.9224257,4.8769493,8.504216,8.06592,7.25672,8.604732,20.81239,3.8305807,7.8188806,7.1339407,7.75949
11.998179,0.0,10.814222,10.906982,13.902957,13.488292,5.899054,10.695351,9.883109,13.719264,14.478799,13.286969,10.599019,10.764578,11.2166195,19.736404,7.053547,16.223572,14.106935,12.616914,12.556447,16.331852,14.678883,12.60924,11.182893,16.632568,11.122329,9.088427,10.631515,11.001546,9.602941,13.6614065,8.079537,8.051983,9.236295,9.394702,11.930062,13.197177,9.29825,9.810564,11.615796,6.9441223,12.430558,11.856494,13.89316,11.143329,10.460748,8.009921,12.31217,6.484392,8.101808,10.672829,12.097247,12.085972,9.963212,9.58056,10.347716,10.996772,8.356636,10.653905,20.334505,8.101808,11.805296,20.060728,12.284134,10.819517,20.920527,11.9548855,10.634658,11.2494135,10.387364,11.971947,11.692542,10.157314,13.388759,11.897371,12.897196,10.374359,7.1735125,10.220608,13.180525,9.617475,10.150227,8.731639,15.559448,20.287376,12.586612,9.713686,9.800169,11.362989
6.3089147,10.814222,0.0,5.7735777,9.041773,8.197762,10.5222645,4.110439,5.8129625,8.723026,7.683872,6.1205277,8.346349,7.3805017,5.819034,20.38294,10.424896,10.8675,9.628119,8.083603,5.9217286,10.9664755,16.973284,7.024836,7.1682587,11.265036,6.636945,8.010276,6.9225082,6.041725,7.675514,8.268979,9.368469,10.293581,6.209904,8.764161,5.411768,7.79026,7.572049,8.609209,5.850914,10.285283,6.350903,5.767514,9.070527,6.569684,5.741861,6.601285,5.372572,12.116441,6.67033,7.1496034,6.123698,9.140158,7.1282654,6.825282,7.5429726,8.133369,7.743576,6.8066187,18.489529,6.67033,5.9511867,20.182896,7.9796724,13.410664,21.120308,6.1150064,7.990562,7.067416,5.728744,6.2918634,10.75547,7.4899917,8.941536,5.7828035,6.9201193,7.743554,10.478172,6.2913575,6.83325,6.4424467,7.4863935,6.0284615,10.378,20.914087,6.6633096,7.39142,6.31992,6.6677446
6.742002,10.906982,5.7735777,0.0,8.627051,6.928372,10.770017,6.230759,7.725162,8.0874,7.9239697,6.608985,9.224878,8.164267,6.6994014,20.279469,10.31509,10.573642,8.819633,7.628622,6.3878417,10.643487,16.792053,6.1400223,6.247946,10.4341545,6.263969,8.08505,8.412316,5.867185,7.5667458,7.30495,7.9493456,11.075256,7.278003,7.769576,6.130961,6.5715013,7.794699,9.0040045,5.916914,10.328867,6.4955583,5.6393356,8.473213,8.541259,6.3877745,6.5626097,5.9523387,12.227171,6.570129,8.231408,5.9972687,9.368355,6.135305,6.0487585,8.898619,9.5088,7.7745137,5.9061303,19.030636,6.570129,5.326175,20.706287,7.848637,13.246244,21.50166,7.381644,9.310379,6.6033454,5.725765,5.663397,10.901678,8.980017,8.828719,6.6385593,6.2184253,8.4528475,11.207965,7.166265,8.038062,7.6247487,8.0110445,6.212083,9.997811,21.113762,6.183505,8.088407,6.2696624,6.199418
7.5069966,13.902957,9.041773,8.627051,0.0,6.557889,13.715034,9.520478,10.002318,6.5524583,7.410994,6.9049873,9.863366,9.31359,8.494921,20.18815,12.922822,6.2375913,7.8803306,8.191785,7.802016,5.185131,16.92348,7.7705574,9.462545,8.780983,8.442573,11.192198,10.379937,8.358501,9.7564945,8.564095,11.314755,12.839121,10.551233,11.770431,7.756016,8.1098175,10.816508,10.592502,8.377407,12.816975,6.5164948,8.951037,8.048063,8.66428,9.50624,9.207739,7.824985,13.525245,9.410078,9.001297,8.929656,6.2217155,9.437513,10.479083,8.9878845,9.858293,9.461101,7.8245234,18.489916,9.410078,9.174326,20.566181,9.124959,14.0699835,21.198902,8.1168,10.00549,8.494578,10.238303,8.632861,10.34092,10.670481,8.16849,8.086675,7.2730436,8.756758,13.709511,10.351255,7.1733117,10.596187,8.675888,9.147031,6.249152,20.925388,7.151375,9.22667,8.854204,8.96015
7.3374953,13.488292,8.197762,6.928372,6.557889,0.0,13.479008,8.632367,9.84,7.731606,7.6504984,6.621242,10.572817,9.79342,8.263118,20.826813,12.996257,8.422274,7.141767,8.383421,7.2506657,8.010195,16.379519,6.353875,8.239496,7.4184537,7.476619,10.722156,9.948835,7.733811,9.999844,7.163251,10.722178,13.302476,9.885739,10.7095175,7.020629,7.4030213,10.357795,10.073865,7.89452,12.913245,6.7294736,7.3905234,6.435844,8.957867,8.848701,8.094077,6.756618,13.539143,8.86398,9.822335,7.454211,8.520906,7.525208,8.370309,9.875347,10.509678,9.418144,7.0679445,18.931343,8.86398,7.669188,21.154034,8.1872015,14.242494,21.832733,8.102821,10.448297,7.1843686,8.978983,8.185302,11.008973,11.2118435,7.5770183,7.934598,6.046702,8.427399,13.657474,9.975421,7.673317,10.429545,8.357972,7.9399686,8.636934,21.366014,5.9834757,9.054815,8.721215,7.834893
11.836897,5.899054,10.5222645,10.770017,13.715034,13.479008,0.0,10.164648,8.988414,13.68172,14.173197,13.087817,9.581784,9.8402405,10.76194,19.235832,6.009193,16.030558,13.536362,12.473914,12.4211,16.210342,14.624841,12.539296,11.30257,16.873634,11.016935,8.474818,10.204595,10.846678,9.199044,13.942144,8.3399725,6.5780168,9.235313,9.377531,11.559211,13.172248,8.72216,8.955325,11.161483,5.889684,12.136665,11.404517,13.60694,10.569609,10.263198,8.996372,12.2048645,7.717638,7.975682,9.819667,12.018243,11.497969,10.3802805,9.497106,9.656886,10.2492485,7.6694694,10.636818,19.809635,7.975682,11.316264,19.73848,11.7254925,10.211974,20.319803,11.546354,9.462847,11.064629,10.144394,11.709882,11.317793,9.107719,13.17328,11.368743,12.779144,9.635402,5.9742727,10.043604,12.977299,8.955898,9.382957,9.220267,15.451808,19.882528,12.404398,9.064261,9.198758,11.592822
7.1342974,10.695351,4.110439,6.230759,9.520478,8.632367,10.164648,0.0,5.668746,9.444797,8.556709,7.1273527,8.410383,7.5404058,6.7057986,20.550743,10.035801,11.564511,9.937662,8.862678,7.0235677,11.728533,16.402666,7.57017,7.6119375,11.536836,7.209338,6.621017,7.1343956,6.550605,7.7303247,8.771909,9.337082,10.259712,6.842399,8.655204,6.3810487,8.574734,6.5453796,8.394141,6.442548,9.944656,7.422099,6.1034756,9.455908,6.394678,5.786862,7.279037,6.285495,11.911214,6.304986,6.264132,6.4570656,8.925186,7.7049065,7.141944,6.7954764,6.902638,7.300429,6.7944393,18.758404,6.304986,6.420353,20.354609,8.647284,13.116155,21.331593,6.9918966,6.833133,7.1550117,6.110406,7.104355,9.671352,7.2499475,9.562541,6.0869503,7.7080674,6.969781,10.282984,6.5769835,7.7537065,5.033092,7.015857,6.7023497,11.101938,20.894978,7.3678803,7.321119,6.408937,7.364713
7.3781033,9.883109,5.8129625,7.725162,10.002318,9.84,8.988414,5.668746,0.0,10.559615,9.520395,8.297921,7.4388943,6.5944676,6.674453,19.655968,9.3872175,12.482296,10.605552,9.360188,7.6063747,12.448891,16.43887,8.287634,8.837976,13.36594,7.7691603,8.514671,6.822289,6.668819,7.623287,10.492643,9.264578,7.7985463,6.3847656,8.878055,6.6845617,9.493802,8.422896,6.3899727,6.6263957,9.178254,7.8580146,7.005569,9.939172,6.468196,7.1056633,6.87634,7.279119,10.867237,5.891301,6.215308,7.2802796,8.551763,8.434789,7.5147924,5.4532757,5.8623285,6.387144,7.903258,18.622017,5.891301,7.1853437,19.754107,8.797688,12.400192,20.360249,6.9596252,5.920521,8.13373,6.042218,7.462535,10.453737,6.6639376,9.738979,5.897568,8.307453,7.1646824,8.689328,6.9196386,7.7679415,5.6790643,5.846894,5.877887,12.134322,20.203716,7.742907,5.9134135,6.3907633,8.568231
7.84908,13.719264,8.723026,8.0874,6.5524583,7.731606,13.68172,9.444797,10.559615,0.0,8.06319,7.517132,10.787292,10.044418,8.357242,19.894876,12.5192795,7.55893,8.762473,8.499547,8.344008,7.704963,17.528042,7.853996,8.531059,8.585933,8.466654,10.659135,10.974061,8.535677,9.044485,7.981934,10.819762,13.592341,10.300113,10.904289,8.195073,7.4092674,9.8567705,11.694919,8.521387,12.4775,7.344184,8.581008,8.895546,9.32293,8.940809,9.149823,8.053841,14.132134,9.220598,9.7925415,9.142141,8.60382,8.924462,10.301142,10.235369,10.973879,9.845959,7.288195,18.517838,9.220598,8.985591,20.755342,8.888313,14.759005,21.522245,8.408796,10.840817,8.057276,9.793119,8.450051,10.640536,10.999687,8.941996,8.404755,7.8034177,9.639385,14.155233,9.831587,8.305725,10.441143,9.767926,9.3547325,7.0902185,20.786783,7.959589,9.742213,9.093903,8.019895
