0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1.0,0.5152568,0.5152568,0.5152568,0.75886464,0.5152568,0.47134718,0.5152568,0.5152568,0.5152568,0.9095173,0.54611635,0.90750784,0.4720233,0.47134718,0.54611635,0.54143775,0.90276897,0.47134718,0.47134718,0.5152568,0.5152568,0.5152568,0.5152568,0.5152568,0.47134718,0.95694613,0.90161353,0.47134718,0.47134718,0.47134718,0.5152568,0.5152568,0.5152568,0.9007912,0.5103735,0.5103735,0.5103735,0.47968328,0.5152568,0.47968328
0.5152568,0.9999998,0.9999998,0.9999998,0.5875774,0.9999998,0.92713135,0.9999998,0.9999998,0.9999998,0.5860309,0.9120911,0.54548854,0.9278482,0.92713135,0.9120911,0.86105657,0.5085181,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.92713135,0.55038834,0.5563804,0.92713135,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.52689844,0.8669176,0.8669176,0.8669176,0.8384869,0.9999998,0.8384869
0.5152568,0.9999998,0.9999998,0.9999998,0.5875774,0.9999998,0.92713135,0.9999998,0.9999998,0.9999998,0.5860309,0.9120911,0.54548854,0.9278482,0.92713135,0.9120911,0.86105657,0.5085181,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.92713135,0.55038834,0.5563804,0.92713135,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.52689844,0.8669176,0.8669176,0.8669176,0.8384869,0.9999998,0.8384869
0.5152568,0.9999998,0.9999998,0.9999998,0.5875774,0.9999998,0.92713135,0.9999998,0.9999998,0.9999998,0.5860309,0.9120911,0.54548854,0.9278482,0.92713135,0.9120911,0.86105657,0.5085181,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.92713135,0.55038834,0.5563804,0.92713135,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.52689844,0.8669176,0.8669176,0.8669176,0.8384869,0.9999998,0.8384869
0.75886464,0.5875774,0.5875774,0.5875774,1.0,0.5875774,0.5628705,0.5875774,0.5875774,0.5875774,0.86749285,0.60318625,0.871393,0.56116164,0.5628705,0.60318625,0.5771799,0.8495283,0.5628705,0.5628705,0.5875774,0.5875774,0.5875774,0.5875774,0.5875774,0.5628705,0.8065845,0.88124394,0.5628705,0.5628705,0.5628705,0.5875774,0.5875774,0.5875774,0.8421134,0.54824036,0.54824036,0.54824036,0.51716864,0.5875774,0.51716864
0.5152568,0.9999998,0.9999998,0.9999998,0.5875774,0.9999998,0.92713135,0.9999998,0.9999998,0.9999998,0.5860309,0.9120911,0.54548854,0.9278482,0.92713135,0.9120911,0.86105657,0.5085181,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.92713135,0.55038834,0.5563804,0.92713135,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.52689844,0.8669176,0.8669176,0.8669176,0.8384869,0.9999998,0.8384869
0.47134718,0.92713135,0.92713135,0.92713135,0.5628705,0.92713135,0.99999994,0.92713135,0.92713135,0.92713135,0.5470291,0.888744,0.5149306,0.99371475,0.99999994,0.888744,0.87974894,0.4797549,0.99999994,0.99999994,0.92713135,0.92713135,0.92713135,0.92713135,0.92713135,0.99999994,0.5237253,0.52588385,0.99999994,0.99999994,0.99999994,0.92713135,0.92713135,0.92713135,0.4930307,0.8760781,0.8760781,0.8760781,0.8321448,0.92713135,0.8321448
0.5152568,0.9999998,0.9999998,0.9999998,0.5875774,0.9999998,0.92713135,0.9999998,0.9999998,0.9999998,0.5860309,0.9120911,0.54548854,0.9278482,0.92713135,0.9120911,0.86105657,0.5085181,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.92713135,0.55038834,0.5563804,0.92713135,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.52689844,0.8669176,0.8669176,0.8669176,0.8384869,0.9999998,0.8384869
0.5152568,0.9999998,0.9999998,0.9999998,0.5875774,0.9999998,0.92713135,0.9999998,0.9999998,0.9999998,0.5860309,0.9120911,0.54548854,0.9278482,0.92713135,0.9120911,0.86105657,0.5085181,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.92713135,0.55038834,0.5563804,0.92713135,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.52689844,0.8669176,0.8669176,0.8669176,0.8384869,0.9999998,0.8384869
0.5152568,0.9999998,0.9999998,0.9999998,0.5875774,0.9999998,0.92713135,0.9999998,0.9999998,0.9999998,0.5860309,0.9120911,0.54548854,0.9278482,0.92713135,0.9120911,0.86105657,0.5085181,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.9999998,0.9999998,0.92713135,0.55038834,0.5563804,0.92713135,0.92713135,0.92713135,0.9999998,0.9999998,0.9999998,0.52689844,0.8669176,0.8669176,0.8669176,0.8384869,0.9999998,0.8384869
