0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.0,16.632317,3.166803,4.540561,16.76226,17.588907,17.742186,17.588907,18.570541,21.917961,19.518953,16.632317,16.632317,16.940561,18.133408,18.133408,6.3313475,7.5006237,16.400642,18.037655,16.85668,8.299895,15.552744,17.189898,16.83987,8.557335,16.76226,17.742186,17.606983,16.21296,4.9652596,7.7522388,10.181147,10.181147,16.21296,20.771471,16.776917,17.881378
16.632317,0.0,16.917353,16.809124,6.311131,7.3064017,8.247814,7.3064017,10.872187,16.694996,12.424417,0.0,0.0,5.7494545,11.292183,11.292183,17.248535,17.612953,7.8891153,10.182727,6.2208486,17.248583,10.333283,7.696085,4.80826,17.541811,6.311131,8.247814,7.3097916,7.293051,17.04693,18.125647,14.482704,14.482704,7.293051,14.828232,3.8295305,7.5574145
3.166803,16.917353,0.0,5.1587243,17.02514,17.869278,17.966997,17.869278,18.817173,21.755299,19.63391,16.917353,16.917353,17.221735,18.383656,18.383656,6.9191585,7.599916,16.679153,18.312231,17.130156,8.013697,15.749975,17.384731,17.106197,7.983527,17.02514,17.966997,17.91703,16.42804,5.7997875,7.3854847,10.116117,10.116117,16.42804,20.753822,17.04393,18.266409
4.540561,16.809124,5.1587243,0.0,16.856382,17.691072,18.105425,17.691072,18.758196,22.09544,19.710073,16.809124,16.809124,17.126465,18.543848,18.543848,4.6892295,6.5268,16.525566,18.403088,16.985529,8.209657,15.847905,17.33026,16.970278,7.4686847,16.856382,18.105425,17.656652,16.3789,3.032907,7.4377766,9.895994,9.895994,16.3789,20.879673,16.928118,18.16209
16.76226,6.311131,17.02514,16.856382,0.0,5.836012,11.052325,5.836012,10.851974,17.8364,14.640851,6.311131,6.311131,7.804983,12.969461,12.969461,17.455801,17.748772,6.1773005,11.606336,7.0988092,17.089571,10.475162,6.100653,3.94921,17.472443,0.0,11.052325,9.70811,6.099171,17.263062,18.183788,14.424843,14.424843,6.099171,16.155546,5.82746,9.644794
17.588907,7.3064017,17.869278,17.691072,5.836012,0.0,10.715118,0.0,9.458576,16.098171,13.047826,7.3064017,7.3064017,6.4620776,12.267856,12.267856,18.117577,18.316845,9.221093,10.176388,7.4546237,17.754858,11.874748,4.7424016,6.2430367,18.363943,5.836012,10.715118,8.529098,8.485531,18.016918,19.15615,15.604022,15.604022,8.485531,14.408425,6.170819,8.551426
17.742186,8.247814,17.966997,18.105425,11.052325,10.715118,0.0,10.715118,12.568748,15.976989,10.903609,8.247814,8.247814,9.368025,8.114206,8.114206,18.541382,18.842854,11.853134,9.576561,10.399921,18.004385,12.390388,11.156562,10.321281,18.756002,11.052325,0.0,9.724906,11.563912,18.298607,19.032122,16.155699,16.155699,11.563912,14.120333,9.467303,8.683931
17.588907,7.3064017,17.869278,17.691072,5.836012,0.0,10.715118,0.0,9.458576,16.098171,13.047826,7.3064017,7.3064017,6.4620776,12.267856,12.267856,18.117577,18.316845,9.221093,10.176388,7.4546237,17.754858,11.874748,4.7424016,6.2430367,18.363943,5.836012,10.715118,8.529098,8.485531,18.016918,19.15615,15.604022,15.604022,8.485531,14.408425,6.170819,8.551426
18.570541,10.872187,18.817173,18.758196,10.851974,9.458576,12.568748,9.458576,0.0,15.75051,12.851534,10.872187,10.872187,10.424853,11.294737,11.294737,19.051464,18.983541,12.340722,8.04342,8.765871,18.191343,13.363203,10.084564,10.17317,18.785679,10.851974,12.568748,10.457066,10.085283,19.125273,20.205044,16.687895,16.687895,10.085283,15.471074,10.084238,12.434609
21.917961,16.694996,21.755299,22.09544,17.8364,16.098171,15.976989,16.098171,15.75051,0.0,13.16941,16.694996,16.694996,15.710133,16.211908,16.211908,22.331932,21.79082,18.028063,14.879773,16.081783,20.88649,17.181192,16.437704,17.545069,21.515146,17.8364,15.976989,14.839827,17.81162,22.417793,23.09685,20.24139,20.24139,17.81162,6.888404,16.337547,16.822895
