0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0.0,6.698245,8.689927,10.956582,10.632988,10.3670025,6.4706163,12.548666,5.2852464,6.9759355,8.292006,8.975269,8.975269,10.52046,10.727655,6.8856254,6.182605,5.623793,11.257244,5.8063774,9.84699,10.031051,6.1018596,10.632988,6.862197,10.956582,10.632988,8.602811,8.254655,7.53366,6.0672336,9.372719,5.311411,10.02474,10.676283,11.463744,10.462849,10.632988,4.7015,4.3967195,6.970935,8.761094,9.634296,9.204656,9.933585,10.965556,5.9629726,10.632988,9.012845,6.9501595,7.126879,7.0081563,10.52046,10.320082,9.523235,9.224824,9.550365,9.073459,11.500629,12.201108,12.201108,5.3288817,10.668632,9.097884,4.265481,6.1556916,10.596292,7.464508,10.805594
6.698245,0.0,7.4427605,10.286937,8.933362,9.906953,7.6549835,13.680531,6.1941986,6.0602074,6.416711,8.437899,8.437899,9.605012,6.8435984,5.007998,5.2123723,4.911977,7.2532077,3.7370963,8.474639,8.953661,4.671199,8.933362,5.792258,10.286937,8.933362,6.5306745,8.323321,6.4196663,3.8637154,9.099661,5.4136214,8.332284,9.688291,10.095911,9.653468,8.933362,5.605078,5.0294824,6.554054,7.7056537,7.9490614,8.776954,8.72417,7.0451803,5.6701055,8.933362,6.5520897,7.003126,8.198122,6.630342,9.605012,8.551552,7.180637,7.706174,7.6551027,8.153509,10.419148,9.396163,9.396163,3.9060597,8.794523,6.8108587,5.3703003,3.7501683,9.180615,4.957604,10.279592
8.689927,7.4427605,0.0,13.351858,12.426103,13.068347,8.85325,16.18197,7.5444856,8.746263,7.589428,11.521513,11.521513,12.946476,10.895026,6.567582,7.5664983,7.7839193,11.191005,6.7201295,12.406391,12.660891,7.448565,12.426103,6.9234357,13.351858,12.426103,3.95315,10.021183,8.594251,6.2703533,6.9175234,7.501664,8.969025,12.757275,12.783582,13.138732,12.426103,9.100283,8.397025,7.5001626,5.1401844,6.22471,12.453202,12.366059,10.958126,7.3122663,12.426103,4.829093,9.9099655,9.311291,9.350657,12.946476,12.210268,6.785152,5.620975,6.332659,5.25628,12.2690115,11.942526,11.942526,7.294558,12.380079,3.414856,7.910764,7.5629454,12.581392,7.3161626,13.673144
10.956582,10.286937,13.351858,0.0,4.067961,6.6039324,10.992076,11.345234,11.354095,11.102128,11.016993,9.242114,9.242114,3.38098,8.58585,10.469857,10.157172,11.83394,8.73737,11.097735,5.104984,6.2276344,11.548974,4.067961,11.034825,0.0,4.067961,12.422994,9.122745,11.843182,10.80344,14.307056,10.348238,12.6553135,6.104722,11.489503,5.4078903,4.067961,10.060486,10.75574,11.727047,13.051641,13.553882,6.5304666,5.9214487,8.877405,10.615416,4.067961,12.668061,11.319461,10.563228,11.529257,3.38098,6.902341,12.383771,12.664206,12.77891,13.230457,8.9614105,10.679421,10.679421,9.833216,6.706844,12.679307,10.374967,11.049694,3.5277402,9.427282,5.538901
10.632988,8.933362,12.426103,4.067961,0.0,6.826409,10.48219,12.7960615,10.572417,9.995252,9.5598955,8.213135,8.213135,3.3597662,6.522945,9.3786335,9.084067,11.088106,6.335032,10.0226,4.0677986,6.095871,10.511332,0.0,10.19004,4.067961,0.0,11.170295,8.527276,10.915315,9.616786,13.496515,9.2646675,11.185205,5.9200363,9.993821,5.7876906,0.0,9.482696,10.068184,10.837329,12.107428,12.533401,6.602875,4.9679565,6.699352,9.655297,0.0,11.453389,10.41106,10.381859,10.616723,3.3597662,5.4741163,10.9923315,11.507492,11.541936,12.188576,8.363477,8.554913,8.554913,8.725764,5.271932,11.491793,9.628417,10.037886,1.5437596,8.063386,6.8464065
10.3670025,9.906953,13.068347,6.6039324,6.826409,0.0,9.29325,10.8146105,10.948199,10.871106,10.726796,9.0311365,9.0311365,5.684105,9.1134,10.086265,9.570543,11.364466,9.20099,10.705688,5.5300436,6.6954813,10.777436,6.826409,10.496457,6.6039324,6.826409,12.0887785,8.368486,11.647529,10.383779,13.93037,9.931598,12.079187,7.814062,11.810264,6.550981,6.826409,9.749711,10.337062,11.419305,12.953409,13.357459,6.3523145,6.6007743,9.490366,9.820464,6.826409,12.327676,11.243246,8.88085,11.330462,5.684105,8.40479,12.279727,12.5570545,12.6857605,13.167692,9.283087,11.080653,11.080653,9.344943,8.318379,12.51013,9.800665,10.381571,6.5757394,9.116833,6.404569
6.4706163,7.6549835,8.85325,10.992076,10.48219,9.29325,0.0,13.460697,6.775923,8.839292,8.3856945,9.564166,9.564166,10.028679,11.12047,6.593745,7.4097514,8.395714,11.31638,7.458522,9.575687,10.069243,6.9007645,10.48219,6.502494,10.992076,10.48219,8.66621,6.8282123,9.837763,6.5810122,10.251429,5.960498,8.942228,10.409895,12.57264,10.863537,10.48219,8.092387,7.883739,8.514585,9.292284,10.448646,9.499199,10.397201,11.305442,6.957213,10.48219,9.072934,10.192762,2.4335842,9.517246,10.028679,10.726939,10.280891,9.668317,10.333542,9.2632885,11.254117,12.524137,12.524137,6.2267375,10.6830225,9.145384,6.023345,6.725608,10.446752,7.211178,10.939706
12.548666,13.680531,16.18197,11.345234,12.7960615,10.8146105,13.460697,0.0,13.994489,13.970869,14.686652,12.912292,12.912292,11.731799,14.16273,13.9856825,13.361497,13.8510065,14.569932,13.9633875,11.711987,10.310378,14.092379,12.7960615,14.009885,11.345234,12.7960615,15.650053,12.83989,14.204402,14.230079,16.842497,13.653717,16.171719,12.32875,15.296032,10.620762,12.7960615,12.35543,12.864213,14.140538,15.907372,16.213417,9.240094,11.696905,14.545437,13.425356,12.7960615,15.956645,13.596977,12.99028,13.839758,11.731799,12.957726,15.702877,15.89348,16.001654,16.167875,13.856178,15.723399,15.723399,13.281016,12.934914,15.985515,13.004481,13.841908,12.403019,13.778038,9.696569
5.2852464,6.1941986,7.5444856,11.354095,10.572417,10.948199,6.775923,13.994489,0.0,6.456605,7.4368253,8.6821375,8.6821375,10.80803,10.526521,6.225054,6.4174747,6.001843,10.895858,5.042164,10.208159,10.745838,6.179132,10.572417,6.3238726,11.354095,10.572417,7.3364725,7.8117704,6.9754577,4.681953,8.528366,2.9065187,8.984362,10.630367,11.144518,11.446383,10.572417,5.8170104,5.4777565,6.3372054,7.7994976,8.7040415,10.135582,10.587298,10.705332,6.0830145,10.572417,7.774573,7.1654205,7.469027,6.864655,10.80803,10.208039,8.644419,8.363781,8.600431,7.8483973,11.688511,11.549853,11.549853,4.926534,10.588094,7.9736195,5.4542723,6.269055,10.759948,7.0148687,11.848131
6.9759355,6.0602074,8.746263,11.102128,9.995252,10.871106,8.839292,13.970869,6.456605,0.0,6.5555506,7.3982463,7.3982463,10.613124,9.043638,7.7168217,6.9970636,6.732843,9.399781,6.310317,9.679126,9.257192,7.378427,9.995252,8.540647,11.102128,9.995252,7.5514164,10.00941,4.200838,6.775233,8.076949,6.24069,8.534692,9.423046,8.397373,10.77604,9.995252,6.1252337,5.7504377,5.911906,7.410265,7.4472404,8.99415,9.6841955,9.156926,7.180184,9.995252,7.4190516,3.8127708,9.363998,1.8733084,10.613124,8.151835,6.2989793,7.291044,6.614953,7.8551726,11.055384,8.367975,8.367975,4.9466877,8.646204,8.392933,6.9755197,7.1521897,10.266426,7.8280888,11.369211
8.292006,6.416711,7.589428,11.016993,9.5598955,10.726796,8.3856945,14.686652,7.4368253,6.5555506,0.0,8.685949,8.685949,10.179938,8.0711,5.0998187,6.4814253,7.6597905,8.279935,6.4558544,9.571371,9.739237,6.6494226,9.5598955,6.3597674,11.016993,9.5598955,6.535049,8.150654,6.909793,5.5898676,8.771108,6.7336183,6.397043,9.453717,9.672486,10.965421,9.5598955,8.485821,7.958236,6.632631,7.157624,8.0199175,9.607767,9.727899,8.108204,6.7124496,9.5598955,6.8608866,8.2627,8.938756,7.4192343,10.179938,8.66193,6.407297,6.366339,6.5881686,6.646205,10.442529,8.037762,8.037762,6.5267854,8.855941,7.30823,7.3612475,6.706632,9.985747,5.3498697,11.660822
8.975269,8.437899,11.521513,9.242114,8.213135,9.0311365,9.564166,12.912292,8.6821375,7.3982463,8.685949,0.0,0.0,8.666135,9.275211,9.327572,9.006538,9.799281,9.26034,9.08753,7.908257,7.7058115,9.879136,8.213135,10.000336,9.242114,8.213135,10.262431,9.604544,8.806829,8.91128,11.0443535,7.9953575,8.103697,7.6958666,7.400015,9.386757,8.213135,8.1744375,8.5434675,9.35409,10.656191,10.74863,7.6359534,8.450601,9.392598,9.319392,8.213135,10.335317,7.8414245,9.74346,7.8957367,8.666135,6.982876,9.5388565,10.303826,9.943582,11.016839,9.678863,9.355689,9.355689,7.917335,7.3030014,10.965943,8.970564,9.601782,8.405802,8.558184,9.804588
8.975269,8.437899,11.521513,9.242114,8.213135,9.0311365,9.564166,12.912292,8.6821375,7.3982463,8.685949,0.0,0.0,8.666135,9.275211,9.327572,9.006538,9.799281,9.26034,9.08753,7.908257,7.7058115,9.879136,8.213135,10.000336,9.242114,8.213135,10.262431,9.604544,8.806829,8.91128,11.0443535,7.9953575,8.103697,7.6958666,7.400015,9.386757,8.213135,8.1744375,8.5434675,9.35409,10.656191,10.74863,7.6359534,8.450601,9.392598,9.319392,8.213135,10.335317,7.8414245,9.74346,7.8957367,8.666135,6.982876,9.5388565,10.303826,9.943582,11.016839,9.678863,9.355689,9.355689,7.917335,7.3030014,10.965943,8.970564,9.601782,8.405802,8.558184,9.804588
10.52046,9.605012,12.946476,3.38098,3.3597662,5.684105,10.028679,11.731799,10.80803,10.613124,10.179938,8.666135,8.666135,0.0,7.789695,9.671674,9.265358,11.3907795,7.786521,10.547459,3.4154058,6.102704,10.567821,3.3597662,10.345849,3.38098,3.3597662,11.81007,8.326808,11.516759,10.027673,13.8864565,9.629583,11.726889,5.9710965,10.978088,5.659921,3.3597662,9.744978,10.353634,11.0935545,12.584218,13.17894,6.0187573,5.635602,8.044646,9.719039,3.3597662,12.068597,10.981286,9.736662,11.150595,0.0,6.7290063,11.838458,12.178099,12.30794,12.736863,8.526744,9.999543,9.999543,9.166863,6.470934,12.134766,9.515976,10.099544,3.1247072,8.537525,6.0860767
10.727655,6.8435984,10.895026,8.58585,6.522945,9.1134,11.12047,14.16273,10.526521,9.043638,8.0711,9.275211,9.275211,7.789695,0.0,7.9428387,8.057499,9.275365,2.6260934,8.578877,6.7931924,7.892724,8.6316185,6.522945,9.228908,8.58585,6.522945,9.585394,9.916545,9.496238,8.567073,12.282418,9.505654,10.4603,8.614397,9.454133,8.097214,6.522945,8.999957,9.320142,9.86125,10.714878,10.716685,8.227911,6.5562434,1.6306788,8.934518,6.522945,9.832511,9.4250145,11.242191,9.539307,7.789695,7.158472,9.217752,10.172426,9.981004,11.202262,9.158317,7.0887785,7.0887785,8.194187,7.2230487,9.65157,9.214638,8.188743,7.105053,6.332603,9.243698
