0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
1.0000001,0.8339063,0.70742774,0.8147971,0.6737458,0.84858716,0.8438065,0.8407386,0.8147971,0.9618833,0.7756095,0.66896605,0.7538606,0.7991149,0.6123674,0.9416372,0.7361721,0.84028155,0.64439696,0.9334538,0.74058515,0.90844774,0.685538,0.69555134,0.6834897,0.7035323,0.668303,0.6840314,0.67830896,0.6899067,0.64328766,0.68983114,0.8082605,0.68375015,0.6670298,0.94510365,0.70069045,0.93839824,0.8514803,0.9240273,0.84967965,0.70656466,0.6943632,0.64121485,0.7178092,0.63837576,0.9204998,0.6695244,0.60983104,0.5589273,0.8585883,0.8748642,0.66001666,0.81272805,0.9391354,0.6812086,0.80551857,0.95499325,0.6345551,0.6653121,0.6438807,0.87002194,0.837938,0.85904956,0.72095644,0.42271024,0.9433806,0.67013735,0.8574544,0.83341897,0.81068844,0.67123914,0.66196823,0.56478137,0.83006513,0.7016154,0.70283914,0.65662634,0.8717847,0.6591912,0.91592103,0.7927571,0.672521,0.5945737,0.6991927,0.68777114,0.91932166,0.82938,0.90539044,0.9444571,0.9287912,0.89065754,0.8221842,0.93345994,0.8513466,0.7057826,0.84863293,0.81432635,0.8654012,0.82005686,0.9503261,0.7076273,0.5877184,0.7502446,0.6981306,0.81729317,0.72606516,0.6958336,0.65756977,0.65653074,0.74539024,0.94311666,0.84120053,0.6458721,0.70074415,0.83031845,0.9496278,0.8933233,0.72005093,0.6632336,0.8545459,0.74006236,0.62193453,0.66548395,0.8104546,0.33772504,0.9011377,0.7365749,0.8333011,0.6933178,0.6280597,0.67672503,0.8786948
0.8339063,0.99999994,0.79312456,0.9278351,0.7123267,0.9513657,0.9213956,0.90363324,0.9278351,0.7867895,0.8480898,0.740307,0.8406894,0.9324525,0.6047393,0.79626644,0.79559004,0.93639183,0.73552793,0.8962035,0.8321556,0.8916338,0.7466972,0.77816916,0.74518657,0.7518643,0.7519958,0.7661682,0.73139966,0.72088516,0.7120551,0.74482185,0.9341636,0.7693919,0.76521456,0.7656144,0.70805407,0.8878188,0.9523189,0.7751436,0.94036925,0.8568886,0.771508,0.71585965,0.7764392,0.7271095,0.76314306,0.732331,0.7284633,0.53788865,0.91504824,0.9294493,0.7347075,0.9338338,0.7585199,0.7692325,0.8852629,0.7787952,0.7359392,0.7225504,0.6998358,0.9331012,0.9004263,0.934782,0.7847657,0.45854986,0.79167163,0.72098255,0.94113874,0.9246279,0.90486014,0.7676116,0.7575792,0.63970435,0.9428247,0.74309283,0.79051286,0.75548095,0.94004416,0.77265334,0.8983499,0.91544884,0.7720361,0.68788844,0.80099094,0.79831654,0.8083164,0.92263675,0.6993283,0.7837013,0.77237874,0.69908017,0.96501565,0.74553424,0.9525217,0.7785118,0.95889854,0.9294637,0.9561471,0.94262767,0.82341236,0.800907,0.70801014,0.77681744,0.77003264,0.93728983,0.77892274,0.7809793,0.7540101,0.70503294,0.8019816,0.7853545,0.95867693,0.75366104,0.774429,0.9265127,0.8009032,0.9263871,0.8027922,0.75983596,0.9343131,0.84339815,0.5816863,0.7040721,0.9390288,0.4027438,0.9137474,0.80827075,0.9274827,0.70882267,0.74544495,0.7629732,0.67274934
0.70742774,0.79312456,1.0000004,0.76223713,0.8734844,0.80568075,0.77638555,0.7391261,0.76223713,0.6917239,0.90566975,0.8856847,0.9506334,0.7437592,0.6097234,0.6913421,0.9146812,0.77701813,0.8620733,0.7579783,0.9080122,0.772882,0.9104385,0.894861,0.8952651,0.92241615,0.92826134,0.9096029,0.89090866,0.89260876,0.90955627,0.9222213,0.76573175,0.88158476,0.86648244,0.6572749,0.82382584,0.7602134,0.812687,0.6494339,0.78174204,0.6544923,0.88581717,0.9066971,0.8954754,0.8642678,0.65405685,0.9130951,0.8214957,0.5621699,0.7894823,0.7924526,0.8675454,0.74935806,0.6290104,0.92102444,0.7833717,0.6716258,0.88350415,0.89005876,0.90332067,0.8031725,0.7668327,0.7947275,0.89983547,0.41287792,0.68232983,0.8763436,0.7843344,0.78191626,0.74063694,0.79692954,0.9176285,0.8395315,0.7847288,0.8384086,0.82492954,0.8292786,0.7887707,0.86993146,0.7550225,0.7272237,0.93991107,0.8567019,0.8414359,0.85584813,0.67379904,0.7945722,0.628184,0.67642844,0.70206034,0.62491333,0.7804065,0.6501634,0.7870562,0.8850285,0.8033881,0.8103906,0.79796946,0.792536,0.7188766,0.91890186,0.85622203,0.8647164,0.87555826,0.7618333,0.90307224,0.839024,0.88186276,0.8742982,0.8868615,0.6683447,0.80098355,0.88676906,0.8871311,0.7757685,0.6870061,0.77514493,0.90241337,0.8925836,0.8051865,0.9110856,0.66553515,0.86123717,0.7833894,0.37651366,0.7681519,0.92668974,0.78598857,0.86581665,0.7795663,0.8785758,0.60112965
0.8147971,0.9278351,0.76223713,1.0000002,0.70766133,0.9332566,0.9342207,0.9282117,1.0000002,0.74824035,0.81035733,0.72450286,0.7967555,0.92856914,0.59927213,0.7901549,0.7745927,0.9242774,0.7318907,0.89699316,0.8061098,0.9062394,0.7410619,0.76365364,0.7358162,0.73041594,0.7343869,0.75724626,0.7193923,0.7103621,0.7044159,0.72508085,0.9043022,0.7737037,0.76012254,0.7510744,0.6997258,0.8850804,0.9113622,0.76375467,0.94440323,0.9005008,0.76918817,0.6932594,0.78505915,0.7251577,0.74362993,0.7186277,0.73116577,0.5393375,0.8986866,0.9255595,0.7214496,0.9624888,0.76325554,0.7479092,0.87188226,0.76305634,0.7268467,0.71625733,0.68304205,0.9449762,0.9079577,0.9407103,0.79244566,0.47351047,0.7708291,0.7129476,0.9264507,0.8965963,0.95310473,0.7506949,0.74511075,0.6338399,0.92298883,0.7358118,0.77385557,0.7264831,0.9352609,0.77128863,0.8871734,0.96386826,0.73977077,0.6619215,0.7997882,0.7854713,0.791669,0.9332862,0.67339677,0.74336076,0.74872017,0.6588752,0.9001737,0.71576947,0.92203784,0.7686831,0.9119127,0.90437174,0.92333424,0.9128133,0.8065591,0.7873302,0.6891428,0.7562701,0.7593209,0.9079045,0.7543117,0.77776635,0.7484229,0.6954135,0.7838597,0.7641896,0.9256944,0.7271607,0.7554301,0.94092304,0.7838379,0.92680335,0.7866943,0.7428532,0.9067901,0.81570303,0.5791484,0.6810072,0.9139421,0.4349537,0.919646,0.7776777,0.8923657,0.6971096,0.7457518,0.76013047,0.6306212
0.6737458,0.7123267,0.8734844,0.70766133,1.0000004,0.7369746,0.7218314,0.6964201,0.70766133,0.6535259,0.8447975,0.94295156,0.8722036,0.66886854,0.59187144,0.6598834,0.9148083,0.7025341,0.8894818,0.7204706,0.870917,0.735842,0.94640386,0.87176466,0.9195111,0.8814934,0.8828306,0.90879095,0.90757954,0.93726957,0.91607106,0.9345795,0.6705766,0.86672425,0.8105706,0.6447171,0.86641306,0.7230712,0.74276906,0.623224,0.7044823,0.5727188,0.85865724,0.925936,0.9124982,0.8443552,0.6300468,0.9328464,0.78428566,0.5462281,0.73514277,0.73744714,0.92634153,0.7192802,0.6132561,0.8966017,0.73314995,0.6450835,0.8831129,0.9157779,0.91404736,0.7536893,0.7185189,0.73461616,0.9176073,0.37610045,0.6539569,0.9414132,0.7021916,0.6985216,0.6977104,0.7173945,0.8929677,0.87585425,0.7216654,0.8470609,0.85403955,0.79106146,0.73981,0.8411718,0.71698886,0.6729934,0.8661896,0.8409345,0.83050394,0.8495993,0.64633137,0.7461077,0.6255932,0.6475934,0.67552376,0.6236687,0.7012708,0.63387805,0.71748173,0.8850915,0.7171088,0.725578,0.7317814,0.7146363,0.6891096,0.88283324,0.8205138,0.8503865,0.86941624,0.70223874,0.9353088,0.82823503,0.8763288,0.94027156,0.8895884,0.6312478,0.72573984,0.8614529,0.8559646,0.70893824,0.65488,0.716285,0.8888992,0.86802053,0.73959744,0.8351593,0.6999578,0.88126063,0.7070241,0.34951305,0.7366184,0.8993232,0.7142982,0.96373534,0.75530857,0.8406672,0.5986485
0.84858716,0.9513657,0.80568075,0.9332566,0.7369746,1.0000001,0.96030694,0.9262613,0.9332566,0.7952325,0.8447557,0.7540725,0.82808375,0.94391733,0.6157765,0.815848,0.8211762,0.96229315,0.75676095,0.9225807,0.8229553,0.923188,0.75800085,0.78338724,0.7526815,0.7775425,0.7671206,0.78366387,0.74337995,0.7352483,0.7318992,0.7625151,0.9186794,0.7881756,0.7766495,0.7878547,0.73442584,0.91122514,0.9476156,0.78814733,0.9471458,0.8456016,0.7992762,0.72276324,0.801073,0.7383059,0.7763451,0.7583043,0.742532,0.54677725,0.9400254,0.9644661,0.75059617,0.9303583,0.7712326,0.77783155,0.91545534,0.7953847,0.74326533,0.72960573,0.7265984,0.96393573,0.9378754,0.9545084,0.80212533,0.4634648,0.80778074,0.7548083,0.94878983,0.9331142,0.92205775,0.7846127,0.7663224,0.6597981,0.92951417,0.76521015,0.793918,0.7631998,0.96385217,0.77494633,0.9291168,0.907532,0.7799082,0.7048023,0.80722165,0.7993177,0.8238164,0.93936443,0.7301376,0.8019813,0.79364896,0.7148619,0.94903195,0.76560867,0.97477055,0.79410696,0.95147943,0.9543443,0.9589736,0.96084994,0.85316473,0.81532204,0.708277,0.803166,0.78669816,0.9399123,0.7934543,0.79441595,0.7661725,0.7247404,0.819176,0.7964745,0.9676138,0.7683952,0.7953277,0.94122124,0.81318486,0.9404163,0.80963165,0.77662927,0.96104765,0.8432442,0.59109885,0.73035187,0.9472153,0.402672,0.9392856,0.81686217,0.9317354,0.7295741,0.74591357,0.7853124,0.6913966
0.8438065,0.9213956,0.77638555,0.9342207,0.7218314,0.96030694,1.0000001,0.93373084,0.9342207,0.7772313,0.83091354,0.7407476,0.8031017,0.9404086,0.605561,0.8171233,0.8118886,0.96494806,0.7660302,0.9316839,0.813065,0.9293632,0.7465708,0.77623373,0.72687906,0.76904994,0.7628,0.7812629,0.7328141,0.70589155,0.72262377,0.744791,0.90474504,0.79125774,0.8013231,0.7930115,0.7205097,0.9170524,0.92630565,0.79886985,0.93749475,0.86014223,0.8004581,0.7058893,0.7974984,0.73457277,0.77492297,0.74431425,0.7670244,0.5370281,0.9382032,0.9676108,0.74531215,0.9197316,0.7867661,0.7751683,0.900367,0.7874001,0.74280137,0.71538484,0.7214465,0.9611119,0.9705503,0.96468776,0.7987311,0.49719167,0.7948891,0.74580556,0.934448,0.91943145,0.9133061,0.81298983,0.75193894,0.66103184,0.91941863,0.7524086,0.7980779,0.7688432,0.9589962,0.78369504,0.94087994,0.908616,0.77352864,0.71052843,0.81905794,0.8060286,0.83728224,0.9190384,0.72049856,0.7893542,0.7763427,0.7086498,0.9178889,0.75543827,0.9437053,0.79254836,0.91689616,0.93902266,0.94022185,0.9343084,0.8420697,0.81295663,0.705484,0.7962551,0.77470756,0.93185705,0.77107334,0.79502976,0.7757268,0.70760846,0.8181418,0.7920626,0.9501317,0.7785193,0.7750867,0.9370863,0.80498743,0.9412755,0.81128436,0.79037267,0.93776715,0.8468805,0.56262004,0.71677524,0.935626,0.4297606,0.9376811,0.80300635,0.913612,0.7078738,0.7693914,0.796093,0.6806841
0.8407386,0.90363324,0.7391261,0.9282117,0.6964201,0.9262613,0.93373084,1.0000001,0.9282117,0.7882182,0.8042538,0.7022597,0.78006727,0.9186564,0.5878705,0.80369914,0.761395,0.9174828,0.70231605,0.92258024,0.7696054,0.9248224,0.72367024,0.7296751,0.7140043,0.72493523,0.7251495,0.7349542,0.7311397,0.6856625,0.68170625,0.6997819,0.8869767,0.76019114,0.74088764,0.79228103,0.6979997,0.9219924,0.90586483,0.79680246,0.90136063,0.8456589,0.7508204,0.6799989,0.7821885,0.70496905,0.77526426,0.70541984,0.6886568,0.5362904,0.9159004,0.93743336,0.6929247,0.93000025,0.7833947,0.7383185,0.87545323,0.7938187,0.70218503,0.70520806,0.67563045,0.9416051,0.9306288,0.94449294,0.7584466,0.47536522,0.79176605,0.7068335,0.9103508,0.9081076,0.9240443,0.7328446,0.7276025,0.61512667,0.8951191,0.7267467,0.76354027,0.71810615,0.9386684,0.7351479,0.9270436,0.9078376,0.72739214,0.6616501,0.77259886,0.7716001,0.83058524,0.9212984,0.7394329,0.7846128,0.7739319,0.7157604,0.8915955,0.7612675,0.9204838,0.7474146,0.8919271,0.91731185,0.9058244,0.90290636,0.85528916,0.77637506,0.6713529,0.7694095,0.7302657,0.894047,0.73549414,0.764964,0.7369821,0.69169146,0.7820934,0.7897848,0.9212124,0.7171822,0.7207507,0.93431675,0.81978625,0.9283826,0.7764818,0.73558974,0.91506207,0.7936909,0.57542956,0.68805295,0.9045509,0.43732965,0.94368637,0.7777371,0.8905151,0.6956617,0.70811516,0.755328,0.6973435
0.8147971,0.9278351,0.76223713,1.0000002,0.70766133,0.9332566,0.9342207,0.9282117,1.0000002,0.74824035,0.81035733,0.72450286,0.7967555,0.92856914,0.59927213,0.7901549,0.7745927,0.9242774,0.7318907,0.89699316,0.8061098,0.9062394,0.7410619,0.76365364,0.7358162,0.73041594,0.7343869,0.75724626,0.7193923,0.7103621,0.7044159,0.72508085,0.9043022,0.7737037,0.76012254,0.7510744,0.6997258,0.8850804,0.9113622,0.76375467,0.94440323,0.9005008,0.76918817,0.6932594,0.78505915,0.7251577,0.74362993,0.7186277,0.73116577,0.5393375,0.8986866,0.9255595,0.7214496,0.9624888,0.76325554,0.7479092,0.87188226,0.76305634,0.7268467,0.71625733,0.68304205,0.9449762,0.9079577,0.9407103,0.79244566,0.47351047,0.7708291,0.7129476,0.9264507,0.8965963,0.95310473,0.7506949,0.74511075,0.6338399,0.92298883,0.7358118,0.77385557,0.7264831,0.9352609,0.77128863,0.8871734,0.96386826,0.73977077,0.6619215,0.7997882,0.7854713,0.791669,0.9332862,0.67339677,0.74336076,0.74872017,0.6588752,0.9001737,0.71576947,0.92203784,0.7686831,0.9119127,0.90437174,0.92333424,0.9128133,0.8065591,0.7873302,0.6891428,0.7562701,0.7593209,0.9079045,0.7543117,0.77776635,0.7484229,0.6954135,0.7838597,0.7641896,0.9256944,0.7271607,0.7554301,0.94092304,0.7838379,0.92680335,0.7866943,0.7428532,0.9067901,0.81570303,0.5791484,0.6810072,0.9139421,0.4349537,0.919646,0.7776777,0.8923657,0.6971096,0.7457518,0.76013047,0.6306212
0.9618833,0.7867895,0.6917239,0.74824035,0.6535259,0.7952325,0.7772313,0.7882182,0.74824035,1.0000002,0.75946844,0.6559584,0.73522675,0.72633207,0.6068108,0.93007696,0.7145113,0.7833992,0.60714877,0.88467157,0.7093952,0.8576306,0.66240567,0.6762072,0.6689946,0.6903559,0.64273274,0.65376514,0.6534397,0.6858062,0.6299424,0.67571014,0.77619594,0.6421404,0.6293496,0.93711257,0.6906014,0.90045786,0.8125772,0.9068485,0.7998779,0.6306764,0.65532666,0.6299192,0.6861115,0.6057226,0.9121337,0.65067554,0.55825037,0.5644753,0.8017312,0.8180671,0.63138056,0.7492894,0.9064459,0.6540482,0.7755756,0.9556689,0.6037018,0.6530812,0.62381864,0.8055099,0.7722444,0.7983079,0.6872232,0.40263867,0.9380411,0.64784,0.81838244,0.80069214,0.74455893,0.62211746,0.6438645,0.5448183,0.77639496,0.68142784,0.65570414,0.6268824,0.8140336,0.6204693,0.8643462,0.71937823,0.649762,0.57013917,0.65336007,0.64150053,0.8897888,0.7748661,0.9212468,0.95488393,0.93850565,0.90387994,0.78309476,0.94109416,0.8076626,0.6812279,0.8163403,0.7669202,0.822163,0.7665288,0.92871284,0.6723988,0.5595611,0.7269933,0.6746533,0.7656664,0.71724784,0.66441727,0.6214576,0.6408144,0.7158335,0.93967915,0.79106104,0.6063067,0.6794473,0.7769763,0.94638824,0.8384876,0.68913937,0.63311446,0.8037432,0.717213,0.6361362,0.65549576,0.7514924,0.32023543,0.8433257,0.7172809,0.78423846,0.68745226,0.5635628,0.64208233,0.89522713
