0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
1.0000002,0.85841143,0.9162656,0.72750986,0.75413215,0.7577831,0.51960033,0.733063,0.75370526,0.75978744,0.7409404,0.44354233,0.7611168,0.9513978,0.7820125,0.94889694,0.4201948,0.4044472,0.9136232,0.7694876,0.7558657,0.8057578,0.97747827,0.76880753,0.74310243,0.69708437,0.7755488,0.4291573,0.7196032,0.9225954,0.7487264,0.7610804,0.9942844,0.8409771,0.923499,0.6986584,0.7274987,0.737858,0.41456926,0.4695089,0.737858,0.5242071,0.74004185,0.7889148,0.9116216,0.75302315,0.9597042,0.7415317,0.9645888,0.9667808,0.8889277,0.73890126,0.6675931,0.8404944,0.7422035,0.72481424,0.36528382,0.74111336,0.82458997,0.7716791,0.8339659,0.7979156,0.9788875,0.7712327,0.7674758,0.7453341,0.73808455,0.7084458,0.9749192,0.44496036,0.35958922,0.75290537,0.8198609,0.70911664,0.81649256,0.7628759,0.41456926,0.81427145,0.97161317,0.71686363,0.7611168,0.7984923,0.74599314,0.9769206,0.7037868,0.9756913,0.74336344,0.75162995,0.85873735,0.7962723,0.7256098,0.763291,0.8887581,0.42795455,0.76037186,0.75973856,0.7645134,0.79548836,0.7584006,0.7880219,0.74930656,0.75489044,0.82578295,0.7212232,0.8379583,0.7416357,0.8409771,0.7640317,0.71005756,0.7874623,0.96181506,0.76880753,0.84971327,0.9699914,0.95420706,0.9482422,0.73816454,0.8359624,0.73090243
0.85841143,1.0,0.79895324,0.87305164,0.855292,0.8820232,0.48660517,0.8472355,0.88020563,0.87776726,0.8828038,0.50906914,0.8781011,0.82736593,0.8880402,0.8551137,0.50413036,0.5135152,0.86626804,0.88738734,0.8478143,0.902162,0.8727335,0.8821037,0.8296097,0.83651406,0.8970688,0.4912607,0.8791288,0.86260825,0.9118311,0.858285,0.8432545,0.8412728,0.84962237,0.8490201,0.87704456,0.8570319,0.44933224,0.47899973,0.8570319,0.53799593,0.8989491,0.8828003,0.8232533,0.903579,0.8238194,0.8497914,0.8797381,0.8531704,0.8528382,0.84627193,0.84161496,0.8053252,0.86293346,0.90585583,0.44600534,0.89984995,0.9123018,0.85237956,0.8676778,0.8911859,0.8478347,0.8412084,0.8503864,0.8462132,0.8379234,0.8632812,0.8621308,0.49651045,0.39205867,0.84844476,0.876077,0.8413996,0.8575907,0.91402346,0.44933224,0.86290973,0.85691756,0.84563184,0.8781011,0.915861,0.84999895,0.8529953,0.8795148,0.8616993,0.8494763,0.8702203,0.83761287,0.8868356,0.817253,0.87846524,0.8725897,0.5241741,0.84673196,0.8638308,0.8556522,0.87097967,0.8678788,0.8719708,0.847312,0.8527021,0.7854186,0.8824919,0.85422945,0.83753735,0.8412728,0.8761711,0.83440316,0.86342,0.8595684,0.8821037,0.9150543,0.8504739,0.83560896,0.82863104,0.86057764,0.9308203,0.8939578
0.9162656,0.79895324,0.99999994,0.75598913,0.80320257,0.77334034,0.48812044,0.6876821,0.7315287,0.72076964,0.67626584,0.40791103,0.6799687,0.90857965,0.6936165,0.91792595,0.4005283,0.3921135,0.9310477,0.7736105,0.79912716,0.81248105,0.93465674,0.7937759,0.8000529,0.7480009,0.69500214,0.40325266,0.74108547,0.94921243,0.7036142,0.81734073,0.923494,0.781757,0.9494879,0.7311472,0.7521209,0.66769373,0.38472027,0.4578895,0.66769373,0.51112545,0.74107146,0.8195474,0.8799454,0.7683331,0.945376,0.7047365,0.9196345,0.94739234,0.91846824,0.7860299,0.6684141,0.92212105,0.7918048,0.6984631,0.33336717,0.75729185,0.78651994,0.8243207,0.8834448,0.81724274,0.93883544,0.8297539,0.82067466,0.8031758,0.79912925,0.7193002,0.9380729,0.4243169,0.33330944,0.80826676,0.8494646,0.76381606,0.86223674,0.73876613,0.38472027,0.8611921,0.90872335,0.7750829,0.6799687,0.7820382,0.79773945,0.94382286,0.72476965,0.9368602,0.7959188,0.7895851,0.90952253,0.7998353,0.8023485,0.69852966,0.9209968,0.40967995,0.821555,0.808921,0.8163731,0.8262303,0.80789083,0.82934463,0.7891862,0.8158237,0.90500903,0.7364617,0.8356292,0.79248965,0.781757,0.8032657,0.7764165,0.82774484,0.94727767,0.7937759,0.8217024,0.9415111,0.9459934,0.94443715,0.7742339,0.8096649,0.7021847
0.72750986,0.87305164,0.75598913,1.0000001,0.9102317,0.9210172,0.42184356,0.78949416,0.8348974,0.82140213,0.8127145,0.47613966,0.7873788,0.7244755,0.7873197,0.76108205,0.4765805,0.471312,0.83050406,0.86968625,0.8974509,0.9208113,0.772141,0.9167288,0.87325287,0.9044147,0.8074183,0.4357661,0.8957345,0.8277453,0.8532704,0.90821993,0.7235119,0.73168397,0.81656116,0.90394163,0.9226904,0.77939737,0.3945953,0.428524,0.77939737,0.48511052,0.9189652,0.91910034,0.73221725,0.9464425,0.7357587,0.8059067,0.77920794,0.7605752,0.79010975,0.91213965,0.8880919,0.82032776,0.9032848,0.86345756,0.41745555,0.9404268,0.8345994,0.8970779,0.8766972,0.91465455,0.7432378,0.88889194,0.89208245,0.91786784,0.9126236,0.89997447,0.7663907,0.4376004,0.3420165,0.89717644,0.8923398,0.91901326,0.8803586,0.8635277,0.3945953,0.89076865,0.7495322,0.9221543,0.7873788,0.9026204,0.9005729,0.7513689,0.90317386,0.7596136,0.91642976,0.93658483,0.8600958,0.8725387,0.8827839,0.80800134,0.8668129,0.47966897,0.8996568,0.90682185,0.9037861,0.88976264,0.9401556,0.90074193,0.88592625,0.93273795,0.8029473,0.9243734,0.8211236,0.89515454,0.73168397,0.8841585,0.95074177,0.8928344,0.7725819,0.9167288,0.844219,0.7517938,0.75680906,0.7553416,0.90132517,0.8953052,0.8977066
0.75413215,0.855292,0.80320257,0.9102317,1.0000001,0.9761337,0.41588223,0.80296123,0.85223454,0.85438734,0.8093438,0.47081503,0.78826946,0.73998684,0.7907393,0.77978975,0.49216387,0.48496646,0.8567548,0.9119457,0.9265477,0.94846606,0.80736643,0.9449967,0.92873806,0.87247777,0.81270504,0.42949122,0.8586124,0.85470855,0.8331953,0.9291041,0.7512234,0.7836911,0.8549555,0.8693772,0.89669883,0.7821749,0.3910012,0.41877052,0.7821749,0.48420033,0.8923742,0.9565049,0.73105145,0.91463065,0.7888428,0.82127035,0.81035393,0.8164815,0.78935325,0.96838224,0.84848344,0.85773766,0.93048143,0.8402883,0.40107036,0.9011966,0.88643694,0.95781165,0.91969776,0.9534308,0.785866,0.96057975,0.9553368,0.9509874,0.96408474,0.8642047,0.80022573,0.44472378,0.33354917,0.9521605,0.894271,0.8966607,0.90356064,0.88418067,0.3910012,0.91619456,0.7605987,0.9173038,0.78826946,0.9192275,0.9200562,0.79862237,0.88158154,0.801178,0.95165217,0.9476975,0.87828624,0.90824413,0.93664646,0.81602347,0.9061126,0.4974943,0.96202326,0.9463988,0.95418555,0.9571224,0.9395632,0.9153639,0.9238568,0.9331403,0.84277457,0.90328085,0.8024787,0.9291313,0.7836911,0.92839164,0.9351555,0.95822394,0.82750833,0.9449967,0.89871615,0.80465865,0.80531853,0.8027594,0.91964924,0.9083711,0.8562008
0.7577831,0.8820232,0.77334034,0.9210172,0.9761337,1.0,0.4476832,0.8418877,0.8840689,0.88477665,0.84343874,0.48933062,0.8126617,0.74790716,0.8143579,0.7859063,0.5108364,0.515422,0.8492818,0.92703164,0.91732836,0.9411849,0.80419517,0.9479662,0.918624,0.88751566,0.84004825,0.45540744,0.8832782,0.840766,0.8661106,0.9164555,0.7537014,0.7780513,0.8428434,0.89437413,0.9152192,0.81010425,0.41690993,0.4394712,0.81010425,0.49381462,0.9237453,0.9410812,0.7528031,0.93228316,0.7841605,0.85681325,0.8160957,0.80583894,0.79063135,0.9679904,0.889048,0.83218396,0.94404376,0.8762303,0.44850296,0.92146116,0.8950627,0.94384634,0.90671504,0.9427866,0.7840893,0.9267725,0.9301996,0.938638,0.9427006,0.8951056,0.7949525,0.45371392,0.35662994,0.9412735,0.9072182,0.90859807,0.8965776,0.9072236,0.41690993,0.90821934,0.77795076,0.91608596,0.8126617,0.93213105,0.90610427,0.79232574,0.90529805,0.7940012,0.94416827,0.94645,0.859447,0.9181899,0.9167876,0.8375672,0.88827014,0.5283519,0.94306797,0.93029404,0.94902885,0.9368736,0.9358834,0.9233221,0.92410004,0.9195678,0.8171432,0.92883265,0.8128222,0.9202292,0.7780513,0.9244152,0.92891365,0.93490386,0.8195891,0.9479662,0.90199685,0.7993144,0.8047519,0.8010082,0.93116266,0.923274,0.9030956
0.51960033,0.48660517,0.48812044,0.42184356,0.41588223,0.4476832,1.0,0.4413693,0.47110516,0.4638736,0.42408967,0.5057763,0.39861313,0.5439513,0.4136186,0.55619895,0.66332203,0.69762456,0.48395023,0.42726988,0.3996271,0.40819708,0.5160401,0.40214595,0.39363524,0.4588864,0.40866292,0.6861485,0.47845465,0.49149168,0.43384433,0.4153067,0.51614964,0.42963696,0.4865668,0.46661586,0.43265003,0.39829123,0.70934963,0.6292386,0.39829123,0.70720327,0.44330505,0.40907723,0.6031171,0.42149597,0.53882,0.46468383,0.5424108,0.5095293,0.5166768,0.44395804,0.46377152,0.457014,0.42956543,0.4701553,0.7179589,0.43784404,0.4492362,0.39150593,0.4796725,0.40678725,0.5202314,0.3742094,0.3777187,0.4100037,0.38180488,0.42819923,0.5209484,0.6797608,0.6939485,0.40023282,0.50293064,0.45798528,0.45850495,0.46556795,0.70934963,0.46178126,0.54910785,0.41824895,0.39861313,0.419595,0.3931289,0.5127396,0.42526907,0.5168276,0.38107616,0.3911238,0.4919918,0.46719205,0.4069509,0.4164087,0.47052822,0.7194146,0.39379007,0.38927814,0.42403582,0.38204584,0.42820728,0.4896563,0.40369168,0.42655128,0.46022168,0.4139444,0.49545497,0.3930679,0.42963696,0.42589647,0.42903277,0.3815461,0.5201472,0.40214595,0.46211496,0.51739043,0.5517942,0.5442313,0.442423,0.44243017,0.4326784
0.733063,0.8472355,0.6876821,0.78949416,0.80296123,0.8418877,0.4413693,1.0000002,0.9369683,0.94452006,0.898074,0.542259,0.8779875,0.74551195,0.87440205,0.76659685,0.52812177,0.5316395,0.73984945,0.8849454,0.78644896,0.8240332,0.760493,0.8219233,0.77825516,0.81647146,0.8929783,0.483787,0.81883335,0.74085015,0.87348,0.7461375,0.72235996,0.82793075,0.71669513,0.80335206,0.78465927,0.87104523,0.44739982,0.46573222,0.87104523,0.5139547,0.8127938,0.81138694,0.75515336,0.81703466,0.7408579,0.97561246,0.7867261,0.7541201,0.7221594,0.8305726,0.78363466,0.69481754,0.8133907,0.837655,0.43435735,0.82328033,0.9163696,0.7970959,0.7867541,0.8190894,0.7450901,0.76871777,0.7852859,0.7657689,0.77501273,0.8092698,0.7492273,0.4731561,0.38649285,0.802309,0.8020543,0.8145161,0.78326917,0.912065,0.44739982,0.7767758,0.73896515,0.76793855,0.8779875,0.8557052,0.78268236,0.7505025,0.819196,0.7606323,0.7851691,0.7839187,0.7133226,0.86632586,0.7787325,0.870134,0.771827,0.5479533,0.8010192,0.8026265,0.8176478,0.80474895,0.8021385,0.8180451,0.8132012,0.78525025,0.68363774,0.7985356,0.7487451,0.7753724,0.82793075,0.82416415,0.77662355,0.79578245,0.7608278,0.8219233,0.90725046,0.75508463,0.75141394,0.74959534,0.82642424,0.8436196,0.81504524
0.75370526,0.88020563,0.7315287,0.8348974,0.85223454,0.8840689,0.47110516,0.9369683,0.9999999,0.970407,0.9019501,0.54861724,0.8588029,0.7634717,0.85536176,0.80260295,0.5692405,0.5838214,0.7885906,0.9271691,0.8302922,0.8718441,0.79455274,0.868601,0.8164488,0.86269045,0.89285,0.5300756,0.88884765,0.7901832,0.89941615,0.8096028,0.7500227,0.8014046,0.7664286,0.84693795,0.83764017,0.85430133,0.4988196,0.5016599,0.85430133,0.5631401,0.86514485,0.8615371,0.7932975,0.86939436,0.7759434,0.9560238,0.8160039,0.78463495,0.76165444,0.8753929,0.8329681,0.75522614,0.87783664,0.8846799,0.46821535,0.87543523,0.94081545,0.8451163,0.82685494,0.87039375,0.7723632,0.81498706,0.83080554,0.82250667,0.82311904,0.8700983,0.78393245,0.5314596,0.43985656,0.8458157,0.84392273,0.86364335,0.83479977,0.9459659,0.4988196,0.829649,0.77280545,0.8234914,0.8588029,0.90349793,0.83699733,0.7796467,0.886658,0.7887251,0.8391549,0.8279229,0.76235676,0.9016686,0.82437634,0.85551286,0.8170315,0.5934287,0.8491185,0.85981643,0.869366,0.852858,0.8547469,0.8649931,0.8512043,0.8348141,0.7516088,0.8522932,0.810256,0.8237503,0.8014046,0.88144726,0.8282557,0.8393205,0.7941379,0.868601,0.9368403,0.7838702,0.7872242,0.7847808,0.8689699,0.88086754,0.8726378
0.75978744,0.87776726,0.72076964,0.82140213,0.85438734,0.88477665,0.4638736,0.94452006,0.970407,0.99999976,0.9043722,0.5473797,0.8728819,0.76139706,0.8698629,0.79539347,0.5402379,0.56940323,0.7841391,0.93958735,0.82711154,0.87481016,0.79424214,0.87687343,0.82215226,0.8358173,0.903121,0.50160605,0.86201024,0.782719,0.88988227,0.8014547,0.75328755,0.822118,0.7577316,0.83104837,0.825064,0.8659756,0.46581787,0.46627524,0.8659756,0.52806187,0.86106193,0.86719,0.77476156,0.86597216,0.7743749,0.9549323,0.81712943,0.7878794,0.74168926,0.8683183,0.8217664,0.73848313,0.86100745,0.8837794,0.43694142,0.86660814,0.94905555,0.8482275,0.82254535,0.87520593,0.77425253,0.82487243,0.83943313,0.82205486,0.8298668,0.8523068,0.78391933,0.5103148,0.40966606,0.8500236,0.83102417,0.8436806,0.8155509,0.9495892,0.46581787,0.8137972,0.7672649,0.8123743,0.8728819,0.91132456,0.8260919,0.7820382,0.869786,0.7901456,0.838588,0.8330899,0.7529806,0.89488006,0.81844807,0.87019205,0.8149189,0.5756419,0.8516957,0.8578403,0.8663507,0.8631734,0.849277,0.85388935,0.8510416,0.83118737,0.7263139,0.851337,0.79126084,0.8222323,0.822118,0.8795978,0.81823385,0.8496549,0.79602814,0.87687343,0.9420513,0.78717995,0.7835876,0.77988607,0.8534447,0.8871844,0.8620107
