0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0.9999999,0.89734226,0.93555415,0.9447032,0.96157116,0.95551765,0.92270327,0.9515588,0.92875546,0.9474357,0.92889583,0.9480914,0.96032953,0.9590385,0.9770614,0.8838072,0.9348841,0.9384761,0.8331973,0.9530945,0.9598974,0.9307857,0.94827855,0.9317404,0.96272135,0.9431393,0.95104945,0.87564516,0.95292175,0.8264076,0.752668,0.93796045,0.8261359,0.48227835,0.90992296,0.9065788,0.91236556,0.90339434,0.9071817,0.936664,0.96264315,0.9713342,0.96023667,0.9429636,0.9506074,0.97475815,0.91782916,0.9238883,0.9643257,0.9474088,0.92406076,0.95004076,0.92225534,0.96561193,0.9457376,0.96062684,0.92290276,0.961972,0.94784844,0.95722896,0.95014375,0.89642656,0.91454005,0.92093194,0.91609013,0.9437965,0.95452917,0.953117,0.5088649
0.89734226,0.9999999,0.8887931,0.93459177,0.8849083,0.8837605,0.8276223,0.9202857,0.94872874,0.9148124,0.8578137,0.86552745,0.87212884,0.86597204,0.9022527,0.9580703,0.8873193,0.86753654,0.836586,0.85437775,0.87951344,0.93713856,0.9054663,0.9599657,0.88888574,0.90778816,0.8791983,0.96045446,0.8660879,0.8245514,0.7515322,0.8761405,0.81084436,0.49696934,0.86963546,0.8727021,0.86917263,0.9410669,0.9368018,0.8682077,0.90005386,0.90210974,0.8787614,0.85527265,0.8615829,0.8976697,0.88622636,0.89704764,0.88647914,0.88941026,0.86683136,0.9284742,0.92043304,0.8765967,0.90278184,0.8926308,0.9099605,0.9034083,0.88173175,0.89420426,0.8571211,0.94457805,0.8866171,0.9490144,0.91027385,0.89683795,0.8543024,0.8471082,0.49245602
0.93555415,0.8887931,1.0000002,0.9565251,0.95954263,0.927346,0.9141792,0.9305668,0.91208506,0.9503032,0.9058756,0.9274788,0.9157473,0.93507594,0.950905,0.87804586,0.9157368,0.9166979,0.80009395,0.90735334,0.9756633,0.9148392,0.93498397,0.92184126,0.9355948,0.9233564,0.96215516,0.8691383,0.94110155,0.80686164,0.74977463,0.9363414,0.8622724,0.4656062,0.91857636,0.93528956,0.9389021,0.9090688,0.9203367,0.93206894,0.93405795,0.96304536,0.96398175,0.90808415,0.92473316,0.9493737,0.93248516,0.9316523,0.9689617,0.96373343,0.9601548,0.93764865,0.94851565,0.9186925,0.92141813,0.91565514,0.9153912,0.95473266,0.98631907,0.9603509,0.9251182,0.8937993,0.95855856,0.9235866,0.9180517,0.90264344,0.932397,0.9342534,0.50323504
0.9447032,0.93459177,0.9565251,1.0000001,0.94274825,0.9399795,0.89631146,0.9553888,0.932557,0.96369123,0.9050185,0.91670763,0.9198137,0.9164175,0.95561016,0.90881765,0.9051656,0.9186177,0.8480342,0.9065995,0.93909216,0.9565147,0.93633133,0.94728065,0.9320514,0.94360894,0.9336165,0.90616333,0.9358203,0.84657216,0.7787987,0.9368768,0.8343791,0.5003594,0.90819967,0.91411597,0.9375,0.9368279,0.94167507,0.93069077,0.94739,0.9664492,0.9400587,0.91220206,0.9064094,0.95555115,0.94357014,0.95274556,0.94262993,0.9506203,0.9487909,0.96131814,0.9746908,0.9203894,0.93825006,0.94110346,0.9428032,0.9628194,0.94625753,0.9514761,0.9197677,0.9189259,0.9403125,0.95616114,0.9501807,0.91827524,0.923174,0.91857606,0.5191327
0.96157116,0.8849083,0.95954263,0.94274825,1.0,0.9382063,0.9333262,0.92030287,0.916647,0.9410523,0.9335172,0.9374391,0.9643954,0.98351735,0.96466726,0.8787068,0.9479636,0.94041646,0.81666684,0.9475416,0.9860682,0.9230661,0.9510833,0.92365694,0.9583859,0.94253296,0.96529317,0.8584188,0.96482146,0.82145953,0.75306857,0.94965667,0.8267911,0.47369343,0.9150897,0.9151496,0.93278563,0.9093724,0.91647136,0.93268687,0.9746544,0.9657267,0.99306923,0.9426806,0.9774053,0.9593952,0.9277874,0.9287137,0.98860645,0.97261214,0.9412879,0.93932426,0.9342643,0.9747242,0.9527361,0.94619703,0.9245719,0.9795666,0.9792935,0.98837405,0.95784146,0.8874595,0.9284555,0.9074229,0.9171055,0.94556606,0.9685699,0.96493125,0.49795863
0.95551765,0.8837605,0.927346,0.9399795,0.9382063,1.0000001,0.9288579,0.9459011,0.90956306,0.91639096,0.93122166,0.93971467,0.9513159,0.9270606,0.951446,0.87910223,0.8977004,0.94540197,0.8110214,0.94554627,0.9332448,0.92907774,0.93355966,0.91462207,0.9465554,0.9370903,0.9335506,0.8636899,0.9373433,0.8021359,0.7404024,0.939648,0.8168293,0.4620986,0.8878911,0.9016989,0.91090596,0.9003544,0.90106845,0.94711983,0.94893134,0.958035,0.94548047,0.9375977,0.9170419,0.9525347,0.9035194,0.9104668,0.946849,0.93923795,0.91827756,0.947404,0.9110907,0.93804735,0.91924024,0.9741942,0.9067304,0.9432261,0.9409178,0.94344145,0.95768225,0.8949442,0.9046268,0.92091537,0.9139918,0.9243295,0.9384103,0.93864465,0.4847547
0.92270327,0.8276223,0.9141792,0.89631146,0.9333262,0.9288579,0.99999994,0.9011797,0.85520375,0.8752904,0.9400052,0.9454828,0.9430917,0.9398681,0.9255711,0.8233484,0.907435,0.96172285,0.77801543,0.95084953,0.92261547,0.87422967,0.93303436,0.8643347,0.94921494,0.926576,0.9487004,0.80363953,0.9681739,0.7679168,0.70227265,0.89937365,0.83783996,0.4439299,0.88405466,0.92162144,0.89064324,0.87197274,0.8779243,0.9448941,0.9216623,0.9251973,0.94082606,0.96561265,0.9356714,0.9265735,0.88275486,0.8854883,0.9396748,0.92958313,0.932248,0.89571923,0.8873864,0.93263066,0.86302316,0.91750515,0.88161075,0.90843606,0.9185505,0.92482466,0.9577103,0.85239714,0.8921435,0.881541,0.85554636,0.8968096,0.97180253,0.9744407,0.4952575
0.9515588,0.9202857,0.9305668,0.9553888,0.92030287,0.9459011,0.9011797,1.0,0.9217615,0.9267275,0.917111,0.92859745,0.92269325,0.9141098,0.95530754,0.89870703,0.8954412,0.9179971,0.845065,0.91788757,0.9265966,0.9581859,0.9418316,0.937338,0.9391956,0.9477172,0.929837,0.8943337,0.93244284,0.8276688,0.7537801,0.909796,0.8300227,0.51577497,0.8971199,0.9153843,0.9112625,0.94321835,0.94007283,0.95255685,0.93199766,0.95372164,0.926751,0.9068761,0.9043733,0.95827496,0.90641665,0.9210516,0.93548155,0.9388885,0.9231159,0.9831586,0.9377388,0.9184815,0.9188869,0.9474314,0.9170177,0.93012184,0.924515,0.92662156,0.9269401,0.93934333,0.9198222,0.95300883,0.9205619,0.9099573,0.9206364,0.9197936,0.5437728
0.92875546,0.94872874,0.91208506,0.932557,0.916647,0.90956306,0.85520375,0.9217615,1.0,0.9260744,0.86237955,0.9019016,0.8898524,0.8878594,0.9230338,0.96307707,0.9074458,0.8960538,0.82754785,0.8720818,0.91444576,0.93562585,0.9122788,0.9898917,0.91356254,0.92281574,0.9139707,0.9427197,0.88575506,0.8200074,0.74711424,0.9072306,0.8229834,0.4674598,0.8927571,0.89468926,0.8821451,0.928806,0.9299,0.8747141,0.92152864,0.92954725,0.9090398,0.8827982,0.8844662,0.91868407,0.89251876,0.89629114,0.9157871,0.91672325,0.87747043,0.9406494,0.90413237,0.8959178,0.9219414,0.9050963,0.9212202,0.93828994,0.9205818,0.9241705,0.8762793,0.9338517,0.8936893,0.9334836,0.9016983,0.9062915,0.8796688,0.8742507,0.4732194
0.9474357,0.9148124,0.9503032,0.96369123,0.9410523,0.91639096,0.8752904,0.9267275,0.9260744,1.0000002,0.87268114,0.9210043,0.90722376,0.9254532,0.94868267,0.8830194,0.91802824,0.8899691,0.8793962,0.8882367,0.951335,0.9424342,0.9087248,0.9346998,0.93658257,0.9426433,0.93187743,0.88082725,0.9243998,0.8900268,0.8372875,0.92789555,0.80689335,0.50492334,0.9213921,0.89875335,0.936646,0.9060981,0.9233105,0.8930949,0.9524965,0.95693636,0.9384844,0.90186936,0.9167937,0.9467449,0.9700558,0.96997416,0.9398427,0.943833,0.94623554,0.941387,0.96200085,0.92072225,0.9585931,0.93043816,0.9469868,0.96301025,0.94571745,0.9567653,0.8962148,0.8892108,0.95713544,0.93088543,0.9499408,0.9237522,0.924175,0.9212709,0.5238298
