0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
0.99999976,0.8581216,0.5572779,0.5572779,0.8102644,0.8318099,0.8428362,0.8485543,0.8229753,0.53256845,0.9144678,0.8825043,0.888271,0.5867505,0.89564073,0.99999976,0.99610984,0.92371917,0.5086091,0.92371917,0.5572779,0.8196575,0.49472985,0.80465204,0.43911892,0.81783575,0.53256845,0.84139323,0.49472985,0.84409904,0.8986504,0.8257222,0.7901672,0.87359,0.8188637,0.8277515,0.53256845,0.53256845,0.53256845,0.49472985,0.49472985,0.83188754,0.8405402,0.89739144,0.49472985,0.89739144,0.5190548,0.79750466,0.8229242,0.45621312,0.45621312,0.45621312,0.49472985,0.9249479,0.5086091,0.53256845,0.53256845,0.53256845,0.53256845,0.53256845,0.8148345,0.5867505,0.53256845,0.53256845,0.800017,0.7927563,0.8856884,0.89739144,0.8170784,0.9144678,0.8799862,0.5086091,0.5462669,0.5086091,0.5112229,0.5272912,0.5112229,0.7773021,0.46685454,0.8243659,0.7988292,0.81561065,0.45516896,0.7868985,0.9486087,0.8129701,0.5692636,0.49472985,0.81110084,0.7751526,0.89739144,0.89739144,0.4719386,0.89739144,0.8631866,0.49472985,0.49472985,0.49472985,0.81247747,0.8277951,0.5112229,0.89739144,0.9009936,0.8447068,0.8221068,0.49472985,0.8569606,0.8569606,0.808753,0.7915145,0.8485543,0.7382614,0.5462669,0.9137197,0.52429736,0.8562798,0.84194237,0.8191519,0.8683492,0.888271,0.888271,0.8592744,0.89739144,0.53256845,0.8337274,0.9015785,0.845189,0.5447766,0.5753328,0.49472985,0.8102593,0.89614654,0.8548236,0.5572779,0.8444413,0.79328704,0.5867505,0.77417654,0.9249479,0.49472985,0.49472985,0.963209,0.825165,0.7970922,0.7863339,0.8032825,0.60164624,0.89614654,0.5572779,0.5867505,0.850914,0.8447812,0.8742099,0.7949378,0.8243506,0.99610984,0.8001518,0.5867505,0.604713,0.5190548,0.50034535,0.8472835,0.8140445,0.50034535,0.8581216,0.5112229,0.817561,0.888271,0.8430771
0.8581216,1.0,0.6003977,0.6003977,0.913597,0.9036319,0.9558687,0.9962454,0.91305184,0.58848375,0.9511306,0.9424982,0.94390655,0.6193664,0.94704556,0.8581216,0.8503272,0.9414644,0.5719528,0.9414644,0.6003977,0.8877708,0.5441965,0.90620255,0.50291854,0.9319701,0.58848375,0.9667153,0.5441965,0.9506283,0.9404652,0.9367142,0.8855871,0.9431143,0.94139576,0.92624855,0.58848375,0.58848375,0.58848375,0.5441965,0.5441965,0.93447876,0.8097934,0.7710253,0.5441965,0.7710253,0.5839474,0.90610147,0.9417937,0.52149594,0.52149594,0.52149594,0.5441965,0.7974129,0.5719528,0.58848375,0.58848375,0.58848375,0.58848375,0.58848375,0.9109949,0.6193664,0.58848375,0.58848375,0.89920187,0.8838594,0.945572,0.7710253,0.9142169,0.9511306,0.91309917,0.5719528,0.59489906,0.5719528,0.56805784,0.5853798,0.56805784,0.89811647,0.5416048,0.9451986,0.8975897,0.93664336,0.5243869,0.842605,0.88862383,0.9236009,0.6275612,0.5441965,0.9220977,0.87942964,0.7710253,0.7710253,0.5277858,0.7710253,0.93058366,0.5441965,0.5441965,0.5441965,0.91632134,0.89530796,0.56805784,0.7710253,0.94332415,0.96887034,0.90544593,0.5441965,0.89721966,0.89721966,0.90238065,0.88333577,0.9962454,0.85091275,0.59489906,0.9426353,0.58705735,0.93684995,0.9373611,0.9272884,0.95562494,0.94390655,0.94390655,0.94676685,0.7710253,0.58848375,0.94897103,0.77371377,0.9588868,0.5663601,0.6221636,0.5441965,0.87843275,0.9408579,0.91618574,0.6003977,0.9512333,0.83144367,0.6193664,0.83905053,0.7974129,0.5441965,0.5441965,0.84325165,0.9085798,0.90837306,0.8927379,0.9347694,0.6685729,0.9408579,0.6003977,0.6193664,0.9450682,0.9387321,0.9426931,0.8952977,0.91944647,0.8503272,0.92339647,0.6193664,0.6465949,0.5839474,0.5530923,0.9657204,0.89454854,0.5530923,1.0,0.56805784,0.9298608,0.94390655,0.9603008
0.5572779,0.6003977,1.0000001,1.0000001,0.6058467,0.5528063,0.5805838,0.59545976,0.59028435,0.9839438,0.5884058,0.5717016,0.5917039,0.9858793,0.5684105,0.5572779,0.5578251,0.5659345,0.87299347,0.5659345,1.0000001,0.51873994,0.7949022,0.56908095,0.7892033,0.59852886,0.9839438,0.59953946,0.7949022,0.55851734,0.568108,0.6029057,0.56515074,0.6079918,0.6265104,0.5813731,0.9839438,0.9839438,0.9839438,0.7949022,0.7949022,0.59265673,0.7162537,0.5627658,0.7949022,0.5627658,0.9134157,0.58606195,0.6223373,0.7555922,0.7555922,0.7555922,0.7949022,0.5166095,0.87299347,0.9839438,0.9839438,0.9839438,0.9839438,0.9839438,0.62349534,0.9858793,0.9839438,0.9839438,0.59625506,0.57059836,0.58609325,0.5627658,0.55713403,0.5884058,0.57385564,0.87299347,0.9506193,0.87299347,0.8931917,0.86262226,0.8931917,0.6213664,0.86835146,0.5739031,0.5749983,0.6272798,0.9052502,0.5073352,0.57321596,0.6039927,0.7734449,0.7949022,0.5915292,0.61836267,0.5627658,0.5627658,0.67609626,0.5627658,0.61329854,0.7949022,0.7949022,0.7949022,0.62790036,0.5388471,0.8931917,0.5627658,0.59045535,0.5920566,0.5567149,0.7949022,0.53991365,0.53991365,0.50840735,0.5067081,0.59545976,0.5727735,0.9506193,0.56815386,0.8885515,0.5831758,0.55379444,0.62559915,0.61876804,0.5917039,0.5917039,0.5843998,0.5627658,0.9839438,0.58262867,0.5265995,0.59670097,0.70178777,0.856847,0.7949022,0.5285652,0.58696485,0.5703761,1.0000001,0.5957876,0.51101375,0.9858793,0.5004668,0.5166095,0.7949022,0.7949022,0.6297229,0.5694421,0.59799075,0.59622365,0.628114,0.51140845,0.58696485,1.0000001,0.9858793,0.6206732,0.5784093,0.5916017,0.56894124,0.5741579,0.5578251,0.6359808,0.9858793,0.91835445,0.9134157,0.87040925,0.5768156,0.55257815,0.87040925,0.6003977,0.8931917,0.6262016,0.5917039,0.59709114
0.5572779,0.6003977,1.0000001,1.0000001,0.6058467,0.5528063,0.5805838,0.59545976,0.59028435,0.9839438,0.5884058,0.5717016,0.5917039,0.9858793,0.5684105,0.5572779,0.5578251,0.5659345,0.87299347,0.5659345,1.0000001,0.51873994,0.7949022,0.56908095,0.7892033,0.59852886,0.9839438,0.59953946,0.7949022,0.55851734,0.568108,0.6029057,0.56515074,0.6079918,0.6265104,0.5813731,0.9839438,0.9839438,0.9839438,0.7949022,0.7949022,0.59265673,0.7162537,0.5627658,0.7949022,0.5627658,0.9134157,0.58606195,0.6223373,0.7555922,0.7555922,0.7555922,0.7949022,0.5166095,0.87299347,0.9839438,0.9839438,0.9839438,0.9839438,0.9839438,0.62349534,0.9858793,0.9839438,0.9839438,0.59625506,0.57059836,0.58609325,0.5627658,0.55713403,0.5884058,0.57385564,0.87299347,0.9506193,0.87299347,0.8931917,0.86262226,0.8931917,0.6213664,0.86835146,0.5739031,0.5749983,0.6272798,0.9052502,0.5073352,0.57321596,0.6039927,0.7734449,0.7949022,0.5915292,0.61836267,0.5627658,0.5627658,0.67609626,0.5627658,0.61329854,0.7949022,0.7949022,0.7949022,0.62790036,0.5388471,0.8931917,0.5627658,0.59045535,0.5920566,0.5567149,0.7949022,0.53991365,0.53991365,0.50840735,0.5067081,0.59545976,0.5727735,0.9506193,0.56815386,0.8885515,0.5831758,0.55379444,0.62559915,0.61876804,0.5917039,0.5917039,0.5843998,0.5627658,0.9839438,0.58262867,0.5265995,0.59670097,0.70178777,0.856847,0.7949022,0.5285652,0.58696485,0.5703761,1.0000001,0.5957876,0.51101375,0.9858793,0.5004668,0.5166095,0.7949022,0.7949022,0.6297229,0.5694421,0.59799075,0.59622365,0.628114,0.51140845,0.58696485,1.0000001,0.9858793,0.6206732,0.5784093,0.5916017,0.56894124,0.5741579,0.5578251,0.6359808,0.9858793,0.91835445,0.9134157,0.87040925,0.5768156,0.55257815,0.87040925,0.6003977,0.8931917,0.6262016,0.5917039,0.59709114
0.8102644,0.913597,0.6058467,0.6058467,1.0000001,0.92875266,0.92380995,0.9117282,0.9345243,0.59011024,0.88534147,0.8852715,0.8776369,0.61904424,0.892076,0.8102644,0.79886734,0.88096344,0.57657844,0.88096344,0.6058467,0.8410086,0.5179836,0.94218194,0.50785166,0.9594526,0.59011024,0.89537925,0.5179836,0.90191305,0.882019,0.9661674,0.94469464,0.880952,0.96831775,0.9510836,0.59011024,0.59011024,0.59011024,0.5179836,0.5179836,0.86111784,0.8585555,0.6907305,0.5179836,0.6907305,0.59280056,0.94610715,0.92600596,0.5010562,0.5010562,0.5010562,0.5179836,0.71708935,0.57657844,0.59011024,0.59011024,0.59011024,0.59011024,0.59011024,0.9124361,0.61904424,0.59011024,0.59011024,0.85500896,0.94758683,0.8812972,0.6907305,0.8846543,0.88534147,0.9311942,0.57657844,0.60535204,0.57657844,0.5774704,0.5956547,0.5774704,0.954214,0.55045,0.9104892,0.9295816,0.8723198,0.5378028,0.89654183,0.84959203,0.9354421,0.6771064,0.5179836,0.9542265,0.9174012,0.6907305,0.6907305,0.5121213,0.6907305,0.8674738,0.5179836,0.5179836,0.5179836,0.9316902,0.9151997,0.5774704,0.6907305,0.8979144,0.91266906,0.92539704,0.5179836,0.81147134,0.81147134,0.88009596,0.8214629,0.9117282,0.9138889,0.60535204,0.8812845,0.5930514,0.8780523,0.84671444,0.9570961,0.91236794,0.8776369,0.8776369,0.9179716,0.6907305,0.59011024,0.9129854,0.6926364,0.90997016,0.58342,0.6217602,0.5179836,0.89488435,0.87966204,0.8513887,0.6058467,0.89615834,0.85415506,0.61904424,0.858442,0.71708935,0.5179836,0.5179836,0.7864898,0.9187901,0.9547202,0.94146687,0.9480823,0.7169579,0.87966204,0.6058467,0.61904424,0.919997,0.8849247,0.88029313,0.93354833,0.9597907,0.79886734,0.8753724,0.61904424,0.6589097,0.59280056,0.5562677,0.91295886,0.91280544,0.5562677,0.913597,0.5774704,0.92114806,0.8776369,0.91699195
0.8318099,0.9036319,0.5528063,0.5528063,0.92875266,1.0,0.9425533,0.90526277,0.870023,0.5297036,0.88039875,0.88561326,0.86111236,0.5694075,0.912274,0.8318099,0.818326,0.90455985,0.50249225,0.90455985,0.5528063,0.81356215,0.4671452,0.9767499,0.4333048,0.95163256,0.5297036,0.8635518,0.4671452,0.9119414,0.9042242,0.9634079,0.95804745,0.8533895,0.92950195,0.959753,0.5297036,0.5297036,0.5297036,0.4671452,0.4671452,0.8261621,0.8427113,0.69549435,0.4671452,0.69549435,0.5245877,0.9733139,0.9059527,0.43065917,0.43065917,0.43065917,0.4671452,0.7251636,0.50249225,0.5297036,0.5297036,0.5297036,0.5297036,0.5297036,0.8551503,0.5694075,0.5297036,0.5297036,0.7953382,0.95397985,0.8672438,0.69549435,0.93481874,0.88039875,0.98114526,0.50249225,0.550622,0.50249225,0.5089628,0.52560836,0.5089628,0.9425442,0.4811049,0.9182085,0.96237683,0.8199027,0.45743117,0.9210275,0.84908414,0.9467366,0.60148543,0.4671452,0.97026944,0.9271637,0.69549435,0.69549435,0.44819364,0.69549435,0.8353861,0.4671452,0.4671452,0.4671452,0.91266364,0.99427545,0.5089628,0.69549435,0.8999308,0.91736066,0.98779,0.4671452,0.8101089,0.8101089,0.89290905,0.82739025,0.90526277,0.8664595,0.550622,0.90339184,0.5304074,0.8374493,0.81320477,0.9056159,0.89641476,0.86111236,0.86111236,0.92770547,0.69549435,0.5297036,0.9287003,0.6988392,0.8957949,0.5185404,0.573287,0.4671452,0.97636425,0.865454,0.8331399,0.5528063,0.8673551,0.8878973,0.5694075,0.95274913,0.7251636,0.4671452,0.4671452,0.78051114,0.9844952,0.9734125,0.86683166,0.91248477,0.6166189,0.865454,0.5528063,0.5694075,0.8931003,0.8557291,0.8649154,0.96237516,0.97616184,0.818326,0.812416,0.5694075,0.6203213,0.5245877,0.48833793,0.92807376,0.9911323,0.48833793,0.9036319,0.5089628,0.8743626,0.86111236,0.8891407
0.8428362,0.9558687,0.5805838,0.5805838,0.92380995,0.9425533,1.0,0.9573095,0.904342,0.56442463,0.92432773,0.94120824,0.91549504,0.59542394,0.95110345,0.8428362,0.8304221,0.9316316,0.5503768,0.9316316,0.5805838,0.8962646,0.5197759,0.942555,0.48187596,0.93316096,0.56442463,0.93301785,0.5197759,0.9652324,0.94530636,0.9441668,0.90963125,0.91392744,0.9368312,0.94700146,0.56442463,0.56442463,0.56442463,0.5197759,0.5197759,0.9191142,0.8109356,0.7408279,0.5197759,0.7408279,0.564018,0.9442007,0.9338137,0.49824145,0.49824145,0.49824145,0.5197759,0.7644105,0.5503768,0.56442463,0.56442463,0.56442463,0.56442463,0.56442463,0.8792636,0.59542394,0.56442463,0.56442463,0.8570199,0.91175854,0.9233597,0.7408279,0.9470431,0.92432773,0.9374987,0.5503768,0.5750956,0.5503768,0.54539704,0.564971,0.54539704,0.9265639,0.51835567,0.9663628,0.9186987,0.88186586,0.50127137,0.8800654,0.86257064,0.94100296,0.60625166,0.5197759,0.95778036,0.9074033,0.7408279,0.7408279,0.50982857,0.7408279,0.8996147,0.5197759,0.5197759,0.5197759,0.90781224,0.93238854,0.54539704,0.7408279,0.9200867,0.95911515,0.934414,0.5197759,0.85576504,0.85576504,0.93448937,0.9140012,0.9573095,0.8682883,0.5750956,0.93570316,0.565335,0.9031661,0.90147877,0.9230269,0.93479455,0.91549504,0.91549504,0.94954014,0.7408279,0.56442463,0.9701097,0.7346458,0.95428276,0.563841,0.60649645,0.5197759,0.91397,0.9157734,0.87756264,0.5805838,0.9383611,0.85814863,0.59542394,0.88652337,0.7644105,0.5197759,0.5197759,0.8102627,0.9375328,0.93488896,0.8865989,0.92894316,0.6908014,0.9157734,0.5805838,0.59542394,0.9161843,0.9250032,0.92930984,0.9252802,0.9455019,0.8304221,0.87851304,0.59542394,0.6281425,0.564018,0.5253973,0.97357535,0.93440455,0.5253973,0.9558687,0.54539704,0.9044135,0.91549504,0.9491005
0.8485543,0.9962454,0.59545976,0.59545976,0.9117282,0.90526277,0.9573095,0.9999999,0.9114077,0.58409905,0.9466635,0.9396216,0.93770266,0.6144755,0.9441286,0.8485543,0.8404395,0.9367197,0.56578654,0.9367197,0.59545976,0.8819227,0.53609,0.911948,0.5000311,0.9324018,0.58409905,0.96759987,0.53609,0.95140105,0.93578833,0.93812764,0.89264584,0.93680465,0.9404961,0.9301327,0.58409905,0.58409905,0.58409905,0.53609,0.53609,0.92807406,0.80372953,0.7593617,0.53609,0.7593617,0.5785306,0.9090997,0.9431771,0.51408184,0.51408184,0.51408184,0.53609,0.7860039,0.56578654,0.58409905,0.58409905,0.58409905,0.58409905,0.58409905,0.90771866,0.6144755,0.58409905,0.58409905,0.8904998,0.88955224,0.9391393,0.7593617,0.9185999,0.9466635,0.91178244,0.56578654,0.5884983,0.56578654,0.5615759,0.57702184,0.5615759,0.9025576,0.5375702,0.9474407,0.90207267,0.92888165,0.5213299,0.8473736,0.88057697,0.9246877,0.61968553,0.53609,0.9239586,0.8819113,0.7593617,0.7593617,0.5195257,0.7593617,0.9234746,0.53609,0.53609,0.53609,0.9160047,0.8979481,0.5615759,0.7593617,0.939114,0.9706878,0.9086164,0.53609,0.8883589,0.8883589,0.90441346,0.8792579,0.9999999,0.8480463,0.5884983,0.93780154,0.5808975,0.926748,0.9276017,0.9230895,0.9532815,0.93770266,0.93770266,0.9459045,0.7593617,0.58409905,0.9518045,0.7635911,0.95902,0.5580021,0.612609,0.53609,0.8834734,0.93536174,0.91321826,0.59545976,0.9462513,0.8329671,0.6144755,0.8437172,0.7860039,0.53609,0.53609,0.8315116,0.9123601,0.91243136,0.88983685,0.93572795,0.66267246,0.93536174,0.59545976,0.6144755,0.94345355,0.93765473,0.93898475,0.89897835,0.92304426,0.8404395,0.9178389,0.6144755,0.6415553,0.5785306,0.54651344,0.9669401,0.8980379,0.54651344,0.9962454,0.5615759,0.9284241,0.93770266,0.9619374
0.8229753,0.91305184,0.59028435,0.59028435,0.9345243,0.870023,0.904342,0.9114077,0.99999976,0.5726949,0.90129036,0.92216694,0.90504354,0.6035023,0.90762687,0.8229753,0.8121107,0.89480156,0.56862277,0.89480156,0.59028435,0.88285416,0.5280933,0.89930356,0.50627613,0.908777,0.5726949,0.9160912,0.5280933,0.9140842,0.8997841,0.91804576,0.882545,0.9107324,0.92752665,0.93018043,0.5726949,0.5726949,0.5726949,0.5280933,0.5280933,0.8964115,0.7909876,0.7103777,0.5280933,0.7103777,0.57934284,0.8976496,0.9098693,0.52177584,0.52177584,0.52177584,0.5280933,0.74351156,0.56862277,0.5726949,0.5726949,0.5726949,0.5726949,0.5726949,0.937564,0.6035023,0.5726949,0.5726949,0.8781092,0.89011264,0.9110865,0.7103777,0.8580947,0.90129036,0.8765615,0.56862277,0.5795091,0.56862277,0.55823326,0.58030957,0.55823326,0.91481805,0.52858204,0.9192636,0.8875885,0.8781498,0.520404,0.8809195,0.86259013,0.8936889,0.6520192,0.5280933,0.9139609,0.8602804,0.7103777,0.7103777,0.52591705,0.7103777,0.8926874,0.5280933,0.5280933,0.5280933,0.879408,0.8566663,0.55823326,0.7103777,0.9181512,0.92616343,0.8816204,0.5280933,0.84286463,0.84286463,0.8821626,0.84431946,0.9114077,0.89225066,0.5795091,0.89738774,0.5757755,0.9022362,0.8909267,0.93717706,0.9150026,0.90504354,0.90504354,0.8964015,0.7103777,0.5726949,0.9194547,0.7153469,0.9263853,0.5803542,0.60734046,0.5280933,0.85923135,0.9112594,0.8871422,0.59028435,0.9171002,0.8599626,0.6035023,0.79706836,0.74351156,0.5280933,0.5280933,0.7957371,0.87111056,0.89831835,0.9110979,0.91681945,0.75067854,0.9112594,0.59028435,0.6035023,0.9167434,0.9098781,0.91129535,0.87072456,0.90991414,0.8121107,0.8888012,0.6035023,0.61581457,0.57934284,0.5463286,0.9173051,0.86105025,0.5463286,0.91305184,0.55823326,0.92487484,0.90504354,0.9320377
0.53256845,0.58848375,0.9839438,0.9839438,0.59011024,0.5297036,0.56442463,0.58409905,0.5726949,0.9999999,0.5693479,0.5538231,0.57170296,0.97634727,0.5531923,0.53256845,0.53032094,0.5414064,0.9034122,0.5414064,0.9839438,0.50565654,0.81753886,0.54988384,0.82557994,0.5774962,0.9999999,0.5900468,0.81753886,0.54162633,0.54999846,0.5831988,0.54700434,0.59758115,0.60839814,0.5606064,0.9999999,0.9999999,0.9999999,0.81753886,0.81753886,0.58403987,0.69032216,0.5299403,0.81753886,0.5299403,0.9274215,0.5686289,0.6087075,0.786827,0.786827,0.786827,0.81753886,0.48761788,0.9034122,0.9999999,0.9999999,0.9999999,0.9999999,0.9999999,0.60318404,0.97634727,0.9999999,0.9999999,0.5815897,0.55364597,0.5688555,0.5299403,0.5390142,0.5693479,0.54737675,0.9034122,0.946208,0.9034122,0.91673464,0.891015,0.91673464,0.605724,0.89297056,0.55964494,0.5551383,0.61445194,0.9406132,0.48724586,0.5425197,0.58027303,0.761601,0.81753886,0.57468504,0.59767425,0.5299403,0.5299403,0.6967873,0.5299403,0.59483004,0.81753886,0.81753886,0.81753886,0.6067662,0.5152065,0.91673464,0.5299403,0.5650688,0.5770085,0.535272,0.81753886,0.51689124,0.51689124,0.4967443,0.5002825,0.58409905,0.56062376,0.946208,0.5464095,0.89979416,0.56561613,0.54740345,0.6102207,0.60144734,0.57170296,0.57170296,0.56639326,0.5299403,0.9999999,0.5677023,0.4961174,0.57948124,0.69687873,0.842188,0.81753886,0.50518304,0.5671349,0.5504099,0.9839438,0.5803064,0.49221224,0.97634727,0.47914535,0.48761788,0.81753886,0.81753886,0.60632694,0.54625773,0.57984096,0.58485353,0.61185205,0.51018685,0.5671349,0.9839438,0.97634727,0.5998735,0.56361043,0.5764716,0.5494762,0.55441046,0.53032094,0.62298566,0.97634727,0.89741385,0.9274215,0.8880272,0.55913794,0.5299843,0.8880272,0.58848375,0.91673464,0.6080735,0.57170296,0.58276916
