0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0.0,15.462384,19.343624,18.322433,11.016044,18.323563,9.352544,20.175322,20.288946,19.386494,10.882905,12.7637205,18.674597,10.844465,18.179928,20.229872,17.40264,18.84371,18.993834,8.941262,18.118984,13.859354,17.545334,18.33321,17.159113,9.586322,18.730934,19.28061,17.51981,17.800344,11.39307,19.887875,19.678635,11.358411,18.302107,17.681295,17.253607,19.434164,19.026278,11.695196,17.336985,18.085785,18.217154,17.468565,13.448662,17.784643,17.245413,19.036951,18.344593,18.217154,12.957152,18.007109,18.616507,14.825458,10.432557,17.336985,18.778204,17.790792,17.29043,19.54566,17.985685,19.262182,11.441284,19.156313,11.0269165,11.647356
15.462384,0.0,18.601368,17.44176,17.166693,18.087168,16.614262,18.62231,18.818897,17.262136,14.03043,15.697321,18.628643,17.676416,18.152494,20.012892,17.051832,17.630985,18.962486,17.10092,16.42144,13.069912,16.864395,17.710037,17.65132,16.786259,17.987017,18.808313,17.812387,18.517256,12.7167425,18.747417,19.740692,14.569537,17.229431,17.438114,17.63249,17.721518,17.61432,16.899662,17.699457,18.01447,18.66225,17.926376,14.939106,17.036352,17.595812,18.358889,17.323364,18.66225,12.709377,18.147665,18.00643,16.143446,14.118113,17.699457,18.017313,17.892982,17.75314,19.15559,16.899916,18.88332,13.969349,18.187927,17.684584,14.569476
19.343624,18.601368,0.0,15.297156,21.513483,8.083316,20.331076,9.32792,9.101994,10.444555,20.392946,20.682915,9.671026,20.58209,8.133495,11.730552,9.334888,9.042582,9.360417,20.739017,20.306873,18.875078,9.040349,5.874327,7.8287277,20.766304,11.252946,8.246443,7.2903223,10.690453,18.034437,8.132381,11.166427,20.609118,7.5012603,5.772077,10.867808,8.403624,7.985029,21.849226,9.819822,9.454276,10.085303,7.4656043,20.449476,9.166132,6.8697925,10.413165,6.7747393,10.085303,17.787031,8.88418,6.8540564,16.129581,18.847351,9.819822,6.1193957,8.979901,9.708791,5.5815125,8.077959,6.4076457,18.275497,8.606402,20.911953,19.970278
18.322433,17.44176,15.297156,0.0,19.817211,15.788331,19.264557,16.814905,14.944078,14.634087,18.437176,19.027159,12.41771,19.849915,13.359399,16.89913,13.762713,15.197996,14.47617,19.03768,18.510303,17.983032,13.529877,14.153702,13.980643,19.45897,14.525646,16.37639,13.842796,12.72579,16.466866,15.125644,16.260849,18.729765,14.426921,13.9515705,14.477631,15.085309,15.060208,20.073835,12.720669,13.044458,12.951797,14.037217,18.602337,13.694304,13.672628,11.741067,13.828178,12.951797,16.80424,13.456357,13.472527,14.215333,17.988918,12.720669,14.790795,12.87067,12.662085,15.515642,15.050065,15.419414,17.005638,15.821983,19.849205,18.427021
11.016044,17.166693,21.513483,19.817211,0.0,19.941761,11.452578,21.823696,22.369398,21.232248,12.36317,12.934238,20.56343,10.264293,20.324608,21.954515,19.305069,20.958248,20.791628,11.077465,19.387947,14.348241,19.459583,20.515356,19.336796,10.511037,20.609325,21.210196,19.686705,19.898104,13.515829,21.91445,21.28398,13.122418,20.563099,19.888662,19.211733,21.282192,21.026731,11.852821,19.530727,20.130072,20.286974,19.614529,13.900943,19.837818,19.553968,20.985964,20.325111,20.286974,16.157158,20.132208,20.863039,16.006794,15.035091,19.530727,20.830786,19.961687,19.540934,21.602026,19.753786,21.358429,13.1647,20.955645,10.837381,12.402012
18.323563,18.087168,8.083316,15.788331,19.941761,0.0,19.607843,9.929838,11.733303,11.504264,19.339724,19.225916,10.329978,19.48273,8.156073,10.056967,8.735341,9.677224,9.135204,20.001493,19.556522,17.832623,9.0836315,7.643266,7.3455296,19.781532,10.777211,7.0652127,7.4567885,11.232189,17.211103,10.066504,9.656151,19.650227,9.747354,8.071406,10.518199,10.343605,9.873018,20.589281,10.128905,9.696275,10.3775,7.3427024,19.294474,8.294235,6.8680716,11.844328,7.0933623,10.3775,17.320396,9.005769,8.372475,15.436461,18.669163,10.128905,6.9620137,9.525744,10.03519,8.424679,8.095226,7.2406836,17.124302,7.4261847,19.738434,18.70347
9.352544,16.614262,20.331076,19.264557,11.452578,19.607843,0.0,20.835186,21.172142,20.344118,11.558658,13.669515,19.873283,11.374348,19.567545,21.582436,18.944569,19.978737,20.442585,8.622746,19.69774,15.018418,19.089508,19.484966,18.820017,11.416941,20.307348,20.37207,19.06301,19.43959,12.1072645,20.899841,21.242565,12.567077,19.408966,18.911707,18.991144,20.348112,20.217068,11.852039,18.982996,19.72438,19.93757,19.043188,13.9226265,19.452732,18.72462,19.853489,19.38955,19.93757,14.70392,19.718864,19.7693,15.989149,12.389718,18.982996,19.956633,19.433475,18.963615,20.759365,18.961031,20.428276,12.049786,20.177454,11.774939,14.01377
20.175322,18.62231,9.32792,16.814905,21.823696,9.929838,20.835186,0.0,9.779428,10.053655,21.232117,21.61666,13.101503,20.621965,11.553527,12.771982,12.447305,7.5888014,12.313654,21.405287,21.710903,19.444664,12.231063,8.627233,11.759262,21.72296,13.799184,9.180948,11.405819,14.09938,18.975622,8.258535,12.869089,21.640005,8.421052,10.3957405,14.385802,7.9651117,8.442544,22.509418,12.963817,12.787645,13.564999,11.525244,20.966515,10.927094,10.930664,11.942217,8.671317,13.564999,17.679903,12.045904,9.477315,17.15757,18.813437,12.963817,7.5730486,12.044426,12.838056,10.635281,6.7461143,8.494361,19.158154,7.054561,21.223703,21.136248
20.288946,18.818897,9.101994,14.944078,22.369398,11.733303,21.172142,9.779428,0.0,9.160094,21.343105,21.351725,11.264051,21.36864,10.312298,12.6041,11.545885,8.108141,10.914729,21.63306,20.500044,19.546122,10.975543,8.607367,11.294551,22.023403,12.576542,11.296908,10.654975,12.136676,18.913372,5.425849,12.393968,21.69857,8.860148,9.867253,13.509922,7.4016943,8.148448,22.648495,11.331247,10.648681,11.337046,10.973023,20.93727,10.267885,10.280266,10.200026,9.046266,11.337046,17.842747,10.141575,8.632641,16.665705,18.84768,11.331247,8.248798,9.930679,11.09259,9.045125,9.364609,8.3647585,19.212141,9.871194,21.762634,21.373991
19.386494,17.262136,10.444555,14.634087,21.232248,11.504264,20.344118,10.053655,9.160094,0.0,20.326351,20.172813,12.322319,20.187819,11.34638,13.757914,10.206413,7.789602,11.49408,20.690859,19.9046,17.115198,10.040077,8.569391,11.102191,20.96108,11.93471,12.363731,10.826613,11.582084,17.785501,9.652768,13.295479,20.714397,8.066343,9.563338,13.069857,6.9043636,6.4128914,21.664757,10.353765,10.531356,11.094051,11.146829,19.728977,9.737146,10.697763,11.089,8.626408,11.094051,16.563316,10.635579,9.271949,15.814054,17.79653,10.353765,9.572921,10.378648,10.446315,11.798971,7.9541717,10.674973,18.050032,10.727526,20.540693,20.146065
