0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1.0000001,0.91874564,0.97889566,0.92643857,0.9042607,0.91454744,0.9365046,0.8709475,0.8448473,0.91628313,0.8152118,0.9213058,0.8651193,0.92579055,0.947551,0.9188915,0.97888064,0.9333116,0.9084096,0.9258323,0.90961635,0.9117903,0.909586,0.9488474,0.7561039,0.9068852,0.962264,0.9138719,0.93620235,0.975338,0.91874564,0.8300714,0.87397563,0.879263,0.929755,0.9261614,0.49189416,0.95263267,0.8391397,0.88453144,0.88453144,0.86056083,0.8960996,0.9285016,0.9673949,0.92441434,0.8960996,0.9011507
0.91874564,0.9999999,0.91901827,0.8804852,0.89025843,0.98442847,0.90855944,0.8934459,0.87822783,0.92502123,0.8331295,0.8757979,0.8538904,0.90494573,0.95493114,0.89140564,0.9315578,0.8921038,0.9692394,0.9745861,0.8722528,0.9029487,0.86884016,0.955276,0.7028165,0.9713203,0.9306965,0.8347696,0.90514153,0.9386575,0.9999999,0.89565027,0.8925978,0.89974886,0.9164251,0.8820434,0.48657262,0.9456432,0.83012146,0.8988532,0.8988532,0.8906766,0.966695,0.8925119,0.921478,0.9055804,0.966695,0.90853745
0.97889566,0.91901827,1.0,0.9056746,0.8995657,0.90968186,0.92045057,0.87294847,0.8726681,0.9303021,0.83770823,0.9356127,0.8777472,0.9129527,0.94626063,0.9205231,0.9794495,0.91626215,0.91642815,0.9182831,0.90196747,0.9462087,0.919936,0.9490143,0.766448,0.9184992,0.97038984,0.8924792,0.9452588,0.9771967,0.91901827,0.84767455,0.89066476,0.8964165,0.9152915,0.90644085,0.49396116,0.947005,0.87564874,0.9095676,0.9095676,0.87947184,0.8890323,0.94247234,0.97159714,0.9348308,0.8890323,0.9001827
0.92643857,0.8804852,0.9056746,0.9999997,0.9199234,0.8800051,0.94720674,0.8151052,0.78704846,0.86177063,0.7605596,0.876938,0.84164464,0.96117556,0.89495885,0.9212855,0.9167469,0.9385419,0.87615216,0.89975137,0.96179146,0.82356167,0.87567854,0.9102859,0.7404679,0.8590395,0.907695,0.9631842,0.8806385,0.9209051,0.8804852,0.80778724,0.86333823,0.85758734,0.9455931,0.98644996,0.49004337,0.9314623,0.8049461,0.8150962,0.8150962,0.8345237,0.8670505,0.8665815,0.89121264,0.88330007,0.8670505,0.9088297
0.9042607,0.89025843,0.8995657,0.9199234,1.0000002,0.8834478,0.9144391,0.8396487,0.8654477,0.8713039,0.79433787,0.8652762,0.8337188,0.945168,0.90487456,0.9425954,0.91036355,0.91570616,0.890146,0.8850774,0.9527207,0.851406,0.86826,0.9033029,0.76959217,0.8820157,0.89111304,0.90865123,0.872442,0.90393394,0.89025843,0.8389243,0.9024662,0.89010894,0.9144392,0.9322636,0.4840061,0.9202447,0.8493848,0.8415816,0.8415816,0.8716598,0.8640914,0.86828303,0.8923241,0.8836125,0.8640914,0.97937053
0.91454744,0.98442847,0.90968186,0.8800051,0.8834478,1.0,0.9143556,0.8873175,0.85763925,0.91914237,0.84343725,0.8568403,0.8502837,0.90659297,0.9528684,0.8899952,0.9216696,0.8867487,0.9611938,0.9836967,0.87264746,0.88776976,0.8439549,0.9425667,0.7150778,0.94557345,0.9183688,0.83740723,0.8865663,0.9222212,0.98442847,0.8812709,0.88430935,0.88893276,0.9061638,0.8830546,0.46539235,0.95742726,0.8219313,0.88222104,0.88222104,0.88152266,0.9667622,0.8734621,0.907929,0.8831174,0.9667622,0.9011436
0.9365046,0.90855944,0.92045057,0.94720674,0.9144391,0.9143556,1.0000001,0.87080145,0.79138917,0.8550036,0.79193485,0.8406308,0.8199489,0.94800687,0.91856307,0.90680957,0.9318814,0.9334349,0.89327395,0.9315505,0.91221285,0.8418994,0.83294684,0.93441087,0.73010653,0.88027674,0.91047627,0.91950786,0.8581423,0.92370284,0.90855944,0.8194097,0.8484226,0.85052514,0.9338722,0.9533248,0.47656995,0.96271193,0.7732924,0.7994031,0.7994031,0.83764935,0.90569913,0.8453945,0.90344054,0.8610043,0.90569913,0.92580104
0.8709475,0.8934459,0.87294847,0.8151052,0.8396487,0.8873175,0.87080145,0.9999999,0.8131954,0.8280094,0.8639401,0.7789695,0.7295649,0.8516431,0.897615,0.83464044,0.884522,0.85719913,0.89277756,0.87963736,0.79593706,0.8746084,0.77341986,0.9164382,0.6232439,0.8983616,0.86851364,0.782661,0.818208,0.8789732,0.8934459,0.84457886,0.84272444,0.84975034,0.8539198,0.81739575,0.46525028,0.8789754,0.74299395,0.8076676,0.8076676,0.8630885,0.87665284,0.8054575,0.8658794,0.81887084,0.87665284,0.86972296
0.8448473,0.87822783,0.8726681,0.78704846,0.8654477,0.85763925,0.79138917,0.8131954,1.0000001,0.92710716,0.7987882,0.9100704,0.88673335,0.8071439,0.87489605,0.8531668,0.8793367,0.78145844,0.88073933,0.85015774,0.82959306,0.8975783,0.90490305,0.86106724,0.74322444,0.89266807,0.89337564,0.7584184,0.9172628,0.88422006,0.87822783,0.8526149,0.8830756,0.8893019,0.81376594,0.79211605,0.5236587,0.84802294,0.8944817,0.94006896,0.94006896,0.8739993,0.8261486,0.9194036,0.8959162,0.92427284,0.8261486,0.86060494
0.91628313,0.92502123,0.9303021,0.86177063,0.8713039,0.91914237,0.8550036,0.8280094,0.92710716,0.9999999,0.818786,0.9486406,0.9292002,0.87748665,0.9535658,0.907317,0.9327292,0.8333475,0.9276126,0.9064227,0.8899359,0.9326551,0.93446803,0.91027546,0.7806337,0.9174539,0.9496914,0.8313517,0.9661204,0.9420686,0.92502123,0.88666487,0.91778266,0.9276802,0.8636548,0.8640939,0.52040637,0.9131228,0.9217568,0.98130876,0.98130876,0.9049344,0.8867952,0.9586923,0.9420006,0.9558313,0.8867952,0.8691109
