0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0.0,8.742271,8.788837,8.2707205,10.026659,9.219371,7.492517,7.5660887,8.845729,8.431686,8.570343,9.256924,8.932804,8.485384,17.758533,8.907958,8.259266,5.9403334,10.93925,8.805501,12.636444,9.1473675,9.941488,8.750871,15.206011,14.201026,8.23048,8.938776,18.8012,11.038664,10.067122,11.235992,8.874867,10.658172,8.075848,9.436696,8.442256,9.0168,7.589779,8.067723,8.530894,12.323265,11.321962,9.137714,9.006236,11.178416,8.960865,9.281732,8.784728,7.666279,8.676706,7.6180563,8.971495,8.985171,15.767995,8.1331005,9.949515,9.129583,6.702073
8.742271,0.0,9.337582,8.534257,9.475689,9.431093,9.042618,9.030744,8.940269,9.117841,9.525797,6.3015356,10.496757,4.2170067,18.578564,9.441666,9.416156,7.2674913,13.7792,8.555639,11.809876,9.596247,9.5005045,6.889177,16.86996,14.575256,5.9003043,9.63388,19.779,9.967157,9.861786,8.979321,6.2413406,8.6437645,6.3698416,9.798655,5.9929347,9.502214,8.8372755,9.256832,8.944423,14.060981,7.2426853,10.2274065,10.562649,10.155188,10.55541,9.98804,8.514638,9.506529,3.1130524,9.42506,10.46811,7.2534037,17.109985,6.620344,9.198409,8.325811,8.027307
8.788837,9.337582,0.0,3.3793414,10.008818,9.477386,9.970248,4.873879,10.968949,8.693778,11.379953,9.583001,11.348696,9.728475,18.694496,7.9663935,3.8423924,8.019384,12.991177,9.493628,14.143336,9.736011,11.729476,10.07118,17.220413,9.843225,10.0623045,10.500147,19.14655,12.3216095,12.329122,12.760952,10.270561,11.031752,9.891689,8.005997,10.016259,9.3595915,6.2787466,8.453915,11.034329,14.269163,10.939292,9.238902,10.242663,12.404434,8.79912,8.324583,10.875351,5.070661,9.181306,10.95477,9.469559,10.648756,17.934454,10.139869,12.082996,11.696189,9.483014
8.2707205,8.534257,3.3793414,0.0,9.90448,9.267513,9.622116,4.2351747,10.370925,8.091434,10.968261,8.864864,10.884358,8.919456,18.629137,7.61691,2.9663234,7.047656,12.984764,9.033711,13.837477,9.609185,11.1027355,9.236833,17.105255,10.944279,9.346737,10.086278,19.26931,11.927564,11.845227,11.883674,9.429898,10.593607,9.020861,8.017832,9.20218,9.109942,5.4408374,7.918905,10.701619,14.070884,10.202673,8.905898,9.957845,11.96953,8.53993,8.564571,9.999642,4.575675,8.354665,10.154365,9.227789,9.607592,17.631752,9.278526,11.460328,10.774312,8.8456135
10.026659,9.475689,10.008818,9.90448,0.0,7.422172,9.182489,9.202584,10.251317,8.60976,9.462505,9.709538,10.389005,10.148944,17.806261,8.951205,10.035306,10.060874,13.073187,8.93129,10.11301,9.254125,9.268383,10.54434,16.657835,12.992697,8.321962,9.069729,17.624008,7.2025857,9.419429,11.498994,10.546996,8.390827,8.4618435,8.297654,8.914578,8.952593,9.008331,8.696566,9.747655,13.526145,12.338655,9.074975,9.027894,8.4892025,9.091551,8.955713,10.4148445,9.364196,9.427751,11.523032,9.071404,9.457462,17.235668,10.032031,10.625463,10.3213415,10.205902
9.219371,9.431093,9.477386,9.267513,7.422172,0.0,7.9612355,7.8500004,8.480206,6.5600915,8.651997,8.355802,8.116297,9.582537,18.333076,6.7351937,9.28277,9.220826,12.507445,6.756964,11.565665,7.2989464,8.560067,9.102559,16.38488,13.442168,8.988163,7.5860505,17.955202,9.186519,9.1101,11.596621,9.68921,6.8740854,9.095594,6.567673,9.3466015,6.553702,7.425102,7.0424623,8.599781,12.578505,12.145856,6.4222794,7.2727065,9.726194,7.17353,7.5937366,10.110249,8.521608,9.380758,9.676393,6.7123685,10.0341625,16.97892,9.569932,10.024165,9.824696,8.2838
7.492517,9.042618,9.970248,9.622116,9.182489,7.9612355,0.0,8.905501,8.046227,7.001599,7.804997,8.396752,7.308118,9.012462,17.057133,7.4294133,9.780811,7.436408,11.983887,6.635746,11.633344,6.9039655,8.731935,8.580833,15.623956,14.6487255,8.620936,6.312471,17.992624,9.926707,9.030155,11.153717,9.102572,9.544384,8.495983,8.766715,8.70199,7.3364663,8.212148,6.577983,6.9191985,11.978187,11.90811,7.3300705,7.095677,9.763535,7.620094,7.9507546,8.873778,8.964458,8.883517,7.188506,7.1719627,9.74855,16.277744,7.7746215,9.533817,9.086109,7.378961
7.5660887,9.030744,4.873879,4.2351747,9.202584,7.8500004,8.905501,0.0,9.859978,6.38213,10.0309725,9.111021,9.624152,8.805155,18.07918,6.715669,3.1627328,7.6721754,11.758679,8.051008,13.261254,8.391554,10.396772,9.092625,16.253696,11.399686,9.059557,8.907091,18.522429,11.353436,10.927433,12.087561,9.82318,10.2108755,8.862741,7.6125617,9.344706,7.834583,4.090744,6.655527,9.821749,12.707035,11.592701,7.057242,8.472886,11.51819,7.0925574,7.807895,9.643235,4.2881193,9.142048,9.851288,7.53364,9.567022,16.893951,9.4411545,10.460355,10.483174,8.912479
8.845729,8.940269,10.968949,10.370925,10.251317,8.480206,8.046227,9.859978,0.0,8.293771,7.682123,7.4435596,8.952088,8.704975,18.077215,8.710928,10.769345,8.738087,12.759424,6.6349516,11.418132,7.4793534,8.919949,7.6806035,15.853412,15.69358,9.053585,8.2287245,18.81986,10.122962,9.008891,10.181436,8.031354,8.316084,8.718445,9.716899,8.679203,8.011358,9.6065855,8.577613,7.1300497,12.586146,11.186927,8.56659,8.792868,10.098233,9.000667,9.634749,9.173875,10.215976,8.862081,7.9442525,8.804194,8.806568,16.388779,7.6418257,9.99978,8.420867,7.457179
8.431686,9.117841,8.693778,8.091434,8.60976,6.5600915,7.001599,6.38213,8.293771,0.0,8.634077,8.811844,8.17478,8.9656925,17.542894,4.357395,7.650772,8.482015,11.538798,5.0202327,11.635441,5.738802,8.704161,8.296251,15.448946,13.171886,8.2897625,5.883044,17.143208,9.782535,9.168804,11.2423315,8.715841,9.03271,8.174794,7.1291428,8.671242,4.886472,5.498866,4.270251,7.7643676,11.42917,11.871097,3.5900774,4.954212,9.907584,5.079064,6.502974,8.060485,7.3381906,9.0942955,8.604382,4.8527393,9.493779,16.052433,8.376781,9.066538,9.643081,8.399448
