0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1.0000001,0.7313249,0.91076684,0.4407783,0.44075048,0.8323554,0.844308,0.71966004,0.84336287,0.5152323,0.8735858,0.8200313,0.8368239,0.8334461,0.88225865,0.7772713,0.58017576,0.77729815,0.8184521,0.8368239,0.910972,0.4407783,0.8309315,0.83165824,0.44075048,0.9962757,0.8280758,0.8161722,0.7261224,0.52169234,0.80233365,0.8264146,0.8329985,0.8397462,0.8738657,0.86166394,0.84476334,0.8362298,0.87674344,0.8368239,0.8437699,0.84669423,0.894093,0.853314,0.853314,0.8368239,0.8399092,0.8368239,0.9028294,0.9160966,0.8362298,0.8586091,0.85585743,0.8384999,0.7698371,0.8673264,0.874194,0.8504106,0.8445469,0.90685487,0.8146809,0.6515424,0.87439936,0.8486738,0.90438277,0.78666985,0.7869196,0.7313249,0.8563487,0.8537246,0.9023286,0.8493113,0.85945165,0.55979705,0.9238659,0.8917196,0.51418793,0.8699265,0.86793697,0.8879345,0.5965597,0.8374703,0.7433525,0.826859,0.826859,0.8461352,0.87341714
0.7313249,0.99999994,0.7602236,0.32394886,0.3254597,0.85609996,0.82958585,0.6923007,0.8709762,0.40535516,0.796363,0.88638055,0.88459706,0.8734809,0.76931596,0.7232717,0.74910426,0.7929982,0.8836738,0.88459706,0.80412084,0.32394886,0.8717661,0.8019042,0.3254597,0.73186946,0.8779646,0.90498924,0.90538704,0.40560853,0.7492059,0.7033393,0.8408529,0.6876844,0.8412961,0.7493062,0.8431666,0.8489402,0.7391395,0.88459706,0.8761925,0.84108627,0.7729135,0.77367115,0.77367115,0.88459706,0.86912495,0.88459706,0.75521994,0.73188484,0.8489402,0.76164347,0.71308136,0.7205844,0.8708611,0.827333,0.8191838,0.8145735,0.8782699,0.80473536,0.9148114,0.699263,0.8461695,0.7208015,0.78431886,0.703609,0.95682347,0.99999994,0.7000386,0.8789551,0.78255236,0.8710394,0.7652642,0.46144098,0.7010578,0.7839509,0.47701156,0.845447,0.81718475,0.8570513,0.58976156,0.8722233,0.5372802,0.86627495,0.86627495,0.85735554,0.83557504
0.91076684,0.7602236,0.99999976,0.42401496,0.42168683,0.8582624,0.85940075,0.7281472,0.90156215,0.48014605,0.90544933,0.86836517,0.90526044,0.9038921,0.8693868,0.7910749,0.57841825,0.80763465,0.8575827,0.90526044,0.9242867,0.42401496,0.85355186,0.8146955,0.42168683,0.91339517,0.867776,0.8709914,0.7350043,0.4807337,0.8381256,0.84765315,0.8960294,0.8380073,0.9073019,0.8702158,0.88116485,0.8827533,0.84076804,0.90526044,0.9137121,0.88198423,0.9129758,0.85286653,0.85286653,0.90526044,0.9107598,0.90526044,0.99002457,0.90145373,0.8827533,0.8770447,0.8779091,0.8544697,0.76818895,0.92433167,0.9287671,0.88327456,0.8611749,0.90839934,0.86020696,0.6632387,0.9178785,0.842734,0.9559455,0.8015509,0.7906622,0.7602236,0.8423896,0.8862261,0.9203236,0.844973,0.8799732,0.5418601,0.88796425,0.9063807,0.5349164,0.90388787,0.9277495,0.92729336,0.6251638,0.85792416,0.72114193,0.8895964,0.8895964,0.90686274,0.93582696
0.4407783,0.32394886,0.42401496,1.0,0.977638,0.32589418,0.30604208,0.4902032,0.39839378,0.7390291,0.39686966,0.39244765,0.39281863,0.39418948,0.35367686,0.46224707,0.530617,0.420619,0.35793152,0.39281863,0.41500428,1.0,0.307005,0.3722293,0.977638,0.4394095,0.3310055,0.36237058,0.34822625,0.71530557,0.48423344,0.3784967,0.35143495,0.35694984,0.36979,0.40252006,0.4194258,0.39713573,0.43278864,0.39281863,0.39667988,0.31872103,0.4197684,0.36308658,0.36308658,0.39281863,0.39763635,0.39281863,0.43342835,0.39023134,0.39713573,0.33583573,0.42579037,0.3949359,0.3674451,0.42306942,0.4305461,0.40231007,0.3298317,0.42771202,0.3772491,0.475362,0.40262032,0.40483525,0.41631734,0.32539603,0.33670688,0.32394886,0.33931556,0.34989893,0.37686232,0.30717006,0.44322866,0.69033915,0.3885148,0.40076974,0.6159799,0.3662,0.41192397,0.40445256,0.55271316,0.31524578,0.40216956,0.40209013,0.40209013,0.4137525,0.4177664
0.44075048,0.3254597,0.42168683,0.977638,1.0,0.33007067,0.30834663,0.50132227,0.3979961,0.76177454,0.39905214,0.39466694,0.39056775,0.39328375,0.3625577,0.4674575,0.54945934,0.429321,0.36329383,0.39056775,0.41235274,0.977638,0.31110275,0.37676108,1.0,0.439583,0.33288944,0.3656993,0.35675254,0.73298526,0.485506,0.38568455,0.3446278,0.36702853,0.37237838,0.40726054,0.41363066,0.39109787,0.43647715,0.39056775,0.39406267,0.3224036,0.42179242,0.3699379,0.3699379,0.39056775,0.3965613,0.39056775,0.42958286,0.38770673,0.39109787,0.34044084,0.4308884,0.4046959,0.3626078,0.41973692,0.4277801,0.3984137,0.33343044,0.4257825,0.37954754,0.47027603,0.40244368,0.40899795,0.4161986,0.33971378,0.33939612,0.3254597,0.34296358,0.35108382,0.3779668,0.3066643,0.43596172,0.6644157,0.39110535,0.39431444,0.6171868,0.36874864,0.40785468,0.40221906,0.55609846,0.31893823,0.39606073,0.40077275,0.40077275,0.4133398,0.41645712
0.8323554,0.85609996,0.8582624,0.32589418,0.33007067,0.99999994,0.93448013,0.77162147,0.8924842,0.4311303,0.89934874,0.9230838,0.8974767,0.8932481,0.8444453,0.82829416,0.629122,0.8915465,0.9662477,0.8974767,0.8904486,0.32589418,0.94671774,0.88214225,0.33007067,0.8369057,0.9513546,0.93506825,0.86241007,0.43282408,0.84742534,0.87676394,0.85706025,0.868436,0.9296351,0.8912119,0.8669659,0.86205614,0.8363417,0.8974767,0.89555323,0.93321586,0.90396345,0.9080929,0.9080929,0.8974767,0.8940885,0.8974767,0.85367084,0.84558374,0.86205614,0.91969395,0.87273884,0.89171934,0.82192343,0.87601495,0.8777145,0.8477938,0.94585454,0.84580386,0.93190235,0.6189156,0.9007424,0.8370547,0.87636465,0.871072,0.90780365,0.85609996,0.8645636,0.93999225,0.88537526,0.9082302,0.80588865,0.43767762,0.82163894,0.8567055,0.4537322,0.93272966,0.87734926,0.92356205,0.55436945,0.9475956,0.6191025,0.8763728,0.8763728,0.89341617,0.88763094
0.844308,0.82958585,0.85940075,0.30604208,0.30834663,0.93448013,1.0000002,0.67173374,0.8589679,0.42804706,0.8480958,0.8643255,0.86507666,0.85227704,0.8096435,0.74597496,0.5786001,0.79542506,0.8842186,0.86507666,0.8771409,0.30604208,0.94188666,0.92645526,0.30834663,0.8484583,0.91875494,0.89155656,0.8119387,0.42763674,0.7765695,0.8943233,0.86172736,0.8950699,0.94278437,0.90380275,0.8251775,0.83282477,0.78567606,0.86507666,0.8656362,0.9447782,0.9136466,0.8923236,0.8923236,0.86507666,0.85478926,0.86507666,0.8631212,0.8602273,0.83282477,0.9430597,0.8806744,0.9003649,0.7710465,0.8701461,0.87175584,0.8513692,0.95490086,0.8307971,0.8868061,0.62016153,0.90618914,0.7679781,0.89276206,0.91250527,0.883002,0.82958585,0.8900759,0.95937455,0.9151869,0.95666003,0.8017702,0.43575853,0.835088,0.87855256,0.46033406,0.9452672,0.8802837,0.9090586,0.5782421,0.9481622,0.61387277,0.82946265,0.82946265,0.84268326,0.8535926
0.71966004,0.6923007,0.7281472,0.4902032,0.50132227,0.77162147,0.67173374,0.9999999,0.7773992,0.50476456,0.79645526,0.81163675,0.7535027,0.77077985,0.7330746,0.94766146,0.71403563,0.8952129,0.8199108,0.7535027,0.7406933,0.4902032,0.70149255,0.71867263,0.50132227,0.7254728,0.74463445,0.7770662,0.77656496,0.48431963,0.88807213,0.742389,0.6547961,0.71592116,0.74863005,0.76526165,0.76737946,0.7360781,0.8299161,0.7535027,0.75016266,0.67493623,0.7579065,0.7613514,0.7613514,0.7535027,0.7697475,0.7535027,0.7214587,0.6982772,0.7360781,0.7005057,0.7820654,0.761125,0.7283915,0.73735875,0.74966633,0.7083558,0.7223767,0.7279948,0.788093,0.51494664,0.7371139,0.7816819,0.72257423,0.68666947,0.73234725,0.6923007,0.68649477,0.72834736,0.69715995,0.6441666,0.7081325,0.47208843,0.681028,0.67984015,0.40550035,0.7488813,0.73687434,0.74481606,0.47022426,0.70271194,0.56024605,0.780647,0.780647,0.8007046,0.77195334
0.84336287,0.8709762,0.90156215,0.39839378,0.3979961,0.8924842,0.8589679,0.7773992,1.0000001,0.4666434,0.8905668,0.9610182,0.98996544,0.99156153,0.85364115,0.8381428,0.6419697,0.87056965,0.91830397,0.98996544,0.8904427,0.39839378,0.88264775,0.83305883,0.3979961,0.84331024,0.9117842,0.95970786,0.8289605,0.45455652,0.87546974,0.80163646,0.9079838,0.7949136,0.9236521,0.8653333,0.92850256,0.93739635,0.8499186,0.98996544,0.98824674,0.876097,0.87546366,0.8492867,0.8492867,0.98996544,0.99096584,0.98996544,0.8905392,0.8398667,0.93739635,0.8447634,0.84363127,0.8354943,0.8548221,0.93679637,0.9355785,0.9145435,0.89638865,0.8962664,0.95558035,0.675416,0.937953,0.828342,0.89512277,0.7726013,0.8721255,0.8709762,0.7866206,0.9346483,0.87218404,0.86067116,0.8603755,0.5132726,0.81973433,0.87102306,0.5230159,0.9252441,0.9433006,0.928525,0.61856043,0.8858137,0.6528735,0.9654347,0.9654347,0.97431767,0.96621615
0.5152323,0.40535516,0.48014605,0.7390291,0.76177454,0.4311303,0.42804706,0.50476456,0.4666434,1.0000001,0.45982847,0.46996856,0.45936444,0.45549348,0.43594787,0.5136069,0.6201857,0.4888256,0.43783832,0.45936444,0.472652,0.7390291,0.42075607,0.4691892,0.76177454,0.5123371,0.4325277,0.43388885,0.4366672,0.76683563,0.52686477,0.47741967,0.41624606,0.44559845,0.46744585,0.49005243,0.44569105,0.44798124,0.4961246,0.45936444,0.463387,0.42642552,0.51153576,0.4731735,0.4731735,0.45936444,0.4597517,0.45936444,0.494235,0.4847306,0.44798124,0.44400293,0.51197916,0.4962066,0.40765995,0.4596242,0.47059813,0.46116608,0.4412627,0.4956384,0.44846964,0.548156,0.46456704,0.4734972,0.4835902,0.4310419,0.43274662,0.40535516,0.42648393,0.4510166,0.46260273,0.39447993,0.47119907,0.6591071,0.48689038,0.4492932,0.78264076,0.4640084,0.4761445,0.46539837,0.7070582,0.42982733,0.43949622,0.43363032,0.43363032,0.47143704,0.47145197
