0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1.0,0.6314508,0.5378481,0.38634342,0.5242915,0.5936403,0.5065681,0.6644951,0.53654784,0.39597687,0.8465059,0.60961854,0.57640594,0.568653,0.868605,0.5315423,0.49904194,0.4564304,0.45260826,0.5968332,0.523765,0.539059,0.5369061,0.5216888,0.6051952,0.55958825,0.85109246,0.5363626,0.5430709,0.51908183,0.6720382,0.94566596,0.5231121
0.6314508,0.99999976,0.8503312,0.4477796,0.38440463,0.4432479,0.36806977,0.7913158,0.47357675,0.42504418,0.5954205,0.7865134,0.44856435,0.48104718,0.62494105,0.3973912,0.4241634,0.57134205,0.42999378,0.48701268,0.44472617,0.41437253,0.46022743,0.47519678,0.39884534,0.46145943,0.6530036,0.41397396,0.42355013,0.44233394,0.47964638,0.6656851,0.471659
0.5378481,0.8503312,1.0000004,0.40792608,0.3236929,0.38683242,0.30629015,0.6627373,0.4025418,0.38517052,0.48419186,0.8795695,0.37198228,0.4066167,0.5906447,0.3504482,0.36821836,0.5546053,0.3745108,0.4364998,0.38613284,0.3353009,0.40746328,0.4226202,0.3180195,0.3965272,0.5893919,0.35682032,0.35519117,0.38564324,0.41580656,0.5936664,0.43012965
0.38634342,0.4477796,0.40792608,1.0000001,0.79555964,0.7729296,0.79332626,0.51600015,0.8804489,0.86091435,0.39188057,0.44120753,0.8474467,0.78134745,0.43444172,0.79121614,0.8391824,0.7976995,0.86779547,0.80194086,0.8404502,0.8005462,0.791868,0.82720834,0.74175715,0.8251263,0.38985747,0.8309363,0.8283932,0.8368126,0.73475844,0.4176457,0.81487125
0.5242915,0.38440463,0.3236929,0.79555964,1.0000002,0.8558674,0.97680646,0.45291558,0.8773919,0.86798936,0.5115206,0.34627622,0.8944212,0.8291315,0.4678383,0.8775908,0.93620425,0.6735579,0.8572621,0.85244036,0.9430002,0.88945484,0.83493745,0.8442693,0.8546269,0.9040756,0.47841224,0.94430566,0.933596,0.93347406,0.8096393,0.4912933,0.85185474
0.5936403,0.4432479,0.38683242,0.7729296,0.8558674,1.0000001,0.8504208,0.4946585,0.8429428,0.8040998,0.5576898,0.4365814,0.8654074,0.8098868,0.54729223,0.9214339,0.8618918,0.74183583,0.8518243,0.9432552,0.8784571,0.86663187,0.9108646,0.9015574,0.8817264,0.8970283,0.5329351,0.88711023,0.8833089,0.87472373,0.8747742,0.5707209,0.90761936
0.5065681,0.36806977,0.30629015,0.79332626,0.97680646,0.8504208,1.0,0.44463176,0.8571141,0.883163,0.49955624,0.33376628,0.8786857,0.8009259,0.4641207,0.8904348,0.9416809,0.66439176,0.8729156,0.8367139,0.9360517,0.89351106,0.8217222,0.8397079,0.83612216,0.89665306,0.46209908,0.95688105,0.9422196,0.9314921,0.79106754,0.48488182,0.84325826
0.6644951,0.7913158,0.6627373,0.51600015,0.45291558,0.4946585,0.44463176,0.9999998,0.5298153,0.51881665,0.55931145,0.6969164,0.49495262,0.4994981,0.6331557,0.44995582,0.4955883,0.5782925,0.50445944,0.5362737,0.5132903,0.46115518,0.51844865,0.5244435,0.44149265,0.51200205,0.67336607,0.49100977,0.50071377,0.5051351,0.50895864,0.69580436,0.5447304
0.53654784,0.47357675,0.4025418,0.8804489,0.8773919,0.8429428,0.8571141,0.5298153,1.0,0.81456065,0.51550096,0.4342888,0.9208853,0.92800283,0.51092863,0.8249996,0.8426456,0.7588822,0.82976663,0.86719096,0.85704803,0.822917,0.844873,0.85268396,0.85364056,0.8475616,0.49930435,0.8576717,0.85792613,0.8490962,0.8574362,0.52906775,0.8417814
0.39597687,0.42504418,0.38517052,0.86091435,0.86798936,0.8040998,0.883163,0.51881665,0.81456065,1.0,0.383808,0.42209068,0.807311,0.714058,0.43472034,0.857458,0.9292027,0.7456687,0.918752,0.8171488,0.9252684,0.8446121,0.82064867,0.87364966,0.7391143,0.89919424,0.41648126,0.91637254,0.92124885,0.91886806,0.7033853,0.4332216,0.87318933
