0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
1.0,0.788843,0.9431304,0.9347308,0.92005515,0.92390144,0.7931826,0.92650104,0.9210273,0.91262484,0.92722344,0.9495497,0.8778773,0.9068731,0.9628606,0.5017533,0.8006827,0.87628984,0.88792837,0.9285721,0.9576192,0.87980807,0.5737354,0.94287896,0.9029897,0.8427572,0.9434408,0.85893434,0.9012591,0.96059656,0.90232,0.89118016,0.85284364,0.8235444,0.9243491,0.85993487,0.96099436,0.92566764,0.8721133,0.8759351,0.95081306,0.80430293,0.9544013,0.9489318,0.90730524,0.92623204,0.94505906,0.9138181,0.9532193,0.7605092,0.9127112,0.915236,0.9418453,0.8940842,0.90734124,0.9041122,0.9016877,0.88074887,0.89599025,0.92550844,0.5730328,0.9127112,0.93872356,0.49035096,0.91115415,0.71256596,0.45801443,0.9664625,0.8802172,0.9221776,0.92641515,0.9365953,0.8234498,0.89529794,0.9059526,0.956635,0.9793433,0.8991253,0.80529034,0.93097264,0.9666525,0.89368683,0.90468407,0.92366564,0.8992835,0.45391434,0.97939044,0.9113103,0.9244739,0.9140683
0.788843,0.99999994,0.8287156,0.82473516,0.7187786,0.73630935,0.94710183,0.83030134,0.85424316,0.7262564,0.70424867,0.74998355,0.8328966,0.82438684,0.8116679,0.4940242,0.9224283,0.6372694,0.7105971,0.7632272,0.7745131,0.6342638,0.68935513,0.76683414,0.81819165,0.62530184,0.8173535,0.8772538,0.83611375,0.8181933,0.8576832,0.733554,0.9014256,0.8998026,0.87196624,0.86908805,0.7925448,0.75374687,0.8706132,0.85679764,0.8020135,0.92486984,0.7726911,0.79699266,0.718986,0.81333745,0.8381593,0.9048313,0.7836946,0.9358775,0.900776,0.82653445,0.7922814,0.7756352,0.8549514,0.86554146,0.83656186,0.8193037,0.89389646,0.83173025,0.4749356,0.900776,0.80099297,0.49188083,0.782343,0.82472336,0.4511606,0.7915892,0.8306881,0.8138117,0.8435972,0.78969896,0.7910066,0.843956,0.74145246,0.79156095,0.7602491,0.8373109,0.9224459,0.8455256,0.7497159,0.8596268,0.844268,0.8863598,0.6611071,0.47051203,0.7711859,0.8592336,0.8503976,0.81108916
0.9431304,0.8287156,1.0000004,0.9521862,0.88411295,0.905076,0.8368819,0.9756713,0.95108825,0.8921712,0.9190445,0.94850487,0.89927316,0.92023087,0.95089656,0.4715578,0.8357301,0.84172046,0.8686557,0.9055398,0.9511914,0.83970964,0.5950241,0.9295139,0.9271431,0.8331238,0.936706,0.9072832,0.93219745,0.9469446,0.9127641,0.9048787,0.8715225,0.8417016,0.94396174,0.8891636,0.9583932,0.9164474,0.91673046,0.89279324,0.9510673,0.84023476,0.9422325,0.95317775,0.88330054,0.93718946,0.95256734,0.9371275,0.9599668,0.78284985,0.9350269,0.9249695,0.94822395,0.87618864,0.92758465,0.9334581,0.91629386,0.9040173,0.9119887,0.9332102,0.57626593,0.9350269,0.95075095,0.49609125,0.9104274,0.7382993,0.45202821,0.94685364,0.9072298,0.9284357,0.9535803,0.9434215,0.82881093,0.9179368,0.8875826,0.9520613,0.9327339,0.9122902,0.8394421,0.9430506,0.9344574,0.9392996,0.91804826,0.94741786,0.8532019,0.44891667,0.93749696,0.9208453,0.9412639,0.9366065
0.9347308,0.82473516,0.9521862,0.9999997,0.8940104,0.9319287,0.8280357,0.9436836,0.9129918,0.90689147,0.9136113,0.939739,0.87624454,0.9016231,0.9344298,0.4748124,0.83803123,0.8497573,0.88927865,0.9153971,0.9429978,0.8486403,0.60169137,0.9458865,0.94441783,0.8567823,0.9433116,0.9050055,0.8993994,0.9496194,0.9145644,0.9255729,0.907004,0.8152943,0.92243826,0.9124155,0.9463601,0.9405439,0.91121095,0.88206685,0.9497072,0.83765876,0.93925714,0.95508605,0.8976909,0.892985,0.9409555,0.9374978,0.95067734,0.7775279,0.93651617,0.8996356,0.95024633,0.8689831,0.9461016,0.9474801,0.8824088,0.8679989,0.9106591,0.94942856,0.54895645,0.93651617,0.96051836,0.46709993,0.91298705,0.7432867,0.42948082,0.9221903,0.87324905,0.9372003,0.9534469,0.95393217,0.82300335,0.8810979,0.8899287,0.9364872,0.9455129,0.8947309,0.81518567,0.92569077,0.9088893,0.91415715,0.9054792,0.94380385,0.86333954,0.4359075,0.9459873,0.90462905,0.9416096,0.9449377
0.92005515,0.7187786,0.88411295,0.8940104,1.0000001,0.93963945,0.72458404,0.8701911,0.8560266,0.9395553,0.92504096,0.9346121,0.860363,0.8737768,0.8960012,0.48457116,0.7483861,0.94884527,0.9125917,0.9037657,0.9155738,0.96535134,0.6000467,0.9143666,0.87386656,0.8997737,0.89833194,0.82025105,0.8485122,0.8990816,0.859561,0.8985084,0.81390125,0.75496745,0.83902866,0.8014883,0.9151007,0.9098449,0.8311954,0.8388779,0.9003947,0.7526624,0.93963885,0.8878187,0.9087349,0.8914726,0.8708848,0.8785436,0.91524196,0.73135775,0.8713706,0.88176036,0.89010096,0.94392824,0.873937,0.84423375,0.8819307,0.8600144,0.8694763,0.912416,0.5783527,0.8713706,0.88331336,0.4792173,0.8835667,0.7140258,0.45078677,0.9069849,0.85557795,0.8973605,0.8526279,0.89424,0.8431952,0.83434796,0.9067596,0.9069339,0.9261149,0.8887023,0.7269659,0.8468982,0.9281707,0.83621716,0.89076215,0.87973297,0.9474081,0.45134634,0.9284185,0.87755406,0.88403356,0.8863142
0.92390144,0.73630935,0.905076,0.9319287,0.93963945,1.0,0.73501146,0.8937164,0.8612006,0.9161182,0.9202723,0.9400227,0.8401095,0.8609381,0.9020263,0.45260242,0.7465745,0.9059814,0.9284431,0.8995962,0.92729247,0.91559887,0.6265299,0.9429668,0.9046793,0.9290465,0.9205924,0.8356486,0.861282,0.91404724,0.8530556,0.92921644,0.8336033,0.7378785,0.8592997,0.8362819,0.93067366,0.9250928,0.8458269,0.85483235,0.9118663,0.7499649,0.9358705,0.92376244,0.94183236,0.8844391,0.8885597,0.9065535,0.936996,0.7318251,0.88643086,0.85962677,0.9236651,0.8941286,0.9201337,0.9009769,0.8578583,0.84146005,0.8712238,0.92885464,0.5587238,0.88643086,0.9187131,0.4500121,0.9065577,0.70799625,0.41845828,0.90761644,0.8430785,0.92687273,0.88701683,0.9052614,0.8228634,0.8177567,0.92001736,0.9107333,0.9490845,0.89742,0.7300236,0.85833484,0.9180464,0.842001,0.89911723,0.90981376,0.8992412,0.42927542,0.9500425,0.88254344,0.888166,0.91338253
0.7931826,0.94710183,0.8368819,0.8280357,0.72458404,0.73501146,1.0,0.84574366,0.8786594,0.7260064,0.71503484,0.756102,0.86256385,0.8521547,0.82542384,0.5171756,0.94324565,0.6438967,0.73187864,0.76697224,0.7781079,0.6376914,0.6896831,0.7679243,0.81315887,0.6120551,0.8196467,0.89262366,0.8482294,0.82202053,0.86829793,0.7207609,0.8942096,0.9325755,0.87110746,0.8687427,0.80408597,0.7533015,0.8853935,0.8799319,0.8160828,0.9455213,0.7819163,0.8111559,0.7287336,0.83086896,0.8432283,0.8791632,0.7862772,0.9084084,0.90314084,0.8520292,0.79389656,0.79532653,0.8415843,0.86712193,0.85654354,0.84197086,0.90994287,0.8311721,0.49963138,0.90314084,0.8162607,0.5058849,0.8006165,0.8427795,0.4802487,0.80443597,0.8650385,0.8187477,0.85003906,0.79754215,0.80266213,0.87361634,0.74820197,0.8084757,0.7632143,0.8586317,0.9458478,0.84989303,0.7559321,0.87735504,0.8659466,0.8724472,0.663837,0.48904088,0.77645093,0.87663144,0.8670452,0.80212486
0.92650104,0.83030134,0.9756713,0.9436836,0.8701911,0.8937164,0.84574366,1.0000002,0.95283365,0.87228686,0.89876467,0.9296104,0.8964611,0.9154613,0.93382096,0.45779842,0.8454274,0.8191877,0.85862374,0.885051,0.93076426,0.8150271,0.6177253,0.91726995,0.9170431,0.8236754,0.92444706,0.9358747,0.9273181,0.9366722,0.90994376,0.89202404,0.870669,0.84038126,0.93094474,0.8906058,0.9416069,0.8979242,0.9369603,0.89682853,0.9400431,0.8483212,0.92022544,0.9471608,0.87186,0.9396192,0.95123714,0.922598,0.9448029,0.78738964,0.94106066,0.9415451,0.94209784,0.8801781,0.9145123,0.92636603,0.9310442,0.9299834,0.92061424,0.9326328,0.5600342,0.94106066,0.9422929,0.4829157,0.89381474,0.74665755,0.43593884,0.9298346,0.9312761,0.92583495,0.946741,0.92709386,0.85975736,0.92198515,0.8701687,0.946293,0.91579413,0.92794275,0.84338,0.9370161,0.91484964,0.9624289,0.9269863,0.9341165,0.8304868,0.44494203,0.92289734,0.9213352,0.93817204,0.9218562
0.9210273,0.85424316,0.95108825,0.9129918,0.8560266,0.8612006,0.8786594,0.95283365,1.0,0.839552,0.8740034,0.90400314,0.9185554,0.93493694,0.9340465,0.5024525,0.86392236,0.7881983,0.8381876,0.8710798,0.91844916,0.79053646,0.61407876,0.9003613,0.8876082,0.76137537,0.9118123,0.8933691,0.9333112,0.93395245,0.9117478,0.84460187,0.8718923,0.90744466,0.9395045,0.88428134,0.9356563,0.87422174,0.89498055,0.939886,0.93628985,0.8700366,0.9101417,0.9300579,0.8577427,0.93782735,0.92610216,0.93055737,0.9255651,0.82197666,0.9481939,0.94201386,0.9260112,0.8892603,0.8970537,0.9180959,0.95534885,0.9492041,0.93884933,0.90836704,0.56486106,0.9481939,0.9273801,0.5115818,0.8896227,0.7722858,0.4850126,0.9301989,0.9481005,0.903678,0.9477631,0.91917896,0.83502316,0.93366337,0.86473334,0.9493596,0.90175164,0.9233437,0.88751316,0.9299284,0.91422284,0.9517288,0.9489759,0.94904196,0.79640853,0.47937012,0.9144949,0.94838667,0.93791264,0.8937022
0.91262484,0.7262564,0.8921712,0.90689147,0.9395553,0.9161182,0.7260064,0.87228686,0.839552,1.0,0.91121846,0.9224721,0.8329847,0.8531161,0.8993892,0.49968183,0.76413614,0.92436403,0.891955,0.89641476,0.9034436,0.92190754,0.5710671,0.9125416,0.897504,0.90426964,0.89778054,0.83703136,0.83071786,0.8947742,0.8796017,0.9118737,0.8299332,0.7252302,0.84666646,0.829701,0.90524155,0.9248079,0.8599243,0.8036033,0.8969691,0.765839,0.9233402,0.89692837,0.8885311,0.8743118,0.8858349,0.8801049,0.91022354,0.70669967,0.8765662,0.85993207,0.88482416,0.891541,0.887303,0.8495203,0.84661585,0.82651746,0.8586178,0.92405623,0.5771385,0.8765662,0.88809496,0.4695667,0.88955575,0.6853835,0.43377176,0.90019846,0.83044577,0.90768874,0.8652001,0.89870083,0.8339656,0.82398176,0.8882871,0.8994923,0.9149621,0.8650416,0.7089714,0.8619362,0.9037134,0.84105,0.8614028,0.87423575,0.93214345,0.4587791,0.9113427,0.86349803,0.87758446,0.90895045
