0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169
0.9999999,0.5726448,0.8740619,0.937721,0.9039999,0.6105144,0.47826558,0.9276038,0.91402864,0.893292,0.88912827,0.8856616,0.9276038,0.96984535,0.91731644,0.9276038,0.9276038,0.91731644,0.92762864,0.86159104,0.96984535,0.9276038,0.60232663,0.9276038,0.9276038,0.6105144,0.6105144,0.93560004,0.93560004,0.8268502,0.4866167,0.8406121,0.9276038,0.93921345,0.94132155,0.81720597,0.513116,0.9276038,0.9276038,0.9276038,0.47826558,0.47826558,0.96984535,0.9276038,0.89432764,0.50225526,0.50225526,0.80525696,0.9176564,0.41303527,0.45787412,0.9276038,0.89432764,0.80079734,0.9079919,0.8025237,0.37745237,0.48986757,0.42669275,0.48360044,0.8439288,0.9276038,0.96984535,0.9529897,0.91522956,0.9498692,0.89432764,0.9276038,0.513116,0.9207742,0.91000634,0.91945446,0.51510566,0.98976237,0.935645,0.6105144,0.96762264,0.96762264,0.6105144,0.88565755,0.89432764,0.6105144,0.9276038,0.53881115,0.9490762,0.8983438,0.8717675,0.8243104,0.91870964,0.9276038,0.8892172,0.80245316,0.8788042,0.8713419,0.89432764,0.91731644,0.91731644,0.86297816,0.91731644,0.8707892,0.6105144,0.41303527,0.9276038,0.51206803,0.8773558,0.89635944,0.51085687,0.89432764,0.9276038,0.9276038,0.9276038,0.6105144,0.6105144,0.45787412,0.48215544,0.9155678,0.9155678,0.8856139,0.9254132,0.53881115,0.9276038,0.8965917,0.45787412,0.41303527,0.9276038,0.9276038,0.90011114,0.92935216,0.83235526,0.8841494,0.5049662,0.8752854,0.56286407,0.57174385,0.86599815,0.9276038,0.89432764,0.9276038,0.9276038,0.9276038,0.94165295,0.94132155,0.89432764,0.81873995,0.94132155,0.94132155,0.6105144,0.47264063,0.4579572,0.50225526,0.81881446,0.4753136,0.51085687,0.87728983,0.9276038,0.6051159,0.6105144,0.9276038,0.91709286,0.9276038,0.927123,0.5316295,0.45787412,0.48986757,0.9276038,0.9174953,0.9276038,0.9276038,0.9276038,0.53881115
0.5726448,1.0000002,0.5157295,0.5033686,0.55807495,0.872923,0.8354979,0.5243536,0.5097039,0.49228588,0.50649583,0.4980882,0.5243536,0.55786765,0.51320636,0.5243536,0.5243536,0.51320636,0.532768,0.5453324,0.55786765,0.5243536,0.7747611,0.5243536,0.5243536,0.872923,0.872923,0.5213393,0.5213393,0.49048865,0.7784337,0.48696846,0.5243536,0.55573666,0.54526895,0.49782175,0.80834484,0.5243536,0.5243536,0.5243536,0.8354979,0.8354979,0.55786765,0.5243536,0.52052766,0.8324416,0.8324416,0.48112482,0.4937575,0.7399292,0.84693336,0.5243536,0.52052766,0.47805983,0.5106086,0.47462785,0.71050715,0.8392563,0.79720587,0.8742523,0.51889694,0.5243536,0.55786765,0.50813365,0.51219344,0.5349236,0.52052766,0.5243536,0.80834484,0.516854,0.5062945,0.5151341,0.9131623,0.55959916,0.53017724,0.872923,0.5380956,0.5380956,0.872923,0.5251808,0.52052766,0.872923,0.5243536,0.8638939,0.52425337,0.5131576,0.5262076,0.5053188,0.5200019,0.5243536,0.50352865,0.48114908,0.503826,0.5036515,0.52052766,0.51320636,0.51320636,0.51182306,0.51320636,0.52514476,0.872923,0.7399292,0.5243536,0.8774439,0.48219723,0.53028804,0.8160635,0.52052766,0.5243536,0.5243536,0.5243536,0.872923,0.872923,0.84693336,0.7717085,0.50388795,0.50388795,0.47915784,0.54928476,0.8638939,0.5243536,0.5641369,0.84693336,0.7399292,0.5243536,0.5243536,0.54495233,0.5064098,0.48879492,0.5623679,0.82823396,0.50072455,0.85449016,0.7655213,0.5579525,0.5243536,0.52052766,0.5243536,0.5243536,0.5243536,0.561033,0.54526895,0.52052766,0.4866503,0.54526895,0.54526895,0.872923,0.80594546,0.7584158,0.8324416,0.49464586,0.7462708,0.8160635,0.5152198,0.5243536,0.83976436,0.872923,0.5243536,0.54796875,0.5243536,0.52382857,0.8022848,0.84693336,0.8392563,0.5243536,0.51263106,0.5243536,0.5243536,0.5243536,0.8638939
0.8740619,0.5157295,0.9999999,0.8613675,0.8940947,0.53736293,0.45777658,0.86404556,0.87530684,0.8627409,0.83825755,0.8327737,0.86404556,0.89544475,0.87191224,0.86404556,0.86404556,0.87191224,0.8961855,0.8654936,0.89544475,0.86404556,0.5568652,0.86404556,0.86404556,0.53736293,0.53736293,0.88759166,0.88759166,0.9324092,0.48908138,0.8795173,0.86404556,0.8697647,0.86975956,0.8767661,0.459075,0.86404556,0.86404556,0.86404556,0.45777658,0.45777658,0.89544475,0.86404556,0.8410286,0.46287063,0.46287063,0.8589463,0.855253,0.397068,0.42580926,0.86404556,0.8410286,0.8627783,0.8923733,0.8819163,0.37287727,0.45328742,0.41016984,0.46119893,0.8793312,0.86404556,0.89544475,0.86434007,0.9005479,0.898561,0.8410286,0.86404556,0.459075,0.8684273,0.9175136,0.8511963,0.4669756,0.8798881,0.87739986,0.53736293,0.87571627,0.87571627,0.53736293,0.85579455,0.8410286,0.53736293,0.86404556,0.4826141,0.8909535,0.82604736,0.85803455,0.76033366,0.9405519,0.86404556,0.8367414,0.8548423,0.8205455,0.9178483,0.8410286,0.87191224,0.87191224,0.8356141,0.87191224,0.846703,0.53736293,0.397068,0.86404556,0.48673466,0.8676599,0.84945935,0.50544995,0.8410286,0.86404556,0.86404556,0.86404556,0.53736293,0.53736293,0.42580926,0.46512985,0.8745389,0.8745389,0.84712553,0.9039289,0.4826141,0.86404556,0.8522073,0.42580926,0.397068,0.86404556,0.86404556,0.81876254,0.8618709,0.8294401,0.8893912,0.4718837,0.91687423,0.5149018,0.5339473,0.8295491,0.86404556,0.8410286,0.86404556,0.86404556,0.86404556,0.8662054,0.86975956,0.8410286,0.8623417,0.86975956,0.86975956,0.53736293,0.4543149,0.45028967,0.46287063,0.8876088,0.47965193,0.50544995,0.85590833,0.86404556,0.551747,0.53736293,0.86404556,0.8703422,0.86404556,0.90801454,0.48452437,0.42580926,0.45328742,0.86404556,0.8875637,0.86404556,0.86404556,0.86404556,0.4826141
0.937721,0.5033686,0.8613675,1.0000002,0.871814,0.5431966,0.42126662,0.9057849,0.9087707,0.8913832,0.8772615,0.8778474,0.9057849,0.92480683,0.91290045,0.9057849,0.9057849,0.91290045,0.88970125,0.8377408,0.92480683,0.9057849,0.5463724,0.9057849,0.9057849,0.5431966,0.5431966,0.91320366,0.91320366,0.8087214,0.44766986,0.852174,0.9057849,0.92786956,0.9308332,0.82210934,0.4330223,0.9057849,0.9057849,0.9057849,0.42126662,0.42126662,0.92480683,0.9057849,0.8705467,0.4373104,0.4373104,0.8061539,0.94499516,0.3763084,0.3955922,0.9057849,0.8705467,0.790208,0.92463785,0.779917,0.33912385,0.42392927,0.38262576,0.42676997,0.83182275,0.9057849,0.92480683,0.98919004,0.9043479,0.9303082,0.8705467,0.9057849,0.4330223,0.9169405,0.9110582,0.9323175,0.44796902,0.9409076,0.92817044,0.5431966,0.9367118,0.9367118,0.5431966,0.8716477,0.8705467,0.5431966,0.9057849,0.4740317,0.92142975,0.88721424,0.8650167,0.8304415,0.9108342,0.9057849,0.8771795,0.79014117,0.87984467,0.8691,0.8705467,0.91290045,0.91290045,0.85594803,0.91290045,0.8590567,0.5431966,0.3763084,0.9057849,0.44612464,0.84979784,0.8794496,0.45638406,0.8705467,0.9057849,0.9057849,0.9057849,0.5431966,0.5431966,0.3955922,0.4368084,0.92839754,0.92839754,0.8982775,0.9071191,0.4740317,0.9057849,0.8674884,0.3955922,0.3763084,0.9057849,0.9057849,0.85606,0.9773193,0.8551938,0.84692115,0.43089393,0.88516784,0.51934415,0.510405,0.8212745,0.9057849,0.8705467,0.9057849,0.9057849,0.9057849,0.92469233,0.9308332,0.8705467,0.83500725,0.9308332,0.9308332,0.5431966,0.40762356,0.40974295,0.4373104,0.8353855,0.43031958,0.45638406,0.8745461,0.9057849,0.5448519,0.5431966,0.9057849,0.89256215,0.9057849,0.90204537,0.44807002,0.3955922,0.42392927,0.9057849,0.943055,0.9057849,0.9057849,0.9057849,0.4740317
0.9039999,0.55807495,0.8940947,0.871814,0.99999994,0.57229596,0.5085272,0.91098964,0.89832264,0.89038485,0.8647641,0.8607617,0.91098964,0.9308392,0.908575,0.91098964,0.91098964,0.908575,0.94301665,0.84789145,0.9308392,0.91098964,0.60179675,0.91098964,0.91098964,0.57229596,0.57229596,0.9302374,0.9302374,0.83723915,0.54366475,0.8230625,0.91098964,0.8916168,0.89463663,0.8069711,0.4943174,0.91098964,0.91098964,0.91098964,0.5085272,0.5085272,0.9308392,0.91098964,0.8753691,0.50251704,0.50251704,0.8073743,0.8505509,0.42054647,0.48506927,0.91098964,0.8753691,0.81199527,0.8884756,0.82148635,0.38559982,0.5047593,0.42934585,0.5120437,0.84182614,0.91098964,0.9308392,0.8810797,0.90710807,0.9326964,0.8753691,0.91098964,0.4943174,0.9056822,0.8879552,0.8602791,0.51312625,0.9004502,0.8856542,0.57229596,0.89451313,0.89451313,0.57229596,0.8719046,0.8753691,0.57229596,0.91098964,0.5372697,0.93206894,0.8813895,0.8326442,0.81261903,0.91184086,0.91098964,0.865611,0.8186673,0.8598809,0.8821303,0.8753691,0.908575,0.908575,0.84325993,0.908575,0.85395414,0.57229596,0.42054647,0.91098964,0.5284346,0.91184235,0.8763281,0.53089696,0.8753691,0.91098964,0.91098964,0.91098964,0.57229596,0.57229596,0.48506927,0.49012983,0.89783597,0.89783597,0.8652722,0.97345316,0.5372697,0.91098964,0.9012817,0.48506927,0.42054647,0.91098964,0.91098964,0.8364628,0.8605926,0.8231574,0.9622016,0.49992767,0.87675786,0.5463351,0.56809545,0.83193034,0.91098964,0.8753691,0.91098964,0.91098964,0.91098964,0.8888355,0.89463663,0.8753691,0.80301327,0.89463663,0.89463663,0.57229596,0.48362127,0.48874405,0.50251704,0.8251501,0.49858844,0.53089696,0.8564388,0.91098964,0.6083324,0.57229596,0.91098964,0.89891523,0.91098964,0.93641675,0.51836026,0.48506927,0.5047593,0.91098964,0.891387,0.91098964,0.91098964,0.91098964,0.5372697
0.6105144,0.872923,0.53736293,0.5431966,0.57229596,1.0,0.7326297,0.5887881,0.54120445,0.52964234,0.5586109,0.5521582,0.5887881,0.60838664,0.57554907,0.5887881,0.5887881,0.57554907,0.55811995,0.58390296,0.60838664,0.5887881,0.85559946,0.5887881,0.5887881,1.0,1.0,0.56636196,0.56636196,0.52111185,0.68058866,0.51568663,0.5887881,0.5857684,0.5773412,0.51289964,0.8135985,0.5887881,0.5887881,0.5887881,0.7326297,0.7326297,0.60838664,0.5887881,0.5731901,0.80363584,0.80363584,0.50227946,0.5252682,0.61724985,0.7051492,0.5887881,0.5731901,0.51673,0.5488467,0.5114119,0.55595756,0.76378036,0.655914,0.7720927,0.56388026,0.5887881,0.60838664,0.5498573,0.56018615,0.5808145,0.5731901,0.5887881,0.8135985,0.5760066,0.54234713,0.55184036,0.8506627,0.5887589,0.5350232,1.0,0.56349164,0.56349164,1.0,0.58142686,0.5731901,1.0,0.5887881,0.8177649,0.56810683,0.57321644,0.5643758,0.5845855,0.54502034,0.5887881,0.5594571,0.5114798,0.56626886,0.54704577,0.5731901,0.57554907,0.57554907,0.57212937,0.57554907,0.57459366,1.0,0.61724985,0.5887881,0.83722925,0.53287727,0.56701905,0.7385987,0.5731901,0.5887881,0.5887881,0.5887881,1.0,1.0,0.7051492,0.7180876,0.56449264,0.56449264,0.52514064,0.5829265,0.8177649,0.5887881,0.6084713,0.7051492,0.61724985,0.5887881,0.5887881,0.6127988,0.5445006,0.50253546,0.5676695,0.76316535,0.54481745,0.8174298,0.791329,0.61278385,0.5887881,0.5731901,0.5887881,0.5887881,0.5887881,0.5939646,0.5773412,0.5731901,0.5045248,0.5773412,0.5773412,1.0,0.73138785,0.6757189,0.80363584,0.50893563,0.631785,0.7385987,0.569738,0.5887881,0.9126055,1.0,0.5887881,0.5873761,0.5887881,0.5666076,0.7819587,0.7051492,0.76378036,0.5887881,0.56538874,0.5887881,0.5887881,0.5887881,0.8177649
0.47826558,0.8354979,0.45777658,0.42126662,0.5085272,0.7326297,0.99999976,0.4617065,0.45502925,0.4419805,0.4212621,0.4158564,0.4617065,0.47730097,0.45977867,0.4617065,0.4617065,0.45977867,0.49226734,0.4403661,0.47730097,0.4617065,0.7000895,0.4617065,0.4617065,0.7326297,0.7326297,0.46525848,0.46525848,0.41414866,0.8440292,0.38997278,0.4617065,0.46012527,0.4535689,0.3970827,0.7433897,0.4617065,0.4617065,0.4617065,0.99999976,0.99999976,0.47730097,0.4617065,0.44139507,0.8296673,0.8296673,0.38197398,0.40699628,0.79375064,0.9365283,0.4617065,0.44139507,0.38798672,0.44200006,0.40381798,0.75229394,0.91494906,0.8045833,0.8985271,0.42123216,0.4617065,0.47730097,0.42485562,0.42680582,0.4721775,0.44139507,0.4617065,0.7433897,0.46380037,0.41699743,0.41595215,0.8658693,0.47442174,0.44789115,0.7326297,0.459861,0.459861,0.7326297,0.44273496,0.44139507,0.7326297,0.4617065,0.8317367,0.4593115,0.45008415,0.41377538,0.44567078,0.4568486,0.4617065,0.4229726,0.39658767,0.4295334,0.42964995,0.44139507,0.45977867,0.45977867,0.427087,0.45977867,0.4418714,0.7326297,0.79375064,0.4617065,0.896232,0.450847,0.44884187,0.8131797,0.44139507,0.4617065,0.4617065,0.4617065,0.7326297,0.7326297,0.9365283,0.8117522,0.4323338,0.4323338,0.4321512,0.48971325,0.8317367,0.4617065,0.50373363,0.9365283,0.79375064,0.4617065,0.4617065,0.41616207,0.4190671,0.37877458,0.5061041,0.7846441,0.4260632,0.7596933,0.6854614,0.4308683,0.4617065,0.44139507,0.4617065,0.4617065,0.4617065,0.46010977,0.4535689,0.44139507,0.38375258,0.4535689,0.4535689,0.7326297,0.86980355,0.87502277,0.8296673,0.39864737,0.8002304,0.8131797,0.42512682,0.4617065,0.7879138,0.7326297,0.4617065,0.46666828,0.4617065,0.48362392,0.73648244,0.9365283,0.91494906,0.4617065,0.43478167,0.4617065,0.4617065,0.4617065,0.8317367
0.9276038,0.5243536,0.86404556,0.9057849,0.91098964,0.5887881,0.4617065,1.0,0.9165988,0.92169046,0.93150955,0.9323786,1.0,0.9712955,0.98609436,1.0,1.0,0.98609436,0.928498,0.85373276,0.9712955,1.0,0.57680035,1.0,1.0,0.5887881,0.5887881,0.95406306,0.95406306,0.8162471,0.47979394,0.7919322,1.0,0.91761667,0.92083746,0.7843429,0.5029221,1.0,1.0,1.0,0.4617065,0.4617065,0.9712955,1.0,0.9363761,0.48222435,0.48222435,0.78945947,0.8920731,0.3966152,0.43698412,1.0,0.9363761,0.80820614,0.90708065,0.8251803,0.36417365,0.47325784,0.40111768,0.4565529,0.8760228,1.0,0.9712955,0.9098255,0.93614197,0.9753525,0.9363761,1.0,0.5029221,0.9868747,0.9067241,0.90460926,0.48740566,0.90668404,0.8742864,0.5887881,0.89311117,0.89311117,0.5887881,0.92940044,0.9363761,0.5887881,1.0,0.52374333,0.95445144,0.97899544,0.84708714,0.8845873,0.88076365,1.0,0.9353,0.8202003,0.9571079,0.9008255,0.9363761,0.98609436,0.98609436,0.91284966,0.98609436,0.91376936,0.5887881,0.3966152,1.0,0.48855808,0.91386646,0.92956847,0.4655198,0.9363761,1.0,1.0,1.0,0.5887881,0.5887881,0.43698412,0.46639723,0.9668567,0.9668567,0.9223304,0.95009166,0.52374333,1.0,0.943071,0.43698412,0.3966152,1.0,1.0,0.9002718,0.8800373,0.7790532,0.8502865,0.45842236,0.88624924,0.5325719,0.5125588,0.86483413,1.0,0.9363761,1.0,1.0,1.0,0.92176306,0.92083746,0.9363761,0.7806287,0.92083746,0.92083746,0.5887881,0.46124646,0.45354587,0.48222435,0.79744005,0.4457683,0.4655198,0.91509795,1.0,0.5971835,0.5887881,1.0,0.9317169,1.0,0.9435689,0.5028477,0.43698412,0.47325784,1.0,0.9393233,1.0,1.0,1.0,0.52374333
0.91402864,0.5097039,0.87530684,0.9087707,0.89832264,0.54120445,0.45502925,0.9165988,0.9999999,0.9404922,0.88477707,0.88248146,0.9165988,0.9358041,0.9245491,0.9165988,0.9165988,0.9245491,0.9389305,0.7977332,0.9358041,0.9165988,0.58827734,0.9165988,0.9165988,0.54120445,0.54120445,0.9508233,0.9508233,0.80432236,0.4897626,0.7962769,0.9165988,0.91204333,0.9114779,0.77572745,0.422647,0.9165988,0.9165988,0.9165988,0.45502925,0.45502925,0.9358041,0.9165988,0.8927913,0.4414041,0.4414041,0.7716013,0.9257646,0.40460685,0.43234813,0.9165988,0.8927913,0.78107,0.9272934,0.7897343,0.36215374,0.4512831,0.40119103,0.4471503,0.8233848,0.9165988,0.9358041,0.91437733,0.89715916,0.9481565,0.8927913,0.9165988,0.422647,0.9297874,0.8913919,0.8854534,0.4565067,0.92225844,0.89333415,0.54120445,0.92824244,0.92824244,0.54120445,0.8822956,0.8927913,0.54120445,0.9165988,0.48898295,0.944409,0.8973386,0.82023454,0.8085369,0.9130046,0.9165988,0.88496035,0.78115386,0.8856389,0.8576241,0.8927913,0.9245491,0.9245491,0.85402274,0.9245491,0.85896957,0.54120445,0.40460685,0.9165988,0.46184987,0.90448594,0.89472365,0.48255777,0.8927913,0.9165988,0.9165988,0.9165988,0.54120445,0.54120445,0.43234813,0.4776012,0.9348484,0.9348484,0.94559836,0.91068,0.48898295,0.9165988,0.8760509,0.43234813,0.40460685,0.9165988,0.9165988,0.82376575,0.88396144,0.78590184,0.86198914,0.4324418,0.8564384,0.5276067,0.5359248,0.7939652,0.9165988,0.8927913,0.9165988,0.9165988,0.9165988,0.9034981,0.9114779,0.8927913,0.77323914,0.9114779,0.9114779,0.54120445,0.42332363,0.4257136,0.4414041,0.7890458,0.44785494,0.48255777,0.867131,0.9165988,0.56703335,0.54120445,0.9165988,0.90064955,0.9165988,0.9442438,0.44659922,0.43234813,0.4512831,0.9165988,0.91695035,0.9165988,0.9165988,0.9165988,0.48898295
0.893292,0.49228588,0.8627409,0.8913832,0.89038485,0.52964234,0.4419805,0.92169046,0.9404922,0.9999998,0.93730766,0.9367914,0.92169046,0.9184066,0.9216324,0.92169046,0.92169046,0.9216324,0.9120004,0.811877,0.9184066,0.92169046,0.5604153,0.92169046,0.92169046,0.52964234,0.52964234,0.91844285,0.91844285,0.8154718,0.47152662,0.81337833,0.92169046,0.91139996,0.92581123,0.7996861,0.41666323,0.92169046,0.92169046,0.92169046,0.4419805,0.4419805,0.9184066,0.92169046,0.9281321,0.44053733,0.44053733,0.8072629,0.9320191,0.37764907,0.42047027,0.92169046,0.9281321,0.8030596,0.94792825,0.80959666,0.34258246,0.4393658,0.37697148,0.42810893,0.85291386,0.92169046,0.9184066,0.9007638,0.9254083,0.93228287,0.9281321,0.92169046,0.41666323,0.9262179,0.9153745,0.9273119,0.44019046,0.89205885,0.88871837,0.52964234,0.88592696,0.88592696,0.52964234,0.9029505,0.9281321,0.52964234,0.92169046,0.4784168,0.91677,0.90928155,0.8385586,0.831807,0.8966428,0.92169046,0.93604124,0.8011723,0.89903146,0.88594335,0.9281321,0.9216324,0.9216324,0.88332075,0.9216324,0.8883262,0.52964234,0.37764907,0.92169046,0.44289276,0.88813543,0.92924964,0.45461914,0.9281321,0.92169046,0.92169046,0.92169046,0.52964234,0.52964234,0.42047027,0.4516325,0.93184495,0.93184495,0.9587264,0.9070943,0.4784168,0.92169046,0.89905,0.42047027,0.37764907,0.92169046,0.92169046,0.82089466,0.87721837,0.79232365,0.84254605,0.41850382,0.8937422,0.5148819,0.49758163,0.7930366,0.92169046,0.9281321,0.92169046,0.92169046,0.92169046,0.90544456,0.92581123,0.9281321,0.79769766,0.92581123,0.92581123,0.52964234,0.41656062,0.4135791,0.44053733,0.8058113,0.44272375,0.45461914,0.9133394,0.92169046,0.559297,0.52964234,0.92169046,0.93088734,0.92169046,0.9073141,0.43837434,0.42047027,0.4393658,0.92169046,0.91338354,0.92169046,0.92169046,0.92169046,0.4784168
